"user","post","date"
"anniewherebuthere.bsky.social","This is the interview Donald Trump didn’t want you to see. His FCC refused to air my interview with Stephen Colbert. Trump is worried we’re about to flip Texas.","2026-02-17T07:27:30.854Z"
"anniewherebuthere.bsky.social","Wow.","2026-02-17T03:59:48.860Z"
"anniewherebuthere.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"anniewherebuthere.bsky.social","Happy President’s Day : FUCK TRUMP ‼️ — via RiseResistNYC","2026-02-16T19:10:05.050Z"
"anniewherebuthere.bsky.social","Data backs this up. How can we convince more people it’s true? Some are punching themselves in their own economic faces!","2026-02-16T20:11:36.865Z"
"anniewherebuthere.bsky.social","Calendar of events and strategy for them to tear apart the next election.","2026-02-15T07:53:22.162Z"
"anniewherebuthere.bsky.social","Minneapolis is still under siege no matter what the media says. Please help if you can.","2026-02-14T08:23:43.467Z"
"anniewherebuthere.bsky.social","Be best! 🤣","2026-02-14T04:53:41.013Z"
"anniewherebuthere.bsky.social","This psycho-Christian scumbag doesn’t get enough attention.","2026-02-13T23:49:18.522Z"
"anniewherebuthere.bsky.social","It goes on and on and on and on and on","2026-02-12T03:26:06.619Z"
"anniewherebuthere.bsky.social","This should infuriate everyone. Palantir must be destroyed. boingboing.net/2026/02/10/p...","2026-02-12T02:47:11.814Z"
"anniewherebuthere.bsky.social","They deserve the truth.","2026-02-09T04:58:37.926Z"
"anniewherebuthere.bsky.social","ICE exists to enforce CIVIL immigration law, not CRIMINAL law of any kind. Ergo, there is no legal justification for them: * to be armed. * to be masked. * to kidnap anyone they want when they require judicial warrants to make CIVIL arrests. * to provide security for the Vice President, ever.","2026-02-07T21:13:58.751Z"
"anniewherebuthere.bsky.social","I also understand you can un-r3dact the images by searching for “no images produced” then saving as an mp4. Tons of videos appear.","2026-02-08T17:38:57.209Z"
"anniewherebuthere.bsky.social","True!","2026-02-07T16:05:04.272Z"
"anniewherebuthere.bsky.social","#FreePaco","2026-02-07T04:04:31.103Z"
"anniewherebuthere.bsky.social","👇🏽","2026-02-05T15:12:51.630Z"
"anniewherebuthere.bsky.social","The cruelty is the point. They’re intentionally destroying our media to blind us.","2026-02-05T04:27:27.278Z"
"anniewherebuthere.bsky.social","And then there was one…💙","2026-02-03T18:50:33.606Z"
"anniewherebuthere.bsky.social","ICE said they were targeting the worst of the worst. They failed to mention they were hiring them.","2026-02-02T04:37:57.929Z"
"anniewherebuthere.bsky.social","#Sascha","2026-02-01T20:55:41.549Z"
"anniewherebuthere.bsky.social","Keep this in mind for the midterms. They’ll be looking for a crooked judge to rule otherwise. They’ll also strongarm the tabulators and ignore the courts.","2026-02-01T02:29:23.376Z"
"anniewherebuthere.bsky.social","MINNEAPOLIS: “Thousands and thousands— the people of Minneapolis are not letting up. Despite Tom Homan saying there’s a drawdown, these people don’t believe it. They want ICE OUT COMPLETELY.”","2026-01-31T05:17:30.333Z"
"anniewherebuthere.bsky.social","I’m seeing this after hearing Trump was mad about Minneapolis. I’m trying to find another source to confirm.","2026-01-26T23:37:33.011Z"
"anniewherebuthere.bsky.social","#defundICE Protests now in Thousand Oaks CA","2026-01-25T18:37:58.246Z"
"anniewherebuthere.bsky.social","I think we should just start referring to him in the past tense. Maybe he’ll get the hint. Or, hear me out - let’s not refer to him at all. He lives for attention. Without it, he’s nothing.","2026-01-24T05:32:00.701Z"
"anniewherebuthere.bsky.social","Boom!","2026-01-22T06:58:51.122Z"
"anniewherebuthere.bsky.social","👀👆💯‼️","2026-01-22T04:19:19.572Z"
"anniewherebuthere.bsky.social","#southcarolina - you know what to do! abcnews.go.com/Politics/nav...","2026-01-21T18:54:48.225Z"
"anniewherebuthere.bsky.social","Free speech? Not right now!","2026-01-21T17:41:24.997Z"
"anniewherebuthere.bsky.social","Preach!!!","2026-01-21T03:18:15.200Z"
"anniewherebuthere.bsky.social","Humanity. What a concept.","2026-01-18T21:59:57.472Z"
"anniewherebuthere.bsky.social","Congrats to the lucky winner! 😈","2026-01-17T18:14:39.390Z"
