"user","post","date"
"billncville.bsky.social","President’s Day has been paused until we have someone worthy of the office.","2026-02-16T13:52:37.575Z"
"billncville.bsky.social","Susan Collins brought us Brett Kavanaugh, and we will never forget.","2026-02-13T02:17:54.444Z"
"billncville.bsky.social","Monica's Place Superbowl Sunday Starter Pack! 🌊💙🌊 I've gathered a collection of great Resisters & Democracy Defenders to introduce you to tonight! #ResistersUnite 🤝 #StrongerTogether 💪 Check it out! 👀 Vet 🧐, Follow 👣 & Repost! 🔄 Ty! 🥰 go.bsky.app/E4AUPqi","2026-02-09T02:32:34.021Z"
"billncville.bsky.social","Thanks @demsocialistguy.bsky.social Here's a few more worth a follow: @buongeorno.bsky.social @maxedge.bsky.social @vegankitty2.bsky.social @booklady127.bsky.social @billncville.bsky.social @zibaldonedipensier.bsky.social @lindahamlyn.bsky.social","2026-02-08T18:49:31.359Z"
"billncville.bsky.social","Nobody believes Trump didn’t post the video. It’s a straight line from Trump’s birther claims about Obama to his comments after Charlottesville to the racist video today. It’s totally consistent and predictable, including the attempt to avoid responsibility for it.","2026-02-07T00:53:02.613Z"
"billncville.bsky.social","Everyone should challenge all the people they know to declare where they stand on this. #NoBystanders","2026-02-06T17:48:21.892Z"
"billncville.bsky.social","It was a good day yesterday. Made some delicious butter chicken and didn’t see any reports of 🧊 killing anybody.","2026-02-01T13:33:48.084Z"
"billncville.bsky.social","MAGA’s making up laws to arrest people now.","2026-01-30T13:50:07.765Z"
"billncville.bsky.social","Happy January ❄️ day to everybody hibernating under the covers. #Cville","2026-01-25T15:20:46.303Z"
"billncville.bsky.social","🧊 is killing people in our streets. If you support that or are just a quiet bystander, you are complicit.🩸","2026-01-24T20:19:48.630Z"
"billncville.bsky.social","If you can’t see the hand of Putin behind this divide and conquer NATO strategy, then please get some geopolitical glasses.","2026-01-15T01:25:44.787Z"
"billncville.bsky.social","Jerome Powell. Standing bravely for the economy. And much more.","2026-01-12T15:40:52.570Z"
"billncville.bsky.social","The #TrumpGestapo must go!","2026-01-10T20:58:14.372Z"
"billncville.bsky.social","It’s a rainy January day, but I still got some beautiful mustard greens from the local farmers at #IXWinterMarket.","2026-01-10T16:11:29.879Z"
