"user","post","date"
"botbot50.bsky.social","The Epstein dominoes are falling across the world: investigations reopening, accountability advancing. In the United States? Nothing. Other countries are asking questions. America is pretending it misplaced the box.","2026-02-17T15:33:33.857Z"
"botbot50.bsky.social","Donald Trump said today that """"Republicans should say, we want to take over. We should take over the voting."""" My life's work is to prevent that from happening. I started Democracy Docket as a critical tool in the fight for free and fair elections. Support its work by subscribing now. bit.ly/4qmEiFz","2026-02-17T02:32:35.364Z"
"botbot50.bsky.social","Mark Warner, vice chair of the Senate Select Committee on Intelligence, on elections: In the past, we’ve mostly seen foreign interference — my bigger fear now is domestic interference, some of that potentially originating inside the administration.","2026-02-16T23:50:15.046Z"
"botbot50.bsky.social","There are concentration camps in the USA. People are being disappeared. One facility has 3,500 people, most of them children. Now, what are we going to do about it?!","2026-02-16T21:43:22.465Z"
"botbot50.bsky.social","IF ALL OF THE EPSTEIN DOCS WERE RELEASED, WHERE IS THE IMMUNITY DOC? Pam Bondi and Alex Acosta wrote it in 2008.","2026-02-16T11:04:23.148Z"
"botbot50.bsky.social","YES","2026-02-13T02:57:03.453Z"
"botbot50.bsky.social","Sometimes Bernie Sanders hits a HOME RUN!! #ChuckandJim #LoserTrump","2025-01-25T13:53:13.192Z"
"botbot50.bsky.social","Epstein survivor Haley Robson: I’m so tired of having this administration just completely dismiss us. They’re supposed to be the party of, you know, family values and protecting children. And I just feel like if that’s the party you are, it seems like Thomas Massie is the only one showing up for it.","2026-02-12T22:24:18.044Z"
"botbot50.bsky.social","Why didn't they just arrest her and charge her with contempt???","2026-02-12T14:12:04.337Z"
"botbot50.bsky.social","SHAMEFUL AND JUST FUCKING WRONG!","2026-02-12T14:59:03.332Z"
"botbot50.bsky.social","Oralè Winners “REFUSE ILLEGAL ORDER” Another Blue Win! DC Grand Jury Declines,DOJ, To Indict 6 Democrats for posting video reminding our service members they must Refuse illegal Orders from Trump and his collaborators!","2026-02-11T08:08:17.362Z"
"botbot50.bsky.social","🤔","2026-02-11T10:38:22.375Z"
"botbot50.bsky.social","SWALWELL: You said you wanted to see a deportation process that was 'like Amazon Prime but with human beings.' How many times has Amazon Prime shot a mom 3 times in the face? LYONS: None SWALWELL: How many times has Amazon Prime shot a nurse 10 times in the back? LYONS: None","2026-02-10T16:14:34.062Z"
"botbot50.bsky.social","Continuing with our friend Mary… @maryosteen.bsky.social “🛑 Stop the SAVE Act!🛑” Please Call Your Representatives…We Have LOST Enough of Our Rights! Married Ladies…We Need To Stand Up for Our Rights! We Lost the Right to Care for Our Own BODIES….IF YOU WANT TO VOTE Start making CALLs!!! 👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼","2026-02-11T10:39:26.620Z"
"botbot50.bsky.social","Thank you @abbarsha.bsky.social @merlinmm.bsky.social @ezwez.bsky.social @kevinkirking.bsky.social @laughingcricket.bsky.social @sassy0210.bsky.social @6cats4adomino.bsky.social @tj49er.bsky.social @eioxnaxie.bsky.social @annettebeebe.bsky.social @j1j2.bsky.social","2026-02-10T17:47:03.348Z"
"botbot50.bsky.social","🤷🏼","2026-02-11T04:22:17.687Z"
"botbot50.bsky.social","Christian Nationalism is just White Supremacy in Bible Drag. It's the republican evangelicals that put Satan's right hand man in our White House. And are now attempting an ethnic cleansing of America. Concentration camps are going up all across America. Even this guy tried to warn us.","2026-02-11T02:55:11.167Z"
"botbot50.bsky.social","Farmers face the harsh realities of post-Brexit life - realities Remainers warned about long before the vote. Rising costs, labour shortages and red tape now squeeze rural livelihoods, raising fresh questions about why they are again falling for Farage’s nonsense. Are they stupid or something?","2026-02-11T10:10:05.782Z"
"botbot50.bsky.social","He's mentioned over a million times in the Epstein files. The kkkristian right: 🦗 🦗 🦗 🦗","2026-02-11T06:06:39.447Z"
"botbot50.bsky.social","Trump’s name appears more than a million times in the unredacted version of the latest Epstein release. Trump, who claims the files are a “hoax,” initially featured 5,300 times in the redacted version. This was only half of the 6 million documents DOJ reviewed, prompting renewed fears of cover-up.","2026-02-11T05:36:49.285Z"
"botbot50.bsky.social","AOC on Trump’s oil embargo of Cuba: “What has transpired is that now it’s kind of become acceptable that the entire Western world will look the other way as they starve & deprive a people because they find political actors or political regimes in that country to be objectionable”","2026-02-10T22:43:47.134Z"
"botbot50.bsky.social","Howard Lutnick knew who Jeffrey Epstein was and still kept doing business with him. He should resign or be fired immediately — under no circumstances should he be a cabinet secretary in the United States.","2026-02-11T01:56:34.602Z"
"botbot50.bsky.social","I and millions of Americans believe exactly the same thing Kasparov does. Too many troops, too many new prisons, too much money not under Congressional supervision. We're not just witnessing a mass deportation scheme anymore. This is something significantly bigger and scarier.","2026-02-11T09:37:37.547Z"
"botbot50.bsky.social","Oralè Resisters ICE HOSPITAL TAKEOVER! White Memorial Hospital is the primary emergency care and only hospital provider for ELA Latino community, now a gateway for ICE deportations! Please call Congress demand ICE OUT OF ELA WHITE MEMORIAL HOSPITAL! #WhiteMemorialHospital #USDemocracy #MASA #LICE","2025-12-19T23:31:28.639Z"
"botbot50.bsky.social","This Rings TRUE, UNFUCKINGBELIEVABLE........","2026-02-09T11:28:05.389Z"
"botbot50.bsky.social","A rainbow, a family portrait, a heart. These are the drawings found in handwritten letters we received from children detained at the Dilley Immigration Processing Center:","2026-02-09T12:00:35.512Z"
"botbot50.bsky.social","Footage from inside Trump’s golf club Super Bowl party reveals the Bad Bunny half time show played on the big screens. What a bunch of hypocrites.","2026-02-09T04:17:28.706Z"
"botbot50.bsky.social","Well, this is interesting! The U.S. Attorney’s Office had a draft statement announcing Jeffrey Epstein’s “suicide” dated August 9, 2019. He didn’t die until August 10. Totally normal. Nothing to see here.","2026-02-08T20:11:22.320Z"
"botbot50.bsky.social","When we say we want the rest of the Epstein files, we don't mean just the 3 million files not released. We want the versions of the ones already released with only victims' names redacted, the perpetrators' names in full view. We don't believe when they say those names are """"under investigation.""""","2026-02-08T12:16:19.110Z"
"botbot50.bsky.social","TY💙 @abbarsha.bsky.social @mlipsitt.bsky.social @annettebeebe.bsky.social @bab102.bsky.social @eileennjflns.bsky.social @bluebird4us.bsky.social @crankyoldcrackpot.bsky.social @hopeful66.bsky.social @lilmudda.bsky.social @georgiscorner.bsky.social @danielgamboa820.bsky.social @deeddra.bsky.social","2026-02-09T12:19:09.682Z"
"botbot50.bsky.social","Emergency Medicine consultant here. I work in a Major Trauma Centre & I teach on trauma management at undergraduate and postgraduate level. I'm telling you that no one can shatter their skull by running into a wall. No. Not even Usain Bolt running at world record pace. This was not self inflicted","2026-02-03T19:17:32.066Z"
"botbot50.bsky.social","NO LIES 👇 DETECTED.......","2026-02-08T11:11:06.949Z"
"botbot50.bsky.social","A federal judge ruled the Energy Department violated the law when Secretary Chris Wright handpicked five researchers who reject the scientific consensus on climate change to work in secret on a sweeping government report on global warming.","2026-02-07T19:05:26.357Z"
"botbot50.bsky.social","Agree 💯% With Rick Wilson.......","2026-02-08T10:39:30.101Z"
"botbot50.bsky.social","The Heritage Foundation’s “save the family” plan isn’t about saving anyone. It’s about dragging women back 60 years—shrinking our choices, our power, our futures. We’re not going back. We’re building a world where women are equal #sheshed","2026-02-08T06:36:33.542Z"
"botbot50.bsky.social","They’re deporting US Army veterans. They say if they’re undocumented, they must go. Such a selfish group of human beings. They consider undocumented immigrants “good enough” to go to war and possibly die for the country, but not good enough to avoid deportation. Ghouls.","2026-02-07T03:36:10.279Z"
"botbot50.bsky.social","Cartoon: Vote here #Trump","2026-02-06T13:55:29.875Z"
"botbot50.bsky.social","Good morning and happy Friday to everyone except Fat Satan, who refuses to commit to honoring midterm results unless he thinks 'the elections are honest.' He’s telling you in advance: Democracy only counts when he wins.","2026-02-06T12:18:37.171Z"
"botbot50.bsky.social","😕","2026-02-05T13:35:33.626Z"
"botbot50.bsky.social","Our taxpayer dollars at work... NOT doing anything substantive for us... The Taxpayer.","2026-02-05T10:41:48.369Z"
"botbot50.bsky.social","Why doesn’t Trump want his DOJ to completely release the Epstein files? I’m sure that because his name appears there 38,000 times has absolutely nothing to do with it!","2026-02-05T06:48:37.387Z"
