"user","post","date"
"demsrock2024.bsky.social","bsky.app/profile/jonc...","2026-02-18T12:41:22.516Z"
"demsrock2024.bsky.social","bsky.app/profile/thee... Nazis.","2026-02-18T12:37:07.524Z"
"demsrock2024.bsky.social","bsky.app/profile/thee...","2026-02-18T12:36:21.836Z"
"demsrock2024.bsky.social","bsky.app/profile/sinn... Well that would sure help the American people … 🥴","2026-02-18T12:33:25.873Z"
"demsrock2024.bsky.social","bsky.app/profile/bigd... The poster children of pedos","2026-02-18T12:31:08.872Z"
"demsrock2024.bsky.social","bsky.app/profile/plan...","2026-02-18T04:17:24.184Z"
"demsrock2024.bsky.social","bsky.app/profile/cweb... Yep","2026-02-18T04:15:37.459Z"
"demsrock2024.bsky.social","bsky.app/profile/melj...","2026-02-18T04:14:51.724Z"
"demsrock2024.bsky.social","bsky.app/profile/arem...","2026-02-18T04:14:11.709Z"
"demsrock2024.bsky.social","www.politico.com/news/2025/08... Well so much for this dude … Jasmine Crockett kick his @ss please.","2026-02-18T04:09:50.391Z"
"demsrock2024.bsky.social","bsky.app/profile/elec...","2026-02-18T04:03:10.772Z"
"demsrock2024.bsky.social","bsky.app/profile/mrsb... 👍👍👍👍👍👍👍👍👍👍👍","2026-02-18T04:02:40.217Z"
"demsrock2024.bsky.social","bsky.app/profile/mark...","2026-02-18T04:01:27.604Z"
"demsrock2024.bsky.social","bsky.app/profile/namw...","2026-02-18T04:00:46.560Z"
"demsrock2024.bsky.social","bsky.app/profile/patt... 😢🙏💙🙏 🥰","2026-02-18T03:59:42.615Z"
"demsrock2024.bsky.social","bsky.app/profile/jour...","2026-02-18T03:58:22.279Z"
"demsrock2024.bsky.social","bsky.app/profile/noth...","2026-02-18T03:56:19.123Z"
"demsrock2024.bsky.social","bsky.app/profile/tyle...","2026-02-18T03:54:52.357Z"
"demsrock2024.bsky.social","bsky.app/profile/mari...","2026-02-18T03:51:58.663Z"
"demsrock2024.bsky.social","bsky.app/profile/kack... 😊👍","2026-02-18T03:46:58.293Z"
"demsrock2024.bsky.social","bsky.app/profile/tera... Sad but true.","2026-02-18T03:45:03.558Z"
"demsrock2024.bsky.social","bsky.app/profile/tera...","2026-02-18T03:44:30.454Z"
"demsrock2024.bsky.social","bsky.app/profile/andr...","2026-02-18T03:39:30.040Z"
"demsrock2024.bsky.social","bsky.app/profile/ohda... Nasty little blonde bimbo isn’t she?","2026-02-18T03:37:13.866Z"
"demsrock2024.bsky.social","bsky.app/profile/ohda... 🤬🤬🤬","2026-02-18T03:30:10.334Z"
"demsrock2024.bsky.social","bsky.app/profile/stre... VERY Disturbing. 😳","2026-02-18T02:39:32.976Z"
"demsrock2024.bsky.social","bsky.app/profile/drei...","2026-02-18T02:38:32.320Z"
"demsrock2024.bsky.social","bsky.app/profile/stat...","2026-02-18T02:35:36.721Z"
"demsrock2024.bsky.social","bsky.app/profile/namw... 🥰👍","2026-02-18T02:34:26.803Z"
"demsrock2024.bsky.social","bsky.app/profile/suns... Yes, why?????","2026-02-18T02:28:05.268Z"
"demsrock2024.bsky.social","bsky.app/profile/thet...","2026-02-18T02:22:27.392Z"
"demsrock2024.bsky.social","bsky.app/profile/gtco... 🥰👍💙🇺🇸💙🇺🇸💙","2026-02-17T23:49:27.209Z"
"demsrock2024.bsky.social","bsky.app/profile/jule...","2026-02-17T23:48:52.297Z"
"demsrock2024.bsky.social","bsky.app/profile/goog...","2026-02-17T22:29:56.776Z"
"demsrock2024.bsky.social","bsky.app/profile/mora...","2026-02-17T19:46:04.143Z"
"demsrock2024.bsky.social","bsky.app/profile/mkmi... Surprise, surprise … the 🍊 💩 has conned his loyal thugs …","2026-02-17T19:45:06.869Z"
"demsrock2024.bsky.social","bsky.app/profile/mora...","2026-02-17T19:40:44.251Z"
"demsrock2024.bsky.social","bsky.app/profile/jonc... Our tax payers money is being squandered. He’s going to bankrupt us.","2026-02-17T19:29:25.380Z"
"demsrock2024.bsky.social","bsky.app/profile/stre... The corruption is real. How sad. Their day will come. Believe.","2026-02-17T19:28:21.878Z"
"demsrock2024.bsky.social","bsky.app/profile/miss... Umm whatever happened to education?","2026-02-17T19:27:09.480Z"
"demsrock2024.bsky.social","bsky.app/profile/prou... Where is the justice?","2026-02-17T19:23:31.545Z"
"demsrock2024.bsky.social","bsky.app/profile/jonc... How horrible! 🤬","2026-02-17T19:21:58.666Z"
"demsrock2024.bsky.social","bsky.app/profile/char...","2026-02-17T19:20:35.089Z"
"demsrock2024.bsky.social","bsky.app/profile/madd... Cold hearted and sickening","2026-02-17T19:16:43.647Z"
"demsrock2024.bsky.social","bsky.app/profile/bloc...","2026-02-17T17:44:21.182Z"
"demsrock2024.bsky.social","bsky.app/profile/debb... 😢🙏💙🙏","2026-02-17T17:41:50.320Z"
"demsrock2024.bsky.social","bsky.app/profile/wtaf... Inquiring minds really need to know.","2026-02-17T17:41:12.008Z"
"demsrock2024.bsky.social","bsky.app/profile/kack... Yep","2026-02-17T17:40:24.029Z"
"demsrock2024.bsky.social","bsky.app/profile/mfca... So true.","2026-02-17T17:39:31.316Z"
"demsrock2024.bsky.social","bsky.app/profile/simp...","2026-02-17T17:38:04.325Z"
"demsrock2024.bsky.social","bsky.app/profile/rbre...","2026-02-17T17:36:24.616Z"
