"user","post","date"
"dessed1111.bsky.social","94). To the folks that organize “No Kings” and other protests. Please begin an incremental, scheduling of a “National Shutdown” event. We had a day, make the next two. Prove that it’s coming for the November election. It’s a vote that all lovers of our democracy can participate. And has IMPACT!","2026-02-09T18:57:24.845Z"
"dessed1111.bsky.social","Sir Ian McKellen performing a monologue from Shakespeare’s Sir Thomas More on the Stephen Colbert show. Never have I heard this monologue performed with such a keen sense of prescience. Nor have I ever been in this exact historical moment.TY Sir Ian, for reaching us once again. #Pinks #ProudBlue","2026-02-05T11:50:02.422Z"
"dessed1111.bsky.social","93). My hope: when this insanity is over and it will end! The future holds a flip to the extreme opposite. Democracy & the rule of law comes back with a vengeance, focus on the important issues facing humanity! The Petro Dollar got us here, it cannot keep control forever!","2026-02-03T21:06:57.483Z"
"dessed1111.bsky.social","92). When things go too far and they will, by design. Double D, (Diaper Don) will rely on the Double D excuse (Dementia Defense). Same bull shit Fox News did, “no reasonable person would believe the way I behaved” & he has medical records to back it up!","2026-01-26T16:47:33.223Z"
"dessed1111.bsky.social","91). The GOP is handing the Democrats a walk off home run victory in the midterms & 2028!! I fully expect them to completely fuck it up!","2026-01-26T00:57:34.406Z"
"dessed1111.bsky.social","90). Beware the Ides of March!","2026-01-24T17:20:10.825Z"
"dessed1111.bsky.social","www.youtube.com/live/52viICM...","2026-01-04T22:53:07.514Z"
"dessed1111.bsky.social","89). If China were to abduct, Putin, Netanyahu & Trump…..would that make them the good guy’s!","2026-01-04T22:45:00.183Z"
"dessed1111.bsky.social","88). Arc De Trump comes with Depends….","2026-01-04T22:41:48.876Z"
"dessed1111.bsky.social","87). Until we remove “criminal, habitual liar, pathological sociopath” from the job description of our politicians! We get what we deserve!","2026-01-04T21:08:04.392Z"
"dessed1111.bsky.social","86). Oil can now be and rightly so, classified as a “Weapon of mass destruction”!","2026-01-04T18:48:07.476Z"
"dessed1111.bsky.social","85). The law of the jungle, can one day apply to you! China, if you’re listening…….Covfefe!","2026-01-04T18:25:29.233Z"
"dessed1111.bsky.social","84). Old gray haired white guy, just figured out “Rudolph the Red Nosed Rain Deer” was LGBTQ+! And I’m very good with that!","2025-12-24T22:11:08.289Z"
"dessed1111.bsky.social","83). It is obvious that the ethical, moral, human gloves are off! “Just because you can”, is now “do it till they stop you” if it’s cost effective! Our nature has never changed, nor will it unless surviving ourselves gives us another chance!","2025-12-18T20:46:29.188Z"
"dessed1111.bsky.social","82). Oh no! Not another committee, another investigation by congress!! A guy that has bitch slapped DOJ all the way to the oval office! Now owns the fucking thing, you know he’s shaking over a word salad admonition! Let me stir some shit over here, now go chase that while I take a nap!! C’mon man!","2025-12-04T21:38:05.433Z"
"dessed1111.bsky.social","81). Based on relationships throughout my life. A personal robot, humanoid, gizmo thingy will either be: A). So neurotic from my passive aggressiveness, it will attempt to insert a digit into a wall socket! B). Attempt to smother me with a pillow! Same reasons I failed the Match.com profile.","2025-11-28T15:19:16.227Z"
"dessed1111.bsky.social","80). I feel Blue Sky has become an ah ha, got cha echo chamber for those who get it already! Where are the smart, young, motivated leaders? You know, with a plan???","2025-11-28T15:15:38.190Z"
"dessed1111.bsky.social","The upside down, will dictate the Epstein files will be released from Hunter Biden’s laptop. With the caveat, that the chain of custody was botched and the data is no longer viable evidence!","2025-11-27T20:07:44.662Z"
"dessed1111.bsky.social","79). Checking to see if I have this right? The GOP is blackmailing the DEMOCRATS by starving the American people! Give up healthcare or we starve the needy? Have I got right?","2025-10-31T02:03:22.621Z"
"dessed1111.bsky.social","78). The post pandemic economic recovery and job growth no longer makes sense , when every metric shows us circling the drain now! So let’s blame AI!!! Cause ya sure don’t want to piss off the FUCKING MAD KING!!!","2025-10-30T01:11:01.932Z"
"dessed1111.bsky.social","77). We need a “Friday Night Massacre”! Every Officer in the armed forces, needs to make a stand. Their oath is to the constitution, not to a tyrant! Putting our son’s & daughters in harm’s way against their own citizens is unconstitutional! Take a stand, show us, your country what you’re made of!","2025-10-16T20:51:18.706Z"
"dessed1111.bsky.social","PSA: I got my COVID shot yesterday at a CVS. My VA med card and a verification call, out in ten minutes! Get your shot, my peeps!","2025-10-11T13:13:02.838Z"
"dessed1111.bsky.social","76). The most grotesque, vile, evil exercise in zone flooding political theater! Is rapidly approaching its inevitable implosion!","2025-10-04T17:09:15.019Z"
"dessed1111.bsky.social","75). World Cup, Olympics & The Super Bowl should all relocate to an alternate countries! I wouldn’t expect FIFA or the NFL to apply any moral fortitude but fucking!!! C’mon go to Canada & ban the USA!!!","2025-10-04T17:08:43.999Z"
"dessed1111.bsky.social","74). What are the procedures to get one of those “Interim Transitional Governments”?","2025-10-04T17:08:16.548Z"
"dessed1111.bsky.social","73). When this is done and we’re back to whatever normal is. We’re gonna owe the world a huge apology!","2025-10-03T00:28:09.173Z"
"dessed1111.bsky.social","I Agree Wholeheartedly! 👇🏼👇🏽👇🏾","2025-09-28T03:01:03.190Z"
"dessed1111.bsky.social","72). Pretty obvious next boycott target! TIC TOK! Let’s shut it down!","2025-09-28T12:22:10.089Z"
