"user","post","date"
"diann66.bsky.social","Thank you Tamera @wisewonders.bsky.social for adding me to your stellar SP 🦋 Follow/repost to meet fierce warriors just like you ✨️ go.bsky.app/LYheLTi","2026-02-17T17:41:17.778Z"
"diann66.bsky.social","Love this! Thank you Ink Radio. But mostly thank the Eagles “I Can’t Tell You Why”","2026-02-18T00:57:59.978Z"
"diann66.bsky.social","bsky.app/profile/reps...","2026-02-17T09:30:38.283Z"
"diann66.bsky.social","Demand cadaver dogs go through every inch of that property","2026-02-17T10:45:19.969Z"
"diann66.bsky.social","Check the backhoe rentals right after it was sold!","2026-02-17T13:17:37.893Z"
"diann66.bsky.social","How will we know who visited the Zorro Ranch to rape and murder? Is there a private airstrip there? I suggest submitting the entire batch of released trampstain documents (in PDF) to an ai. Let it derive the master pedo list we now seek.","2026-02-17T13:25:43.345Z"
"diann66.bsky.social","They need to take some cadaver dogs out there.","2026-02-17T15:13:30.454Z"
"diann66.bsky.social","This is the only glimmer of hope that I have heard all day I’m struggling trying to sort through the news right now and here for some clarity 🙁","2026-02-17T21:14:05.465Z"
"diann66.bsky.social","Reuters: New Mexico lawmakers on Monday passed legislation to launch what they said was the first full investigation into what happened at Zorro Ranch, where the late U.S. sex offender Jeffrey Epstein is accused of trafficking and sexually assaulting girls and women.","2026-02-17T00:25:18.370Z"
"diann66.bsky.social","I’m proud to announce we have already raised more than $1 million dollars from over 56,000 people across Maryland and the nation — and not a dollar from corporate PACs! The people of the 5th District are ready for a fighter, and I'm not going to let them down.","2026-02-16T20:50:36.139Z"
"diann66.bsky.social","THE “EPSTEIN CLASS” The DOJ is using selective redactions and half lists that protect the powerful while intentionally confusing the public. They’re protecting reputations, not survivors. @khanna.house.gov","2026-02-17T00:35:47.197Z"
"diann66.bsky.social","Release the Epstein Files","2026-02-17T19:57:22.768Z"
"diann66.bsky.social","Teen-aged girls are justifiably frightened and feeling violated that their Yearbook photos could be used as a hunting ground for sexual predators. stevevillano.medium.com/an-epstein-c...","2026-02-17T12:20:49.852Z"
"diann66.bsky.social","Insanity. They are laughing at us.","2026-02-17T21:46:15.635Z"
"diann66.bsky.social","I’ll say it again. We should NOT rest. Until EVERY. SINGLE. ICE agent. Is found. Prosecuted. And hanged for treason. That’s not an advocacy for death. It’s advocacy for the law!!","2026-02-17T20:01:47.200Z"
"diann66.bsky.social","…and the rich (both people & corporations [aka “people” per SCOTUS]) get richer under Felon47.","2026-02-17T17:22:13.807Z"
"diann66.bsky.social","Today the Minnesota House gaveled into session for the first time since we lost Speaker Hortman, Mark, and Gilbert. In the spirit of Melissa, we commit to doing our work with humility, grace, and compassion.","2026-02-17T21:32:31.500Z"
"diann66.bsky.social","Sadly, ICE learned what not to do in Minnesota… they have not left… but are spreading out in disguise tricking and nabbing people before we can respond. We need a new plan….","2026-02-17T01:01:13.452Z"
"diann66.bsky.social","HAPPY PRESIDENTS DAY 2 the 2 BEST PRESIDENTS IN MY LIFETIME!!! President Barack Obama & Joe Biden!! 💙💙💙💙💙💙💙💙💙💙💙💙","2026-02-17T03:23:16.371Z"
"diann66.bsky.social","What’s one way we can rein in ICE? We can start by boycotting ICE’s corporate collaborators that are profiting from the agency’s cruelty. Watch.","2026-02-17T15:00:30.781939Z"
"diann66.bsky.social","Out of respect to Virginia Giuffre and the other survivors who were once more disrespected by yesterday’s coverup of the Epstein Files, I invite you to post her picture to your social networks. Thank you.","2025-12-20T11:43:02.037Z"
"diann66.bsky.social","youtube.com/watch?v=mFw7...","2026-02-17T20:26:48.524Z"
"diann66.bsky.social","'Trump is worried': Experts say FCC move to kill Colbert interview backfired big time www.rawstory.com/james-talari...","2026-02-17T19:59:44.353Z"
"diann66.bsky.social","Epstein funded Thiel Who in turn funded Mark Zuckerberg","2026-02-17T11:08:32.636Z"
"diann66.bsky.social","How the hell does that happen? We made no where near that, ahem, really NO WHERE and we paid several thousand in taxes!","2026-02-17T22:13:43.372Z"
"diann66.bsky.social","go.bsky.app/Vgfnjrn","2026-02-17T08:14:19.636Z"
