"user","post","date"
"dogdad57.bsky.social","Happy Ash Wednesday to all who celebrate ✌️","2026-02-18T11:36:40.136Z"
"dogdad57.bsky.social","#TRUMPSTEIN #trumpsupporters 🖕 #TrumpIsANationalDisgrace #ReleaseTheUnredactedEpsteinFiles","2026-02-18T11:12:14.683Z"
"dogdad57.bsky.social","A special education teacher was killed by ICE yeaterday 2/18/26 Say her name — Linda Davis. #abolishICENOW #FuckICE #FuckTrump","2026-02-18T11:08:15.692Z"
"dogdad57.bsky.social","I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-18T10:57:30.302Z"
"dogdad57.bsky.social","Thank you, Stephen for doing what is right","2026-02-17T22:07:48.276Z"
"dogdad57.bsky.social","#NoKings March28th....💪🦾 #Resist #Epstein #EpsteinFiles #TrumpThePedo","2026-02-17T17:56:11.959Z"
"dogdad57.bsky.social","Happy Mardi Gras !!","2026-02-17T17:52:18.789Z"
"dogdad57.bsky.social","GREAT IDEA!! #TrumpsteinSurvivors !!! #TrumpEpsteinCoverup","2026-02-17T16:27:30.999Z"
"dogdad57.bsky.social","#ReleaseTheEpsteinFiles #trumpsteinfiles #TrumpEpsteinCoverup #ReleaseTheEpsteinFiles #EpsteinFiles #TrumpIsANationalDisgrace","2026-02-17T14:51:40.473Z"
"dogdad57.bsky.social","Today’s PSA To the Trolls It May Concern...","2026-02-17T12:39:31.065Z"
"dogdad57.bsky.social","#ReleaseTheUnredactedEpsteinFiles #ReleaseTheEpsteinFiles #EpsteinFiles #trumpsteinfiles #TrumpIsANationalDisgrace #TrumpEpsteinCoverup","2026-02-17T12:38:51.680Z"
"dogdad57.bsky.social","I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-17T12:22:39.097Z"
"dogdad57.bsky.social","@jessejackson.bsky.social","2026-02-17T11:21:48.624Z"
"dogdad57.bsky.social","BREAKING: Civil rights leader Rev. Jesse Jackson, Sr., 84, has died peacefully, his family announced. He leaves a lasting legacy in the fight for justice and equality.","2026-02-17T10:52:23.763Z"
"dogdad57.bsky.social","I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-16T11:28:41.063Z"
"dogdad57.bsky.social","I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-15T11:22:09.107Z"
"dogdad57.bsky.social","This IS NOT A DRILL!!!","2026-02-14T11:45:49.893Z"
"dogdad57.bsky.social","Happy Valentine’s Day! I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-14T10:51:17.441Z"
"dogdad57.bsky.social","Pass it on!! The more you know!!!!","2026-02-13T10:43:34.734Z"
"dogdad57.bsky.social","I will bring you flowers and ☮️ in the morning, just for the pleasure of seeing you smile. May we ALL be well , happy and peaceful ✌️🙏🫂☮️ #ObamaLegacy #istandwithminnesota #AlexPretti #ReneeGood #WalkForPeace #walkforpeace2025 #AlokathePeaceDog #shareyourlove #EpsteinFiles","2026-02-13T10:22:54.001Z"
