"user","post","date"
"drjuliamoonwall.bsky.social","Good morning 💙☕🍂","2026-02-18T08:53:23.375Z"
"drjuliamoonwall.bsky.social","1073 days left with fascists in the White House. They have already assassinated innocent people, included, Keith Porter Jr., the mom Renee Good and the nurse Alex Pretti. They will probably try a coup. They are already busy trying to corrupt the electoral system. www.youtube.com/watch?v=irb8...","2026-02-18T08:50:33.712Z"
"drjuliamoonwall.bsky.social","Did you know wolf families are lead by strong females? As if there weren't already countless reasons to love wolves!🐺 Here’s to friendship, loyalty, and fierce female energy.🩷 #HappyGalentinesDay","2026-02-13T21:02:56.180Z"
"drjuliamoonwall.bsky.social","1074 days left with fascists in the White House. They have already assassinated innocent people, included, Keith Porter Jr., the mom Renee Good and the nurse Alex Pretti. They will probably try a coup. They are already busy trying to corrupt the electoral system. www.youtube.com/watch?v=irb8...","2026-02-17T11:33:21.662Z"
"drjuliamoonwall.bsky.social","Good night 🥱🌙","2026-02-16T23:25:36.410Z"
"drjuliamoonwall.bsky.social","Obama: """"When I was president, I suppose I could have simply unilaterally ordered the military to go into some red state and harass and intimidate, or cut off funding, but that's contrary to how I think our democracy is supposed to work. We shouldn't get discouraged by the fact we have a tougher job""""","2026-02-16T20:44:08.896Z"
"drjuliamoonwall.bsky.social","It’s telling, what the elites do for fun.","2026-02-16T17:26:33.172Z"
"drjuliamoonwall.bsky.social","Read and share all over..he nails it","2026-02-16T15:58:18.755Z"
"drjuliamoonwall.bsky.social","A giant has left us. RIP, Bob.","2026-02-16T19:16:46.412Z"
"drjuliamoonwall.bsky.social","Sunday Food For Thought","2026-02-15T11:32:41.473Z"
"drjuliamoonwall.bsky.social","Good morning 💙☕🐦","2026-02-16T07:38:01.031Z"
"drjuliamoonwall.bsky.social","1075 days left with fascists in the White House. They have already assassinated innocent people, included, Keith Porter Jr., the mom Renee Good and the nurse Alex Pretti. They will probably try a coup. They are already busy trying to corrupt the electoral system. www.youtube.com/watch?v=irb8...","2026-02-16T07:35:50.057Z"
"drjuliamoonwall.bsky.social","Ghislaine Maxwell, a convicted child sex trafficker, gets gardening time, sports, therapy dogs, and spa products in prison. Migrant children in custody are sleeping on concrete floors without enough food or clean water. Our priorities are so fucked.","2026-02-16T05:57:56.204Z"
"drjuliamoonwall.bsky.social","Good night 💙🌙⛵","2026-02-16T02:02:22.258Z"
"drjuliamoonwall.bsky.social","Some nights are so sweet #photography #woman #girl #b&w #black&white #cat #night","2026-02-15T21:52:22.699Z"
"drjuliamoonwall.bsky.social","Obama: """"The rogue behavior of agents of the federal government is deeply concerning and dangerous ... the sort of behavior that we've seen in authoritarian countries and we've seen in dictatorships, but we have not seen in America.""""","2026-02-15T13:49:42.525Z"
"drjuliamoonwall.bsky.social","Let’s be clear: The GOP’s new voter suppression legislation (modeled on the SAVE Act) is unlikely to pass the Senate. But with this attack on our voting rights ahead of the midterms, we can’t take anything for granted.","2026-02-15T16:53:54.364Z"
"drjuliamoonwall.bsky.social","It’s ok to fly a foreign flag at Mar-a-Lago, just not at the Super Bowl","2026-02-15T17:10:26.128Z"
"drjuliamoonwall.bsky.social","The Internet is undefeated. One of the greatest moments in cinematic history.","2026-02-15T15:14:59.658Z"
"drjuliamoonwall.bsky.social",". The PEDO ICE-hole BOYS busy at work committing CRIMES for the PEDO Government .","2026-02-15T18:15:37.065Z"
"drjuliamoonwall.bsky.social","Ladies and gentlemen, here the resistance boost pack for Feb 2026. Keep fighting the fascists and neo nazis. Prison for trump, miller, noem, pattel, bondi and co. RIP and compassion for their multiple victimes. go.bsky.app/GHpJmEP","2026-02-15T18:12:11.499Z"
"drjuliamoonwall.bsky.social","Remember: In the prevaccine era, measles would peak in late winter- early spring. Don’t be surprised if in the next few weeks we see a surge www.aol.com/articles/us-...","2026-02-13T12:32:33.182Z"
"drjuliamoonwall.bsky.social","Good morning 💙☕🐎","2026-02-15T09:47:15.867Z"
"drjuliamoonwall.bsky.social","1076 days left with fascists in the White House. They have already assassinated innocent people, included, Keith Porter Jr., the mom Renee Good and the nurse Alex Pretti. They will probably try a coup. They are already busy trying to corrupt the electoral system. www.youtube.com/watch?v=irb8...","2026-02-15T09:44:36.614Z"
"drjuliamoonwall.bsky.social","Good night 💙🌙","2026-02-14T23:20:10.804Z"
"drjuliamoonwall.bsky.social","Usual maga stupidity. Not a surprise that mostly the whole world despises them.","2026-02-14T23:09:36.972Z"
"drjuliamoonwall.bsky.social","Little reminder...","2026-02-14T22:09:58.738Z"
"drjuliamoonwall.bsky.social","Zwei Wochen #Schneeschuhwanderung im #Villgratental und #Wipptal sind zu Ende. Es hat mit viel Spaß gemacht, einmal wieder zwei DAV Gruppen führen zu dürfen. Auch bei Lawinenlage 4 waren wir sicher unterwegs. Man lässt dann eben u.a. einfach einmal steile Hänge weg. #Hiking","2026-02-14T06:23:57.305Z"
"drjuliamoonwall.bsky.social","Sexual extortion is a serious crime that affects people of all ages. We're here to help you stay safe online. If you or anyone you know are experiencing sextortion, there are steps to take to stop it. ➡️Visit our website iwf.org.uk/resources/sextortion/ for guidance and support.","2026-02-13T15:49:47.297Z"
"drjuliamoonwall.bsky.social","Good morning 💙☕","2026-02-14T12:53:47.270Z"
"drjuliamoonwall.bsky.social","1077 days left with fascists in the White House. They have already assassinated innocent people, included, Keith Porter Jr., the mom Renee Good and the nurse Alex Pretti. They will probably try a coup. They are already busy trying to corrupt the electoral system. www.youtube.com/watch?v=irb8...","2026-02-14T12:51:23.434Z"
"drjuliamoonwall.bsky.social","👇👇","2026-02-13T12:25:15.433Z"
"drjuliamoonwall.bsky.social","In Los Angeles, California, tensions escalated as law enforcement officers drew their weapons on students participating in an anti-ICE march.","2026-02-14T01:40:21.251Z"
"drjuliamoonwall.bsky.social","We are entering the “falling out of windows” phase.","2026-02-14T00:29:52.498Z"
"drjuliamoonwall.bsky.social","Good night 💙🌙","2026-02-13T21:46:40.252Z"
"drjuliamoonwall.bsky.social","Kristi Noem's War on Truth For @rawstory.com Follow my work and writing on Substack: nickanderson.substack.com","2026-01-26T23:11:31.040Z"
"drjuliamoonwall.bsky.social","Those magas are maybe not so ready with their weapons.....","2026-02-13T19:22:36.780Z"
"drjuliamoonwall.bsky.social","Good morning ☕💙","2026-02-13T11:31:14.150Z"
