"user","post","date"
"fashionactivists.bsky.social","Are we f**king great yet? While no one was watching Trump just f**ked Ranchers big time! First the crops-bailout farmers. Next we will bailing out ranchers. Tax payers get F**ked twice","2026-02-07T17:40:49.447Z"
"fashionactivists.bsky.social","Why does this have redactions?","2026-02-07T22:14:30.857Z"
"fashionactivists.bsky.social","I’m so very proud of our athletes at the Olympics. The best of the best. Go Team USA. We love you. 🇺🇸 #olympics2026","2026-02-08T07:44:30.334Z"
"fashionactivists.bsky.social","I’m a 67 year old white suburban woman. We fought for Roe. We fought for equal voting rights. We spearheaded AIDS research. We fought for people to love and marry who they love. We fought for equal opportunity in education and the workplace. I fear it will be forgotten. Resist!","2024-11-13T04:37:02.433Z"
"fashionactivists.bsky.social","Yes","2026-01-26T23:41:22.910Z"
"fashionactivists.bsky.social","www.elpasotimes.com/story/news/i...","2026-02-07T21:01:04.484Z"
"fashionactivists.bsky.social","""""This is what elite impunity looks like, and it is coming directly from the so-called Department of Justice."""" #BBCLauraK #R4Today","2026-02-08T06:24:14.598Z"
"fashionactivists.bsky.social","Are we bombing Iran during the superbowl because Donald is butt sore that Bad Bunny and Green Day are playing?","2026-02-08T05:43:30.145Z"
"fashionactivists.bsky.social","“CBS LA: Video shows immigration agents clashing with protesters in Ventura County” This ICE-hole picked up this small woman in a hat and dress, then slammed her on the concrete. Then, when a male bystander tried to help her, they blasted him with pepper spray! #FuckICE #ProudBlue #ICE","2026-02-07T03:44:26.555Z"
"fashionactivists.bsky.social","No #ConcentrationCamps in Pennsylvania ‼️- please sign: sign.moveon.org/petitions/st...","2026-02-08T01:23:27.965Z"
"fashionactivists.bsky.social","MB my friend thank you for including RSB in your Starter Pack FOLLOWED & REPOSTED 🔄✔️🔄✔️🔥 💙💙STRONGER TOGETHER💙 @mblue.bsky.social","2026-02-08T00:48:18.927Z"
"fashionactivists.bsky.social","😕","2026-02-07T14:02:47.716Z"
"fashionactivists.bsky.social","👇👇","2026-01-29T00:55:54.104Z"
