"user","post","date"
"joegarrity.bsky.social","At the heart of the Virgo Cluster is the Markarian's Chain, a string of a dozen galaxies. My image contains it and dozens more outside it. The cluster contains nearly 2000. 🤩 #astrophotography #astronomy #naturephotography #nature #longexposure #galaxy #eastcoastkin #photography","2026-02-17T13:43:48.561Z"
"joegarrity.bsky.social","A moth orchid's reproductive organs create an illusion of a bird's head and wings. 😊 #naturephotography #nature #macrophotography #macro #floralphotography #flowers #orchids #eastcoastkin #photography","2026-02-16T13:17:49.646Z"
"joegarrity.bsky.social","The Bluespotted Ribbontail stingray has strikingly colorful electric blue spots. It uses its venomous tail to defend itself from predators. #marinelifephotography #marinelife #wildlifephotography #wildlife #naturephotography #nature #ocean #stingray #scuba #eastcoastkin #photography","2026-02-15T13:14:45.433Z"
"joegarrity.bsky.social","Happy Valentine's Day, Bluesky.💘 Hope yours is an Astronomical one. High-resolution: app.astrobin.com/i/gzac6b #astrophotography #astronomy #naturephotography #nature #longexposure #nebula #valentinesday #eastcoastkin #photography","2026-02-14T01:11:58.140Z"
"joegarrity.bsky.social","Breeding season has begun, and soon the herons will be nesting in """"heronries"""". Nesting colonies are in treetops, commonly seen here around Liyu Lake in Hualien, Taiwan. #naturephotography #nature #wildlifephotography #wildlife #birdphotography #birds #herons #taiwan #asia #eastcoastkin #photography","2026-02-13T13:10:31.315Z"
"joegarrity.bsky.social","Good morning, Bluesky. 🌞 A sunrise over the Asian Pacific from Youzihu reef's archway, Green Island, Taiwan. Enjoy your day. ☺️ #landscapephotography #landscape #seascapephotography #seascape #naturephotography #nature #sunrise #island #taiwan #asia #eastcoastkin #photography","2026-02-12T13:27:48.498Z"
"joegarrity.bsky.social","The Eastern Veil Nebula is the eastern portion of a supernova remnant known as the Veil Complex, aka the Cygnus Loop. High-resolution: app.astrobin.com/i/brkpo6 #astrophotography #astronomy #naturephotography #nature #longexposurephotography #longexposure #nebula #eastcoastkin #photography","2026-02-11T13:57:57.954Z"
"joegarrity.bsky.social","My female Green Bottle Blue tarantula lives 12 to 15 years, three times longer than males, who live 3 to 5 years. Isn't she gorgeous? 😍 #naturephotography #nature #wildlifephotography #wildlife #macrophotography #macro #spider #eastcoastkin #photography","2026-02-10T14:07:19.401Z"
"joegarrity.bsky.social","This species of nudibranch is known as Chromodoris coi. I captured it while diving in the Philippines. They are exceptionally colorful and vibrant. #marinelifephotography #marinelife #wildlifephotography #wildlife #naturephotography #nature #macrophotography #macro #scuba #eastcoastkin #photography","2026-02-09T13:44:03.095Z"
"joegarrity.bsky.social","I was driving along the eastern Pacific coastline of Hualien, Taiwan. The sun was setting on the western side of the island, and to the east, a tropical storm was on the horizon. #landscapephotography #landscape #seascapephotography #seascape #naturephotography #nature #eastcoastkin #photography","2026-02-08T13:29:47.142Z"
"joegarrity.bsky.social","The Boogeyman Nebula - LDN 1622 High-resolution: app.astrobin.com/i/cdhqmx Let's boogey man! 😎 #astrophotography #astronomy #naturephotography #nature #longexposure #nebula #eastcoastkin #photography","2026-02-07T14:10:42.806Z"
