"user","post","date"
"juluka58.bsky.social","Sunday Friends #3 @gentlem.bsky.social @schultziepie.bsky.social @spincreep.bsky.social @dragonlady1011.bsky.social @groku.bsky.social @justanyrican.bsky.social @latina4jesusdshw.bsky.social @whatifisaidit.bsky.social @putawomanincharge.bsky.social @guydemoeres.bsky.social","2025-08-31T14:15:45.481Z"
"juluka58.bsky.social","Fascism is alive and well and living in Texas. And several other states...","2025-08-31T16:46:39.416Z"
"juluka58.bsky.social","Sunday Friends #2 @allie-froglegs.bsky.social @abbarsha.bsky.social @frankiemillie10.bsky.social @juluka58.bsky.social @luckyshitt.bsky.social @renaldotheloaf.bsky.social @jeff1420.bsky.social @adoboblue.bsky.social @lacerantplainer.bsky.social @jules1212.bsky.social","2025-08-31T14:13:45.760Z"
"juluka58.bsky.social","You won't see this on the news. In fact, you may not see this anywhere. Residents of Washington D.C. march up 14th Street on Saturday August 30, 2025 chanting """"Troops Go Home"""".","2025-08-31T14:22:13.670Z"
"juluka58.bsky.social","Mainstream Media isn’t reporting about the children who have died that ICE Gestapo snatched! #iceout #arrestnoem #arresttrump","2025-08-30T23:31:12.799Z"
"juluka58.bsky.social","The comments from the judge are infuriating. The main goal it seems for the UCP was """"who can profit"""" from those struggling with addiction. And nothing to do with helping those in need, on the contrary ...","2025-08-31T14:26:15.418Z"
"juluka58.bsky.social","Sunday Friends #6 @maryosteen.bsky.social @hopeful66.bsky.social @mlipsitt.bsky.social @mockingbyrd.bsky.social @chejholloway.bsky.social @briansconverse.bsky.social @galaxy16.bsky.social @baconskingirl.bsky.social @cardwell4u.bsky.social @jen-notjenny.bsky.social","2025-08-31T14:22:53.231Z"
"juluka58.bsky.social","Pritzker: """"National Guard troops, any kind of troops, on the streets of American city don't belong unless there is an insurrection, unless there is truly an emergency. There is not.""""","2025-08-31T14:50:38.879Z"
"juluka58.bsky.social","Republicanism is arresting wildfire fighters mid-fire fighting because your racism is the most important thing.","2025-08-30T15:27:36.590Z"
"juluka58.bsky.social","THANKS SASSY @sassy0210.bsky.social @gmoyer17.bsky.social @trixie57.bsky.social @shaysbullfrog.bsky.social @countrytngal.bsky.social @tcrg2012.bsky.social @blondeandcraxy1.bsky.social @rebelb1ue.bsky.social @gentlem.bsky.social @allie-froglegs.bsky.social @princess-vimentin.bsky.social","2025-08-31T16:15:15.450Z"
"juluka58.bsky.social","Sunday Friends #1 @goodplacejames.bsky.social @raykwong.bsky.social @mersyme.bsky.social @eggzbacn.bsky.social @michdoc.bsky.social @jen4man.bsky.social @dmcbackup.bsky.social @stephen5150.bsky.social @thecaffeinator.bsky.social @tntnle.bsky.social @nateturner.bsky.social","2025-08-31T14:10:49.899Z"
"juluka58.bsky.social","follow share this pack from @candycemv1.bsky.social go.bsky.app/H5PGn5w","2025-08-31T16:03:06.593Z"
"juluka58.bsky.social","This is absolute truth. Add in I've read the Book of Mormon & done a little bit of Jehovah Witness readings. I'm not being arrogant when I tell Bible thumpers that I probably know their book BETTER than them..I'm WARNING THEM to not TEST ME🤷‍♀️","2025-08-31T06:36:49.288Z"
"juluka58.bsky.social","""""Here’s the truth we cannot escape: If Ashli Babbitt is honored, then few things are sacred. If loyalty to the Constitution and an attempt to overthrow it are treated as equal, we lose the very meaning of service."""" www.thebulwark.com/p/honoring-a...","2025-08-31T14:33:47.876Z"
"juluka58.bsky.social","Does anybody actually believe this enormous pile of horse manure?","2025-08-31T16:17:42.380Z"
"juluka58.bsky.social","The President of Portugal Marcelo Rebelo de Sousa called the orange felon a Russian asset in a live televised speech. Well done, this is how you do it. 👏","2025-08-31T14:13:04.663Z"
"juluka58.bsky.social","Pritzker: """"We don't want troops on the streets of American cities. That's un-American and frankly the president ought to know better. This one doesn't seem to. He hasn't read any books. He doesn't seem to understand the Constitution or the laws.""""","2025-08-31T14:55:45.112Z"
"juluka58.bsky.social","This!!","2025-08-31T16:04:51.188Z"
"juluka58.bsky.social","DHS and DC Police detaining a peaceful, unarmed man sitting on a bench at DC's Malcolm X Park.","2025-08-31T03:23:18.199Z"
"juluka58.bsky.social","Trump’s plan to rename the Department of Defense as the Department of War shows (once again) that his self-characterization as the “pro-peace” candidate was complete bullshit. www.wsj.com/politics/nat...","2025-08-31T15:05:07.413Z"
