"user","post","date"
"kdkheel.bsky.social","Hoping to bring on MORE Sane Americans to fight for Civil Rights & Pushing Back against 47’s Dictatorship. I’ve spent my lifetime fighting for civil rights. Never did I imagine having NO civil rights. Please Join US. Your Voices, Your Pens, Social Media! youtu.be/UbevTzRWG8s?... go.bsky.app/2EgBwWm","2026-02-16T23:56:25.927Z"
"kdkheel.bsky.social","go.bsky.app/86nUqtd. ANOTHER GREAT SP FROM DOC & MURPHY. GOT 29 FOLK I WASN'T FOLLOWING","2026-02-17T00:05:34.816Z"
"kdkheel.bsky.social","⚡️UPDATE - JUDGE BLOCKS TRUMP’S PHILLY SLAVERY EXHIBIT REMOVAL, citing Orwell: “As if the Ministry of Truth in George Orwell’s 1984 now existed…” storage.courtlistener.com/recap/gov.us...","2026-02-16T19:06:47.170Z"
"kdkheel.bsky.social","Damn good read with so much truth about a bunch of bullying deplorables. That is the """"regime"""" in D.C. The U.S. has a totally dysfunctiolnal, non-working congress that turns a blind eye to all of it. They refuse to do anything about it. Translation: they approve. www.nytimes.com/2026/02/16/o...","2026-02-16T15:09:21.802Z"
"kdkheel.bsky.social","The vile human won't even look at the Epstein victims.","2026-02-11T21:33:43.915Z"
"kdkheel.bsky.social","Donald Trump must be removed from office. Period.","2026-02-10T19:18:25.405Z"
"kdkheel.bsky.social","@patti3333.bsky.social @tcrg2012.bsky.social @atoth99.bsky.social @crankyoldcrackpot.bsky.social @bab102.bsky.social @kayaeger.bsky.social @markymark757.bsky.social @calidemocrat.bsky.social @maxedge.bsky.social @joyfuloldwarrior.bsky.social @starmom45.bsky.social @hopeful66.bsky.social","2026-02-08T18:05:20.386Z"
"kdkheel.bsky.social","Yes, it's true. The US Attorney's office in New York prepared a draft of an announcement of Epstein's death that is dated one day BEFORE Epstein died. Nothing fishy here....","2026-02-08T19:44:43.922Z"
"kdkheel.bsky.social","go.bsky.app/NvFRoiU","2026-02-08T14:57:27.277Z"
"kdkheel.bsky.social","go.bsky.app/3G38cSu MAGA and billionaires need to divide us. Class wars, racism and sexism. They want us to bow to them. Not protest because they no longer need us. We don’t need them. We can make them aware how much they need us. Follow and protect your voting rights.","2026-02-08T10:01:09.690Z"
