"user","post","date"
"ladywillow.bsky.social","Let's have a cute kitten for Tuna Tuesday! Baby Barney! #cats #kittens #TunaTuesday #pets","2026-02-17T19:04:49.325Z"
"ladywillow.bsky.social","Goodnight from Colorado 💙 💤 (Photo taken this morning.) #sky #clouds #sunrise #photography","2026-02-18T05:30:49.411Z"
"ladywillow.bsky.social","Nice work, MAGAts. “𝘐𝘯 2025 𝘛𝘳𝘶𝘮𝘱 𝘪𝘮𝘱𝘰𝘴𝘦𝘥 𝘵𝘩𝘦 𝘭𝘢𝘳𝘨𝘦𝘴𝘵 𝘵𝘢𝘹 𝘪𝘯𝘤𝘳𝘦𝘢𝘴𝘦 𝘴𝘪𝘯𝘤𝘦 1993, 𝘮𝘦𝘢𝘴𝘶𝘳𝘦𝘥 𝘢𝘴 𝘢 𝘴𝘩𝘢𝘳𝘦 𝘰𝘧 𝘎𝘋𝘗. 𝘐𝘵 𝘥𝘪𝘥𝘯’𝘵 𝘤𝘰𝘮𝘦 𝘵𝘩𝘳𝘰𝘶𝘨𝘩 𝘪𝘯𝘤𝘰𝘮𝘦 𝘣𝘳𝘢𝘤𝘬𝘦𝘵𝘴 𝘰𝘳 𝘱𝘢𝘺𝘳𝘰𝘭𝘭 𝘥𝘦𝘥𝘶𝘤𝘵𝘪𝘰𝘯𝘴. 𝘐𝘵 𝘤𝘢𝘮𝘦 𝘵𝘩𝘳𝘰𝘶𝘨𝘩 #𝘵𝘢𝘳𝘪𝘧𝘧𝘴… 𝘤𝘰𝘴𝘵𝘪𝘯𝘨 𝘵𝘩𝘦 𝘢𝘷𝘦𝘳𝘢𝘨𝘦 𝘩𝘰𝘶𝘴𝘦𝘩𝘰𝘭𝘥 𝘢𝘣𝘰𝘶𝘵 $1,000 𝘭𝘢𝘴𝘵 𝘺𝘦𝘢𝘳 𝘢𝘭𝘰𝘯𝘦… “𝘛𝘩𝘦 𝘤𝘰𝘴𝘵𝘴 𝘢𝘳𝘦 𝘯𝘰 𝘭𝘰𝘯𝘨𝘦𝘳 𝘵𝘩𝘦𝘰𝘳𝘦𝘵𝘪𝘤𝘢𝘭.”","2026-02-18T05:52:50.360Z"
"ladywillow.bsky.social","Stephen Colbert responds to CBS disputing his claims that he was barred from airing the James Talarico interview: """"And for the lawyers to release this without even talking to me is really surprising. I don’t even know what to do with this crap. Hold on."""" He then picks it up with a dog poop bag.","2026-02-18T05:08:21.081Z"
"ladywillow.bsky.social","Tomorrow, the Oversight Committee will have the opportunity to question Les Wexner about his ties to Jeffrey Epstein. Survivors told us from day one: follow the money. That is exactly what we intend to do.","2026-02-18T04:08:50.201Z"
"ladywillow.bsky.social","Human development before birth visualized through AI showing the journey from conception to childbirth Original post","2026-02-18T05:53:07.039Z"
"ladywillow.bsky.social","www.theguardian.com/business/202...","2026-02-18T05:53:11.922Z"
"ladywillow.bsky.social","'Monstrous': Firestorm as ICE 'abandons' bronchitis-stricken infant and family in Mexico - Raw Story www.rawstory.com/ice-dilley-tx/","2026-02-18T02:29:42.418Z"
"ladywillow.bsky.social","www.threads.com/@time2thread...","2026-02-18T03:44:53.973Z"
"ladywillow.bsky.social","Tonight marks the beginning of Ramadan. To the Muslim community celebrating in CA-28 and around the world, may you find peace and renewal during this holy month.","2026-02-18T01:14:57.773Z"
"ladywillow.bsky.social","substack.com/@keeptrack/n...","2026-02-18T03:40:02.338Z"
"ladywillow.bsky.social","I told you they’d come after Veterans’ benefits. www.stripes.com/veterans/202...","2026-02-18T02:40:46.712Z"
"ladywillow.bsky.social","Restored Peatlands Could Become Carbon Sinks Within Decades eos.org/articles/res...","2026-02-17T15:37:13.524Z"
"ladywillow.bsky.social","Beautiful mural in Glasgow, one of many, but this is my favourite 😍 #mural #city #streetphotography #Scotland #fyp","2026-02-17T20:35:33.743Z"
"ladywillow.bsky.social","Rachel Maddox exposed the Republican governor of New Hampshire for working with ICE for a detention center that people of New Hampshire are totally against. youtu.be/0WdqphevyUY?...","2026-02-17T14:00:57.874Z"
"ladywillow.bsky.social","Day 1328 of #IansDailyPhotoChallenge and even the ladybugs are now having meetings, asking how long it is until spring 🤗🐞🐞🐞❤️ #inspiringnature #wildlife #naturephotography #MentalHealthMatters #365DaysWild","2026-02-17T11:28:33.704Z"
"ladywillow.bsky.social","Romania has decoupled economic growth from pollution faster than anywhere else in EU. Its net greenhouse gas emissions intensity fell 88% between 1990 & 2023, so each euro’s worth of economic activity heats planet 10 times less. Emissions have plunged by 75%. www.theguardian.com/environment/...","2026-02-17T08:53:32.262Z"
"ladywillow.bsky.social","I’ve been a full time artist since December 2020, and apart from one month when I had a huge commission for a hotel, this has been the best month I’ve ever had, and that’s 100% down to all of you on here. So thank you, from the bottom of my heart ♥️ I can’t wait to post your orders tomorrow 🫶🏻 🪶","2026-02-15T21:04:56.227Z"
"ladywillow.bsky.social","REP. @aoc.bsky.social : “It’s important to remember there’s more of us than them — every one of us can be sand in the gears of an injustice.”","2026-02-16T03:42:10.565Z"
"ladywillow.bsky.social","And it begins - the #EpsteinFiles Analysis.","2026-02-15T18:05:43.630Z"
"ladywillow.bsky.social","Today, February 15th, marks thirty years since the failed inaugural flight of the Long March 3B with Intelsat-708, which crashed into a nearby hill shortly after liftoff. The launch failure resulted in six staff members losing their lives.","2026-02-15T00:51:23.241Z"
"ladywillow.bsky.social","My father died 10 years ago today. I still miss him. He was a good man. He was a loving husband and father. He was loyal and kind to his friends. He contributed to his community. Ed Reich would have loathed Donald Trump. https://robertreich.substack.com/p/sunday-thought-my-father-and-the","2026-02-15T15:29:03.735831Z"
"ladywillow.bsky.social","#StreetArt in #Paris 17th by #Nast404","2026-02-14T14:02:45.090Z"
"ladywillow.bsky.social","The New York Times reports that the Department of Homeland Security has sent Google, Meta, and other media corporations subpoenas for the names on accounts that criticize ICE enforcement. The department wants to identify Americans who oppose what it’s doing. I’ll save them time.","2026-02-15T17:01:12.616184Z"
"ladywillow.bsky.social","I think we are going to have a Democratic-controlled Senate. And all we will need for the leadership of that Democratic Senate to do is hold actual, real, impeachment trials. As the Constitution requires. Not the bullshit fake trials like the ones that the Senate held in 2020 and 2021...","2026-02-15T16:49:51.875Z"
"ladywillow.bsky.social","www.change.org/p/demand-con...","2026-02-15T19:09:10.208Z"
"ladywillow.bsky.social","www.threads.com/@christopher...","2026-02-15T18:37:09.857Z"
"ladywillow.bsky.social","www.theguardian.com/business/202...","2026-02-15T01:05:58.519Z"
"ladywillow.bsky.social","jmail.world/wiki Another source for E Files & Info … /;! 🦋🐕‍🦺📚🌺🦋","2026-02-15T00:01:09.440Z"
"ladywillow.bsky.social","Goodnight from Colorado 💙 💤 (Photo taken 2/8/26) #sky #clouds #photography","2026-02-14T06:02:20.191Z"
"ladywillow.bsky.social","www.threads.com/@thehackvaul...","2026-02-14T20:00:30.803Z"
"ladywillow.bsky.social","Mostly dahlias, watercolour and indian ink #floral #watercolour","2026-02-13T14:56:41.590Z"
"ladywillow.bsky.social","AOC: """"Extreme level of wealth inequality leads to social instability and drives authoritarianism, right-wing populism, and really dangerous domestic internal politics. That is a direct outcome of the failure of democracies over decades to deliver.""""","2026-02-13T17:50:54.266Z"
"ladywillow.bsky.social","Everyone in the world comes to get married at the NYC Marriage Bureau. Last week, the Mayor stopped by to officiate a few of those ceremonies. Thank you to all the couples who shared their joy with us. Happy Valentine's Day, New York. Watch the full video at Youtube.com/nycmayorsoffice","2026-02-14T16:09:43.494Z"
"ladywillow.bsky.social","Love this relatively recent mural by SLC’s Sister Art Collective on 800 South and 200 East!","2026-02-13T22:24:43.254Z"
"ladywillow.bsky.social","form-renderer-app.donorperfect.io/give/one-spi... $ for Food - Donation requested!!","2026-02-13T22:54:43.225Z"
"ladywillow.bsky.social","www.threads.com/@tannerthepl...","2026-02-13T01:34:57.016Z"
"ladywillow.bsky.social","Most people don’t know this: Heat pumps REDUCE gas consumption even if running 100% on electricity from a gas fired power plant. More here in my piece for @carbonbrief.org👇 interactive.carbonbrief.org/factcheck/he...","2026-02-11T21:03:24.437Z"
"ladywillow.bsky.social","#Waterbird #Wednesday I really love photographing water and birds, so it only makes sense to capture both🌊🦢🫶 Thanks for looking; I appreciate you ✨️","2026-02-11T21:25:49.786Z"
"ladywillow.bsky.social","The Stable, Yerres (1872-78) Gustave Callibotte Santa Barbara Museum of Art, Santa Barbara, California","2026-02-12T07:26:51+00:00"
"ladywillow.bsky.social","In a country with a bad president, be a Bad Bunny. [Cartoon by Matt Davies]","2026-02-12T21:45:09.246496Z"
"ladywillow.bsky.social","Regulations are what keeps ordinary Americans healthy and, often, alive. It took spoiled meat and rodent droppings out of our food. It took harmful lead out of our gasoline and paint. It took poison out of our water. Deregulation only achieves one goal: making rich corporations richer.","2026-02-13T00:57:43.158Z"
"ladywillow.bsky.social","SAVE Act passes in House, would force states to give voter data to feds. """"Analysts estimate more than 21 million... lack ready access to the documents the... legislation would require... in order to register to vote, such as a passport [or] birth certificate."""" www.commondreams.org/news/republi...","2026-02-13T01:23:29.731Z"
"ladywillow.bsky.social","it tilts my days pulling at my hours never in my doorway hands i have not held the gravity of silence tender the lightness of being electric— pulsing across mornings and miles my hesitant heartbeat are you ok...? #poetry #photography","2026-02-12T22:26:52.126Z"
"ladywillow.bsky.social","I’ll believe it when I see it….","2026-02-12T17:06:33.849Z"
"ladywillow.bsky.social","ICE was observed on a door-to-door raid in Virginia Beach, Virginia, on 2/11/26","2026-02-13T00:34:21.190Z"
"ladywillow.bsky.social","So much #LOVE AND #JOY and #Commuity and #Celebration in #Seattle all for our #SEAHAWKS no #Hate just #LOVE 💙💚💙💚","2026-02-12T17:42:38.448Z"
"ladywillow.bsky.social","Man sues after being hit in head by police projectile during protest. """"...a lone protester who was 15 to 20 feet... from [Tony] Olson, threw a firework.... ‘Instead of targeting [that] one individual... deputies & officers responded by opening fire at everyone...'"""" www.ocregister.com/2026/02/11/m...","2026-02-13T01:19:57.697Z"
"ladywillow.bsky.social","Pam Bondi's Epstein meltdown, Trump repeals the climate endangerment finding, a judge blocks Pete Hegseth from targeting Sen. Mark Kelly, ICE retreats from Minnesota, and more. Watch the MeidasTouch Podcast at 8p ET/5p PT.","2026-02-13T00:44:12.350Z"
"ladywillow.bsky.social","www.threads.com/@hibaaroundt...","2026-02-13T01:00:03.001Z"
"ladywillow.bsky.social","“We’re the only country in the world that has mail in ballots”. - Senile Satan","2026-02-12T23:28:37.201Z"
"ladywillow.bsky.social","www.threads.com/@juliettejrd...","2026-02-12T22:22:56.694Z"
"ladywillow.bsky.social","Pleurocybella porrigens aka Angel Wings Fungus. Newfoundland, Canada. Photo from a couple of years ago, in autumn. #fungi #fungifriends","2026-02-12T15:17:40.413Z"
"ladywillow.bsky.social","open.substack.com/pub/robertre...","2026-02-12T22:06:24.510Z"
"ladywillow.bsky.social","www.threads.com/@gettishow/p...","2026-02-12T21:56:50.981Z"
"ladywillow.bsky.social","Carrot for Life 🥕","2026-02-12T19:27:32.465Z"
"ladywillow.bsky.social","for you 🤍🕊️ . . #ArtistsOnBlueSky #BlueSkyArtShow #WomensArtBlueSky #Photography #PhotographersOnBlueSky #OregonCoast #Ocean #Clouds #Oregon","2026-02-12T13:18:57.660Z"
"ladywillow.bsky.social","open.substack.com/pub/robertre...","2026-02-12T18:57:32.818Z"
