"user","post","date"
"leetrikki90.bsky.social","“Kiki, that LOOK makes me think you don’t want your food!” “Yep, human! I MEANT to give you this look!” “What’s WRONG with it?” “NOTHING’S wrong with my look! I LOVE my look!” “No! What’s wrong with the FOOD?” “Ain’t DECIDED yet, human.” “So, take ANOTHER look, Kiki…THEN tell me what’s wrong!”","2026-02-18T12:37:42.940Z"
"leetrikki90.bsky.social","“Kiki’s Journal #72: It’s a WONDERFUL life! I get yummy FOOD, clean WATER, awesome ’NIP, fun TOYS, fresh LITTER, warm PLACES to nap…and a HUMAN who won’t stop giving me anything I want. Those are HER gifts to me! Meanwhile, I often give her trouble and make her worry—and those are MY gifts to her.”","2026-02-17T20:54:23.555Z"
"leetrikki90.bsky.social","“Kiki, you want to watch MARDI GRAS with me?“ “Nothing would interest me LESS, human!” “But you get PARADES and colorful FLOATS!“ ”I get enough of YOU parading around…while I nap and float off to colorful DREAMS!” “You’ll miss all the FUN, Kiki!” “And YOU’LL miss all the fun I’M having, human!”","2026-02-17T18:41:50.546Z"
"leetrikki90.bsky.social","“Human, what you DOING…” “Making my DINNER, Kiki!” “Yeah, but what you doing opening a pouch of tuna without giving ME any?” “I didn’t think you WANTED any.” “Have I EVER refused tuna?” “Kiki, I didn’t think you’d MIND if I ate it all!” “You doing lots of NOT THINKING, human! Now, gimme MINE!”","2026-02-17T15:28:43.370Z"
"leetrikki90.bsky.social","“Happy New Year, Kiki!” “More FIREWORKS, human?” “No, it’s Lunar New Year…Year of the HORSE! People around the WORLD celebrate it!“ “So, you got me a HORSE?” “No—and you and I DON’T celebrate it.” “Why not?” “Because every year‘s the Year of KIKI!” “The world should celebrate THAT, human!”","2026-02-17T12:48:56.841Z"
"leetrikki90.bsky.social","“Kiki’s Journal #71: I ain’t FRAGILE like a kitten, but I ain’t UNBREAKABLE! My spine and tail are BENDY and my legs are LIMBER. But if they’re stepped on, I’ll be HURT! I may even need REPAIRING! So, my human watches where she’s going; she’s fragile, too, and can break HER bones tripping over me!”","2026-02-16T20:26:39.861Z"
"leetrikki90.bsky.social","(to herself) “Here’s…HUMAN! She pets my HEAD; that’s OK. Rubs my EARS; that’s fine. Strokes my CHIN; that’s allowed. Now she’s moving to my BELLY! Oh, no! Red alert!…” “Kiki, your TAIL’S twitching! I know what THAT means.” “It means I’m HAPPY, human!” “Only if you were a DOG, Kiki! But nice TRY!”","2026-02-16T18:27:41.520Z"
"leetrikki90.bsky.social","“Having LUNCH, human? That CHICKEN smells yummy!” “NEED something, Kiki?” “You forget about ME? I want some chicken! Think you can ARRANGE that?” “But it’s highly SEASONED! You could get SICK!” “Just a BITE?” “Not taking the RISK, Kiki!” “OK, human! I’ll bite you LATER…YOU taste like chicken!”","2026-02-16T15:42:44.158Z"
"leetrikki90.bsky.social","“SAD, human?” “Hard day, Kiki. You know I need? I need to LAUGH! Can YOU help?” “I NEVER laugh! You’re on your OWN!” “Just TRY making me laugh…or smile!” “I ain’t FUNNY!” (rolls on the floor) “THAT’S funny!” “WHAT’s funny, human? I’m SERIOUS!” (rolls) (laughing) “Kiki, STOP! You’re TOO MUCH!”","2026-02-16T12:35:59.291Z"
"leetrikki90.bsky.social","Kiki and human here. We'll really miss you, pretty Marvin! @janest.bsky.social Thank you for sharing him with all of us!","2026-02-15T21:10:53.206Z"
