"user","post","date"
"pitchmyproject.com","Tax rebates aren’t just paper tricks. For example, in Utah? Spend $750k → get $150k back. That’s real money to fill your financing gap. File. Audit. Get the check. #FilmSky #MovieSky www.craftsmanfilms.co/how-to-fina...","2026-02-17T18:59:03.963226Z"
"pitchmyproject.com","Consistency > Talent You don’t need a viral pitch. You need daily outreach, weekly meetings, constant tracking. Show up, follow up, and build momentum. #FilmFundingStrategy #FilmSky #MovieSky www.craftsmanfilms.co/three-princ...","2026-02-17T16:59:04.196271Z"
"pitchmyproject.com","Filmmakers, you’re overlooking free money. A quick thread on how to fund your film using soft + hard sponsorships: 🧵👇 #FilmFunding #FilmDistribution #FilmSky #MovieSky","2026-02-10T18:58:02.623015Z"
"pitchmyproject.com","No distributor? No problem. 4 things you need to tour your film: 📍 A city list 👥 Local communities 💸 Sponsors 🛍️ Products That's your self-distribution toolkit. #FilmmakerTips #indiefilm #FilmSky #MovieSky","2026-02-10T17:01:02.972221Z"
"pitchmyproject.com","You just made $5 million at the box office. 🤑 💸 Theaters took more than half. 👉 Your distributor recouped their costs and their cut. Now you’ve got $1.3M left. 💰 Sounds good, right? Except you owe investors $1.1M. 🥺 Now imagine trying to fund your next film... #FilmSky #MovieSky","2026-02-09T21:00:15.867425Z"
"pitchmyproject.com","Gap financing = bridge money 🏗️ Let’s say: 🎬 Your budget = $1M 💸 You raise $750K in equity 🔁 You lend against $250K in tax credits Boom. You’re funded. #FilmSky #MovieSky www.craftsmanfilms.co/how-to-fina...","2026-02-09T18:57:04.532198Z"
"pitchmyproject.com","Film fundraising mindset shift: You're not begging for money. You're offering an opportunity. To invest in a story. To be part of something big. #ProducerTips #InvestorMindset #FilmSky #MovieSky www.craftsmanfilms.co/three-princ...","2026-02-06T18:58:03.476415Z"
"pitchmyproject.com","Most common investor objections (and how to clap back): ❌ “I don’t have connections” → Get some. ✅ ❌ “I haven’t done it before” → Now’s a great time. ✅ ❌ “No one’s investing” → Find your tribe. ✅ 👇 www.craftsmanfilms.co/how-to-fina... #IndieFilm #FilmFinance","2026-01-29T21:01:05.345949Z"
"pitchmyproject.com","What to include in a pitch deck: 🎬 Mood board & references 📝 One-paragraph synopsis 👤 Character profiles 📊 Target audience & ROI Make your story visual and viable. #PitchDeckEssentials","2026-01-29T18:56:08.668181Z"
"pitchmyproject.com","Nobody’s coming to raise your money. ❌ Not your producer. ❌ Not your future self. If you want to make films, be the one who finds the money. 💰👇 www.craftsmanfilms.co/three-princ... #IndieFilm #ProducerMindset","2026-01-28T18:56:03.901230Z"
