"user","post","date"
"progboomer.bsky.social","substack.com/@vivianltmar...","2026-01-08T23:00:04.946Z"
"progboomer.bsky.social","youtube.com/watch?v=X-Vm...","2026-01-06T14:16:34.607Z"
"progboomer.bsky.social","NAH... let her find out the hard way, when she gets arrested, tried, and convicted !","2026-01-03T00:26:23.251Z"
"progboomer.bsky.social","14","2025-12-30T15:14:44.748Z"
"progboomer.bsky.social","DOJ releases new trove of Epstein files search.app/Rbha3 And another 1.5 million records covered up with hundreds of wealthy conspirators @meidastouch.com @meiselasb.bsky.social ain't letting up but leading the way! @cbsnews.com @nbcnews.com take note!","2025-12-24T13:32:59.793Z"
"progboomer.bsky.social","If you know anyone in the military, please share this with them. The Convicted FElon's $1776 bonus check for military is coming from their monthly housing allowance. So they will get less money for housing. Also the bonus check will be taxable income. They are getting screw. youtu.be/HbUkGtu25Ik?...","2025-12-21T03:36:20.497Z"
"progboomer.bsky.social","Washington Post's new headline is still wrong. 1. The release was not """"huge."""" 2. DOJ missed the deadline to release all the files. 3, No mention of extensive redactions. Support independent, pro-democracy media. hubs.ly/Q03CbHTt0","2025-12-20T13:39:25.347Z"
"progboomer.bsky.social","GOP Rep. Thomas Massie and Democratic Rep. Ro Khanna plan to draft articles of impeachment against AG Pam Bondi over the DOJ’s failure to release all Epstein files as required by law.","2025-12-20T15:31:25.853Z"
"progboomer.bsky.social","Besides Panela Jo Blondy, don't forget Krash Petal and Dan Bongos...","2025-12-20T16:16:57.846Z"
"progboomer.bsky.social","Thank you, Governor Newsome, for providing the corrected name and logo...","2025-12-19T15:12:59.112Z"
"progboomer.bsky.social","I don’t know who made this, but it’s spot on!!","2025-12-18T12:58:36.459Z"
"progboomer.bsky.social","BREAKING: The House of Representatives just passed a bill that would subject immigrant children to invasive bodily searches and keep them in detention instead of releasing them to their families. The Senate must vote no on this horrific bill.","2025-12-16T22:05:09.386Z"
"progboomer.bsky.social","Well played !","2025-12-18T21:49:21.025Z"
"progboomer.bsky.social","Since he needs the authorization of Congress to approve spending, it just came out that he's going to 're-allocate' (steal) the funds FROM THEIR HOUSING ALLOWANCES to make these unapproved payments !!! Just ANOTHER scam by the POS moral degenerate #ConvictedFelonTrump !","2025-12-18T21:41:03.269Z"
