"user","post","date"
"sallyw51.bsky.social","Thousands pressured GoFundMe to take down fundraisers for Renee Good's KILLER. We got 10 of them removed. Now, We Need Your HELP to get the rest taken down! As well as the New campaigns supporting Alex Pretti's KILLERS. 🚨Can you take 1 minute to email GoFundMe leaders?⬇️ app.sosha.ai/s/4dWEokvX","2026-02-17T21:54:34.348Z"
"sallyw51.bsky.social","My family wasn’t the Archers but I had one w/children, a cat- taught me hi 5s- & named me Lyric! At 1- I’m going 2b euthanized! I’m good w/kids-other animals! Pls repost me! NY NH NE NJ CT DE DC MD ME RI VT PA VA- I’m free 2foster! Will some1 save me! Pls repost me! Urgent 🚨","2026-02-17T20:26:19.653Z"
"sallyw51.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"sallyw51.bsky.social","Check on women. Believe women. Stand with women. Fight beside women. The anxiety. The rage. The exhaustion. The grief. That isn’t weakness mental because health is political when your rights are on the ballot. Survival isn’t a debate. #SheShe #DefendersofDemocracy","2026-02-17T21:05:34.918Z"
"sallyw51.bsky.social","There is no floor or bottom. “Some talk about Trump's floor of support... I'm not sure he has a floor! His net approval is at a term 2 low across a number of pollsters. He's way underwater.”","2026-02-17T21:46:42.200Z"
"sallyw51.bsky.social","A federal judge ordered the Trump regime to restore slavery exhibits to a national historical site in Philadelphia after officials removed them. This isn’t the first time Trump has tried to erase our history. It’s all part of his plan to attack the American mind.","2026-02-17T21:15:40.661352Z"
"sallyw51.bsky.social","NEW: The filing, which shreds the logic behind the raid, marks the county’s latest effort to reclaim the materials seized by the FBI during the raid, including the original — and only — copy of Fulton County’s 2020 election records. www.democracydocket.com/news-alerts/...","2026-02-17T21:32:19.490Z"
"sallyw51.bsky.social","Corrections Officers and ICE goons have started patrolling the Dilley, Texas ICE Concentration Camp, confiscating children’s drawings, letters, and arts and crafts materials to prevent further leaks of the abhorrent conditions in the camp (February 17, 2026).","2026-02-17T20:31:13.767Z"
"sallyw51.bsky.social","If Dems don't fight for their right to constant access to these concentration camps what are they even doing? These places are torturing people, and anyone not willing to expose and condemn that is too feckless to deserve our support.","2026-02-17T21:10:05.805Z"
"sallyw51.bsky.social","A two month old-detained in the ICE concentration camp at Dilley-was rushed to the hospital this weekend The boy’s extreme youth made him particularly vulnerable in a prison setting Worse, they knew he was sick-and couldn’t care for him-because the facility didn’t even have a doctor ABOLISH ICE","2026-02-17T03:32:15.602Z"
"sallyw51.bsky.social","Epstein survivor Haley Robson: I’m so tired of having this administration just completely dismiss us. They’re supposed to be the party of, you know, family values and protecting children. And I just feel like if that’s the party you are, it seems like Thomas Massie is the only one showing up for it.","2026-02-12T22:24:18.044Z"
"sallyw51.bsky.social","""""I have searched the depths of Legal Arguments."""" No. He hasn’t. Or he would have learned the following.👇","2026-02-14T11:47:59.058Z"
"sallyw51.bsky.social","This Presidents Day, we honor the leaders of our nation who have worked tirelessly to uphold our democracy. The rights of our nation have never been more important or fragile. We must continue to fight for freedom, liberty, and justice for all.","2026-02-16T17:42:04.959Z"
"sallyw51.bsky.social","The world watches in horror, while many Americans face denialism or are apathetic, towards the collapse of the American Empire. The great state of Minnesota provided the blueprint for how to resist authoritarianism. Please, utilize it. Thank you, Germany for your support! 🇺🇸💙🇩🇪","2026-02-17T21:32:51.950Z"
"sallyw51.bsky.social","No way!! Can’t wait to celebrate that moment! 🙏🙏🙏🙏🙏","2026-02-17T21:28:00.634Z"
"sallyw51.bsky.social","#SundayNightParties #ResistanceReborn Thomas Denk Ninja TCarlson @bozmania.bsky.social @bluestormcomin1.bsky.social CorbynWasRight Jerry Meidas Sassy™ 🐬 jfordemocracy Kevin (Dancing Superstar)","2026-02-15T22:07:00.000Z"
"sallyw51.bsky.social","At 7, Tatum gives us all a lesson. “You can be anything you want to be. Don't let nobody tell that you can't."""" She embodies self belief . She reminds us that doubt is planted by people who stopped believing in themselves & decided you shouldn't either. Take it in. 🎥","2026-02-15T14:26:00.121Z"
"sallyw51.bsky.social","White House ridiculed for 'insanely stupid' holiday post: 'Reads like a pedophile's diary'","2026-02-15T21:00:22Z"
"sallyw51.bsky.social","We can't fall into right-wing populism’s lie that the most vulnerable in society are to blame for wealth inequality in our countries. We need to build movements that tell the truth: the story of wealth inequality is not a cultural one, but a class one.","2026-02-15T20:11:29.907Z"
"sallyw51.bsky.social","Sadly, they were given only 2 hours to view the partially redacted files. There's no way they could read 3 million pgs. They were only allowed to run word searches to see those search results. democrats-judiciary.house.gov/media-center...","2026-02-15T21:18:26.597Z"
"sallyw51.bsky.social","The New York Times reports that the Department of Homeland Security has sent Google, Meta, and other media corporations subpoenas for the names on accounts that criticize ICE enforcement. The department wants to identify Americans who oppose what it’s doing. I’ll save them time.","2026-02-15T17:01:12.616184Z"
"sallyw51.bsky.social","He's also stowing all the taxpayer dollars he & his have stolen in Qatar... Remember ALL the contingency funds that are now empty in Trump's 2nd term...? Now, why would a sitting POTUS move all of his assets to a country with no legal banking agreements w NATO, ICC...? #PresidentEpstein","2026-02-15T20:39:58.810Z"
"sallyw51.bsky.social","Even the non-religious among us might want to consider praying at least a little bit that we don’t have another pandemic with this guy in charge of health agencies because if we do, we… are… fucked. 🫤 apnews.com/article/rfk-...","2026-02-15T15:01:22.610Z"
