palavras,n_ocorrencias,desvio_padrao
swag,17,646.644614415786
proponents,3,479.251847501221
onwards,3,478.956156657371
europeangreens,3,464.766966697649
tess,3,462.45756562089
thecritic,3,461.833664140384
offord,3,459.428993425535
chronological,3,458.420476564184
priti,5,438.804284391117
bores,3,437.511523657758
konabec,3,434.456365281179
storyline,3,430.902541185359
thers,3,430.125950546271
nottingham,3,427.715247955148
hooking,3,424.352447854375
covidinquiry,3,419.199236640526
dyk,3,415.927878363545
kickstart,3,415.857347335999
midas,3,415.723866687172
miam,4,413.270290891244
rockers,4,412.687432164667
ambulances,3,409.695415318909
rectum,3,402.318696226429
clinch,3,400.97007369628
illustrating,3,399.126963926685
uco,3,393.987732465534
applebee,3,392.020832779756
medpro,3,391.155126942411
geographical,4,387.011950719871
bruges,3,385.889016860202
lentils,4,385.873036114212
ladyds,4,385.359572347697
aaronrup,3,382.317930523798
spt,3,380.605219792547
raptured,3,376.701473318064
olmiz,3,376.569161421024
casserole,5,375.503395457351
dfe,3,374.799946638203
awy,3,372.915986963999
marydupre,4,371.935926381592
ppattycat,9,371.876659660162
presenters,3,370.289526361918
tinkering,4,370.046280889296
zaef,3,369.608351276501
xxa,3,369.608351276501
dwgg,3,369.513644312809
ysozp,3,369.502819114189
bqay,3,369.501014883586
hphh,3,369.028905823559
springing,3,368.250367730072
metaresistance,5,364.401289789155
politicshome,4,364.349991994877
nic,3,363.323547268822
cargill,3,362.147759899188
milkshake,3,362.030845831309
flats,4,359.565478506118
hancock,7,359.067244000738
stev,3,358.626546702834
veritas,3,356.230730473009
somethin,3,356.056643433785
desirable,3,355.598556427516
trousers,4,355.554379338332
rosesbloom,3,355.027229002697
braverman,12,354.885246070878
rey,3,354.49306528243
nfc,9,353.455442736422
insertion,5,352.994050941372
auberon,19,352.716807366519
sont,4,351.43266306174
totality,3,350.787685074605
ambe,3,349.252535185263
eminent,5,348.566779828486
mquigley,3,348.509684226995
dudley,3,346.483765853467
gusts,3,346.37599993841
newatlas,3,344.691166118309
stosh,3,343.185566907079
demsoldier,3,342.768629447523
clamoring,5,341.30382359417
annokla,46,340.381051744179
roevember,3,340.065189828852
inning,3,339.430405237952
behavioral,3,338.722600367912
dewitt,3,336.238506618938
hobbes,3,335.585061248759
retrieve,4,335.128209297079
soulmate,6,334.349766960688
reptiles,4,334.234947305036
dern,4,334.197920400472
rishi,5,333.846072314772
ipcc,5,332.744196042546
heater,12,332.569735225379
tubberville,5,332.23440520211
sunak,19,331.726848106067
dep,5,331.165064582604
skateboard,3,330.244353976466
yorkshirebylines,5,329.938933743807
yout,3,328.769422746905
unc,7,328.521435120044
commodore,3,327.080010598834
southpawjc,6,326.924711006474
kingpins,4,326.368273580629
leftfootforward,3,326.124209466271
goblins,5,325.490092015103
tkaz,12,325.122913820157
revolutionize,3,325.03897202233
absolve,3,324.746567854586
patfromthestix,4,324.556107116576
fiftyshadesofwhey,4,324.445167426896
arses,8,323.94860152279
maurar,4,323.357902846572
xmen,3,323.31615074619
fester,4,321.865784657726
watercolors,3,321.599647595163
techmom,9,321.465005871557
eased,6,321.402188335218
sausages,4,320.755878096308
pendant,3,320.618152948332
raccoons,4,320.558237038659
stasi,6,320.457797533466
baroness,5,319.14260135557
lard,5,318.689190277926
lasagna,16,318.604711986499
jonathanslater,6,317.901504662477
afc,6,317.764955063749
cuisine,5,317.188745071448
bethesda,4,316.211427160162
hignfy,3,316.099667826463
yorkshire,9,315.970374841974
thesassyliberal,8,315.815497674558
affirmative,12,315.217517491229
deby,14,315.048513619833
climateelf,11,314.939792225868
contentious,6,314.259393919524
cabbage,6,313.979882582733
lockdowns,6,313.861115782124
gullis,5,313.817622194803
mugshot,5,312.97523863718
vtfishgirl,4,312.877372144423
slayer,5,312.438313911722
creepiest,3,312.42492431516
nannies,5,311.859744115844
cyclists,3,311.657397366617
doves,3,311.231960655286
hof,3,308.613566346869
icloud,3,308.603845299007
mckellen,6,308.28947435811
crewed,5,307.697416303745
shellacking,4,307.2404053289
italiano,10,306.982156557094
sorkin,3,306.910953426777
deferring,6,306.710286752825
sunspot,4,306.5
twirl,3,305.94988696408
instituteforgovernment,12,305.816889162403
backlog,7,305.607279893345
dentistry,4,305.537231773805
venom,3,305.473948698303
baileygvt,15,304.777358239155
pawbaby,19,303.553091784887
polishing,6,303.459168038579
nuking,4,303.448512930942
eclair,4,303.284657266624
madden,8,302.665037624104
championships,7,302.21673080912
warranty,4,301.870143163138
compulsory,7,301.292058909465
favourites,5,301.160588390978
dante,5,300.81422838689
lyon,3,300.302070144935
toonami,12,299.551128837597
vlf,4,299.202690495925
spaß,3,298.844998842767
dismally,4,298.211753624836
navalnaya,5,296.729337949587
tinavstammy,3,296.612541879132
jade,5,296.46129595615
dol,7,296.321816691952
nancyskartveit,6,296.282747838389
yulia,5,296.093735158311
pablo,7,295.971121499894
magna,3,295.811313734504
microwave,5,295.556762737718
frankreiser,4,295.401421797526
greeks,3,295.046324046468
remaster,3,294.842330746452
adorablespite,5,294.361172711348
saban,5,293.965474163208
muss,3,293.959180839789
kens,4,293.458685337476
descriptor,5,293.193280959847
pensioners,11,292.906904229748
vwm,4,292.735802388434
ismua,5,291.852359935636
mone,10,291.38184188068
dolphins,11,291.252748718984
hous,6,291.074847189974
danielson,3,290.872824443948
airbasealmighty,4,290.62160392281
chrismo,3,290.551773929077
trinity,7,290.187706083329
ruh,14,289.777557735296
cordova,3,289.541591715825
spices,7,289.286890062278
koat,5,289.187136643385
xx,11,289.02887556279
wearable,3,288.905405510754
mstdn,3,288.737481691126
monastery,5,288.665550421244
blathering,3,288.451613504472
osborne,7,288.389782528207
undefeated,19,288.003949371881
meandering,3,287.616063529143
dimly,3,287.458402787835
lincolnshire,7,286.261369081774
playoff,51,286.226472789451
barks,4,285.942301872248
prank,4,285.781384978098
crowdstrike,4,285.452856586396
goldfinch,3,284.936835105607
tna,28,284.217972373504
coronavirus,6,284.179286132305
velvety,3,284.028754412882
psychedelics,3,283.170149085904
guano,3,283.104221091809
catfish,7,282.679357307213
roh,15,282.369733977752
idjits,3,282.326052641268
melinda,22,281.82669446716
inquiry,70,281.510363360017
poofer,14,281.492109467224
steamer,5,281.414640699449
recliner,6,281.274006382863
mommamia,9,281.048088016584
indications,9,281.007018496771
liftoff,5,280.86081962424
lea,7,280.501591541194
monde,9,279.717168662284
uniongrl,5,279.588089875087
duet,6,279.437112782107
assistants,7,279.421340835459
deepfake,8,279.397022941497
rugby,5,279.242725957186
quantify,3,278.864363684809
samtoyou,7,278.064398159508
tesco,5,277.804247627714
gemstones,3,277.471319839246
concoct,3,277.456903560415
dynamite,42,277.156221015967
rethugnicans,6,276.997232236473
mowed,6,276.979180926413
turbulent,13,276.852061763253
bullock,4,276.756662069768
wrestling,58,276.636981730972
berry,10,276.589969288677
quad,5,275.985869203479
collides,3,275.946250804995
awed,3,275.795213881605
timlee,11,275.486412798097
aew,62,275.406598601316
wowt,3,274.714397147292
cheeseburger,15,274.302231645523
removable,4,273.613322044085
succinctly,7,273.497540687123
bray,5,273.464805779464
tumbler,3,272.802126091422
cashes,4,272.788685004834
gbeebies,6,272.48265999876
dayum,10,272.464146469056
pedantic,3,272.353324439657
même,6,271.261988982361
flares,5,270.881523917745
humping,5,270.828358928676
edmund,9,270.765581269112
hallucination,5,269.941660363865
janeiro,3,269.870956817019
hsa,3,269.838840792055
sheri,6,269.750996291024
bluebeats,6,269.715961707868
thinkbig,5,269.643282875728
wjla,3,269.6238120048
ecoticias,4,269.172806947507
minecraft,4,269.061795875966
ppe,13,269.023733582688
chechen,3,268.686310282704
moist,8,268.668908031534
coramaywilson,28,268.664726843208
abolishthemonarchy,3,268.469737586939
psychedelic,4,268.421776314814
downsides,3,268.067777499149
mercedes,10,268.054306272276
scarlett,4,267.545634736706
qgx,3,267.389852711978
cobra,5,267.285802092068
dawnbritten,6,266.955926449792
interface,3,266.691457181015
kane,7,266.265978729111
lobbies,3,266.264905686048
crzyfkinworld,22,266.187305892264
gaping,3,265.56543449779
incubator,5,265.52909445106
rotterdamvvg,7,265.329893492898
scepticism,3,264.482513599671
lgbtqi,8,264.403911792977
babymetal,3,263.849073019659
miniature,5,263.629474831628
reproduction,5,263.599506828067
embryo,6,263.347425783254
lifelessons,3,263.271722750469
mcafee,9,262.990018822008
buffer,6,262.949424794959
rumble,39,262.914581039312
rejoineu,14,262.726741424128
loading,9,262.68474980055
greener,3,262.451900355094
santaclausalaska,3,262.347733615774
farthest,3,262.210475254772
scrotus,6,262.072063880656
restriction,9,262.007845514426
chili,45,261.855947753221
mep,9,261.27848063789
overweight,6,261.211536243457
npcs,3,260.962321673711
buffet,32,260.960831243979
blockers,6,260.947248819884
waller,5,260.893656496282
titanium,3,260.810914904521
lamb,16,260.80896584793
laney,3,260.616576602487
maia,3,260.576924023086
yolanda,25,260.360807342426
cocoa,8,260.296499894145
micheal,4,260.215775847661
graph,9,259.881115982759
mcdonnell,3,259.519427660692
fsu,8,259.327702228006
meatballs,7,259.046235990706
speedy,7,258.769340201987
publix,16,258.753027357491
reignite,4,258.59927171849
pensioner,3,258.023900701724
meadows,9,257.686879327951
