"user","post","date"
"zekevegas.bsky.social","The shit-stain on American history.","2026-02-15T01:45:59.235Z"
"zekevegas.bsky.social","A search team has discovered the wreck of a luxury steamer that sank in a Lake Michigan gale more than 150 years ago.","2026-02-16T04:00:23Z"
"zekevegas.bsky.social","youtube.com/watch?v=U043...","2026-02-16T04:09:59.079Z"
"zekevegas.bsky.social","cold.quietprotector.com/cc-1-yt","2026-02-16T04:00:40.507Z"
"zekevegas.bsky.social","x.com/jimmustian/s...","2026-02-09T09:59:13.350Z"
"zekevegas.bsky.social","This is a mistake. Stop trying to legitimise Putin. The russians only understand one thing: force.","2026-02-08T19:53:17.430Z"
"zekevegas.bsky.social","www.theguardian.com/us-news/2026...","2026-02-09T09:48:51.638Z"
"zekevegas.bsky.social","I know, I know, I know….","2026-02-09T09:38:59.343Z"
"zekevegas.bsky.social","Monday Morning Follows! @shelbykstewart.bsky.social @bab102.bsky.social @fireeyebooks.bsky.social @tomrows.bsky.social @wisewonders.bsky.social @proudlycanadian.bsky.social @danielgamboa820.bsky.social @queeva.bsky.social @gdad1x7.bsky.social @pattyger.bsky.social @jules1212.bsky.social","2026-02-09T09:39:12.932Z"
"zekevegas.bsky.social","If you're a streamer who doesn't know about politics, that's because you chose not to know. You chose not to pay attention because the politics that are happening right now don't affect you & you don't care about them. You're privileged & lack sympathy. Being apolitical is still a political stance.","2026-02-08T23:31:46.080Z"
"zekevegas.bsky.social","It’s odd that the religious right is so upset about a halftime show that celebrated marriage, love, community, small business, hard work, and family. 🤔","2026-02-09T04:50:08.154Z"
"zekevegas.bsky.social","This kind of smart, walkable, mixed-use urbanism is illegal to build in most American cities.","2026-02-09T03:50:09.512Z"
"zekevegas.bsky.social","Trump’s growing volatility is putting the world on edge Volatility = He’s cruel and mad Anyone else would be impeached already flip.it/nZ1Vr7","2026-02-09T09:39:34.196Z"
"zekevegas.bsky.social","youtube.com/shorts/0mIud...","2026-02-09T09:01:49.125Z"
"zekevegas.bsky.social","My father could never discuss the trauma inflicted upon his friends without crying. One of the worst and most abusive actions taken by my state.","2026-02-08T23:34:09.586Z"
"zekevegas.bsky.social","Both of my parents grew up in West LA, an area with a large Japanese American population. One night their neighbors were forcibly taken to Manzanar. They were horrified. Both my maternal and paternal grandparents purchased their friends' properties and returned them upon their neighbors' release.","2026-02-08T23:34:09.585Z"
