"user","post","date"
"zeus238.bsky.social","Why is nobody speaking out against the🍊💩s campaign rally at Fort”Bragg”.Telling the cheering(?)troops to vote GOP and having a repug senate candidate up there with him is crossing another line. Our military is not his political tool to wield. They have a duty to Country and Constitution, not Fatass.","2026-02-16T08:47:52.897Z"
"zeus238.bsky.social","Narrator: He has not been “totally exonerated”","2026-02-17T02:21:45.230Z"
"zeus238.bsky.social","""""The owners of a Dallas County warehouse that ICE had planned to use as a mega detention center said Monday it will not sell or lease the property to the federal government. “God answered our prayers,” the Hutchins Mayor said after learning of the decision... www.dallasnews.com/news/immigra...","2026-02-16T20:45:12.801Z"
"zeus238.bsky.social","“Favourability of the United States now sits at a record low — second only to Russia.”","2026-02-16T21:48:41.407Z"
"zeus238.bsky.social","I know this makes me an extremist but I think our baby concentration camps should be abolished.","2026-02-17T04:11:28.019Z"
"zeus238.bsky.social","Massie not backing down.","2026-02-16T20:26:04.084Z"
"zeus238.bsky.social","Thank you, @maddow.bsky.social , for spotlighting the opposition to Trump’s concentration camps being built around the country. Many of these are for profit, profiting from cruelty and human suffering with our tax dollars. 1/2","2026-02-17T15:26:22.307Z"
"zeus238.bsky.social","""""Broken Laws And Disorder"""".......","2026-02-17T10:17:51.692Z"
"zeus238.bsky.social","www.rawstory.com/bon... 2/2","2026-02-17T15:31:55.000Z"
"zeus238.bsky.social","Keep pressuring to revel the #UnredactedTrumpEpsteinFiles #Epstein #EpsteinFiles","2026-02-16T17:39:39.478Z"
"zeus238.bsky.social","The world's richest man is broadcasting eliminationist rhetoric about a tiny, vulnerable minority, and virtually no one is going to treat it as a scandal. It's just normal now.","2026-02-17T14:18:49.645Z"
"zeus238.bsky.social","Stephen Colbert said that the FCC and CBS - which is in no way a compromised or complicit organization - wouldn’t allow him to broadcast an interview with Democratic State Rep James Talarico. www.nytimes.com/2026/02/17/a...","2026-02-17T12:04:54.516Z"
"zeus238.bsky.social","I can handle that.💙✊🏼⚖️","2026-02-17T15:44:21.354Z"
