"user","post","date"
"108karuna.bsky.social","Sanders: The American people do not want this country to be an authoritarian society or an oligarchy. We have our differences, that’s what democracy is about—we argue it out. We don’t throw people who disagree in jail. We don’t intimidate the media. We don’t send ICE agents to shoot people.","2026-02-13T20:20:09.815Z"
"108karuna.bsky.social","Every person on this list is in the Epstein files, after he was arrested in 2006. So they knew and still associated with him. That tells me one of two things happened— they participated, or they ignored it. MAGA: The pedophile arm of the Republican party. #SheShed","2026-02-12T12:17:09.284Z"
"108karuna.bsky.social","THE American People Still Have Our Allies.......","2026-02-12T11:17:35.546Z"
"108karuna.bsky.social","Hopefully history repeats itself..","2026-02-12T01:19:45.295Z"
"108karuna.bsky.social","They not only failed to get an indictment, they failed to get a single grand juror’s vote. It’s probable that this has never happened before. Likely because the DOJ has never sent hack political appointees to attempt to get indictments on sitting Congress members over protected speech before.","2026-02-11T16:13:34.234Z"
"108karuna.bsky.social","@claynobles.bsky.social @wisewonders.bsky.social @gdad1x7.bsky.social @kingresist.bsky.social @pinkfloydlarson.bsky.social @6cats4adomino.bsky.social @archeryfan93.bsky.social @lochnerwalter.bsky.social @dalewalls1.bsky.social @dougieg633.bsky.social @57kev.bsky.social @fiona-webster22.bsky.social 🔄","2026-02-11T21:29:16.765Z"
"108karuna.bsky.social","@claynobles.bsky.social @wisewonders.bsky.social @gdad1x7.bsky.social @kingresist.bsky.social @pinkfloydlarson.bsky.social @6cats4adomino.bsky.social @archeryfan93.bsky.social @lochnerwalter.bsky.social @dalewalls1.bsky.social @dougieg633.bsky.social @57kev.bsky.social @fiona-webster22.bsky.social 🔄","2026-02-10T13:10:48.880Z"
"108karuna.bsky.social","Repost if you love #MichelleObama ❤️ 😍 🔄","2026-02-10T13:10:48.879Z"
"108karuna.bsky.social","Audience for the White Supremacist White Trash Super Bowl Halftime Show: 6.1 million viewers Audience for the inclusive Bad Bunny Halftime Show: Over 135 million viewers. All those racist MAGAs crying over America not being white supremacist enough appears to have had the Streisand Effect. 🤡","2026-02-09T20:03:39.928Z"
"108karuna.bsky.social","Oralè Resister 135 Million watched Bad Bunny Halftime show unity Message! “Together We Are Americans”","2026-02-09T10:32:20.877Z"
"108karuna.bsky.social","Bad Bunny made the message clear. The rest of the world made their message clear: We can move on without Donald Trump. We can move on without MAGA. MAGA is not America. MAGA and America are not the world. Let their ideas rot in the last millennium. #MAGA #ICEOUT #BadBunny #Trump","2026-02-09T14:43:21.428Z"
"108karuna.bsky.social","Halftime Show 🫶","2026-02-09T01:51:23.842Z"
"108karuna.bsky.social","Rep. Raskin: """"Releasing the names of a lot of victims is either spectacular incompetence and sloppiness on [DOJ's] part or, as a lot of the survivors believe, a deliberate threat to other survivors who are thinking about coming forward.""""","2026-02-09T19:40:46.390Z"
"108karuna.bsky.social","An American in Milan apologizes to the world","2026-02-09T11:54:42.604Z"
"108karuna.bsky.social","This Rings TRUE, UNFUCKINGBELIEVABLE........","2026-02-09T11:28:05.389Z"
"108karuna.bsky.social","Good morning friends. What a great halftime show.","2026-02-09T14:02:59.797Z"
"108karuna.bsky.social","Legendary flex bsky.app/profile/adub...","2026-02-09T01:39:14.610Z"
"108karuna.bsky.social","🗣️","2026-02-07T03:15:38.460Z"
"108karuna.bsky.social","@houserepublicans.bsky.social We The People know.","2026-02-06T05:29:12.318Z"
"108karuna.bsky.social","As they say, history may not repeat itself, but it often rhymes. I stumbled upon John Denver in the Mitchell Trio's 1966 recording of """"Your Friendly Liberal Neighborhood Ku Klux Klan."""" It speaks to so many things happening today that it gives me new respect for John Denver.","2026-02-06T05:53:43.199Z"
"108karuna.bsky.social","Rep. Jackson (D-IL) stood feet from Trump and prayed out loud for God to correct the president’s moral failings. Invoked Matthew 25. Spoke of compassion, the poor, the suffering while Trump stared at the floor. That’s what moral courage looks like. #USDemocracy #Pinks apple.news/AQfj2AB5gShm...","2026-02-05T19:38:49.895Z"
"108karuna.bsky.social","🦋💙🦋 #Love #Resist #Kindness 🦋💙🦋 🦋 Sweet Maricella 🦋","2026-02-05T22:31:23.219Z"
"108karuna.bsky.social","The People of Minneapolis Will Simply Not Let the ICE Thugs Prevail newrepublic.com/article/2060... via @newrepublic.com","2026-02-05T17:41:30.109Z"
"108karuna.bsky.social","Yeah the Trump administration really stinks! (See what I did there 😂).","2026-02-04T23:54:28.703Z"
"108karuna.bsky.social","Thursday Friends #3 @moberzan.bsky.social @neverstopthefight.bsky.social @6to12elbow.bsky.social @luckyshitt.bsky.social @rockinrevrobin.bsky.social @tuckerslap.bsky.social @mochachaiguy.bsky.social @the13thpanther.bsky.social @whatifisaidit.bsky.social @allie-froglegs.bsky.social","2026-02-05T15:54:00.728Z"
"108karuna.bsky.social","Just remember things can always get worse. Even a one-star Melania review. 🤣 www.thedailybeast.com/newspaper-is...","2026-02-05T16:58:04.586Z"
"108karuna.bsky.social","go.bsky.app/Jq7VaLY","2026-02-04T20:32:00.683Z"
"108karuna.bsky.social","Don't know who this quote is from, but man...","2026-02-03T03:05:01.880Z"
"108karuna.bsky.social","These are some of the lines from Federal Judge Biery’s order to release 5 year old Liam Conejo Arias “Apparent also is the government’s ignorance of an American historical document called the Declaration of Independence.“ “And then there is that pesky inconvenience called the Fourth Amendment.”","2026-02-02T19:50:25.615Z"
"108karuna.bsky.social","I know you've heard that a federal judge ordered the release of 5 year old Liam Conejo Arias and his father, and that they're now home. But did you look at the judge's order? It's less than 2.5 pages and well worth a minute. """"Jesus wept."""" Link to pdf: storage.courtlistener.com/recap/gov.us...","2026-02-02T19:11:13.714Z"
"108karuna.bsky.social","Excellent Starter Pack of powerful #Opposition voices! Thanks for including me in this awesome group, @patti3333.bsky.social ! #USDemocracy","2026-02-01T18:15:27.810Z"
"108karuna.bsky.social","Exactly!","2026-02-01T22:28:18.826Z"
"108karuna.bsky.social","Nuremberg, Germany was chosen as the location of the trials for being a focal point of Nazi propaganda rallies leading up to the war. The Allies wanted Nuremberg to symbolize the death of Nazi Germany. We will have justice. Washington, DC?https://www.nationalww2museum.org/war/topics/nuremberg-trials","2026-02-01T05:44:54.546Z"
"108karuna.bsky.social","Statement from Portland, OR, Mayor Keith Wilson following today's unprovoked attack by ICE on peaceful protesters. The image is an excerpt. The full letter is available at www.portland.gov/mayor/keith-...","2026-02-01T11:26:44.731Z"
"108karuna.bsky.social","Great news! open.substack.com/pub/lonestar...","2026-02-01T04:45:57.536Z"
"108karuna.bsky.social","Whoa. Dems just flipped a Texas state senate seat in a district that Trump carried by 17 points. Not only that, but the win was decisive, making this an enormous swing. Plus, Republicans went all in to try to save the seat, to no avail.","2026-02-01T12:14:25.568Z"
"108karuna.bsky.social","☀️ Happy Sunday ☀️ 🦊 Meet and Greet 🦊 Happy February Everyone We survived January! 49 more days till Spring “You can't undo the past, but you can certainly not repeat it” ~Bruce Willis Be kind to each other Love Foxy","2026-02-01T14:02:10.730Z"
"108karuna.bsky.social","Mel has a pack here of uplifting accounts. 💓 We all need good news! 🦋 Thank you for including me, @lilmudda.bsky.social 🙏🏻 go.bsky.app/LYP9mDF","2026-01-31T14:44:58.663Z"
