"user","post","date"
"333baron.bsky.social","🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸","2026-02-18T08:01:31.872Z"
"333baron.bsky.social","Liquid Kitty circa 2014","2026-02-18T05:39:28.412Z"
"333baron.bsky.social","Okay.","2026-02-18T10:13:29.724Z"
"333baron.bsky.social","Ben Smith: I don’t know if Stephen Miller resigns before the midterms, resigns after the midterms, or sticks around. But this feels like that moment when a president puts a lot of confidence in one adviser to steer national policy in a direction that turns out to be politically disastrous.","2026-02-18T04:30:19.077Z"
"333baron.bsky.social","Good Morning BlueSky Friends Why not ?","2026-02-18T10:04:42.668Z"
"333baron.bsky.social","go.bsky.app/MhhQYQJ","2026-02-18T09:55:33.990Z"
"333baron.bsky.social","go.bsky.app/Aehn4SC","2026-02-18T09:54:59.119Z"
"333baron.bsky.social","@jaanauolamo.bsky.social Thanks for including me, Jaana! Very true words for us in America, """"Without deep values, society is a collection of individuals struggling for existence rather than a community striving for a shared, purposeful life."""" Thanks❣️ Pls Follow/Repost🙏🏽 bsky.app/starter-pack...","2026-02-17T22:43:37.811Z"
"333baron.bsky.social","Barf Barf Barf Barf","2026-02-18T01:43:12.371Z"
"333baron.bsky.social","LEFT: Someone who appears in the Epstein files over a million times. Epstein called him his """"best friend."""" RIGHT: Someone never mentioned in the Epstein files—even once. And she never met him. So guess which one is being hauled before our corrupt, cover-upping Congress to testify about Epstein.","2026-02-18T00:48:42.514Z"
"333baron.bsky.social","This is a bombshell: One of Epstein's victims accused Trump of sexually and violently assaulting her when she was """"13 to 15"""" and the FBI deemed her credible enough to warrant an interview.","2026-02-17T04:15:45.709Z"
"333baron.bsky.social","Meanwhile, men scheduled for a vasectomy are offered full anesthesia…unreal‼️","2026-02-18T01:27:21.970Z"
"333baron.bsky.social","👊Happy Taco Tuesday, Maureen!💙🕊️🌮🌮🌮Tyvm","2026-02-18T01:26:32.618Z"
"333baron.bsky.social","www.politicususa.com/p/the-banning-of-james-talaricos-stephen","2026-02-18T01:28:57.567Z"
"333baron.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"333baron.bsky.social","👏🏽🥂😂😂😂😂😂😂😂😂😂","2026-02-18T01:18:55.328Z"
"333baron.bsky.social","Minneapolis needs you! Families are staying inside, afraid to leave their homes — and many are hungry because of it. Chip in the equivalent of a bag of groceries, a week of coffee runs, or a night of takeout. Help #FeedMinneapolis deliver groceries directly to families sheltering at home.","2026-02-17T22:21:16.315Z"
"333baron.bsky.social","The files contain devastating pleas from a woman who survived Epstein’s network and says she has spent years being gaslit, questioning her own lawyers, describing coercive settlements, deleted records, harassment, media smears, and silence. 🧵","2026-02-17T22:35:30.701Z"
"333baron.bsky.social","I think Ossoff would make an incredible President with AOC as VP...","2026-02-17T11:17:23.751Z"
"333baron.bsky.social","The Cold War created fear of a nuclear attack, and blood-type tattoos were considered a way to quickly identify blood types during a massive casualty event‼️😳","2026-02-17T22:34:05.960Z"
"333baron.bsky.social","Well worth this deep dive into Zotto ranch and the history of New Mexico. There must be accountability for these victims and I applaud the efforts of two state law makers to finally attain it. open.substack.com/pub/alisav/p...","2026-02-17T21:03:25.322Z"
"333baron.bsky.social","I don’t know who needs to hear Jesse Jackson leading the kids on Sesame Street in this beautiful call-and-response reminding them that every child is somebody, but here it is","2026-02-17T11:41:00.733Z"
"333baron.bsky.social","Maybe it’s just me, but I would much rather have an entire undocumented immigrant family with two happy trans kids living right next door to me than white supremacists or racist MAGA lunatics who worship their pedophile president any day of the week.","2026-02-17T21:50:54.420Z"
"333baron.bsky.social","TY @bm1970.bsky.social @thewelshtaffy24.bsky.social @coolsprings.bsky.social @raykwong.bsky.social @suzzisulli.bsky.social @schultziepie.bsky.social @moberzan.bsky.social @conormcl2026.bsky.social @bab102.bsky.social @mlipsitt.bsky.social @rebelb1ue.bsky.social @bluestormcomin1.bsky.social","2026-02-17T21:25:32.364Z"
"333baron.bsky.social","Well, the bottom line is since he respects nothing and nobody he deserves none. Took this 85 yr old to have courage to respond in kind!","2026-02-17T21:26:48.320Z"
"333baron.bsky.social","TY @bm1970.bsky.social @christymche.bsky.social @petramichaela.bsky.social @mrsdeborahlynn.bsky.social @boldsea.bsky.social @itsbek.bsky.social @srosnato.bsky.social @firehawkjw.bsky.social @raykwong.bsky.social @jandee924.bsky.social @kayaeger.bsky.social @bluestormcomin1.bsky.social","2026-02-17T21:29:41.796Z"
"333baron.bsky.social","Joe Rogan speaks out against Trump. youtube.com/shorts/vtMfx...","2026-02-17T21:29:50.908Z"
"333baron.bsky.social","LIVE NOW: Come READ REED Lincoln Project co-founder and GOP insider Reed Galen, who took the fight to MAGA and Trump when he believed his party was breaking the country. We talked about how he got here, what it cost him, and why this moment can’t be ignored. 👇🏼 @reedgalen.bsky.social","2026-02-17T18:01:00.090Z"
"333baron.bsky.social","Dems are not supposed to have deplorables on their side — wtf, selling out survivors?!","2026-02-17T21:04:34.844Z"
"333baron.bsky.social","Oh and Bondi says she's released them all. Uh huh","2026-02-17T19:30:26.204Z"
"333baron.bsky.social","I can’t wrap my head around why Democrats are backing this terrible bill. Over 100 survivors signed a letter pleading with lawmakers to vote NO on SB 6239. Not lobbying. BEGGING to be heard. Their message: don’t cut justice for survivors to balance the budget. @wadems.org @housedemocrats.wa.gov","2026-02-17T19:14:43.147Z"
"333baron.bsky.social","go.bsky.app/HQAC9yJ","2026-02-17T19:48:34.721Z"
"333baron.bsky.social","go.bsky.app/3VKXUUD","2026-02-17T19:47:55.757Z"
"333baron.bsky.social","go.bsky.app/taCd1R","2026-02-17T19:46:30.516Z"
"333baron.bsky.social","These two are much better @nicholehiltz.bsky.social","2026-02-17T19:40:09.422Z"
"333baron.bsky.social","See everyone tonight 🥂💃🕺🪩","2026-02-17T19:37:51.207Z"
"333baron.bsky.social","It’s Taco Tuesday time!! Get ready y’all! 🌮🌮🪇💃","2026-02-17T19:31:17.769Z"
"333baron.bsky.social","Hate to tell you, but the """"greatness"""" was a hoax. Nuked by reality TV and an uneducated electorate who believe that reality TV is...REALITY. The world has moved away, Canada has just signed the largest cooperative trade agreement in history, covering 1.5 Billion people and 40 countries. #WeAreDone","2026-02-17T18:46:35.040Z"
"333baron.bsky.social","Happy #YearOftheFireHorse dear Martin! Enjoy! Just saw this one....","2026-02-17T18:47:28.805Z"
