"user","post","date"
"52mercury.bsky.social","RIP Robert Duvall","2026-02-16T21:59:30.086Z"
"52mercury.bsky.social","FDA refuses to even review Moderna’s mRNA flu vaccine application because of study design issues, not safety concerns — scientists warn the move could chill future mRNA vaccine innovation amid broader vaccine policy shifts.","2026-02-18T02:29:06.899Z"
"52mercury.bsky.social","LEFT: Someone who appears in the Epstein files over a million times. Epstein called him his """"best friend."""" RIGHT: Someone never mentioned in the Epstein files—even once. And she never met him. So guess which one is being hauled before our corrupt, cover-upping Congress to testify about Epstein.","2026-02-18T00:48:42.514Z"
"52mercury.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"52mercury.bsky.social","Counterpoint: Don’t upload your medical records to any LLM. That’s fucking insane.","2026-02-18T02:07:16.500Z"
"52mercury.bsky.social","😀","2026-02-17T02:32:43.016Z"
"52mercury.bsky.social","FBI refusing to share Alex Pretti shooting evidence with state investigators. """"BCA Superintendent Drew Evans said Monday that the FBI formally notified the state on Friday that it won’t grant the access."""" www.mprnews.org/story/2026/0...","2026-02-18T00:50:34.201Z"
"52mercury.bsky.social","I look forward to the day when we once again do not have to identify federal court judges by which president appointed them. Another low bar that Donald Trump has infected our country with. #Maddow","2026-02-17T02:07:18.457Z"
"52mercury.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"52mercury.bsky.social","Reveal the #Trump-EpsteinFiles NOW!!!! #Resist #Epstein #EpsteinFiles","2026-02-17T23:31:22.394Z"
"52mercury.bsky.social","CBS Censors Colbert? Trump’s FCC Sparks Free Speech War youtu.be/qMZxf2hmRqc","2026-02-18T00:14:13.710Z"
"52mercury.bsky.social","LEFT: Liam Ramos, imprisoned for being a child. RIGHT: Donald Trump, *not* imprisoned for raping children.","2026-02-18T00:01:14.656Z"
"52mercury.bsky.social","I'm not acknowledging President's Day again until we have a president worth respecting.￼","2026-02-15T22:22:18.186Z"
"52mercury.bsky.social","Broadly speaking: reality tv is bad for democracy, influencers are bad for democracy, streamers are bad for democracy, YouTubers are bad for democracy. Exceptions to all categories exist, but it’s astonishing how absolutely clogged our political and media ecosystems are with low-info narcissists","2026-02-15T21:37:58.609Z"
"52mercury.bsky.social","We hate you for free!!!!! #Epstein #EpsteinFiles","2026-02-15T01:56:25.439Z"
"52mercury.bsky.social","Rep. Angie Craig: """"The attacks on Black and brown people in Minnesota have been egregious. At the end of the day, what they wanted out of Minnesota was for us to riot. I think this will go down in American history as one of the greatest examples of peaceful resistance from an entire community.""""","2026-02-15T14:37:40.528Z"
"52mercury.bsky.social","Release the unredacted Epstein files.","2026-02-14T20:51:17.342Z"
"52mercury.bsky.social","We're no longer a functioning democracy. Don't expect a democratic election.","2026-02-14T20:12:35.978Z"
"52mercury.bsky.social","The world is leaving us behind 😔. Trump is destroying our good relationships with allies. It’s going to get much worse if we don’t stop him. Get those damn unredacted Epstein files and let’s end this bullshit!! Enough of this protecting the pedophile in the White House 🤬.","2026-02-14T22:16:44.584Z"
"52mercury.bsky.social","This whole Epstein File episode has really brought home how much we’ve lost our empathy on a massive scale. There is actual evidence both documented and verified by survivors of horrific crimes. Committed by people at the highest levels. Yet not one of them has been punished.","2026-02-14T16:34:14.558Z"
"52mercury.bsky.social","Last days of Biden admin, Garland didn't release Mar-a-Lago docs report (Vol 2) by Jack Smith b/c still charges against 2 co-conspirators. Could have dismissed them & released the report (House Dems pleaded). Instead, he kept the case open, handed it over to Bondi.","2026-02-15T02:04:29.277Z"
"52mercury.bsky.social","The military should not be run by people who are likely guilty of treason and espionage against our country. This is all absolutely ridiculous, shame on the entire government for allowing us to be taken over by murderous, pedophiles and criminals. It's unforgivable.","2026-02-15T00:31:25.359Z"
"52mercury.bsky.social","Incompetence is what you get when a President refuses to hire anyone smarter than him.","2026-02-13T17:29:59.444Z"
"52mercury.bsky.social","There are two parties in this country: the Democratic Party and the Authoritarian Party.","2026-02-14T02:23:33.304Z"
