"user","post","date"
"83kevlar.bsky.social","BREAKING: Millions of files related to Jeffrey Epstein suggest the existence of a 'global criminal enterprise' that carried out acts meeting the legal threshold of crimes against humanity, a panel of independent experts appointed by the UN Human Rights Council says","2026-02-18T01:28:59.408Z"
"83kevlar.bsky.social","#NowWatching #FilmSky #HorrorSky","2026-02-18T00:35:09.055Z"
"83kevlar.bsky.social","LEFT: Liam Ramos, imprisoned for being a child. RIGHT: Donald Trump, *not* imprisoned for raping children.","2026-02-18T00:01:14.656Z"
"83kevlar.bsky.social","#NowWatching #FilmSky #HorrorSky","2026-02-17T22:34:32.079Z"
"83kevlar.bsky.social","Just saw it costs $4000 for front row tickets to Kid Rock. Who in there right mind is going to pay that. There's no act on Earth i would pay that for. Maybe the Dugga Doo's. #WhoSky","2026-02-17T00:49:00.250Z"
"83kevlar.bsky.social","😂","2026-02-17T00:17:06.169Z"
"83kevlar.bsky.social","🤣🤣🤣🤣","2026-02-16T02:15:40.710Z"
"83kevlar.bsky.social","There is a measles outbreak in an area of north London where only 65% of children are vaccinated. IT IS ALMOST AS IF THESE OUTBREAKS HAPPEN WHERE SCIENCE DENYING IDIOTS LIVE.","2026-02-15T17:48:52.851Z"
"83kevlar.bsky.social","#TodaysHaul #FilmSky #HorrorSky","2026-02-15T21:42:31.964Z"
"83kevlar.bsky.social","#TodaysBuy #FilmSky #HorrorSky","2026-02-15T21:39:13.274Z"
"83kevlar.bsky.social","#TodaysBuy #FilmSky #HorrorSky","2026-02-15T21:36:23.213Z"
"83kevlar.bsky.social","#TodaysHaul #FilmSky #HorrorSky","2026-02-15T21:30:44.718Z"
"83kevlar.bsky.social","#TodaysHaul #FilmSky #HorrorSky","2026-02-15T21:23:30.493Z"
"83kevlar.bsky.social","#TodaysHaul #FilmSky #HorrorSky","2026-02-15T21:20:55.400Z"
"83kevlar.bsky.social","#TodaysHaul #FilmSky","2026-02-15T21:17:39.742Z"
"83kevlar.bsky.social","#NowWatching #FilmSky #HorrorSky","2026-02-15T14:20:20.072Z"
"83kevlar.bsky.social","Self Explanatory","2026-02-15T13:21:41.623Z"
"83kevlar.bsky.social","For those unaware, a quick primer on perhaps the most dangerous of the oligarchs. Peter Thiel.","2026-02-15T00:05:10.332Z"
"83kevlar.bsky.social","👇","2026-02-14T22:28:26.658Z"
"83kevlar.bsky.social","#NowWatching #FilmSky #HorrorSky","2026-02-15T02:01:17.760Z"
"83kevlar.bsky.social","#NowWatching #thejrshow . Hopefully we find out that Alan Carr is the new Ghostface.","2026-02-15T01:13:26.646Z"
"83kevlar.bsky.social","Medicare for All would save $450B a year. Every dollar spent on food stamps generates $1.50-$1.80 in economic activity. Each dollar going to low-wage workers adds $1.20 to the economy overall. It’s not about what this country can or can’t afford. It’s about priorities.","2026-02-14T21:00:14.564615Z"
"83kevlar.bsky.social","RFK Jr. to Cheryl Hines: “I left a few lines of coke for you on the toilet seat in the shape of a heart. Happy Valentine’s Day.”","2026-02-14T17:41:17.376Z"
