"user","post","date"
"alicekobres.bsky.social","In less than 24 hours, Colbert's interview with Talarico is at more than 3.8 million YouTube views. The video is already one of the two most watched videos on the Late Show's YouTube page this year.","2026-02-18T04:35:43.930Z"
"alicekobres.bsky.social","Trump: It’s a hoax. We should move on. Trump’s DOJ: There’s nothing to investigate. The UN: The revelations suggest a global criminal enterprise…a number of the abuses meet the legal threshold of crimes against humanity. www.aljazeera.com/amp/news/202...","2026-02-18T04:14:16.276Z"
"alicekobres.bsky.social","‘His life is in danger,’ U.S. Rep. Joaquin Castro said about newborn Juan Nicolás. The child fell ill after spending almost a month — or half his life — in a San Antonio-area family detention facility.","2026-02-16T21:29:42.772Z"
"alicekobres.bsky.social","Tyvm Ray @raykwong.bsky.social @bandroll.bsky.social @lemonadegirl.bsky.social @pinkmouse.bsky.social @junbmw.bsky.social @whitetigerwarrior.bsky.social @allie-froglegs.bsky.social @bab102.bsky.social @bluestormcomin1.bsky.social @pinkmouse.bsky.social @j1j2.bsky.social 🥂 @alicekobres.bsky.social","2026-02-18T05:12:41.082Z"
"alicekobres.bsky.social","Ty Randy @southerngayteacher.bsky.social @sgreerpitt.bsky.social @journeyled.bsky.social @annettebeebe.bsky.social @fireeyebooks.bsky.social @pinkmouse.bsky.social @bandroll.bsky.social @genevalentine.bsky.social @6cats4adomino.bsky.social @sassysister27.bsky.social 🕊️ @alicekobres.bsky.social","2026-02-18T04:58:12.418Z"
"alicekobres.bsky.social","Tyvm 😊 Betsy!! @bandroll.bsky.social #musicsky","2026-02-18T04:46:05.053Z"
"alicekobres.bsky.social","TY the Amazing MErlin @merlinmm.bsky.social @cruellaisdevine.bsky.social @crankyoldcrackpot.bsky.social @therealjackhopkins.bsky.social @sarahgies.bsky.social @gemini21.bsky.social @hengel1615.bsky.social @alicekobres.bsky.social @bostonbitch.bsky.social @alphacentauri53.bsky.social","2026-02-18T03:46:37.006Z"
"alicekobres.bsky.social","Tyvm 😊 Betsy!! @bandroll.bsky.social #musicsky #bluecrew","2026-02-18T04:43:57.075Z"
"alicekobres.bsky.social","Thank you Alice @alicekobres.bsky.social 🩷🌮🩷🌮 @debinmo1.bsky.social @dwblack14.bsky.social @songwriterwarren.bsky.social @gwenie.bsky.social @yunews.bsky.social @thecleannewdeal.org @snblue.bsky.social @alphacentauri53.bsky.social @atoth99.bsky.social @lenny60.bsky.social @nick2r.bsky.social","2026-02-18T03:49:52.493Z"
"alicekobres.bsky.social","TY so much EVERY ONE @alicekobres.bsky.social @bluestormcomin1.bsky.social @seizeday.bsky.social @hydidrive.bsky.social @happygramma5.bsky.social @lajozz.bsky.social @fierce74.bsky.social @deevah28.bsky.social @annneff.bsky.social @bab102.bsky.social @queenie3.bsky.social","2026-02-18T04:08:54.916Z"
"alicekobres.bsky.social","gift article, important read. www.nytimes.com/2020/08/19/m...","2026-02-15T19:21:34.330Z"
"alicekobres.bsky.social","on this day in 2009 - a magnificent old sycamore against an amazing evening sky. Tree is unfortunately long gone, but it still towers in my memory.","2026-02-11T17:25:15.221Z"
