"user","post","date"
"ariaa.bsky.social","😂🤣😂","2026-02-18T11:45:00.459Z"
"ariaa.bsky.social","#VoteBlueforLife #VoteDemocrat #VoteThemOUT #VoteBlue","2026-02-18T11:15:45.541Z"
"ariaa.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"ariaa.bsky.social","Only in Colorado can you have """"a powerful winter storm and near record heat"""" in the same week. 😲😬","2026-02-17T19:35:30.980Z"
"ariaa.bsky.social","Rep. Thomas Massie & I are campaigning for accountability of the Epstein class and the Epstein Administration. Begin with Lutnick!","2026-02-17T16:06:53.749Z"
"ariaa.bsky.social","Remove the squeaker inside before you let them destroy a stuffed animal, otherwise they will eat the plastic. My dogs destroy stuffed animals on a daily basis, and I love it.🤗🐶🐕","2026-02-17T13:29:53.778Z"
"ariaa.bsky.social","A Hymn to Life: Shame Has to Change Sides, a memoir by the incredibly brave, Gisèle Pelicot detailing her experience of discovering her husband had drugged & sexually abused her for years & her decision to waive her anonymity during his trial sparking a global movement against sexual violence. BUY!","2026-02-17T11:46:51.280Z"
"ariaa.bsky.social","Along with Dr. Martin Luther King, Jr, Rev. Jesse Jackson led the Civil Rights movement. The history he lived, he helped mold. We will all be forever in his debt. Rest in peace and power, Jesse Jackson, knowing you made a monumental difference and your legacy will live on. #RipJesseJackson","2026-02-17T11:08:45.385Z"
"ariaa.bsky.social","“[James Talarico] was supposed to be here, but we were told in no uncertain terms by our network’s lawyers, who called us directly, that we could not have him on the broadcast,” Colbert said.","2026-02-17T06:10:25.900Z"
"ariaa.bsky.social","This is the interview Donald Trump didn’t want you to see. His FCC refused to air my interview with Stephen Colbert. Trump is worried we’re about to flip Texas.","2026-02-17T07:27:30.854Z"
"ariaa.bsky.social","Does it bother anybody else that the Pima County Sheriff's dept and FBI left approx. a dozen gloves scattered about what is effectively a crime scene near Nancy Guthrie's home, risking contamination? Why are they littering a neighborhood that's already going through a lot? Isn't there a litter law?","2026-02-17T00:45:25.951Z"
"ariaa.bsky.social","BIG WIN animal lovers! See My Octopus Teacher, the Oscar winning documentary that changed the way everyone looked at their sushi. They are some of the most intelligent creatures on the earth.","2026-02-16T20:38:58.482Z"
"ariaa.bsky.social","[bedtime prayer] """"Dear Lord, you've taken my favorite actor, Robert Duvall, my favorite comedian, Catherine O'Hara, and my favorite musician, Bob Weir. I just wanted to let you know my favorite president is Donald Trump.""""","2026-02-16T19:20:56.984Z"
"ariaa.bsky.social","A win! A federal judge has instructed the Interior Department to restore signage and video exhibits at George Washington’s former Philadelphia residence that explain his ownership of enslaved people.","2026-02-16T19:56:34.003Z"
"ariaa.bsky.social","Prolific Academy award winning actor Robert Duvall has died at the age of 95. He won an Academy Award for Best Actor for his role in Tender Mercies (1983) and received a BAFTA Award, multiple Golden Globes, and two Primetime Emmy awards. May his memory be a blessing.","2026-02-16T18:31:22.105Z"
"ariaa.bsky.social","Dawn... the bewitching hour. ☀️","2026-02-16T13:54:08.196Z"
"ariaa.bsky.social","#WisdomWell","2026-02-16T12:36:32.316Z"
"ariaa.bsky.social","‘The Youngest Survivors’ medium.com/thrive-globa...","2026-02-16T12:29:05.023Z"
"ariaa.bsky.social","Maga explained in a nutshell...","2026-02-16T10:43:25.810Z"
"ariaa.bsky.social","#skylight #photography #ariaajaegerphotography","2026-02-16T02:25:01.156Z"
"ariaa.bsky.social","A dozen roses makes the house feel alive. 🥰","2026-02-15T23:53:28.435Z"
"ariaa.bsky.social","TAX the BILLIONAIRES and CHURCHES!","2026-02-15T22:51:04.156Z"
"ariaa.bsky.social","MacKenzie Scott gave more in 2025 than Musk, Page, Ellison, and ex-husband, Bezos, have in their lifetimes combined. This powerful and beloved philanthropist has given $27.7B since her 2019 pledge> more here at her site: www.google.com/url?sa=i&sou...","2026-02-15T22:06:16.096Z"
"ariaa.bsky.social","elections.ri.gov/voter-resour...","2026-02-15T18:40:04.188Z"
"ariaa.bsky.social","elections.ri.gov/voter-resour...","2026-02-15T18:40:12.223Z"
"ariaa.bsky.social","Here is an article from Forbes on what is going to happen if the """"Save Act"""" is passed. www.forbes.com/sites/hollyc...","2026-02-15T15:39:53.137Z"
"ariaa.bsky.social","GET YOUR PASSPORTS NOW BEFORE THE SYSTEM BECOMES OVERLOADED! YOU WILL NOT BE ALLOWED TO VOTE WITHOUT IT. To get a copy of your birth certificate contact the Vital records off in the state where you were born. Google it now and get moving folks! No time like the present!","2026-02-15T15:35:54.505Z"
"ariaa.bsky.social","YES!! Ive been SCREAMING for ppl to GET YOUR PASSPORTS, NOW!! Apply for 1 ASAP, bc this regime is ALL abt voter suppression & fraud!!","2026-02-15T15:12:37.327Z"
"ariaa.bsky.social","Pass it on!","2026-02-15T15:32:10.747Z"
"ariaa.bsky.social","Nailed it!","2026-02-15T11:41:23.258Z"
