"user","post","date"
"arniemi.bsky.social","Staff members have been instructed to scrub this topic and ‘biodefense’ from the agency’s website","2026-02-17T20:40:17.498Z"
"arniemi.bsky.social","The Epstein Elites are now running our country and corporations. Do you want these predators and sexual abusers in charge of your life?","2026-02-17T22:33:42.495Z"
"arniemi.bsky.social","March 28 will be the largest nonviolent protest in American history. Find your local No Kings event to stand up for our communities and reject Trump's fear and violence. app.sosha.ai/s/uGTTexYI","2026-02-17T21:59:26.853Z"
"arniemi.bsky.social","""""Chilling' is the best word for what the FDA did to Moderna's mRNA flu vaccine. Now, research on this promising technology is threatened by the ghouls at HHS. Repost! Explore this gift article from The New York Times. You can read it for free without a subscription. www.nytimes.com/2026/02/16/h...","2026-02-17T21:46:56.148Z"
"arniemi.bsky.social","I feel like sobbing when I see what's become of my country in just over 12 months. What a travesty.","2026-02-15T23:30:12.895Z"
"arniemi.bsky.social","""""Worship our dear leader, you worthless serf. Otherwise, you are guilty of sedition and possibly treason."""" - MAGA moron www.nytimes.com/2026/02/15/u...","2026-02-15T20:34:37.834Z"
"arniemi.bsky.social","NFL franchise owners in the EPSTEIN e-mails & assorted docs Partial list: *Robert Kraft, owner of the New England Patriots *Steve Tisch, co-owner of the New York Giants *Stephen Ross, owner of the Miami Dolphins *Zygi Wilf, owner of the Minnesota Vikings *Arthur Blank, owner of the Atlanta Falcons","2026-02-14T19:30:09.142Z"
"arniemi.bsky.social","Trump's Office of Personnel Management is ending collective bargaining for federal workers. A solution is for the Senate to pass the 2025 Protect America’s Workforce Act, passed by Congress. Trump continues to try to crush workers under his big, fat jackboot. federalnewsnetwork.com/unions/2026/...","2026-02-15T20:04:28.138Z"
"arniemi.bsky.social","Read up on our new Führer/Stalin/Saddam Hussein. Prof. Jason Stanley in an outstanding Ali Velshi interview. share.google/a02tct5wm9Ap...","2026-02-15T19:26:33.547Z"
"arniemi.bsky.social","👇👇","2026-02-14T23:43:13.687Z"
"arniemi.bsky.social","Well, I suppose that’s one way to cull the population🤦🏼‍♀️🤦🏼‍♀️","2026-02-14T21:32:08.844Z"
"arniemi.bsky.social","🤣🤣🤣💯💯💯","2026-02-14T16:35:43.535Z"
"arniemi.bsky.social","In case you have any doubts about the thoughtless incompetence and stupidity of the Trump administration... www.nytimes.com/2026/02/14/u...","2026-02-14T20:36:44.175Z"
