"user","post","date"
"arnoldust.bsky.social","So we are here now. The spoiled little child didn’t get the medal he wanted so much, so he goes down the road of venegance. When sanity obviously don’t work any more, we in the Nordics better destill the best of our Viking gens & the Finnish Sisu. End of dialouge, time for tough decisions in Europe.","2026-01-19T19:32:12.551Z"
"arnoldust.bsky.social","And people still ask why Trump didn’t get the Nobel Peace Prize…🤷‍♂️ Now he’s tariffing Norway - and other European & NATO countries for strengthening arctic sequrity - but not Russia for attacking 🇺🇦. But he forgot the tariffs are paid by 🇺🇸 businesses and ordinary people. www.bbc.com/news/article...","2026-01-18T07:14:17.117Z"
"arnoldust.bsky.social","Norway🇳🇴 qualified for the soccer World Cup in North America next summer. 28 years since last time, so it was about time it happened. And what a qualification: winning all 8 matches, and beating Italy🇮🇹 twice👏 www.bbc.com/sport/footba...","2025-11-17T19:42:31.175Z"
"arnoldust.bsky.social","Evacuation of children after russia’s attack on a kindergarten in Kharkiv - photos the whole world must see The kids were in the shelter and weren’t physically harmed, but many suffered severe stress","2025-10-22T09:52:34.358Z"
"arnoldust.bsky.social","Zelenskyj & wife visiting Norway today. Prime Minister Støre of 🇳🇴: «Norway stands with Ukraine in the desire for a lasting and just peace, as the Ukrainian people deserve.» Norway gives additional NOK 1.5bn to ensure energy and heat in 🇺🇦 the coming winter. www.vg.no/i/alXJV4?utm...","2025-10-22T09:42:40.724Z"
"arnoldust.bsky.social","The FIS Board decided today that skiers from Russia and Belarussia will not be allowed to participate in the Winter Olympics in Milan-Cortina🇮🇹2026. The 🇷🇺 Cross Country leader blames the Norwegians and the other Scandinavians for the decision. Which I’m very proud of! www.vg.no/i/ny5Q6d?utm...","2025-10-21T18:48:16.870Z"
"arnoldust.bsky.social","Nobel’s Peace Prize to Maria Corina Machado 🇻🇪. No prize to Trump: What did I tell you guys?🤷‍♂️ Reason 1: Candidate&reason must be delivered by 31. January Reason 2: Candidate need to be an actual peace person, not an appeaser of the aggressor 🇳🇴 getting ready for tariffs www.bbc.com/news/live/c1...","2025-10-10T10:26:57.999Z"
"arnoldust.bsky.social","Norway sends materials and personell to support drone defence in Denmark during EU summit wednesday. Norway is not a member of EU, but Denmark asked for help. Norwegian Minister of Defence: The security of Denmark is also the security of Norway. 👏 www.vg.no/i/mPO2eE?utm...","2025-09-30T09:46:56.864Z"
"arnoldust.bsky.social","Several unknown drones spotted over NATO air base in Norway (Ørland Air Base). The usual suspect…🤷‍♂️ x.com/visegrad24/s...","2025-09-27T17:35:37.681Z"
"arnoldust.bsky.social","Several US🇺🇸 P-8 Poseidon Surveillance planes moved from northern Norway to Oslo. Looks like NATO wants to have better control of what’s happening in the Baltic Sea. www.vg.no/i/XjPOJW?utm...","2025-09-27T16:01:18.477Z"
"arnoldust.bsky.social","Anybody know if this is true? My sister is married to an Englishman, and he only know the Norwegian swear words…😎","2025-09-26T05:56:11.320Z"
"arnoldust.bsky.social","Norwegian government: Russian fighter jets have violated airspace over Finnmark (🇳🇴’s most northern province) 3 times so far in 2025. -They know exactly what they are doing. 10 yrs since last violation. www.nrk.no/tromsogfinnm...","2025-09-26T05:30:52.547Z"
