"user","post","date"
"aspenchef.bsky.social","Are you a Resister/Democracy Defender account who follows me? Do you want to connect with more Resisters? 💙🌊 I want to add you to boosts tomorrow, Wednesday, at 7:30pm CST. 💙💪💙 Drop a Comment 💬, Vet 🧐 & Follow 👣 others who have commented, too! Repost so we can all find new peeps to follow! 🔄 👇","2026-02-18T01:29:39.191Z"
"aspenchef.bsky.social","Hope everyone had a relaxing long weekend 🤗","2026-02-17T01:43:27.397Z"
"aspenchef.bsky.social","Who wants in on a President's Day Starter Pack tomorrow night? 🌊💙🌊 If you are a Resister/Democracy Defender account who follows me, drop a comment here, and I'll include you in a Monica's Place Starter Pack on Monday! #StrongerTogether 💙💪💙 Comment 💬, Vet 🧐 & Follow 👣 others here, too! Repost! 🔄","2026-02-16T01:14:08.915Z"
"aspenchef.bsky.social","Freddy and Betty here, not to jump the gun or anything, but it’s #Caturday somewhere. Hope everyone has a peaceful weekend 🕊️🤗!","2026-02-14T00:15:42.536Z"
"aspenchef.bsky.social","Me -"""" Sandwiches for dinner again? But the Dow is up to 50,000! Her - """"What's a Dow?""""","2026-02-12T03:35:44.302Z"
"aspenchef.bsky.social","Reminder! 💙🥳💙 We're having a Resister Follow Party tonight at 7:30pm CST. Check my timeline in 2 hours! I've got room for a few more, if you'd like to included in boosts tonight, let me know here. See you in a few hours! 💙 #ResistersUnite 🤝 #StrongerTogether 💪","2026-02-11T23:34:10.370Z"
"aspenchef.bsky.social","Let's have a Resister Follow Party tomorrow night! 🥳 If you are a Resister/Democracy Defender account who follows me, Drop a comment here, and I'll add you to boosts on Tuesday at 7:30pm CST. #ResistersUnite 💙🤝💙 Repost so we can all find new like-minded Democracy Defenders to connect with! 🔄 👇","2026-02-10T01:26:18.392Z"
"aspenchef.bsky.social","Happens every #caturday. If you know this fella, please have him DM Betty so I can have my computer back. Thanks 😻","2026-02-07T17:29:20.384Z"
"aspenchef.bsky.social","Looks like a nice chill #caturday eve on the home-front . Hope everyone has a great weekend!😀","2026-02-07T01:11:04.840Z"
"aspenchef.bsky.social","Finally, some good news for those who need it..... Girl Scout cookies go on sale Saturday!","2026-02-04T22:45:36.575Z"
"aspenchef.bsky.social","Hope everyone had a peaceful weekend 🕊️","2026-02-02T01:53:17.287Z"
"aspenchef.bsky.social","#caturday afternoon nap in the sun. Hope everyone is having an equally pleasant day","2026-01-31T19:39:12.091Z"
"aspenchef.bsky.social","Given all we have seen and heard lately, if we, as a society, will not stand up and demand justice for these courageous survivors, then what have we, as a society, become?","2026-01-31T14:21:58.117Z"
"aspenchef.bsky.social","Slow day in the cooking class today, most of the kids were out protesting. Waydago gang!!!!!","2026-01-31T00:47:17.727Z"
"aspenchef.bsky.social","Someone got a new gig already? Bahahaha 🤭😅🤣","2026-01-29T02:41:57.288Z"
"aspenchef.bsky.social","“Melania” is truly the worst experience I’ve had in a theater” -Abraham Lincoln","2026-01-29T02:24:27.091Z"
"aspenchef.bsky.social","This might sound a little trippy, but please hear me out. If I was some sort of extraterrestrial, impartial, observer writing an essay about the last century on the planet earth, I think I would entitle it """"Deja Vu All Over Again""""","2026-01-27T04:09:35.499Z"
"aspenchef.bsky.social","Hihihi. Action doggies!","2026-01-26T02:22:52.148Z"
"aspenchef.bsky.social","Finally got some much needed snow here in Co., but the #caturday porch party came together as planned!","2026-01-24T21:49:25.347Z"
"aspenchef.bsky.social","Saturday Dance Party 💃🕺💃🕺💃🕺💃🕺💃 Everyone share a dance gif and follow each other. 🕺💃🕺💃🕺💃🕺💃🕺 Repost Repost Repost 💃🕺💃🕺💃🕺💃🕺💃","2026-01-24T16:35:28.526Z"
"aspenchef.bsky.social","Can’t decide which tastes better, a cold beer after mowing the grass, or a hot cocoa after shoveling the snow","2026-01-24T15:56:30.489Z"
"aspenchef.bsky.social","Wouldn't it be hilarious if everybody, and I mean everybody boycotted World Cup?","2026-01-24T02:01:58.796Z"
"aspenchef.bsky.social","It’s #caturday eve, can Betty come out to play?","2026-01-23T00:42:01.183Z"
"aspenchef.bsky.social","Why does the neighbor’s cat get the best seat on the porch? Must be #caturday again already","2026-01-17T17:53:54.987Z"
"aspenchef.bsky.social","Today,1/15/26 Yet another reason I love calling #colorado home","2026-01-16T00:20:04.360Z"
"aspenchef.bsky.social","I wonder sometimes just what it will take for people to stop telling me I'm over-reacting","2026-01-14T02:04:03.551Z"
"aspenchef.bsky.social","Sorry for the late post,a lot going on today. Happy #caturday to those who celebrate ✌️","2026-01-11T04:21:54.293Z"
"aspenchef.bsky.social","Thank You Bob 🌹🙏🕊️","2026-01-11T02:45:47.553Z"
"aspenchef.bsky.social","Freddy and Betty here, wishing everybody a happy first #caturday of the New Year ( to those who celebrate)😻😻","2026-01-04T01:23:10.608Z"
"aspenchef.bsky.social","I wonder if the nice lady with the weird laugh would have done this","2026-01-03T23:05:35.603Z"
"aspenchef.bsky.social","Early morning full moon over #Colorado","2026-01-03T14:46:46.354Z"
"aspenchef.bsky.social","Going way back, I was called a peacenik, then a tree hugger, later a bleeding-heart liberal. More recently, a libtard, woke, and /America hater. Now I'm radical left scum who should rot in hell. The more things change, the more they stay the same, but flattery will still get them nowhere.","2026-01-02T02:30:19.412Z"
"aspenchef.bsky.social","So if nothing else, in 2025 I was called radical scum and told I should rot in hell. Guess I must be doing something right. Cheers🥂","2026-01-01T01:58:00.472Z"
"aspenchef.bsky.social","Looking forward to the coming New Year?","2025-12-31T17:32:06.690Z"
"aspenchef.bsky.social","So tell me more about this whole “boxing day “ thing. Next year it falls on a #caturday and I want to be prepared","2025-12-27T16:52:14.113Z"
"aspenchef.bsky.social","Merry Christmas to those who celebrate, hope all is calm, and all is bright 🌲","2025-12-25T04:57:31.124Z"
"aspenchef.bsky.social","For those of you wondering why I'm here tonight, the alternative is watching the president of the United States of America host an awards show.","2025-12-24T02:01:58.123Z"
"aspenchef.bsky.social","Hope everyone had a nice relaxing weekend 🕊️","2025-12-22T00:20:03.583Z"
"aspenchef.bsky.social","Not complaining, but this doesn’t usually happen on the winter solstice around here","2025-12-21T23:31:51.713Z"
"aspenchef.bsky.social","So, if something gets """"redacted"""" after everyone has already seen it, does that mean we didn't actually see it, or are we just supposed to pretend we didn't?","2025-12-21T19:05:12.257Z"
"aspenchef.bsky.social","I know it's a ways off yet, but wouldn't Broncos v Bears make for a good super bowl?","2025-12-21T17:20:16.602Z"
"aspenchef.bsky.social","Hope everybody had a nice chill weekend 🕊️😀","2025-12-15T02:14:09.088Z"
"aspenchef.bsky.social","Freddy helping Betty get spruced up for #caturdy visit from the neighbor’s cat","2025-12-13T22:49:44.671Z"
"aspenchef.bsky.social","On the way home from work today, both sides of the road, about 50 or so","2025-12-08T23:00:22.580Z"
