"user","post","date"
"bearlypolitics.co.uk","Painstakingly researched article. UK is not so different from US, and not in a good way.","2026-02-18T11:19:47.478Z"
"bearlypolitics.co.uk","@bearlypolitics.co.uk ~ Orr, Farage and Lowe: The Civil War Brewing on Britain’s Right ~ https://www.bearlypolitics.co.uk/p/orr-farage-and-lowe-the-civil-war","2026-02-18T10:54:46.592Z"
"bearlypolitics.co.uk","If you wanted to design an Ouroboros for British politics in which the right-wing constantly eating its own tail, you’d struggle to do better than this. Orr deepens values politics. Lowe deepens purity politics. Farage walks down the middle waiting to tip asunder. FPTP punishes everyone.","2026-02-18T10:13:06.892Z"
"bearlypolitics.co.uk","The same James Orr that’s heading up the “Centre for a Better Britain”, previously known as “Resolute 1850”, a think tank that has some seriously dodgy plans? Now working as the senior policy advisor to Farage? Yeah, that’s exceptionally dodgy.","2026-02-18T07:53:36.127Z"
"bearlypolitics.co.uk","Hi All, As a little heads up, there’s significant wobbles SA side, so stepping away from Bearly Politics for a few days to stabilise things. Wishing everyone a great week ahead, and hope to touch base by Friday. 🐻","2026-02-16T22:07:22.971Z"
"bearlypolitics.co.uk","I honestly think that we’re now at the point which we should probably just have the government do a search of its email server of any emails sent to Epstein from official government accounts. It feels to me as though his perverted hands were far more across things than is at all safe.","2026-02-14T10:30:45.130Z"
"bearlypolitics.co.uk","Latest odds on Nadhim’s man who looked like he may be violent & hadn’t slept for a week: The artist formerly known as Prince Andrew 2/1 John Inman 3/1 Lee Anderson 4/1 Ronnie Pickering 5/1 Thomas Frank 7/1 Me 7/1 Sir Jim Ratcliffe 8/1 Ann Widdecombe 9/1 Rylan 9/1 Chris Mason 20/1","2026-02-14T09:21:57.605Z"
"bearlypolitics.co.uk","If the Mandelson/Epstein files left you thinking, now more than ever, that “the system feels rigged”, you’re definitely not alone. Will Snell from @fairness.bsky.social joins Bearly Politics today to discuss how wealth inequality fuels that perception - and whether it’s perception at all.","2026-02-14T09:56:45.971Z"
"bearlypolitics.co.uk","The definitive post on the “Ratcliffe drama”. Look no further to find his ignorance exposed (he makes me wanna throw up)","2026-02-13T16:56:05.825Z"
"bearlypolitics.co.uk","I was raised in a British colony (Hong Kong) and I can absolutely attest to the difference between being colonised (by Britain) and being a coloniser (Britain), and to Sir Jim having absolutely no idea","2026-02-13T11:53:21.390Z"
"bearlypolitics.co.uk","Back of the net by @bearlypolitics.co.uk 👏👏👏👏👏 open.substack.com/pub/iratusur...","2026-02-13T11:41:43.612Z"
"bearlypolitics.co.uk","Nadhim Zahawi talking about walking past someone who looked like they hadn't slept in a week and being scared is just weapons-grade nonsense. That said, whenever I walk around London looking tired, I don't blame people for giving me a wide berth, so I suppose there is that.","2026-02-13T10:58:28.228Z"
"bearlypolitics.co.uk","Speaking from Australia I beg your pardon #WhoIsColonizedColonizer #UKOfThatCommonwealthColonizingThing","2026-02-13T10:02:22.621Z"
"bearlypolitics.co.uk","It's a delight to see Jim Ratcliffe taken to the cleaners so comprehensively and articulately. Have a read.","2026-02-13T10:06:43.620Z"
"bearlypolitics.co.uk","Speaking as an immigrant out of Monaco, Sir Jim Ratcliffe told us this week that Britain has been “colonised”. Except that Britain still writes its own laws, controls its own borders and governs its own migration system. Almost as though he doesn’t have the foggiest what he’s talking about.","2026-02-13T09:44:33.024Z"
"bearlypolitics.co.uk","This is the punch-down politics that have completely alienated me from Labour. When it goes beyond just scapegoating into actually legislating against migrants, you have to admit things have gone awry.","2026-02-12T20:07:07.304Z"
"bearlypolitics.co.uk","This week on Bearly Politics, @chadbourn.bsky.social has a look at art as the last line of defence when politics falters. From Chaplin to Dr Strangelove to Springsteen, he traces the history of cultural pushback - and asks pretty pertinently what’s missing now?","2026-02-12T08:04:39.200Z"
"bearlypolitics.co.uk","A crypto investor just donated £9 million to the Reform Party. Right now, billionaires can pour unlimited money into our elections, effectively buying our democracy. Think that's wrong? Add your name to call for a cap on donations today: you.38degrees.org.uk/petitions/ta...","2026-02-11T19:19:37.465Z"
"bearlypolitics.co.uk","Well he can fuck straight off.","2026-02-11T19:31:46.068Z"
"bearlypolitics.co.uk","Today I run the risk of annoying everyone. Starmer got the Mandelson appointment spectacularly wrong and deserves to be held accountable. I’m just not convinced that his resignation is the answer.","2026-02-11T07:51:39.137Z"
"bearlypolitics.co.uk","For people asking me about the loud tick-took that can be heard every time a picture of the PM comes up - I don’t know what I think. I’m not keen at all on the instability that his resignation will cause. But. It is seriously questionable that he hired Mandelson when he knew about the Epstein","2026-02-09T13:39:24.587Z"
"bearlypolitics.co.uk","The countryside story is really about the right wing press confecting outrage (and getting clicks) from virtually nothing, and a fair bit of dishonesty.","2026-02-09T10:00:43.622Z"
"bearlypolitics.co.uk","Is the British countryside really being “made less white” like we’re being told by The Telegraph? And can private medical insurance really replace the NHS? @monkemma.bsky.social and I discuss the above and more in the fourth episode of Bear and Monk Debunk - you can listen at the link below.","2026-02-08T18:22:17.767Z"
"bearlypolitics.co.uk","Is the British countryside really being “made less white” like we’re being told by The Telegraph? And can private medical insurance really replace the NHS? @monkemma.bsky.social and I discuss the above and more in the fourth episode of Bear and Monk Debunk - you can listen at the link below.","2026-02-08T18:22:17.767Z"
"bearlypolitics.co.uk","This Saturday morning’s long read comes from @markbraund.substack.com, and in it he revisits the political philosophy of John Rawls and asks what it still offers us in a world shaped by inequality, resentment, and fragile democracies. Thoughtful and really well worth your time. 🐻","2026-02-07T10:04:17.670Z"
"bearlypolitics.co.uk","A new post from me today, this one published at Bearly Politics. Thank you @bearlypolitics.co.uk. In it I examine the work of the American philosopher John Rawls and its relevance for the world today. www.bearlypolitics.co.uk/p/rawls-reve...","2026-02-07T09:38:06.548Z"
"bearlypolitics.co.uk","A quick small update from my teaspoonless serviced apartment in Manchester. Long and short of it, I have a new job! Whoop whoop! 🐻","2026-02-05T08:05:43.676Z"
"bearlypolitics.co.uk","So, sadly The Rest is Politics USA is well off my list of podcasts that I listen to. There is just no good reason for Anthony Scaramucci to have still been in contact with Epstein. I’m not implying that he did anything criminal, but these messages are from 2018, long after Epstein’s first arrest.","2026-02-04T15:36:19.887Z"
"bearlypolitics.co.uk","I am in a serviced apartment in Manchester, which is beautiful and I love it, BUT… There are no teaspoons. And I am fully scandalised. I just made myself a cup of coffee with what looked like a ladle. A ladle! Would it be wrong for me to just go buy some teaspoons for the flat? Or overbearing?","2026-02-03T21:32:49.296Z"
"bearlypolitics.co.uk","America is approaching a genuine inflection point: Phones, citizens and visibility on one side. State power, fear and authoritarian drift on the other. @claireaj.bsky.social brilliantly analyses where the US currently finds itself, and where we go from here. Well worth a read and a follow. 🐻","2026-02-03T12:58:19.892Z"
"bearlypolitics.co.uk","A damned good question.","2026-02-02T10:09:28.843Z"
"bearlypolitics.co.uk","The anatomy of Making America Obey Again—A must read from @bearlypolitics.co.uk tactics exposed, agenda exposed and how our biggest export is lies, lies, lies.","2026-01-31T14:33:25.112Z"
"bearlypolitics.co.uk","Heed the Warnings for USA and UK: """"This is what the normalisation of authoritarianism looks like in real time: state violence reframed as regrettable procedure, protest recast as existential threat, and dissent pre-emptively delegitimised as manipulation."""" #Project2025 #HeritageFoundation","2026-01-30T17:12:40.117Z"
"bearlypolitics.co.uk","Terrifying read Bear of how quickly the US has been turned into a country we no longer recognise as the land of the free. What scares me more is that it’s also happening here in full sight of our government and being promoted by journalists from organisations we used to trust.","2026-01-30T10:44:45.784Z"
"bearlypolitics.co.uk","@bearlypolitics.co.uk clearly explains the final stage of The Telegraph's descent into pure propaganda vehicle for the far right open.substack.com/pub/iratusur...","2026-01-30T11:07:56.190Z"
"bearlypolitics.co.uk","The Telegraph is at it again - this time publishing what can only be described as weapons-grade propaganda straight from the Heritage Foundation. Because of course they did.","2026-01-30T10:39:23.847Z"
"bearlypolitics.co.uk","Horrified by Trump’s ICE thugs? Farage has similar plans for the UK. Chilling stuff here courtesy of @bearlypolitics.co.uk… open.substack.com/pub/iratusur...","2026-01-29T17:36:29.521Z"
"bearlypolitics.co.uk","A small personal update from my side, a de facto out office and a huge thank you to everyone both on here and over on Bearly Politics for all the incredible support over what has been a very difficult few months. I honestly could not have done it without you guys. See you all next week! 🐻","2026-01-29T13:20:29.157Z"
"bearlypolitics.co.uk","Grateful to @bearlypolitics.co.uk for the space to explore this: What happens when governments prioritize deportation numbers over accuracy? My piece on the Reform UK’s ICE-inspired enforcement plans and why the risks go beyond immigration 👇","2026-01-29T11:25:50.218Z"
"bearlypolitics.co.uk","So weird how standing up to a would-be authoritarian bully is really popular. Almost like voters respond to competence, backbone, and not treating them like idiots. I can think of a few politicians in the UK who should be taking notes from Mr Carney.","2026-01-29T11:07:36.519Z"
"bearlypolitics.co.uk","Very good article Affects ALL of us with the label ‘immigrant’ but - make no mistake - also every single UK citizen, whether you were born here or not And I am under no illusion that just because many of us fall under the EU/UK withdrawal a’ment we’d s’how be safe… Farage will try and rip it up","2026-01-29T10:14:05.310Z"
"bearlypolitics.co.uk","Reform's immigration policy is unworkable, uncosted, unimaginably cruel. We don't want the same thing happening here as happened in Minneapolis. Migrants are people, they're our neighbours, care workers, delivery drivers, our colleagues, friends, even us. Reform could deport ME after 35 years here!","2026-01-29T09:59:54.019Z"
"bearlypolitics.co.uk","I've subscribed to Brown reporter's RSS feed, because this sort of thing ↓ seems to be in the right place for me.","2026-01-29T09:40:50.291Z"
"bearlypolitics.co.uk","What happens when the state builds machinery designed to prioritise numbers over accuracy? A reader contribution from @brownreporter.substack.com on Reform's ICE-inspired enforcement plans, and why the risks go far beyond just immigration policy - and why our track record could make it even worse.","2026-01-29T09:22:12.873Z"
"bearlypolitics.co.uk","@bearlypolitics.co.uk is right - Matt Goodwin is the worst possible choice of candidate for Gorton & Denton, possibly except for whoever the tories put up. Let's hope the voters there agree with us. open.substack.com/pub/iratusur...","2026-01-28T12:08:46.224Z"
"bearlypolitics.co.uk","Neither Reform UK nor Matt Goodwin speak for the working class - the former because of policy, the latter because of misplacement. The veneer is starting to turn transparent, and voters in Gorton and Denton deserve better than the culture-war politics that are the only thing on offer.","2026-01-28T11:58:24.003Z"
"bearlypolitics.co.uk","If you can find 15 minutes today, please read this piece by @adamserwer.bsky.social in @theatlantic.com. This is one of the best, most human accounts on the rising authoritarianism in the US, and even more importantly, the steely resistance rising up against it in Minnesota. Breathtakingly good.","2026-01-28T06:39:56.217Z"
"bearlypolitics.co.uk","Episode 3 of the podcast by the Bear (@bearlypolitics.co.uk) and Emma (@monkemma.bsky.social) is quite brilliant. I urge you to listen to it. You can do so here. monkdebunks.substack.com/p/no-go-lond...","2026-01-27T20:29:10.703Z"
"bearlypolitics.co.uk","They’ve burst through the bottom of the proverbial barrel and now risk digging down to the water table.","2026-01-27T18:01:34.988Z"
"bearlypolitics.co.uk","“Each issue we now face was made. Deliberately. Recently and by the exact people who are now loudly pointing at the rubble, but strangely reluctant to discuss who was holding the sledgehammer”. Great blog as ever. There is suffering, exacerbated by global politics. But the people of UK are awesome.","2026-01-27T17:56:09.821Z"
"bearlypolitics.co.uk","Another great article by The Bear. If you're not following him, take yourself to one side, have a quiet word with yourself and then hit his follow button. You won't regret it.","2026-01-27T17:47:14.574Z"
"bearlypolitics.co.uk","So, in the past 8 days since I updated you all on the State of the Bear (my monthly accountability/feedback mechanism to you guys) I have, somehow, seen an increase from 110k views over 30 days to 150k, a 26% increase. What the hell is happening guys? (Also, thank you so much, I am very grateful)","2026-01-27T17:43:24.548Z"
"bearlypolitics.co.uk","I personally did not know about the Boar, but now I'm glad I do. A brilliant piece on the strategies used by the far-right to take advantage of the reactions to their own provocations. Really well worth a read. theboar.org/2026/01/cllr...","2026-01-27T14:55:50.803Z"
"bearlypolitics.co.uk","How long does everyone imagine it’s going to take Liz Truss to shamble her way over to Reform? Because she’s obviously next, right?","2026-01-27T12:36:10.342Z"
"bearlypolitics.co.uk","This parade of senior ex-Tory ministers brazenly telling us ‘Britain is Broken’ is ridiculous. Super piece here by @bearlypolitics.co.uk… open.substack.com/pub/iratusur...","2026-01-27T12:19:58.719Z"
"bearlypolitics.co.uk","There’s something weirdly convenient about discovering that Britain is broken only after you yourself have spent years running the place. A coincidence, I’m certain. (Warning: Swearier than usual).","2026-01-27T11:45:02.650Z"
"bearlypolitics.co.uk","Really is very good.","2026-01-27T09:16:48.129Z"
"bearlypolitics.co.uk","On your way to work and want some company? Let @monkemma.bsky.social and I join you for the ride with episode 3 of Bear and Monk Debunk. This week we discuss whether London is a post apocalyptic hellhole and the myth of the Muslim dog ban. In both cases, it’s mostly nonsense. Listen below 👇","2026-01-27T07:35:41.250Z"
"bearlypolitics.co.uk","So - quick question. We are now on episode three of Bear and Monk Debhnk, and @monkemma.bsky.social and I are enjoying the hell out of it. We’ve covered various issues, from ostriches to immigration to London itself, and would love to hear from everyone: What would you like us to cover next? 🐻","2026-01-26T20:24:11.833Z"
"bearlypolitics.co.uk","Listen & give this fledgling podcast a go. 😊 This week. No-go areas in London - nope (unless you're Trump). Last week a great episode debunking myths about immigrants in UK. Also you don't have to have a Substack account to click & listen.","2026-01-26T19:40:15.179Z"
"bearlypolitics.co.uk","Quote of the day? via BBC - Liberal Democrat deputy leader Daisy Cooper said """"Farage has recruited yet another Conservative minister with selective amnesia - one who complains about broken Britain while conveniently forgetting they helped break it."""" @bearlypolitics.co.uk @dorseteye.bsky.social","2026-01-26T18:30:07.585Z"
"bearlypolitics.co.uk","Is London really a fiery dystopian hellscape? Is Islam calling for Dog Bans? Do we only use 10% of our Brains? The answer is - no, no and also no. Episode 3 of Bear and Monk Debunk addresses both of these persistent myths with facts, context and just a mild bit of swearing. Out now.","2026-01-26T16:03:07.340Z"
"bearlypolitics.co.uk","Farage ‘Britain is Broken’ (So let’s hire everyone who broke it)","2026-01-26T12:33:52.147Z"
"bearlypolitics.co.uk","Oh look, Suella Braverman has also joined the retirement home for grievance filled Tories. If Reform UK is starting to look a lot like Conservatives 2.0, well… that’s because it is.","2026-01-26T12:23:45.479Z"
"bearlypolitics.co.uk","Seventeen breaches of disclosure rules by Farage with exactly zero consequences. The excuse? He's far too busy, important, overwhelmed and confused by computers. This, however, isn’t a one-off failure - it’s a system that now treats confusion and busyness as mitigation rather than misconduct.","2026-01-26T12:04:36.852Z"
"bearlypolitics.co.uk","This is deliciously meta. The most savage review of a class-coded savage review I've read in ages, possibly ever--one nicely rounded out with equally coded returned fire.","2026-01-23T11:30:06.377Z"
"bearlypolitics.co.uk","Glorious - Cultural Class Politics that gives Slavoj Žižek a run for his crypto - how to turn Waitrose customer reviews of bubbly into cultural commentary - nice one @bearlypolitics.co.uk. www.bearlypolitics.co.uk/p/you-are-mo...","2026-01-23T17:41:48.135Z"
"bearlypolitics.co.uk","This Substack post is such a clinically precise dissection of the British class system…","2026-01-23T17:58:45.923Z"
"bearlypolitics.co.uk","Best thing I've read this week","2026-01-23T12:08:25.211Z"
"bearlypolitics.co.uk","Who'd think a review of Pol Roger could elicit such a put down? H/tip to @bearlypolitics.co.uk for their article on class war in the Waitrose Cellar comments!","2026-01-23T09:57:13.914Z"
"bearlypolitics.co.uk","Had me howling. At both English Classism, and Bear's reaction to it x","2026-01-23T09:39:36.990Z"
"bearlypolitics.co.uk","“You are more a Prosecco person, I think” may just very well be the most devastatingly middle-class insult ever committed to text. All of this happened under a Waitrose champagne listing. The internet in Britain remains completely undefeated.","2026-01-23T09:35:46.588Z"
"bearlypolitics.co.uk","This could very well be the weirdest thing I’ve found on the internet. Ever. Below are comments on the Waitrose Cellar page for a Pol Roger Vintage bottle of wine. Champagne trolling. This is absolutely peak internet, and I love it so much. The bitchiness. The snark. The shade! Hotdogs?!","2026-01-23T07:26:34.984Z"
"bearlypolitics.co.uk","Thursdays are Reader Contribution days, and this week’s submission is from one of my favourite authors. It’s not strictly political in the usual sense, but Andy is my go to writer for when I want to feel a bit of hope in humanity again. If you need a break from chaos, this is it. 🐻","2026-01-22T08:10:49.664Z"
"bearlypolitics.co.uk","Always someone else’s fault. Strange that.","2026-01-22T07:48:16.734Z"
