"user","post","date"
"bege4.bsky.social","👇","2026-02-14T22:28:26.658Z"
"bege4.bsky.social","Unlike in Europe, officials in the U.S. with ties to Epstein have largely held their positions of power. trib.al/NS4Lf8H","2026-02-14T23:10:40.283464Z"
"bege4.bsky.social","When you’ve seen the polling","2026-02-13T23:02:44.536Z"
"bege4.bsky.social","""""If the SAVE Act Passes, Americans May Not Get Their Passports On Time in 2026"""" www.frommers.com/tips/news/if...","2026-02-14T00:33:51.671Z"
"bege4.bsky.social","I asked AG Bondi to turn around to the survivors in the room and apologize for not protecting their identities in the release of the Epstein files. She wouldn’t look at them. The way the DOJ has treated these survivors while conducting a massive cover up is absolutely disgraceful.","2026-02-11T19:46:12.585487258Z"
"bege4.bsky.social","NEGUSE: AG Bondi, that man works for you now, right? The man in that video from J6 yelling 'kill them!' at cops. His name is Jared Wise. BONDI: He does work for us, yes. I believe he was pardoned NEGUSE: And you expect hard-working police officers to believe you take law enforcement seriously?","2026-02-11T18:28:01.307Z"
"bege4.bsky.social","French headquarters of Elon Musk’s X raided by Paris cybercrime unit - examining “alleged complicity” in offences including the spreading of child abuse images & sexually explicit deepfakes, the denial of crimes against humanity + .. www.theguardian.com/technology/2...","2026-02-03T12:33:51.392Z"
"bege4.bsky.social","Her job is to fabricate 2020 foreign election interference to justify trump seizing voting machines in upcoming elections, and justify the nationalization of elections so he can control them.","2026-02-03T04:35:26.055Z"
"bege4.bsky.social","Ya' Think??!!!","2026-02-03T00:41:56.183Z"
"bege4.bsky.social","Cruelty is big business","2026-02-03T02:57:53.373Z"
"bege4.bsky.social","Congress appropriated $257 million to renovate the Kennedy Center before Trump shut it down. Follow that money and see where it goes.","2026-02-03T11:47:37.301Z"
"bege4.bsky.social","AOC: Why haven’t so many people been prosecuted? Why are Pam Bondi and the DOJ continuing to hide the majority of the Epstein files, which they admit contain even more direct evidence of genuinely shocking crimes and abuse of women, minors, and increasingly men…","2026-02-03T01:34:34.144Z"
"bege4.bsky.social","How did they redact abusers but not the victims? And they expect us to believe 40 nude photos went unnoticed? That’s exactly why people think the DOJ did this on purpose, to shame these women for coming forward.","2026-02-03T06:42:25.633Z"
