"user","post","date"
"berkshirebetsy.bsky.social","Insane that this point even needs to be made 🤬","2026-02-12T21:21:56.163Z"
"berkshirebetsy.bsky.social","Good evening & TY Beth @bluestormcomin1.bsky.social 🌸🏈🌸🏈 @frida3rdact.bsky.social @athenagabriel.bsky.social @oceansettings.bsky.social @berkshirebetsy.bsky.social @dfh-1.bsky.social @mrsdeborahlynn.bsky.social @ramblinwheels.bsky.social @annabanana1307.bsky.social @rebelb1ue.bsky.social","2026-02-09T03:27:05.624Z"
"berkshirebetsy.bsky.social","Well this is depressing, which seems to be my baseline reaction to anything the rump crew does. 🤬‼️","2026-02-04T13:20:12.779Z"
"berkshirebetsy.bsky.social","This ⬇️‼️🔥","2026-01-30T21:46:51.323Z"
"berkshirebetsy.bsky.social","Hope this just released/then disappeared horrific incident from Epstein files involving Rump & a teenage girl gets serious traction. Don’t forget for a second what a horrible human he is. He must be impeached & held accountable!🤬‼️🔥","2026-01-30T19:13:10.643Z"
"berkshirebetsy.bsky.social","Better late than never, I guess. Hope it catches on and the media stops using all those caveat phrases like ‘appears to be’ to water down the horror of what is going on.","2026-01-26T13:45:52.984Z"
"berkshirebetsy.bsky.social","This ⬇️🔥‼️","2026-01-26T13:41:13.495Z"
"berkshirebetsy.bsky.social","In solidarity with today's ICE OUT OF MINNESOTA blackout, MinnMax is donating $1 to the Immigrant Law Center of Minnesota for every share of this Bluesky post for the next hour.","2026-01-23T16:01:32.204Z"
"berkshirebetsy.bsky.social","A bright spot to be in this group!!! Tnx Ray Kwong! My part of New England is preparing for record snow, which will be worth it if it keeps ice off our streets","2026-01-23T13:29:08.592Z"
"berkshirebetsy.bsky.social","Best idea I’ve seen in ages. Could we also build a fake White House & move him into it?","2026-01-22T12:43:05.588Z"
"berkshirebetsy.bsky.social","And that should be the white guy’s final epithet.","2026-01-22T12:41:04.780Z"
"berkshirebetsy.bsky.social","To be fair, I’m not sure anyone could have predicted this total implosion 10 years ago, much less 250. We were a country of optimists and we are struggling with that loss.","2026-01-22T12:37:03.858Z"
"berkshirebetsy.bsky.social","Interesting advice. Plan is to give it a go though some reactions are so specifically tied to the man it will be a challenge. Signed, a few angry people 🤬","2026-01-17T23:47:41.074Z"
"berkshirebetsy.bsky.social","The American people want the Epstein Files, not Greenland.","2026-01-16T02:05:29.123Z"
"berkshirebetsy.bsky.social","All hail The General Strike set to start Tuesday January 20th, 2026!","2026-01-15T16:12:23.687Z"
"berkshirebetsy.bsky.social","Truth ⬇️‼️🔥 Don’t sit this one out.","2026-01-15T16:08:49.555Z"
"berkshirebetsy.bsky.social","Very cool collection of peeps put together by Maureen!","2026-01-14T20:49:49.084Z"
"berkshirebetsy.bsky.social","MAGA goes abroad… cool! It’s bound to provide lots of hilarious moments as they navigate ‘foreign lands’ with ‘different customs’ and god forbid ‘different languages’","2026-01-14T18:13:01.627Z"
"berkshirebetsy.bsky.social","Feeling the need to acknowledge the overwhelming awfulness. I find it helpful to read history. It helps me to know that others have overcome evil in the past. And we will do so again. Just do all the things. Vote. Boycott. Peacefully march. Get a third space. Learn some skills. Read.","2026-01-11T11:09:02.712Z"
"berkshirebetsy.bsky.social","Wonder when rump’s rants will start attacking Renee Good, whose death at the hands of ICE insanity represents a turning point in this nation’s history that will eclipse & outlive the fat fascist.","2026-01-11T14:47:45.531Z"
"berkshirebetsy.bsky.social","When the people rise up in great numbers, they cannot and will not be ignored. ‼️🔥","2026-01-10T21:00:50.051Z"
"berkshirebetsy.bsky.social","Awwww, he looks so sad.","2026-01-10T20:56:24.385Z"
"berkshirebetsy.bsky.social","Hard to tell who is more of a danger, Rump who is convinced he’s extraordinary despite reams of proof he is just a creepy loser, or the Vance/Miller fools, so insecure they use anger & cruelty to protect their fragile ego, willing to tear the US down in the process. Pathetic.","2026-01-10T18:50:57.385Z"
"berkshirebetsy.bsky.social","Pretty pretty Towhee 💕","2026-01-10T14:39:01.433Z"
"berkshirebetsy.bsky.social","The clever Mr. Wong is spot on🔥‼️💙","2026-01-10T13:05:46.745Z"
"berkshirebetsy.bsky.social","Rump says to NYT “my own morality” is the only thing that can stop him, which is terrifying since he has no morality. 😠","2026-01-09T14:11:51.787Z"
"berkshirebetsy.bsky.social","Exactly how I feel about the state of things 🤣","2026-01-09T14:02:44.573Z"
"berkshirebetsy.bsky.social","This ⬇️ ‼️🔥","2026-01-09T13:56:18.303Z"
"berkshirebetsy.bsky.social","Is it my imagination, or is the daily dump of outrageous behavior by the current administration expanding exponentially? I feel like I’m entering a massive meltdown stage, cannot believe this is my country. 🤯🤯🤯","2026-01-08T18:42:05.373Z"
"berkshirebetsy.bsky.social","I swear raykwong is a mind reader. Definitely the mood of the moment in an upside down world🙃","2026-01-07T03:59:22.357Z"
"berkshirebetsy.bsky.social","Genius 🔥‼️⬇️","2026-01-06T00:20:54.212Z"
"berkshirebetsy.bsky.social","First perk of 2026, being in with the in-crowd, 🙏🙏🙏 Ray‼️","2026-01-03T13:22:32.425Z"
"berkshirebetsy.bsky.social","There are so many names I’ve heard that I wish I never had. Bari Weiss is near the top of a very long list. 🤮","2026-01-02T22:20:22.705Z"
"berkshirebetsy.bsky.social","May all these 2026 predictions come to pass. 🤞‼️🔥","2026-01-02T22:17:55.602Z"
"berkshirebetsy.bsky.social","Rump’s ‘health & cognitive’ updates sound more like a kindergarten teacher than any doc I’ve ever encountered. Rump’s reaction also sounds like a kindergartener. Soon he’ll be trying to convince us he’s ’a very good boy’ because his staff said he is…","2026-01-02T21:02:51.202Z"
"berkshirebetsy.bsky.social","And roughly 40+ million Americans will cheer alongside you‼️","2026-01-02T17:05:35.162Z"
"berkshirebetsy.bsky.social","Great pack peeps, everyone deserves a follow.","2026-01-02T02:46:44.373Z"
"berkshirebetsy.bsky.social","May the midterm vote look exactly like this. Those who love & believe in democracy need to show up in massive numbers, so huge they cannot be ignored or denied 🤞","2026-01-02T02:44:41.712Z"
"berkshirebetsy.bsky.social","Still loving the continuing Newsom rump roasting‼️🔥","2026-01-01T23:21:34.114Z"
"berkshirebetsy.bsky.social","Exactly this ⬇️‼️ the only thing any of them should be dealing with is their court dates or incarceration date 😡","2026-01-01T18:55:11.189Z"
"berkshirebetsy.bsky.social","In a time when there’s not much to laugh about, this hit the spot 🤣🥳","2025-12-31T18:42:14.061Z"
"berkshirebetsy.bsky.social","‘Tis true. Can someone issue a ‘cease & desist’ order, please!","2025-12-31T14:29:20.086Z"
"berkshirebetsy.bsky.social","What Keaton created a 100 years ago as a comedy has become our national tragedy. I want a better narrative for US/us 😢","2025-12-31T14:24:11.505Z"
"berkshirebetsy.bsky.social","Sounds like an excellent plan, if MAGA departs the cleanup will be so much quicker.","2025-12-28T02:56:27.297Z"
"berkshirebetsy.bsky.social","Good morning from the Berkshires! Nothing quite like waking up to a blanket of fresh snow, the quiet beauty of it is so hopeful, all those harsh voices of hate disappearing into distant memories.","2025-12-27T12:47:30.188Z"
"berkshirebetsy.bsky.social","Really hope 2026 is a very good year, and unlike 2025 in every possible way. Just putting it out there for consideration in case the universe is still weighing it’s options 🤞🤞🙏🥶","2025-12-26T19:56:48.062Z"
"berkshirebetsy.bsky.social","From climate change to criticism, somehow rump thinks if we don’t or can’t talk about it, the problem ceases to exist. There are toddlers who have more critical thinking skills than the president.","2025-12-24T13:21:25.876Z"
"berkshirebetsy.bsky.social","A heron in its natural setting. The essence of calm & collected. Perfect shot!","2025-12-24T13:16:48.058Z"
"berkshirebetsy.bsky.social","This ⬇️ is 🔥🔥🔥‼️","2025-12-21T13:30:57.499Z"
"berkshirebetsy.bsky.social","Golden-hooded Tanager visiting at @tapirvalley.bsky.social #CostaRica #birds #nature","2025-12-20T16:13:06.150Z"
"berkshirebetsy.bsky.social","Perfect for the season of good cheer!","2025-12-19T14:22:37.350Z"
"berkshirebetsy.bsky.social","What a beauty; no glam squad needed! 🙏 Ron McIntyre","2025-12-19T14:19:28.745Z"
"berkshirebetsy.bsky.social","Love being part of the great pack!","2025-12-19T14:11:20.776Z"
"berkshirebetsy.bsky.social","It’s definitely rump’s greatest weakness, he would throw anyone -including wife & kids- under the bus to save himself.","2025-12-18T18:15:24.658Z"
"berkshirebetsy.bsky.social","I watched a 30 second clip of rump’s screaming rant, a new level of insanity I can do without.","2025-12-18T13:49:58.854Z"
"berkshirebetsy.bsky.social","No snow in sight! Just the escape I needed 💙🙏","2025-12-18T13:42:46.734Z"
"berkshirebetsy.bsky.social","A beautiful bird with a cherry on top! Simply perfect 💕🦜","2025-12-17T18:22:43.920Z"
"berkshirebetsy.bsky.social","Rump seems to believe if he destroys the science of climate change, he will actually stop climate change. He is literally that dumb.","2025-12-17T04:22:09.751Z"
"berkshirebetsy.bsky.social","All the agents who know how to do basic FBI stuff have been fired or resigned because they can’t stomach ‘dear leader.’🤮","2025-12-16T20:15:25.089Z"
"berkshirebetsy.bsky.social","This mass shooting graphic is a searing indictment of US gun laws, or rather lack of them. We’re not just failing our children or the country but the world.","2025-12-16T16:43:58.809Z"
