"user","post","date"
"bethebluewave.bsky.social","The MAGA right says Charlie Kirk is a martyr for freedom of expression, but still want people to lose their jobs for criticizing his rhetoric.","2025-09-12T18:16:59.596Z"
"bethebluewave.bsky.social","True or False?","2025-09-09T13:26:42.151Z"
"bethebluewave.bsky.social","Describe.","2025-09-08T12:49:36.732Z"
"bethebluewave.bsky.social","Is Trump still alive? YES or NO","2025-09-04T13:47:29.952Z"
"bethebluewave.bsky.social","Do you remember? YES or NO","2025-08-26T11:12:54.709Z"
"bethebluewave.bsky.social","The worst 'art of the deal'. YES or NO","2025-08-21T20:52:26.711Z"
"bethebluewave.bsky.social","I bet Putin has the Epstein files. What do you think?","2025-08-19T15:27:17.420Z"
"bethebluewave.bsky.social","Paving over the Rose Garden and taking over the Kennedy Center (and vowing to slap Melania’s name on the Opera House) are just gratuitous acts of spite intended to inflict pain on the people he hates. The cruelty is always the point with that SOB.","2025-08-18T20:18:17.101Z"
"bethebluewave.bsky.social","Yes or No","2025-08-17T19:12:49.353Z"
"bethebluewave.bsky.social","Nothing says “tough on Russia” like giving Putin a red carpet, an air show, and a bro hug.","2025-08-16T14:12:29.061Z"
"bethebluewave.bsky.social","Describe","2025-08-15T14:29:06.319Z"
"bethebluewave.bsky.social","True or False","2025-08-14T19:31:17.415Z"
"bethebluewave.bsky.social","Describe..","2025-08-14T12:21:35.731Z"
"bethebluewave.bsky.social","True or False?","2025-08-13T22:23:42.686Z"
"bethebluewave.bsky.social","Is this true? YES or NO","2025-08-13T15:27:37.580Z"
"bethebluewave.bsky.social","True or False?","2025-08-12T10:43:20.556Z"
"bethebluewave.bsky.social","Agree or Disagree?","2025-08-11T21:42:28.183Z"
"bethebluewave.bsky.social","True or False?","2025-08-10T14:13:18.646Z"
"bethebluewave.bsky.social","Describe them with 3 words.","2025-08-09T16:49:40.648Z"
"bethebluewave.bsky.social","Is this the way you would say goodbye to Trump? YES or NO","2025-08-09T10:42:32.113Z"
