"user","post","date"
"bets2.bsky.social","Rest in peace and power. I am sad today. A giant has passed. Jesse Jackson stood for equality, justice, and truth. And did so much good.","2026-02-17T15:19:49.985Z"
"bets2.bsky.social","It's Time For Democrats to Embrace ABOLISH ICE and Reject AIPAC The Democratic Party will be rewarded by listening to its base and actually fighting for reform and change, including championing """"abolish ICE"""" and rejecting money from AIPAC. open.substack.com/pub/thelefth...","2026-02-17T01:08:53.129Z"
"bets2.bsky.social","Just do it.","2026-02-17T15:10:01.417Z"
"bets2.bsky.social","Apt. - - we are a pluralistic country. Don’t listen to Nazi talking points. Just ignore them. And VOTE. And call your Senators and Reps about important things. Keep it up. Call, call, call.","2026-02-17T15:08:19.663Z"
"bets2.bsky.social","Dismantle it all.","2026-02-17T01:25:43.319Z"
"bets2.bsky.social","I agree. There will be record numbers. Because we have read the assignment.","2026-02-17T15:01:46.758Z"
"bets2.bsky.social","Wow… a “flying palace” for Kristy Noem. I wonder why? All this spending must be adding up.","2026-02-17T15:00:31.316Z"
"bets2.bsky.social","This looks important. Do the names line up?","2026-02-17T14:56:06.394Z"
"bets2.bsky.social","Release ALL the Files AND the Videos! And whatever else is being hidden from us!","2026-02-17T03:23:52.299Z"
"bets2.bsky.social","Darren Indyke & Richard Kahn were Epstein’s lawyer & accountant. They are co-executors & beneficiaries of Epstein’s estate. Survivors have shared with the Committee that Indyke & Kahn knew of Epstein’s abuse & helped facilitate his crimes through their management of his legal & financial affairs.","2026-02-17T00:24:40.419Z"
"bets2.bsky.social","open.substack.com/pub/aaronpar...","2026-02-17T02:58:23.781Z"
"bets2.bsky.social","Uh-oh. Must should not be allowed to do this.","2026-02-17T03:17:51.257Z"
"bets2.bsky.social","In the Navy, NASA, and the Senate, I’ve served under many presidents whose integrity and dedication to upholding our Constitution made our country stronger. On Presidents’ Day, I’m especially grateful for the leaders throughout our history who’ve embodied those principles.","2026-02-16T19:34:46.915Z"
"bets2.bsky.social","So bad.","2026-02-17T03:14:59.040Z"
"bets2.bsky.social","""""I love the smell of napalm in the morning!"""" RIP Robert Duvall","2026-02-16T19:38:26.823Z"
"bets2.bsky.social","TONIGHT Please join me in a moment of HONOR, LOVE, & RESPECT Two Years Ago Today A HERO DIED ALEXEI NAVALNY 47 Years Old He Died fighting He Died for standing up to Putin His life dedicated to make his country free His life dedicated for the people Heartfelt condolences to his family","2026-02-17T02:12:15.167Z"
"bets2.bsky.social","Narrator: He has not been “totally exonerated”","2026-02-17T02:21:45.230Z"
"bets2.bsky.social","2 months old? Oh, no! What is happening? Babies must have so much TLC! We need to find out right now what is happening and not lose track.","2026-02-17T03:09:21.621Z"
"bets2.bsky.social","#Pinks #ProudBlue Company in Hutchins, Texas will not sell warehouse to ICE. Protesting works! Do not let The Regime put a Concentration Camp in your town. Warehouses are not meant for humans! www.dmagazine.com/micropost/br...","2026-02-17T02:25:08.446Z"
"bets2.bsky.social","Good grief. Everyone knows they were just friends.","2026-02-17T02:40:23.352Z"
"bets2.bsky.social","To the good people of the United States of America...keep squashing those proposed detention centers. They. Cannot. Be. Built. They cannot.","2026-02-17T02:48:02.226Z"
"bets2.bsky.social","Great job, Governor Pritzker!","2026-02-16T02:23:53.054Z"
"bets2.bsky.social","😕 www.justice.gov/epstein/file...","2026-02-11T12:45:37.955Z"
"bets2.bsky.social","From Democracy Docket.","2026-02-14T12:20:55.339Z"
"bets2.bsky.social","Via NPR. Another death!","2026-02-14T12:19:03.505Z"
