"user","post","date"
"bigskybabs.bsky.social","There is an awful lot of email to read to/from Epstein at jmail.world","2026-02-10T22:38:29.383Z"
"bigskybabs.bsky.social","Does anyone know who is playing football at the Green Day / Bad Bunny concert?","2026-02-08T21:40:08.286Z"
"bigskybabs.bsky.social","Watching my friend's cat and snapped this pic. 🤣","2026-02-05T04:19:38.370Z"
"bigskybabs.bsky.social","@kqedforum.bsky.social I have thrown a consecutive monthly dinner party for the last 289 months and find that no matter what happens in life—divorce, pandemic, grief, or fascist takeovers—that filling my house with people I love and feeding them, makes the world right again, if only for a few hours.","2026-02-03T18:41:15.677Z"
"bigskybabs.bsky.social","friend of mine is an undocumented immigrant and has been hiding in Melania theaters bc he knows people assume no one is in there","2026-01-29T21:34:00.840Z"
"bigskybabs.bsky.social","...""""just men with guns who have to hide their faces to shoot a mom in the face and a nurse in the back.""""","2026-01-29T01:02:02.359Z"
"bigskybabs.bsky.social","Action is the antidote to despair. Instead of donating to our failing political parties, make a difference for Minnesotans directly affected by this nightmare. Make an online gift now www.wfmn.org/funds/immigr...","2026-01-28T22:34:18.255Z"
"bigskybabs.bsky.social","The pink coat lady speaks out. I hope Stella gets some trauma treatment. Know that if you witness a crime like this, you can tap a victim compensation fund to get help. My heart goes out to her. It stays with you forever when you watch someone die that way. 💔😭","2026-01-28T07:23:32.358Z"
"bigskybabs.bsky.social","I am not the least bit religious but when I hear a religious leader speak truth to power like Reverend Senator Warnock, it is a balm to my troubled soul.","2026-01-28T07:18:46.703Z"
"bigskybabs.bsky.social","How heartbreaking. Alex Pretti, just like George Floyd, Brionna Taylor, and Renee Good is all of us.","2026-01-28T07:14:50.411Z"
"bigskybabs.bsky.social","The number is 202.224.3121.","2026-01-27T16:27:00.386Z"
"bigskybabs.bsky.social","Walz' leadership is as stellar as we knew it would be.","2026-01-26T18:01:55.529Z"
"bigskybabs.bsky.social","Today is a great day to CALL your two senators and implore them to vote AGAINST the appropriations bill this week unless it strips ICE of funding. Tell them you would rather see a govt shutdown instead of more people being murdered. The number for all is 202.224.3121.PLEASE CALL","2026-01-26T18:00:40.626Z"
"bigskybabs.bsky.social","SF Bay Area peeps, a friend in disaster management said 100 ICE thugs are deploying in Alameda County. To try and blend in, they are wearing REI attire and driving Subarus. 🤣 As if. Keep an eye out and if you know which hotel is housing them, I would like to picket outside.","2026-01-25T18:57:16.754Z"
"bigskybabs.bsky.social","This is such powerful reporting.","2026-01-25T15:27:58.990Z"
"bigskybabs.bsky.social","www.instagram.com/reel/DT6H115... Sharing the vid from the lady in the pink jacket. I hope she is in hiding. TW.","2026-01-25T07:39:20.117Z"
"bigskybabs.bsky.social","Dear Democratic Party. Stop using these domestic terrorist attacks to ask me for money. I already pay you. Get louder. Stand stronger. Do what we elected you to DO, which is keep this regime in check. Seven of you cowards voted to fund this nightmare. You senators better not cave.","2026-01-25T04:54:44.919Z"
"bigskybabs.bsky.social","Be brave and relentless and call your 2 senators this week and implore them NOT TO FUND THIS EVIL GOVERNMENT until ICE is defunded. 202.224.3121 connects you to any and all. It's easier than hiding a family in your attic.","2026-01-25T03:38:21.700Z"
"bigskybabs.bsky.social","This is the energy I wanna see from Democratic leaders before they ask me for one more donation.","2026-01-15T15:54:56.977Z"
"bigskybabs.bsky.social","We could have had this guy as our VP. But NO...😥","2026-01-15T07:42:47.990Z"
"bigskybabs.bsky.social","I divested from Hulu and Spotify in the last couple of months. Always saw the evil of Amazon, so never supported them. Any other recommendations?","2026-01-15T04:05:43.860Z"
"bigskybabs.bsky.social","substack.com/@lvoldeng/no... Victims of Epstein and Trump are starting to speak out. Do you have the guts to listen? Part 2 is getting published soon.","2026-01-13T18:58:06.645Z"
"bigskybabs.bsky.social","Keep this bookmarked and handy and share widely:","2026-01-12T22:10:55.754Z"
"bigskybabs.bsky.social","This is what happens when power isn't held accountable for their actions. 🤬","2026-01-12T22:06:24.890Z"
"bigskybabs.bsky.social","Miss Yopps, a.k.a. Poppy Montgomery, enjoying very expensive heat coming out of the wall in front of her mini blue velvet sofa and pondering how to start a Cats Against ICE Militia. 😼","2026-01-12T06:20:14.073Z"
"bigskybabs.bsky.social","If you are against us going to war for oil, consider divesting from oil. EVs are amazing to drive, never need gas or oil. A charging station map will show you all the chargers that exist right near you. Yes, even you. #EVDriversKickGas","2026-01-03T23:30:15.212Z"
"bigskybabs.bsky.social","Okay, peeps. I just followed back everyone, finally. Thanks to everyone who threw me into their starter packs! It's been a slow start here on BlueSky but I am all caught up. Hope you are having a wonderful holiday season despite the looming threat of fascism.","2025-12-24T14:43:23.200Z"
"bigskybabs.bsky.social","Bari Weiss can go straight to hell and not collect 200 dollars. What a clown.","2025-12-24T03:56:07.967Z"
"bigskybabs.bsky.social","What Betty said. 😬😡","2025-12-23T21:56:24.411Z"
"bigskybabs.bsky.social","Keep this circulating. The monsters are not the deportees, but those paying other countries to torture them in prison.","2025-12-23T18:24:12.822Z"
"bigskybabs.bsky.social","Got a nice little pile going! Yeah, no tree. Lost everything last year including decades of my ornament collection chosen thoughtfully with my kids every year, and I just can't.","2025-12-22T14:53:05.123Z"
"bigskybabs.bsky.social","She doesn't have balls. She has integrity and courage. #sharynalfonsi","2025-12-22T13:38:28.394Z"
"bigskybabs.bsky.social","If you want to do a full boycott of #CBS : Showtime, Smithsonian, Paramount+, Simon & Schuster, MTV, Nickelodeon, Showtime, TMC, BET, VH1, TV Land, Comedy Central, Pop TV, and large stakes in CW. Next, the main advertisers who pay for what has become a state propaganda network:","2025-12-22T13:33:30.197Z"
"bigskybabs.bsky.social","Why?","2025-12-22T01:44:27.646Z"
"bigskybabs.bsky.social","AGREED! Also, last Friday's episode on The Daily by NYT was an insightful podcast on the matter.","2025-12-22T06:15:10.360Z"
"bigskybabs.bsky.social","So, @cbsnews.com and @60minutes.bsky.social are a cowardly group of so-called journalists. Did I get that right?","2025-12-22T06:02:21.903Z"
"bigskybabs.bsky.social","Santa Con San Francisco is always a highlight of my year. This year we donated 15-20 toys to SFFD for Toys for Tots and gave out 250 little gifts to random strangers.","2025-12-14T05:33:26.831Z"
"bigskybabs.bsky.social","I swear, Santa! I have been a veeeerrrry good girl. 😉","2025-12-13T05:27:20.621Z"
"bigskybabs.bsky.social","Today would be a great day to call 202.456.1111 and demand the release of the unredacted Epstein files. Saying it here really does nothing. CALL the Whitehouse and make your voice be heard. They tally calls by topic.","2025-12-12T15:27:35.983Z"
"bigskybabs.bsky.social","Remember kids, Santa is just another man getting credit for the unpaid labor of a woman behind the scenes.","2025-12-11T17:27:58.686Z"
"bigskybabs.bsky.social","Whomever requested the noods, here they are. #whatveganseat","2025-12-10T02:36:41.907Z"
"bigskybabs.bsky.social","Cranberry sauce is the chutney of America. Fight me.","2025-11-27T07:31:42.539Z"
"bigskybabs.bsky.social","Wanna shop for a better world? That starts with ditching Amazon, Target, and Walmart. I want you to write down these 2 websites that will help you break your Amazon addiction and actually make the world better. Are you IN?!","2025-11-25T20:14:22.276Z"
"bigskybabs.bsky.social","White people who have never had mac-n-cheese at Thanksgiving, you need to cultivate some black friends. 😉","2025-11-25T16:37:20.753Z"
"bigskybabs.bsky.social","Let's focus on the good people in these times.","2025-11-25T01:46:44.303Z"
"bigskybabs.bsky.social","Incredibly clever protest method. Take note.","2025-11-23T15:50:32.999Z"
"bigskybabs.bsky.social","😳","2025-11-23T08:13:31.534Z"
"bigskybabs.bsky.social","If you wanted to look at Epstein's birthday book click the jolded word """"here"""" and open PDF 1: oversight.house.gov/release/over...","2025-11-21T07:44:19.627Z"
"bigskybabs.bsky.social","Poppy says she'll cut a certain piggy if we need her to. 😼","2025-11-20T23:11:06.195Z"
"bigskybabs.bsky.social","Find a spine!","2025-11-20T20:56:15.172Z"
"bigskybabs.bsky.social","It's about the girls these women once were. Let's stand up for them as we should have back then. #releasetheEpsteinFiles","2025-11-17T18:04:23.644Z"
"bigskybabs.bsky.social","Let's not focus on the salacious news that Trump blew Clinton. What happens between grown men doesn't matter. What men do to girls, does. #ReleaseTheEpsteinFiles","2025-11-14T20:43:45.544Z"
"bigskybabs.bsky.social","Today would be a good day to call the Whitehouse and tell them to stop protecting pedophiles. They log calls by topic. Put the pressure on Repubs to TURN ON TRUMP. 202-456-1111","2025-11-14T19:10:45.372Z"
"bigskybabs.bsky.social","Here is a list of people I love, whom I would protect if their name was in the Epstein files:","2025-11-14T18:54:21.152Z"
"bigskybabs.bsky.social","So, did I hear this right? Bill Clinton is in the Epstein files because Trump gave him a BJ? I mean, we know Clinton loves those.","2025-11-14T08:32:16.838Z"
"bigskybabs.bsky.social","President (state your name) is the dumbest m-fer ever, and keeps getting dumber, which I didn't think was possible.","2025-11-11T20:56:28.627Z"
"bigskybabs.bsky.social","I would like to thank my two senators for not being weak-ass Dems: @schiff.senate.gov and Senator Alex Padilla. I see, and appreciate you standing strong against this fascist regime.","2025-11-11T06:15:05.615Z"
"bigskybabs.bsky.social","Just a friendly reminder that you can look up donations to any candidate, including weak-ass Dems, at fec.gov/data by name. For instance, if you want to see who the late Jeffrey Epstein donated to. 😉","2025-11-11T05:00:38.481Z"
"bigskybabs.bsky.social","Frank Sinatra Junior 😉 is such a stellar human being and thorough reporter I can hardly stand it. Please heed his warning:","2025-11-11T03:25:26.823Z"
"bigskybabs.bsky.social","White families ARE the face of Trump's Hunger Crisis, statistically speaking...","2025-11-11T02:53:15.510Z"
"bigskybabs.bsky.social","Imagine us, giving Dems what we gave them last Tuesday, and having them screw us by trusting Republicans. #WeakDemsMustGo","2025-11-11T02:42:47.805Z"
"bigskybabs.bsky.social","The only thing you really need to ask yourself, is how much did the pardonees pay to be pardoned by their fellow criminal? #trumppardonscriminals","2025-11-11T02:08:35.593Z"
"bigskybabs.bsky.social","Oh, my gosh. I am so glad the Dems got a pinky promise from the Republicans on health care. What could POSSIBLY go wrong? 🙄😡","2025-11-10T21:04:55.110Z"
"bigskybabs.bsky.social","Another way I go #plasticfree is to buy flowers at my local farmers market, where the grower wraps them in paper and appreciates my patronage. Shopping locally also fights corporate greed.","2025-11-09T21:16:50.655Z"
"bigskybabs.bsky.social","I designed and am making my signs for tomorrow. #NoKings","2025-10-17T19:06:13.953Z"
"bigskybabs.bsky.social","I don't know about you, but my sign is going to say I love America but hate fascism. #nokingsprotest","2025-10-17T16:55:35.086Z"
"bigskybabs.bsky.social","Today would be a great day to call your democratic senators (2) and rep in Congress (1) to encourage them to stand strong during the shutdown so we don't lose healthcare subsidies. 202.224.3121 connects you to any and all. You don't even need to know their names.","2025-10-17T16:53:54.022Z"
"bigskybabs.bsky.social","I never pegged him as a full Brazilian wax sorta guy. #TimeMagazinecover","2025-10-15T00:43:50.186Z"
"bigskybabs.bsky.social","Images from my corner of this liberal hell scape:","2025-10-12T03:00:49.585Z"
"bigskybabs.bsky.social","Oh, so now they are shooting priests at peaceful protests with pepper balls in Chicago. 😡 #ourstreets","2025-10-08T15:02:41.169Z"
