"user","post","date"
"billierustymudd.bsky.social","newrepublic.com/post/200833/... 😂","2025-09-24T03:07:25.006Z"
"billierustymudd.bsky.social","@kaplanikids.bsky.social @billierustymudd.bsky.social @felicianmitzi.bsky.social @firehawkjw.bsky.social @yecats47.bsky.social @merlinmm.bsky.social @journeyled1.bsky.social @conormcl2025.bsky.social @climbtotheclouds.bsky.social @stephen5150.bsky.social @raykwong.bsky.social @gr3te.art","2025-09-22T13:53:51.246Z"
"billierustymudd.bsky.social","Good morning. Got any eggs?","2025-01-27T13:39:42.078Z"
"billierustymudd.bsky.social","Good am and wishing you all an empowering start to your week.🌅💪🌞💪🌞💪☕ The polar vortex is losing grip around here so will be nice to walk around \ visit with our squirrel tree buddies longer. They were playing in the sun yesterday afternoon.🐿🌞🐿 Enjoying the whole fam together before they move on.💖","2025-01-27T13:19:08.114Z"
"billierustymudd.bsky.social","Snow kittens","2025-01-08T13:41:02.862Z"
"billierustymudd.bsky.social","Creep!","2025-01-08T13:57:07.524Z"
"billierustymudd.bsky.social","LEAVE CANADA ALONE! LEAVE GREENLAND ALONE! LEAVE THE GULF OF MEXICO ALONE! FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP FUCK DONALD TRUMP","2025-01-07T23:35:50.433Z"
"billierustymudd.bsky.social","Fantastic list of soon to be friends and allies. A huge thank you to @kingresist.bsky.social for his dedication to joining us all together. 💙💙VET 👟👟FOLLOW 🦋🦋SHARE","2025-01-08T06:32:35.459Z"
"billierustymudd.bsky.social","Have a great day 💙","2025-01-08T13:44:06.567Z"
"billierustymudd.bsky.social","Happy New Year 🎆","2025-01-01T11:55:50.186Z"
"billierustymudd.bsky.social","Have a wonderful day 💙","2024-12-25T13:42:41.480Z"
"billierustymudd.bsky.social","Good am and happy Monday of Holidaze week!🌅☕🎄✨🎉 Hugs if you are lonely or have the opposite problem \ pleasure of a bunch of guests.💖🙏😉 Hope you get through the challenges. Dad thought weather was too sketchy so staying up North. We will be chilling just ourselves.😋🎄😋 Cheers to a great start!🐿☕🎼☕🐿","2024-12-23T13:07:11.881Z"
"billierustymudd.bsky.social","Happy Monday friends 👋 Let’s meet more friends by dropping a 💙 I random boost participates. #FbrParty 🐾🎉 Repost","2024-12-23T13:16:17.544Z"
"billierustymudd.bsky.social","They always are what they accuse their opponents of. Is OANN going to still have a show featuring a pedophile?","2024-12-23T14:20:39.874Z"
"billierustymudd.bsky.social","Friends 93💙 @mikefischer.bsky.social @irish-pickle.bsky.social @garrison55.bsky.social @yellowdogtrueblue.bsky.social @dem4ever.bsky.social @bethdut.bsky.social @dalewalls1.bsky.social @mary1kathy.bsky.social @rubicon1313.bsky.social @aseanbusiness13.bsky.social @gdad1x7.bsky.social 🙏RP/LET’S GROW🌊","2024-12-22T18:26:34.736Z"
"billierustymudd.bsky.social","Oh cmon !! lol","2024-12-22T09:59:42.695Z"
"billierustymudd.bsky.social","#FuckElon","2024-12-23T02:45:17.528Z"
"billierustymudd.bsky.social","Good morning 🎄","2024-12-11T13:24:20.526Z"
"billierustymudd.bsky.social","@lawrencemary.bsky.social @energyis.bsky.social @jwells1.bsky.social @allyship.bsky.social @arthistorytraveler.bsky.social @annettebeebe.bsky.social @michsupermario.bsky.social @oldenoughtoknow.bsky.social @coko.bsky.social @bluestormcomin1.bsky.social @filosia.bsky.social @juliindica.bsky.social","2024-12-10T13:56:40.367Z"
"billierustymudd.bsky.social","@lmhl22.bsky.social @cotol17.bsky.social @auntren.bsky.social @martheresister.bsky.social @resisterchic.bsky.social @drios1111.bsky.social @justmesara.bsky.social @vegasdiva.bsky.social @nightridet.bsky.social @bluestormcomin1.bsky.social @ltwlauren.bsky.social @jorielovesoliver.bsky.social","2024-12-10T13:56:40.366Z"
"billierustymudd.bsky.social","#TacoTuesday🐾🌮 @adajah55.bsky.social @murmalerm.bsky.social @laurieauch.bsky.social @bluestormcomin1.bsky.social @missjoy1965.bsky.social @annkoplow.bsky.social @lownewser.bsky.social @staffanbroman.bsky.social @shaysbullfrog.bsky.social @cudala5.bsky.social @ltwlauren.bsky.social @coko.bsky.social","2024-12-10T13:56:40.361Z"
"billierustymudd.bsky.social","Happy Tuesday friends 👋 If you want to meet #TrueBlue friends drop a 💙 Don’t miss out on our #TacoTuesdayNightParties this evening. The schedule of hosts to be posted later today. Have an awesome day. Repost","2024-12-10T12:30:54.755Z"
"billierustymudd.bsky.social","Elon is on X every day posting about low birth rates. Yet, our elected officials are trying to make our children sick and possibly die. None of this makes any sense.","2024-12-07T11:25:10.496Z"
"billierustymudd.bsky.social","pete hegseth doesn't want women to serve in combat roles yet he has his mother out here fighting his battles....","2024-12-05T01:23:48.436Z"
"billierustymudd.bsky.social","President Joe Biden is set to announce a pardon for his son, Hunter! www.nbcnews.com/politics/joe...","2024-12-02T00:28:27.846Z"
"billierustymudd.bsky.social","💯","2024-11-28T02:42:45.261Z"
"billierustymudd.bsky.social","Why? Because women are held to a different standard as we all seen reported throughout corporate news media. They gave a convicted felon, adjudicated rapist, congenital liar, racist, sexist, misogynistic, narcissist pig a pass. Denying the most qualified woman her rightful place in the Oval Office.","2024-11-28T13:07:29.083Z"
"billierustymudd.bsky.social","Happy Thanksgiving all!","2024-11-28T13:21:57.573Z"
"billierustymudd.bsky.social","Here are the good am nutty bunch!🐿🐿🐿 Happy chilly Tuesday! They sleep in longer if cold.❄ Gold belly mom on right and two of the smaller kids. The small one on ground is Runt I think. Newer baby at knot hole.🤗💖🐿 Love how this family keeps growing. Rooting for them!✨🐿✨","2024-11-26T13:51:37.380Z"
"billierustymudd.bsky.social","So it turns out a large number of people that voted for the convicted felon didn't realize that the affordable care act is Obama care and are concerned that they won't be able to get health insurance with pre-existing conditions. That's what happens when you vote against your own best interests.","2024-11-26T15:19:22.530Z"
"billierustymudd.bsky.social","Pretty messed up 😒","2024-11-26T15:08:33.364Z"
"billierustymudd.bsky.social","""""I would like to paint the way a bird sings. - Claude Monet","2024-11-26T14:50:13.355Z"
"billierustymudd.bsky.social","I grouch about some things, I can't help myself. I'm also a news junkie. But I am making a definite effort to post thoughtful, uplifting, positive, or silly things as well because they matter. They matter a lot.","2024-11-24T19:39:27.338Z"
"billierustymudd.bsky.social","If you are looking for a doomscrolling pal I’m not your gal. I refuse to lose one more day of my life to that Orange bastard. Am I giving up? Nope. But I’m going to spend my time on self care, lifting others and being informative w out fear.","2024-11-24T13:12:07.341Z"
"billierustymudd.bsky.social","My family is celebrating Thanksgiving today and Im sick 🤧","2024-11-24T19:01:00.862Z"
"billierustymudd.bsky.social","#FuckTrump #MAGA #MAGAts #MAGACultMorons","2024-11-14T20:20:30.456Z"
"billierustymudd.bsky.social","Despite all who try to say otherwise......","2024-11-19T06:44:06.284Z"
