"user","post","date"
"birdlady517.bsky.social","Start taking assets from this criminal….","2026-02-11T19:13:05.602Z"
"birdlady517.bsky.social","Canada paid for the bridge. How dumb is the 🍊❄️","2026-02-10T14:19:58.959Z"
"birdlady517.bsky.social","James Comer is bringing Hillary Clinton before his committee to testify about Epstein despite having zero contact with him, but not Epstein’s neighbor Howard Lutnick who lied about his connections to Epstein over many years which is proven in the files.","2026-02-04T01:36:03.037Z"
"birdlady517.bsky.social","How much more horrific testimony do we need to hear before something is done about this!","2026-02-04T18:35:35.283Z"
"birdlady517.bsky.social","It should not take a court order to get a toddler out of a prison.","2026-01-31T21:22:23.212Z"
"birdlady517.bsky.social","Minneapolis protester as he's being brutalized by feds: """"You're gonna have to kill me! You're gonna have to kill me! I've done nothing wrong! My name is Matthew James! I'm a US citizen! You're gonna kill me! Is that what you want?"""" (You can hear his wife screaming)","2026-01-24T17:37:17.543Z"
"birdlady517.bsky.social","I doubt Jack Smith is very worried about this - he’s smarter and a better lawyer than all of Trump’s personal lawyers","2026-01-22T23:18:30.891Z"
"birdlady517.bsky.social","LITERALLY","2026-01-22T23:16:21.366Z"
"birdlady517.bsky.social","""""Liam, age 5, was the fourth child in the district to be detained by immigration agents in the past two weeks, school officials said. """"Two of them are high-schoolers. """"One is a 10-year-old girl who was apprehended on her way to school..."""" www.nytimes.com/2026/01/22/u...","2026-01-22T19:50:46.453Z"
"birdlady517.bsky.social","Seems like this is something that a president should know.","2026-01-22T20:05:03.401Z"
"birdlady517.bsky.social","Let it snow","2026-01-22T17:16:30.647Z"
"birdlady517.bsky.social","They will do anything to not be caught up in the Epstein files. No matter what lives are lost or who we have to bomb in the process. It’s simple if we find out the truth on the Epstein files the GOP and all of them are going down including the supreme court. DO NOT BE QUIET NOW","2026-01-20T00:25:06.080Z"
"birdlady517.bsky.social","I flew down to south Texas today to do my job - investigate why people are dying in ICE detention centers. I was just illegally denied entry to Dilley Detention Center. Because they have something to hide.","2026-01-20T22:21:34.001Z"
"birdlady517.bsky.social","Federal agents are pulling over off duty cops based on the color of their skin. This is not a serious operation to enforce immigration law. It’s a performative show of force and it’s gotten way out of hand.","2026-01-20T23:51:03.158Z"
"birdlady517.bsky.social","Jonathan Ross","2026-01-18T21:05:08.501Z"
