"user","post","date"
"boboskiwatten.bsky.social","PLEASE HELP‼️ Share‼️🙏🏼🙏🏼🙏🏼","2026-02-16T02:07:37.482Z"
"boboskiwatten.bsky.social","#ProudBlue 💯💯💯 This motherfucker is #NotMyPresident","2026-01-31T16:05:33.608Z"
"boboskiwatten.bsky.social","“This isn’t a moment, it’s a movement”","2026-01-31T13:25:08.097Z"
"boboskiwatten.bsky.social","He isn’t IN the Epstein files he IS the Epstein files!","2026-01-22T16:08:47.018Z"
"boboskiwatten.bsky.social","Quite relevant👇","2026-01-20T21:46:17.081Z"
"boboskiwatten.bsky.social","#Caturday #SaturdayVibes","2026-01-17T23:06:03.946Z"
"boboskiwatten.bsky.social","So... Ford Co. *has suspended* that worker for exercising his constitutionally protected 1A rights to call out the Shit-Smear-in-Chief. <crosses Ford off list of companies that I'll be looking at to replace the Jeep later this year>","2026-01-14T11:36:13.948Z"
"boboskiwatten.bsky.social","👇👇","2026-01-10T16:45:39.829Z"
"boboskiwatten.bsky.social","Then they came for me happens faster than you think.","2026-01-10T04:26:16.711Z"
"boboskiwatten.bsky.social","EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN EPSTEIN","2026-01-08T17:43:22.305Z"
"boboskiwatten.bsky.social","Stephen Miller’s cousin 👇🏽","2026-01-09T03:43:07.695Z"
"boboskiwatten.bsky.social","🫤","2026-01-09T01:47:40.299Z"
"boboskiwatten.bsky.social","GERMAN PRESIDENT STEINMEIER: “.. the United States has broken with the values that it helped to establish .. “.. we have now moved beyond the stage where we can lament the lack of respect for international law or the erosion of the international order; we are far beyond that, I believe.”","2026-01-09T09:15:39.670Z"
"boboskiwatten.bsky.social","THIS 👇 IS TRUE....","2026-01-09T11:11:54.806Z"
"boboskiwatten.bsky.social","People used to think that “don’t get your panties in a bunch” was an insult. They obviously never thought about RBG and the other strong women who will find a way to pull us out of this mess.","2026-01-08T23:59:49.389Z"
"boboskiwatten.bsky.social","💙👏💙","2026-01-08T23:24:47.943Z"
"boboskiwatten.bsky.social","Oh my gosh you guys! The House just passed my bill to extend the health care tax credits for three more years!","2026-01-08T22:39:29.041Z"
"boboskiwatten.bsky.social","Jan 6th rioter: “You can't gaslight me. I was there — I saw the officers being pepper sprayed. I watched one of them fall down & hit his head & his back — So don't be telling me it wasn't violent. Don't come to me with that ever again”","2026-01-06T19:57:58.695Z"
"boboskiwatten.bsky.social","The US is not Trump. The US hates everything he does, and he hates everything he does, too.","2026-01-06T07:34:39.342Z"
"boboskiwatten.bsky.social","💯","2026-01-06T03:08:09.546Z"
"boboskiwatten.bsky.social","Suits his troll ass well, stupid Nazi POS.","2026-01-06T18:30:28.331Z"
"boboskiwatten.bsky.social","🤣🤣","2026-01-05T19:13:01.345Z"
"boboskiwatten.bsky.social","🫤","2026-01-05T03:18:43.844Z"
"boboskiwatten.bsky.social","I’m up for my yearly physical soon. Sure hope I can nail that cognitive exam on the first try so that I don’t need to try twice more 😁 Just saying.","2026-01-02T21:44:04.586Z"
"boboskiwatten.bsky.social","Mamdani has only been Mayor for a day & criminals are already fleeing New York","2026-01-02T16:32:02.638Z"
"boboskiwatten.bsky.social","#TacoTuesdayParties 🥳🎉🌮 @keychain60.bsky.social @childeleven.bsky.social @suebeedoll.bsky.social @jillybeanee.bsky.social @soveryrepulsive.bsky.social @pattyger.bsky.social @ltwlauren.bsky.social @marcusvincetmusic.bsky.social @gnprepotting.bsky.social @boboskiwatten.bsky.social","2025-12-31T02:07:43.898Z"
"boboskiwatten.bsky.social","This is how you do it folks","2025-12-30T16:44:23.584Z"
"boboskiwatten.bsky.social","🏦","2025-12-29T02:14:45.717Z"
"boboskiwatten.bsky.social","Why? 🤔","2025-12-28T06:51:45.791Z"
"boboskiwatten.bsky.social","😯","2025-12-27T03:59:03.724Z"
"boboskiwatten.bsky.social","On behalf of everyone in The Resistance movement following the massive EPSTEIN coverup, I want to wish all my fellow Radical Left Scum the happiest of holidays!- ♥️, Mar🐫","2025-12-26T20:25:35.223Z"
"boboskiwatten.bsky.social","Top tier joke","2025-12-25T22:09:00.584Z"
"boboskiwatten.bsky.social","The reality of all of Trump's cabinet and all positions appointed by Trump.","2025-12-20T17:08:58.890Z"
"boboskiwatten.bsky.social","“It was not unanimous. I was muted and not allowed to speak.” 🤔","2025-12-18T22:51:50.304Z"
"boboskiwatten.bsky.social","Happy Friday! ☕️☔️😎☮️🎶💗","2025-12-19T11:04:45.871Z"
"boboskiwatten.bsky.social","Powerful","2025-12-18T03:44:00.057Z"
"boboskiwatten.bsky.social","To listen to him speak is to have the rare pleasure of envying the deaf #NotWatchingFotus","2025-12-17T22:08:34.367Z"
"boboskiwatten.bsky.social","😀","2025-12-17T02:31:43.047Z"
"boboskiwatten.bsky.social","www.friendlyatheist.com/p/oklahomas-...","2025-12-17T03:48:07.874Z"
"boboskiwatten.bsky.social","Today, I reviewed some of the classified Epstein files. They were disturbing & hard to review—but even harder for survivors to have experienced. The DOJ must follow the law & release the files, with protections for survivors. Our march towards healing, transparency, & accountability continues.","2025-12-17T02:48:40.651Z"
"boboskiwatten.bsky.social","🍁","2025-12-17T03:11:51.949Z"
"boboskiwatten.bsky.social","Lol 😅🤣😂","2025-12-16T23:28:31.250Z"
"boboskiwatten.bsky.social","www.youtube.com/watch?v=yfY4...","2025-12-17T03:19:01.336Z"
"boboskiwatten.bsky.social","Pithy","2025-12-16T03:55:51.119Z"
"boboskiwatten.bsky.social","Love Thy Neighbor Thy Homeless Neighbor Thy Muslim Neighbor Thy Black Neighbor Thy Gay Neighbor Thy White Neighbor Thy Asian Neighbor Thy Jewish Neighbor Thy Christian Neighbor Thy Atheist Neighbor Thy Disabled Neighbor Thy Addicted Neighbor","2025-12-15T20:28:44.734Z"
"boboskiwatten.bsky.social","Remember, we are not fighting for the “negro” alone but for the freedom of the Human Spirit a larger freedom that encompasses all mankind.- Ella Baker","2025-12-14T03:53:34.494Z"
"boboskiwatten.bsky.social","#ResistanceRoots Grace Hopper was born on this day in 1906 in New York City. Hopper was a Rear Admiral in the U.S. Navy and a pioneering computer programmer who was called “Amazing Grace” and the “grandmother of the computer age” for her innovative work. /1","2025-12-10T01:49:35.780Z"
"boboskiwatten.bsky.social","This banger will be played all of 2026. So happy my twin is running for senate. She will be fabulous there, just like she is fabulous in the house🔥🔥🔥 #SheShed","2025-12-09T21:09:51.226Z"
"boboskiwatten.bsky.social","😀","2025-12-08T02:55:36.264Z"
"boboskiwatten.bsky.social","🙂","2025-12-08T04:06:30.825Z"
"boboskiwatten.bsky.social","What are your Priorities tonight... Dec 3rd, 2025? Here are mine: 1) Get Rid of Trump and MAGA 2) Save Democracy at all cost for the US 3) Save and Reinforce our US Constitution at all cost. 4) Bring Justice back to the US 5) Expand SCOTUS! 6) Healthcare for Every single soul in America!","2025-12-04T03:36:32.693Z"
"boboskiwatten.bsky.social","Socialism is what they called public power. Socialism is what they called social security. Socialism is what they called the growth of free and independent labor organizations. Socialism is their name for almost anything that helps all the people. —Harry Truman, 1952","2025-11-21T17:15:27.760624Z"
"boboskiwatten.bsky.social","Does anyone else like fig newtons? They are such an unusual sweet and yet I love them.","2025-11-03T14:40:20.972Z"
"boboskiwatten.bsky.social","ABSOFUCKINGLUTELY 💯","2025-01-19T18:36:20.376Z"
"boboskiwatten.bsky.social","Dear World, We’re sorry. Sincerely, Sane, Decent Americans","2025-01-07T18:40:16.256Z"
"boboskiwatten.bsky.social","You have it easy, son !","2025-01-07T19:01:56.682Z"
"boboskiwatten.bsky.social","The bigger the dumpster, the brighter the fire","2025-01-02T06:46:56.785Z"
"boboskiwatten.bsky.social","Sounds fair to me!","2025-01-01T16:56:57.895Z"
"boboskiwatten.bsky.social","ABSOFUCKINGLUTELY","2025-01-02T01:32:41.392Z"
"boboskiwatten.bsky.social","Great description !","2024-12-30T15:59:01.900Z"
"boboskiwatten.bsky.social","It’s hard to believe.","2024-12-30T16:00:33.383Z"
"boboskiwatten.bsky.social","To my new followers : there are too many of you for me to follow back right away. But I will, just give me a little time. Oh, btw, thanks for following me, and thanks also to those who included me in their Starter Packs !","2024-12-27T05:54:59.011Z"
"boboskiwatten.bsky.social","After some Costco shareholders asked the company to end its DEI policies, this was their response: “Our board has considered this proposal and believes that our commitment to an enterprise rooted in respect and inclusion is appropriate and necessary."""" This explains why Costco is an industry leader!","2024-12-27T20:44:37.807Z"
