"user","post","date"
"bobresists.bsky.social","""""He can't do that. There's no legal or constitutional grounds for him to do that."""" Oh. Okay. Because that's definitely stopped him so far.","2026-02-17T20:18:09.261Z"
"bobresists.bsky.social","AOC on Randy Fine: “This is genuinely one of the most disgusting statements I have ever seen issued by an American official — It should not stop shocking us that the Republican Party openly embraces this — Fine should be censured & stripped of committees. To ignore this is to accept & normalize it”","2026-02-17T17:46:09.895Z"
"bobresists.bsky.social","Trump officials have blocked Minnesota law enforcement from accessing materials to investigate the death of Alex Pretti. They also refused to cooperate with Minnesota officials to investigate Renee Good’s death. What don’t they want the public to know?","2026-02-17T20:01:08.099411Z"
"bobresists.bsky.social","This is a bombshell: One of Epstein's victims accused Trump of sexually and violently assaulting her when she was """"13 to 15"""" and the FBI deemed her credible enough to warrant an interview.","2026-02-17T04:15:45.709Z"
"bobresists.bsky.social","Bari Weiss didn’t want you to see this","2026-02-17T14:49:18.163Z"
"bobresists.bsky.social","We’re going on tour! For the next two weeks before Election Day, we’re hitting the road — going everywhere and talking to everyone. It’s time to take back Texas. Join us: www.mobilize.us/talaricofort...","2026-02-16T19:00:11.143Z"
"bobresists.bsky.social","CBS pulling @jamestalarico.bsky.social’s interview from The Late Show with Stephen Colbert is alarming and nothing short of censorship. Full breakdown on my Substack page (link below). adamkinzinger.substack.com/p/emergency-...","2026-02-17T19:43:41.630Z"
"bobresists.bsky.social","""""In Pennsylvania, the Shapiro administration is warning federal officials that it will not issue required state permits for two planned immigration detention centers..."""" www.spotlightpa.org/berks/2026/0...","2026-02-16T18:52:20.943Z"
"bobresists.bsky.social","✋","2026-02-16T21:59:42.317Z"
"bobresists.bsky.social","""""The owners of a Dallas County warehouse that ICE had planned to use as a mega detention center said Monday it will not sell or lease the property to the federal government. “God answered our prayers,” the Hutchins Mayor said after learning of the decision... www.dallasnews.com/news/immigra...","2026-02-16T20:45:12.801Z"
"bobresists.bsky.social","Mark Warner, vice chair of the Senate Select Committee on Intelligence, on elections: In the past, we’ve mostly seen foreign interference — my bigger fear now is domestic interference, some of that potentially originating inside the administration.","2026-02-16T23:50:15.046Z"
"bobresists.bsky.social","US had almost *no* job growth in 2025. Hiring numbers were revised down by over a million jobs. Largest annual revision in over 20 years. www.nbcnews.com/business/eco...","2026-02-16T17:30:43.836Z"
"bobresists.bsky.social","For anyone keeping track of the Iran buildup, we’ve now sent more AWACS into theater. Curious to see how tomorrow’s talks go, but it’s pretty clear the administration isn’t planning for them to be good.","2026-02-17T00:40:17.197Z"
"bobresists.bsky.social","The 5 alarm fire in our Republic-who is showing up and meeting the moment? AOC, Newsom, Raskin, Swallwell, Crocket, Khanna. Who else- any names you want to add? What Democrats need to be primaried? I’m thinking most everyone over the age of 50. BTW I am 66.","2026-02-16T21:55:11.277Z"
"bobresists.bsky.social","Masked federal agents are killing Americans in the street and terrorizing our communities. Enough. I voted NO on bankrolling ICE's terror. And I introduced a bill that'll create the toughest independent watchdog to rein in ICE and stop the violence.","2026-02-16T18:11:23.823Z"
"bobresists.bsky.social","„Trump can not deny being part of the cover-up at this point. I’m the leading Republican pressing for the release of the Epstein files. That’s why he’s attacking me.“ GOP Rep. Thomas Massie","2026-02-15T17:17:57.414Z"
"bobresists.bsky.social","Among Democrats - """"Should Kamala Harris run for president again in 2028, or has she had her shot?"""" She had her shot: 66% She should run again: 34% Embold / Jan 16, 2026","2026-02-14T22:14:37.437Z"
"bobresists.bsky.social","Bomb threats in Springfield, Ohio. Much like what happened after Vance, Trump, and Nazis told lies about Haitians in September 2024. Reportage here. See my substack for background. www.springfieldnewssun.com/news/bomb-th...","2026-02-09T17:13:35.064Z"
"bobresists.bsky.social","Enraging that this took a court order: """"Catholic nuns and clergy had visited the facility for years, offering prayer services and holy communion to detainees during visitor hours. Trump Administration immigration authorities rolled back that access in September..."""" www.nytimes.com/2026/02/13/u...","2026-02-15T00:36:42.028Z"
"bobresists.bsky.social","www.nbcnews.com/news/us-news...","2026-02-15T06:23:33.367Z"
"bobresists.bsky.social","It makes me sad that the Olympics feel kind of fragmented now as a cultural event. I miss when everyone was watching the same thing, at the same time…reupping my piece on cultural touchstones open.substack.com/pub/asharang...","2026-02-15T21:38:39.313Z"
"bobresists.bsky.social","I think we are going to have a Democratic-controlled Senate. And all we will need for the leadership of that Democratic Senate to do is hold actual, real, impeachment trials. As the Constitution requires. Not the bullshit fake trials like the ones that the Senate held in 2020 and 2021...","2026-02-15T16:49:51.875Z"
"bobresists.bsky.social","The heads of Amazon, Alphabet, Meta, and Tesla all joined Trump at his inauguration. Since then, largely thanks to Trump's Big Ugly Bill, their companies have reaped $51B in federal tax breaks — paid for by huge cuts to our social safety net. This is what oligarchy looks like.","2026-02-15T19:00:08.028209Z"
"bobresists.bsky.social","My father died 10 years ago today. I still miss him. He was a good man. He was a loving husband and father. He was loyal and kind to his friends. He contributed to his community. Ed Reich would have loathed Donald Trump. https://robertreich.substack.com/p/sunday-thought-my-father-and-the","2026-02-15T15:29:03.735831Z"
"bobresists.bsky.social","The House GOP will do literally anything to avoid investigating what looks to be the largest pedo ring on the planet. Now they want to probe Bad Bunny’s Super Bowl appearance. Complicit clowns.","2026-02-13T16:33:51.288Z"
"bobresists.bsky.social","Major good news only update!! A Minnesota man helps reunite abandoned vehicles with their owners in Minnesota after ICE’s surge. The monks made it to DC. Medical break through and more. And, it was my one year anniversary of doing this full time! open.substack.com/pub/aaronpar...","2026-02-15T15:21:23.549Z"
"bobresists.bsky.social","www.commondreams.org/news/kristi-...","2026-02-14T22:03:58.620Z"
"bobresists.bsky.social","Robin Williams warned us about Donald Trump. We didn’t listen.","2026-02-15T14:01:10.217Z"
"bobresists.bsky.social","Idiot “leaders” playing idiot games. Thank you, Minneapolis… and extended apologies from all the sane people.","2026-02-15T11:25:11.997Z"
"bobresists.bsky.social","If the Democrats nominate @astroterry.bsky.social they will have a massively good shot at winning TX-9, a district they drew to be Republican. We have a shot to make Texas far more blue, and this is important. Vote Virts!","2026-02-14T21:32:09.045Z"
"bobresists.bsky.social","The crimes committed by ICE and CBP aren't accidents or outliers. They're the point. www.reuters.com/legal/govern...","2026-02-15T00:47:30.586Z"
"bobresists.bsky.social","Trump is saying that he will disregard Congress and issue an Excutive order that will violate the Constitution. Here is my promise: If he does that, we will sue and we will win. Just like we did the last time. www.democracydocket.com/news-alerts/...","2026-02-15T00:15:40.111Z"
"bobresists.bsky.social","That’s one reason I generally don’t like public hearings - it’s all grandstanding and soundbites. That being said, I think Dems did a good job making Bondi defend Epstein and obfuscate during the hearing - MAGA is lighting her up on social media. She looked really, really bad, but had no options.","2026-02-14T01:48:55.713Z"
"bobresists.bsky.social","I hope he or Ro will.","2026-02-14T01:53:24.723Z"
"bobresists.bsky.social","This is what a rigged economy looks like.","2026-02-14T23:01:11.038652Z"
"bobresists.bsky.social","Get it? See, it's funny 'cuz our President is a pathological liar who rarely, if ever, tells the truth.","2026-02-13T19:29:56.357Z"
"bobresists.bsky.social","I’m tired of the ignorance of voters saying “idk what the big deal is about requiring id to vote”🤦🏽‍♀️ ppl take a civics class & understand the 24th Amendment makes poll taxes ILLEGAL! Ah yes that word illegal. You can’t make ppl PAY for a document to vote… it violates the constitution, so no SAVE Act!","2026-02-13T14:48:54.837Z"
