"user","post","date"
"boomer2ou.bsky.social","Tell me why.. www.instagram.com/p/DURaUYjkRb...","2026-02-17T04:01:39.344Z"
"boomer2ou.bsky.social","This is what I call a real Cookie Monster!","2026-02-17T03:49:48.116Z"
"boomer2ou.bsky.social","Here is a man who represents the values of this great country..","2026-02-17T03:44:34.809Z"
"boomer2ou.bsky.social","“I LOVE IT”","2026-02-16T04:21:41.573Z"
"boomer2ou.bsky.social","The kind of people we all need to be, this shouldn’t be a political problem, this is an American solution! “”Let’s Do This”","2026-02-16T04:08:58.562Z"
"boomer2ou.bsky.social","Absolutely🤷🏽‍♂️","2026-02-15T00:04:38.099Z"
"boomer2ou.bsky.social","This administration didn’t get the memo🤔”Pricks”","2026-02-15T00:02:28.851Z"
"boomer2ou.bsky.social","“LOVE IT”","2026-02-14T23:59:16.110Z"
"boomer2ou.bsky.social","She’s gotta “GO”","2026-02-14T23:53:33.000Z"
"boomer2ou.bsky.social","Fascism is Nazism, “Period”","2026-02-14T23:40:08.032Z"
"boomer2ou.bsky.social","I would call it “TERRORISM”","2026-02-14T23:33:06.115Z"
"boomer2ou.bsky.social","The guy is dumber than a sock of rocks! 🤣🤣👏🏽👏🏽👏🏽🤣🤣🤣👏🏽👏🏽","2026-02-14T23:29:01.841Z"
"boomer2ou.bsky.social","“Spot On” “FACTS”","2026-02-14T23:25:35.167Z"
"boomer2ou.bsky.social","Bondi is a scumbag cunt. “FULL STOP”","2026-02-14T21:48:44.650Z"
"boomer2ou.bsky.social","I ask the same question,“Why”?","2026-02-14T21:43:09.900Z"
"boomer2ou.bsky.social","This Is Hitting The Nail On The Head🤣🤬","2026-02-14T19:13:57.331Z"
"boomer2ou.bsky.social","Fu€k Off, The “Lying Devil”","2026-02-14T19:11:35.950Z"
"boomer2ou.bsky.social","Get rid of Lindsey the crybaby sham!","2026-02-14T19:02:08.352Z"
"boomer2ou.bsky.social","We are in agreement, completely!🤬","2026-02-14T17:03:03.795Z"
"boomer2ou.bsky.social","I second that motion!","2026-02-10T22:26:00.765Z"
"boomer2ou.bsky.social","“True Fact” www.instagram.com/p/DUBEvJyjoM...","2026-02-09T02:35:13.020Z"
"boomer2ou.bsky.social","True Leadership”","2026-02-07T05:02:13.097Z"
"boomer2ou.bsky.social","trump is suing the IRS, taking from the taxpayers and it’s not just the democrats, it’s from republicans also so they need to let that sink in. Oh, and he’s going to give it to charity, tRumps a thief and he’ll bankrupt this country by the time he’s finished! “It’s Who he Is”","2026-02-06T15:33:03.827Z"
"boomer2ou.bsky.social","I guess that maga thought those kids were going to run🤣 He thought wrong👏🏽👏🏽🤣🤣🤣🤣🤣👏🏽👏🏽👏🏽","2026-02-06T03:57:59.665Z"
"boomer2ou.bsky.social","Acquire some self-esteem and you might not need to feed your ego🤣🤣 To see people following this stupid prick blows my mind!","2026-02-06T03:53:07.338Z"
"boomer2ou.bsky.social","Nobody pays me to protest a lying psychopathic prick!!","2026-02-06T03:48:27.123Z"
"boomer2ou.bsky.social","“That’s a Fact”","2026-02-06T03:39:02.681Z"
"boomer2ou.bsky.social","Nazis, just keeping it simple. It’s their play book!","2026-02-05T20:33:49.411Z"
"boomer2ou.bsky.social","Go After All The Pedophiles..","2026-02-05T06:03:57.833Z"
"boomer2ou.bsky.social","Fu€k steve bannon, Nasty MFKer..","2026-02-05T05:39:13.412Z"
