"user","post","date"
"brandygreen.bsky.social","I think @jamestalarico.bsky.social may flip a Texas senate seat. Apparently, so does Donald Trump.","2026-02-17T15:48:28.988Z"
"brandygreen.bsky.social","At least he's serving a function","2026-02-06T22:25:10.662Z"
"brandygreen.bsky.social","Life is like a waterfall… Live in the moment… Or fall…","2026-01-31T03:17:21.434Z"
"brandygreen.bsky.social","Portland Maine 01/30/2026","2026-01-31T01:45:48.311Z"
"brandygreen.bsky.social","Know your rights and protect your neighbors #NoWarrantNoICE","2026-01-29T02:24:56.957Z"
"brandygreen.bsky.social","I'm attending No Kings's event, “Eyes on ICE: Document and Record” - sign up now to join me! www.mobilize.us/nokings/even...","2026-01-28T14:45:10.309Z"
"brandygreen.bsky.social","open.substack.com/pub/dissenti...","2026-01-25T13:20:27.170Z"
"brandygreen.bsky.social","Jack Smith: """"My fear is that we have seen the rule of law function in our country for so long that many of us have come to take it for granted. The rule of law is not self-executing. It depends on our collective commitment to apply it.""""","2026-01-22T15:33:50.000Z"
"brandygreen.bsky.social","open.substack.com/pub/50501/p/...","2026-01-22T14:39:31.622Z"
"brandygreen.bsky.social","open.substack.com/pub/tarapalm...","2026-01-22T14:32:26.761Z"
"brandygreen.bsky.social","I'm still waiting for that bizarre plot twist where Germany liberates America from fascism. Anytime now would be nice.","2026-01-21T14:20:30.226Z"
"brandygreen.bsky.social","If you want a print, here they are (unframed and framed): nakedpastor.com/products/we-...","2026-01-20T18:39:02.569Z"
"brandygreen.bsky.social","STORM ALERT: This is my watercolor print We Grew Through Storms. I love watching storms, but I don't love being in the middle of them. Like many of us are right now. We can never predict how we are going to fare. But looking back we can say we've grown. So my hope is we will become better.","2026-01-19T23:56:43.717Z"
"brandygreen.bsky.social","🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬 """"The only person not being investigated for the shooting of Renee Good is the federal agent who shot her.""""","2026-01-17T09:39:32.824Z"
"brandygreen.bsky.social","Gee, I don't know what Greenlandic Prime Minister Jens-Frederik Nielsen's problem is... Why stay with Denmark when they can become part of a country ruled by an insane egomaniac, with epidemic gun violence, underfunded education, and disappearing healthcare? www.cbsnews.com/news/greenla...","2026-01-14T15:21:49.918Z"
"brandygreen.bsky.social","""""Mikaelsen, the student, said Greenlanders benefit from being part of Denmark, which provides free health care, education and payments during study, and 'I don’t want the U.S. to take that away from us.'” The people of Greenland absolutely get it. apnews.com/article/gree...","2026-01-14T15:34:18.342Z"
"brandygreen.bsky.social","One Feed To Rule Them All All of your favorite #tolkien tags and keywords in one place! 🫡 Save/heart/repost to help us find more denizens of Middle-earth.","2025-01-17T00:41:32.065Z"
"brandygreen.bsky.social","Among Western democracies, the US is basically in a league of its own. No other comparable democracy has climate denial so deeply embedded in a major political party, its media ecosystem, and parts of government. It remains the largest contributor to the 425.78 ppm CO2 currently in the atmosphere.","2025-12-27T05:02:47.000Z"
"brandygreen.bsky.social","He’s using Venezuela as a distraction so we’ll forget about the Epstein files. Joke’s on him. We can multitask. Release the Epstein files.","2026-01-03T16:06:09.091Z"
"brandygreen.bsky.social","It's an old and obvious pattern. An unpopular president - failing on the economy and losing his grip on power at home - decides to launch a war for regime change abroad. The American people don’t want to “run” a foreign country while our leaders fail to improve life in this one.","2026-01-03T17:08:38.724Z"
"brandygreen.bsky.social","Unfortunately, this.","2026-01-03T18:32:06.704Z"
"brandygreen.bsky.social","It’s the United States that needs regime change.","2026-01-03T18:27:29.705Z"
"brandygreen.bsky.social","@patawan1.bsky.social Hello, dear one. I saw this today, the 1st day of 2026. I remembered your beautiful posts & thought it might be of interest to you & your beloved. Sending my best wishes, hugs & what strength l can muster to you both, daily.","2026-01-01T23:22:07.677Z"
"brandygreen.bsky.social","my issue with ICE is that they exist at all","2025-12-30T04:32:43.819Z"
"brandygreen.bsky.social","One of the few silver linings that have come from this harsh year of deportations and ICE raids is that it has clarified which people and institutions will use their voices to push back and which will choose accommodation.","2025-12-30T07:00:47.173Z"
"brandygreen.bsky.social","Jasmine Crockett speaks to US citizens wrongfully detained by #ICE","2025-12-30T09:06:32.336Z"
"brandygreen.bsky.social","This 84 year old woman named Laurie Eckman was hit in the head with a Projectile from #ICE! Her husband was also there & was injured so both were taken to the hospital where she had a Concussion & her husband had several injuries! This is Trump's America!","2025-12-30T09:34:09.585Z"
"brandygreen.bsky.social","Absolutely 💯 True......","2025-12-25T11:56:08.709Z"
"brandygreen.bsky.social","Tapper: This is one of the documents the DOJ released. It’s 100 pages. It’s all black. That’s the transparency we’re getting.","2025-12-19T22:18:09.764Z"
"brandygreen.bsky.social","This Epstein files """"release"""" is the most disgusting cover up in American history","2025-12-19T21:54:03.447Z"
"brandygreen.bsky.social","Feverishly working on this","2025-12-15T16:28:39.654Z"
"brandygreen.bsky.social","12 dead at a mass shooting at a Hanukkah celebration at Bondi Beach.💔 A 43-year-old father of two, Ahmed al Ahmed, snuck up & tackled a gunman to disarm him. Ahmed was shot twice. Both Jewish & Muslim faiths teach that “to save one life is to save all humanity.” Let us hold fast to our humanity.❤️","2025-12-14T15:05:35.347Z"
"brandygreen.bsky.social","If the words “Zionism” or “Israel” cross your lips in talking about the Bondi Beach massacre, then you’re a Jew-hating ghoul, and I don’t want to know you.","2025-12-14T15:59:23.214Z"
"brandygreen.bsky.social","A good citizen without a gun disarmed one of the Bondi Beach mass murderers.","2025-12-14T16:03:24.308Z"
"brandygreen.bsky.social","The vile antisemitic terror attack at a Hanukkah celebration on Bondi Beach that took the lives of 11 people was an unspeakable act of hate and violence. To target people gathered in faith and joy is hate in its most violent form.","2025-12-14T16:18:03.736Z"
"brandygreen.bsky.social","ANTIFA HQ could not be reached for comment, because all of them are buried at the Normandy American Cemetery in Colleville-sur-Mer, France.","2025-12-13T16:49:13.917Z"
"brandygreen.bsky.social","Listen, all I’m saying is that I’ve seen more pictures of Donald Trump partying with Jeffrey Epstein than I have of Donald Trump playing with his son Barron.","2025-12-12T21:00:01.175Z"
"brandygreen.bsky.social","Dan Goldman: Dan Goldman: Photos from Epstein’s estate confirm that Trump was far more involved in child predator Jeffrey Epstein’s orbit. The DOJ must release the full Epstein files, not the White House-approved version. End the cover-up. The American people deserve the truth.","2025-12-12T21:36:10.089Z"
