"user","post","date"
"brettcalvert.bsky.social","BREAKING: Donald Trump is reportedly terrified that Europeans will subpoena all his bank records from the European banks he had to use after every US bank blacklisted him following decades of rampant fraud, and the Europeans will see all his suspicious transactions with Epstein.","2026-02-12T21:04:14.321Z"
"brettcalvert.bsky.social","Attorney General Pam Bondi tells a member of a co-equal branch of government during a public hearing: “You don’t tell me anything, you washed-up loser lawyer.” The disdain for our own government is appalling. This administration is destroying our democracy.","2026-02-12T13:11:34.284Z"
"brettcalvert.bsky.social","If Pam Bondi was a waitress.","2026-02-12T18:20:15.385Z"
"brettcalvert.bsky.social","An image we won't soon forget. Attorney General Pam Bondi refused to look at Epstein survivors pictured behind her on the Hill today.","2026-02-11T21:28:07.332703899Z"
"brettcalvert.bsky.social","You know who can also testify as to what was happening with Epstein and don’t need clemency? His victims.","2026-02-10T20:01:22.614Z"
"brettcalvert.bsky.social","www.irishtimes.com/world/us/202...","2026-02-09T20:48:56.657Z"
"brettcalvert.bsky.social","Why did Trump appoint Alexander Acosta, the prosecutor who gave Jeffrey Epstein a slap on the wrist, as Secretary of Labor in 2017? And why did Acosta try to slash funding to fight sex trafficking by 80%? www.salon.com/2019/07/10/a...","2026-02-08T19:13:34.543Z"
"brettcalvert.bsky.social","Fantastic in-depth reporting. Seth knows how to connect the dots...and the regime knows he knows.","2026-02-05T17:52:57.499Z"
"brettcalvert.bsky.social","After paying $40M for the Melania movie, Bezos is firing hundreds of Washington Post reporters who tell us actual facts. All while turning the editorial board into a billionaire-defense operation. Too often, the billionaires who control our biggest media outlets are selling out our country.","2026-02-04T15:19:23.219Z"
"brettcalvert.bsky.social","Do you remember when people were saying """"I think my phone is listening to me, i'm getting ads for stuff I spoke about"""" and people said """"They arent listening to you, they're just this good at predicting your interests""""? Well, it happens they were doing exactly that. www.cbsnews.com/news/google-...","2026-02-01T21:44:34.104Z"
"brettcalvert.bsky.social","One armed goon loses his shit at an observer who's backing up, and then several more armed goons tackle the observer to the ground, and then even more armed goons form a protective shield around the armed goons handcuffing the observer for hurting an armed goon's feelings. This can't be """"reformed""""","2026-01-27T15:20:54.172Z"
"brettcalvert.bsky.social","So the “everyone should be armed” second amendment crowd is using the fact the a man was armed (maybe) as justification? Is this right?","2026-01-24T17:32:12.775Z"
"brettcalvert.bsky.social","Former 🇺🇸 ambassador to Russia 👇🏽","2026-01-23T14:01:39.096Z"
"brettcalvert.bsky.social","This is the first example I’ve seen of an American government using AI to meaningfully misrepresent actual events with the intent to deceive the public. We are at Stalinesque levels of propaganda. donmoynihan.substack.com/p/past-the-b...","2026-01-23T14:23:39.736Z"
"brettcalvert.bsky.social","FUCK yeah arstechnica.com/health/2026/...","2026-01-22T19:00:41.228Z"
"brettcalvert.bsky.social","Just being honest, I don't know who is out there who's better than Sean McDermott for the Bills. Beane is the one who should have been fired.","2026-01-19T14:59:31.542Z"
"brettcalvert.bsky.social","WATCH — @piperformissouri.bsky.social : “I’m a middle aged white woman, and I can tell you one thing… if someone doesn’t tell you EXACTLY how they feel about what’s going on, you know how they feel.”","2026-01-15T22:21:33.570Z"
"brettcalvert.bsky.social","It's 25 days past the deadline to release the Epstein files.","2026-01-15T01:00:19.835Z"
"brettcalvert.bsky.social","BREAKING: Epstein survivors are calling for the DOJ acting inspector general to investigate the department’s handling of the release of the Epstein Files. The survivors say, “there has been a troubling pattern of selective redactions.”","2026-01-14T19:00:25.016Z"
"brettcalvert.bsky.social","Uh-oh😬","2026-01-15T00:13:41.359Z"
"brettcalvert.bsky.social","Trump administration sends letter wiping out addiction, mental-health grants - NPR","2026-01-15T00:24:19.710Z"
"brettcalvert.bsky.social","The FBI raided WaPo journalist Hannah Natanson’s honeymoon today over a story she did on Trump. Two years ago, Hannah wrote two articles about Between the World and Me being banned in my AP class. She has the highest integrity and is incredibly brilliant. More importantly, she is a good human. #fdt","2026-01-14T21:48:25.669Z"
"brettcalvert.bsky.social","www.youtube.com/watch?v=keEc...","2026-01-14T20:24:05.515Z"
"brettcalvert.bsky.social","The worker who called Trump a “pedophile protector” has been suspended. He says he has “definitely no regrets whatsoever,” adding: “I don’t feel as though fate looks upon you often, and when it does, you better be ready to seize the opportunity. And today I think I did that.” wapo.st/4sG38CD","2026-01-14T02:55:30.684Z"
"brettcalvert.bsky.social","He offered UT a $100,000 endowment for Hispanic scholars. Texas Exes denied it www.statesman.com/news/educati...","2026-01-08T19:08:20.633Z"
"brettcalvert.bsky.social","Make it viral.","2026-01-08T03:22:49.436Z"
"brettcalvert.bsky.social","5calls.org","2026-01-08T11:58:11.245Z"
"brettcalvert.bsky.social","www.insidehighered.com/news/governa...","2026-01-08T15:09:35.318Z"
"brettcalvert.bsky.social","Wednesday Friends #9 @islandofmisfittoys.bsky.social @dcombes.bsky.social @luq73.bsky.social @vallahha.bsky.social @banblew.bsky.social @johnnydigsit.bsky.social @crankyoldcrackpot.bsky.social @kirksmith99.bsky.social @yarabean.bsky.social @bonsaibean.bsky.social @trixie57.bsky.social","2026-01-07T16:10:08.019Z"
"brettcalvert.bsky.social","Never forget. 🇺🇸","2026-01-06T15:22:29.533Z"
"brettcalvert.bsky.social","This is sad.","2026-01-05T21:53:26.634Z"
"brettcalvert.bsky.social","www.bbc.com/news/article...","2025-12-24T16:05:58.118Z"
"brettcalvert.bsky.social","Happy Winter Solstice!","2025-12-21T12:44:15.575Z"
"brettcalvert.bsky.social","The White House has been caught. The administration inserted a photo of Bill Clinton, Michael Jackson, and Diana Ross into the Epstein files and falsely implied it showed them with victims. In reality, it’s a publicly available fundraiser photo featuring Jackson and Ross’s own children.","2025-12-20T12:33:16.088Z"
"brettcalvert.bsky.social","a new Liam Neeson movie where he's injected with an mRNA vaccine and has the rest of his life to get it out of his system while mysteriously experiencing fewer or no covid symptoms","2025-12-11T18:50:59.393Z"
"brettcalvert.bsky.social","🎯🎯","2025-11-08T17:29:56.860Z"
"brettcalvert.bsky.social","ᔕᗩ丅ᑌᖇᗪᗩƳ ᔕᕼᗝᑌ丅ᔕ @pattyger.bsky.social @habsmtlcanadiens.bsky.social @tammyjo408.bsky.social @alphwilliams.bsky.social @leadcoalition.bsky.social @604-vancity.bsky.social @adventurer56.bsky.social @bootsy66.bsky.social @lxxxvi-xlvii-now.bsky.social @markymark757.bsky.social @6j1.bsky.social 🚫NO ADDS🚫","2025-12-06T21:50:17.866Z"
"brettcalvert.bsky.social","""""When your allies start warning your other allies about you, your credibility isn’t damaged. It’s gone..... The West is at a crossroads. If America betrays Ukraine now, it won’t just lose a partner. It will lose the world’s trust. And once that’s gone, it doesn’t come back."""" .","2025-12-05T17:11:18.178Z"
"brettcalvert.bsky.social","The boats the regime is claiming are going from Venezuela to the US would need to refuel over 20 times to get to Miami. They are lying to us.","2025-12-03T17:40:49.042Z"
"brettcalvert.bsky.social","This is what a DUI hire looks and acts like. America needs to blow up Hegseth’s position in our government. I suggest using a trail of mini alcohol bottles that end at The Hague. #DemVoice1 #Voices4Victory #Pinks #wtpBLUE","2025-12-03T13:39:56.565Z"
"brettcalvert.bsky.social","If we're not at war, Pete Hegseth is a murderer. If we are at war, Pete Hegseth is still a murderer. He's a murderer. And you don't need to go to The Hague to hold him accountable because there are perfectly good, American laws AGAINST MURDER. My latest in @thenation.com","2025-12-03T17:18:30.187Z"
"brettcalvert.bsky.social","And this qualifies as 'transparency' these days.","2025-12-01T17:42:03.930Z"
"brettcalvert.bsky.social","www.businessinsider.com/meet-jay-gra...","2025-12-01T21:56:14.212Z"
"brettcalvert.bsky.social","#ProudBlue #Pinks #ResistanceUnited Good morning, friends. When life feels overwhelming, try this: speak each tiny gratitude aloud until serenity fills your soul. #Jaye’sMorningLight","2025-12-01T11:05:43.434Z"
"brettcalvert.bsky.social","And there it is. (I listened to the audio and watched the video myself, and yes, that is *exactly* what the biographer said in this University of Cambridge address.)","2025-11-20T17:19:54.703Z"
"brettcalvert.bsky.social","www.smithsonianmag.com/arts-culture...","2025-11-20T13:06:05.114Z"
"brettcalvert.bsky.social","From Lori Marino, founder of the Whale Sanctuary Project; also of @safinacenter.bsky.social (gift link). www.theglobeandmail.com/gift/1760cd5...","2025-11-19T00:31:48.015Z"
"brettcalvert.bsky.social","👇👇","2025-11-13T17:37:10.677Z"
"brettcalvert.bsky.social","NEW: ProPublica examined months of Fox News’ coverage and reviewed over 700 videos posted on social media. The network used five-year-old footage, mislabeled other dates and implied footage from elsewhere was in Portland.","2025-11-12T14:00:41.623Z"
"brettcalvert.bsky.social","#Meta purposely allows scam & banned goods ads - earning 7 BILLION DOLLARS a year directly from these ads, deliberately exposing users to these frauds. Yet once again, $META faces no legal consequences or accountability for perpetuating harm on the public. www.reuters.com/investigatio...","2025-11-06T14:49:00.269Z"
"brettcalvert.bsky.social","So Argentina gets a $40 billion bailout from our tax dollars but devastated small towns here at home — nothing.","2025-10-27T18:58:35.269Z"
"brettcalvert.bsky.social","Today, Mike Johnson will keep the House adjourned for the 81st day out of the last 93. 12 days of work in over 3 months. With full pay and benefits. The senate has been working, so this is not about the shutdown. It is about avoiding a vote to release the Epstein files.","2025-10-24T10:44:09.812Z"
