"user","post","date"
"britsoul.bsky.social","May Fire Horse energy make 2026 transformative. The Snake has shed it's skin ...","2026-02-17T18:22:41.166Z"
"britsoul.bsky.social","Voght headline omitted """"PERSONAL"""" ... as in """"Personal Security Detail"""" 😡","2026-02-16T20:41:42.172Z"
"britsoul.bsky.social","Updated with the recent attack that killed three: www.nytimes.com/interactive/...","2026-02-16T20:36:23.452Z"
"britsoul.bsky.social","Epstein: Multi-disciplinary interest. Be sure to watch until """"MANAGED REALITY"""" ... """"HUMAN TERRAIN"""" ... PRE-BUNKED MAL-INFORMATION"""" ... JP MORGAN ... HARVARD MATH DEPARTMENT, etc. The Eric Weinstein Interview: www.facebook.com/reel/2552025...","2026-02-16T20:34:27.963Z"
"britsoul.bsky.social","The truth of this is mind-boggling:","2026-02-16T07:16:32.683Z"
"britsoul.bsky.social","Some thought-provoking comparisons and correlations in this religion-focused data. “When comparing the religious attendance of the European countries and American states - here are the most and least active.” —Ryan Burge/FB. He’s here on Bluesky, too.","2026-02-16T07:00:28.786Z"
"britsoul.bsky.social","💯💯💯💯💯💯💯💯","2026-02-16T06:47:59.838Z"
"britsoul.bsky.social","Well-researched decades-long story of an Omaha teen imprisoned for testifying to sexual exploitation as a child (she served 19 years for refusing to recant). The powerful are protected . 🫣 Decades of child victims. Cover ups. Epstein connection. 🤯 www.omahamagazine.com/magazine/uns...","2026-02-14T06:27:56.003Z"
"britsoul.bsky.social","This guy is f***ing INSANE. WTF. """"Hitler imprisoned political rivals, we have to do the same with women. Find the good ones. How? So they go to the gulag first. They go to breeding gulags. Good ones will be liberated. Bad will toil in mines forever."""" www.mediamatters.org/nick-fuentes...","2026-02-13T22:10:29.809Z"
"britsoul.bsky.social","Oh! Okay, good to know.","2026-02-13T19:10:33.876Z"
"britsoul.bsky.social","NOT OKAY WITH ME. Billionaires benefit at the expense of our health and the well-being of future generations. So short-sighted and EVIL. www.usatoday.com/story/news/p...","2026-02-13T19:04:46.169Z"
"britsoul.bsky.social","Not only is the Paris Accord history, so is the US government's ability to do anything at all to help with climate-related matters.","2026-02-12T19:57:20.825Z"
"britsoul.bsky.social","HCR on Abraham Lincoln","2026-02-12T07:08:43.957Z"
"britsoul.bsky.social","☮️","2026-02-11T23:38:48.906Z"
"britsoul.bsky.social","BUT it was perfectly acceptable to 'the president' when 45 approved the bridge. Now that Canada's built it and it's ready to open, LET'S EXTORT CANADA! Why any Country would want to do business with """"him"""" is beyond me.","2026-02-10T19:38:19.009Z"
"britsoul.bsky.social","🚨 Flipping the House blue is an ABSOLUTE MUST this year. Donate today. #Blue26 --""""TBD"""" donations go to the eventual Dem nominee. --Nothing donated via this page goes to me. (Note: The """"ICE 7"""" have been removed until at least after their primaries) secure.actblue.com/donate/house...","2026-02-08T18:40:55.982Z"
