"user","post","date"
"cait05.bsky.social","@rolandsmartin.bsky.social 🪷🪷🪷did a great interview with @electiontruthalliance.org's Nathan Taylor gives a sobering analysis of Nevada's """"voting irregularities"""" & """"Putin's Tails"""" of the 2024 elections. www.youtube.com/watch?v=rafL...","2025-12-07T09:49:13.583Z"
"cait05.bsky.social","It is such a tragedy that 10 million voters voted for Kamala Harris but their votes weren't counted. I feel those who did not fight against voter suppression chose this for America. See @gregpalast.bsky.social's documentary. youtu.be/P_XdtAQXnGE?...","2025-12-07T09:46:15.237Z"
"cait05.bsky.social","Newman told The Bulwark, """"People are becoming more emboldened to cross Trump as his power wanes. The shared goal of the corporate overlords and ICE is to make people feel powerless, and these actions are a way of resisting that sense of powerlessness.""""","2025-12-07T09:42:15.616Z"
"cait05.bsky.social","Chris Newman, general counsel for the National Day Laborer Organizing Network (NDLON), doesn't see these boycotts letting up anytime soon.","2025-12-07T09:41:57.881Z"
"cait05.bsky.social","Carrasquillo reports, """"There's also speculation that AT&T data could have been used by DHS to target people during the shocking raid at the 7500 South Shore Drive residential building raid in Chicago.""""","2025-12-07T09:41:41.248Z"
"cait05.bsky.social","Carrasquillo adds, """"But that's not the end of their troubles: Bold and unpredictable protests are beginning to disrupt retail operations across the country…. For months now, Home Depot has been singled out for its role as a staging ground in the Trump deportation regime.""""","2025-12-07T09:41:22.954Z"
"cait05.bsky.social","Mother Goose named her son after a movie star .... Meet """"Ryan Gosling"""" ... #Photography #Photography(New","2025-12-07T09:39:26.972Z"
"cait05.bsky.social","Please call the guy the January 6th pipe bomber. Fox is calling him the """"January 5th bomber"""" because he planted the bombs the night before but really because they don't want to mention 1/6 as a bad day.","2025-12-07T01:43:14.708Z"
"cait05.bsky.social","Every day I wake up and I hear the silence of the Republicans. Their silence is overwhelming. Never forget those Republicans who are doing this & letting this happen. This could we ended tomorrow if the Republicans had had one vertebrae in their spines.","2025-12-07T09:39:44.367Z"
"cait05.bsky.social","Happening in America. Representatives can't access those who have been detained. No one can track where kidnapped kids or folks are being held. The video records of these camps are being erased. See how they treat American politicians, asking questions, what are they doing to these poor people?","2025-12-07T09:35:29.791Z"
"cait05.bsky.social","""""The home-improvement chain [Home Depot] now faces the prospect of a national boycott."""" Boycotts work folks. Don't forget the power of each of your dollars!","2025-12-07T09:33:22.405Z"
"cait05.bsky.social","""""Home Depot is possibly the most visible case after the company’s parking lots became a familiar setting for shocking viral clips and local news segments depicting federal agents' aggressive attempts to apprehend unsuspecting day laborers.","2025-12-07T09:32:03.751Z"
"cait05.bsky.social","""""Companies that have collaborated with immigration enforcement agencies in various ways to aid Trump's mass deportation initiative — whether through allowing ICE to raid their parking lots ... or a variety of other actions — are starting to feel the rumblings of a consumer revolt...","2025-12-07T09:31:10.887Z"
"cait05.bsky.social","The pie looks delicious. I wish we could share pie with everyone. A little bit of pie and community goes a long way. Folks need pie, TLC and compassion. www.youtube.com/shorts/MnO8h...","2025-12-07T09:26:56.560Z"
"cait05.bsky.social","I know. When I watched her videos I just melt with joy, an abundance of cuteness","2025-12-07T03:58:53.619Z"
"cait05.bsky.social","Love love love!☕️🐸🫖","2025-12-07T03:47:35.995Z"
"cait05.bsky.social","Look up India Rose Crawford on YouTube. She’s the knitter that made frog, toad and the accessories","2025-12-07T03:31:44.009Z"
"cait05.bsky.social","Oh my heart! Me too, Maureen! SUCH joy! Whoever knits and makes these darling videos with all of the miniatures and sets is AMAZING! I had ALL of the Frog and Toad books growing up and bought my kids a set, as well! My hubby has a cute Frog & Toad t-shirt! We refer to """"the List"""" regularly!🤭","2025-12-07T03:24:17.948Z"
"cait05.bsky.social","Kate has been sending me these for months because I always liked Frog and Toad. The woman actually knits these lovely creatures and accessories. Such joy","2025-12-07T03:10:56.849Z"
"cait05.bsky.social","The slippers!! Oh my heart!! The bottle top as a pie tin!! I can't with this much cuteness!!","2025-12-07T02:37:30.445Z"
"cait05.bsky.social","🐸 Froggy goodness for everyone on this fine day! 🐸 www.youtube.com/shorts/MnO8h...","2025-12-06T20:52:24.943Z"
"cait05.bsky.social","Alice Miller writes about the parenting that led to the complicity of the majority of Germans. There were no protests. There wasn't resistance. That is why it is important to act now.","2025-12-07T09:17:08.764Z"
"cait05.bsky.social","The world’s second biggest polluter, the US, was near the bottom, but 74% of its citizens still said its government should do more...","2025-12-07T09:12:08.806Z"
"cait05.bsky.social","My neighbor told me that her company hospital base terminatef 30 employees today 15 to 20 years service! Three weeks before Christmas corporate America assholes","2025-12-06T23:07:18.319Z"
"cait05.bsky.social","😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭","2025-12-07T09:05:47.864Z"
"cait05.bsky.social","www.youtube.com/shorts/aOAE4...","2025-12-07T01:18:56.720Z"
"cait05.bsky.social","www.youtube.com/shorts/sof0G...","2025-12-07T01:18:00.797Z"
"cait05.bsky.social","💥💥💥💥💥💥💥💥💥","2025-12-07T01:15:30.238Z"
"cait05.bsky.social","youtube.com/shorts/nb64D...","2025-12-07T01:15:28.540Z"
"cait05.bsky.social","What a meme! Thank you for the inclusion @chaserbaybe.bsky.social","2025-12-07T01:13:04.740Z"
"cait05.bsky.social","Let's Gooooo Congrats @jaybird54.bsky.social 70k Well Deserved Congrats @reallyfasmiller.bsky.social 45k ✈️🛫🛬🛩️🚁🛸🚀 🦾⛷️🤺🏇🏌️🤹🤼🏋️🧗🚴🚣🏄🪂🏂🤽🌈🏖️🏝️🌄🌪️🔥🌋🏜️🍻🍺🥂🧉🫖☕🥃🍾🍷🫗🍸🍹🍶🥢🍵🚨 Ahhhh Party ☎️📞📱📟 Call You're Friends","2025-12-07T00:44:01.120Z"
"cait05.bsky.social","It wasn't Hitler or Himmler who kidnapped me, beat me, & shot my family. It was the shoemaker, the milkman, and the neighbor who were given uniforms & then believed they were the master race."""" Karl Stojka, Auschwitz survivor 😭😭😭","2025-12-07T01:07:20.513Z"
