"user","post","date"
"capgdm.bsky.social","Possibly the biggest financial scandal in Pentagon history is about to break. I am not suicidal. I am engaged in NO crimes. No Venezuela isn't about drugs OR oil. It's the blue gold. This rare earth scandal goes way beyond Venezuela! Coffee With Texas Paul Goes Live at 11 am Eastern. Join us!","2025-12-05T15:38:33.641Z"
"capgdm.bsky.social","Thankful for a beautiful Thanksgiving and the chance to catch up with friends. Grateful for good food, good company, and good memories. #friends","2025-11-28T07:16:34.379Z"
"capgdm.bsky.social","Happy Thanksgiving to you and yours!","2025-11-27T14:58:09.884Z"
"capgdm.bsky.social","A Kennedy-Cuomo matchup? Word has it that Cuomo might be making a run for Nadler's seat too.","2025-11-12T07:09:51.175Z"
"capgdm.bsky.social","This is an excellent idea!!!","2025-11-03T19:44:08.356Z"
"capgdm.bsky.social","Dfield beach pier, Fl 🎃","2025-11-01T01:39:35.298Z"
"capgdm.bsky.social","When the president is destroying national landmarks, murdering fishermen, raising prices because he's angry over a Reagan video, and kidnapping parents in front of their crying children is probably not an ideal time to have a lazy, completely incompetent legislative branch perpetually on vacation.","2025-10-26T00:06:11.529Z"
"capgdm.bsky.social","Keep posting","2025-04-06T02:33:31.548Z"
"capgdm.bsky.social","Had a lot of 1942s, now I’ve got a lamb on mine balance 😎🐑","2025-10-26T09:12:49.985Z"
"capgdm.bsky.social","I don't rip of people's merchandise but they don't sell this on a cup. I'm making myself one.","2025-08-22T23:43:31.116Z"
"capgdm.bsky.social","Just came across someone saying the next thing the king is gonna change is the national anthem 😂","2025-10-22T23:28:24.022Z"
"capgdm.bsky.social","Best Steaks!","2025-10-20T23:49:43.230Z"
"capgdm.bsky.social","While the nation is protesting Trump and his thieving thugs, the corruption continues. No Kings","2025-10-18T20:06:35.847Z"
"capgdm.bsky.social","Fillet with peppercorn sauce and red wine 🍷 didn’t have to do the dishes I ate out 😄","2025-10-19T14:58:15.125Z"
"capgdm.bsky.social","And how is ICE being paid when armed forces aren't?","2025-10-15T23:18:29.332Z"
"capgdm.bsky.social","When a picture says a thousand words… #TrumpsShutdownDragsOn","2025-10-15T22:54:33.159Z"
"capgdm.bsky.social","A quick YouTube short. 🎶 Steve Winwood.🎶","2025-10-16T01:22:49.172Z"
"capgdm.bsky.social","Sending a cup of coffee your way 👍👍","2025-01-22T11:05:55.449Z"
"capgdm.bsky.social","A vibrant capture 🌇","2025-01-22T07:18:09.993Z"
