"user","post","date"
"cbusmike.bsky.social","I had the great pleasure of seeing Raul and his fantastic band the Mavericks many times over the years. Far more than a country band, Latin infused pop, Americana or whatever label, they were beautiful, swaggering, romantic, warm, rocking, and a pleasure to behold. I’ll miss their magic, RIP Raul","2025-12-09T17:11:11.794Z"
"cbusmike.bsky.social","Hagueseth","2025-11-28T18:14:11.096Z"
"cbusmike.bsky.social","There was a time when the United States looked down its nose at the countries in South America for being lawless banana republics. Who's the banana republic now, bitches?","2025-11-25T23:56:55.553Z"
"cbusmike.bsky.social","By now we’ve all heard Trump say “quiet piggy”, and a lot of other horrible things to women. Trump’s fear of women is quite unmanly, he’s nothing like the MAGA crowd envisions him","2025-11-25T04:15:26.900Z"
"cbusmike.bsky.social","Darth Vader awaiting his daily brushing","2025-11-24T20:58:07.381Z"
"cbusmike.bsky.social","Oh I get it now! It’s ok Trump said that because he’s a frank and open and honest asshole","2025-11-20T20:32:40.750Z"
"cbusmike.bsky.social","Again, it’s hard to believe this a’’hole is POTUS","2025-11-20T15:28:17.504Z"
"cbusmike.bsky.social","It’s hard to believe that either of these guys is actually in the White House","2025-11-19T15:41:38.895Z"
"cbusmike.bsky.social","Nothing to see here. Just POTUS insulting women and hanging with the guy who bought him.","2025-11-19T02:51:25.455Z"
"cbusmike.bsky.social","ABC’S MARY BRUCE: “Why wait for Congress? Why not just release the files?” TRUMP: “It’s not the question, it’s your attitude. I think you’re a terrible reporter.” (TRANSLATION: She’s asking the right questions and he can’t handle it)","2025-11-18T18:21:34.181Z"
"cbusmike.bsky.social","BADASS","2025-11-19T00:17:23.470Z"
"cbusmike.bsky.social","You've still got time to get in on our Saturday Night Resister Follow Party! 💙🥳💙 #ResistersUnite 🤝 #StrongerTogether 💪 Leave a comment if you'd like to be included! 💙","2025-11-15T17:29:21.498Z"
"cbusmike.bsky.social","Trump and Bondi continue almost daily to redefine just how low they can go","2025-11-14T23:18:23.982Z"
"cbusmike.bsky.social","Monica's Place Wednesday Party Pack! 💙🥳💙 I've gathered a collection of mutuals who have included me in Starter Packs recently & added more great Rebels, Resisters & Democracy Defenders! #ResistersUnite 🤝 #StrongerTogether 💪 Check it out! 👀 Vet 🧐, Follow 👣 & Repost! 🔄 Thanks! 🥰 go.bsky.app/ErgSEjU","2025-11-12T22:39:36.248Z"
