"user","post","date"
"chinchemlett.bsky.social","Guest-regulable Pt(II)···Pt(II) interactions in hydrogen-bonded aromatic macrocycle based rotaxanes enables tunable NIR emission doi.org/10.1016/j.cc...","2026-02-13T14:32:17.450Z"
"chinchemlett.bsky.social","Nanobiotechnology-Based Approaches for Uveal Melanoma Treatment","2026-02-13T14:59:20.460Z"
"chinchemlett.bsky.social","Nanobiotechnology-Based Approaches for Uveal Melanoma Treatment doi.org/10.1002/smm2...","2026-02-13T14:55:01.366Z"
"chinchemlett.bsky.social","Nanobiotechnology-Based Approaches for Uveal Melanoma Treatment","2026-02-13T14:58:51.164Z"
"chinchemlett.bsky.social","Guest-regulable Pt(II)···Pt(II) interactions in hydrogen-bonded aromatic macrocycle based rotaxanes enables tunable NIR emission","2026-02-13T14:41:40.942Z"
"chinchemlett.bsky.social","Guest-regulable Pt(II)···Pt(II) interactions in hydrogen-bonded aromatic macrocycle based rotaxanes enables tunable NIR emission","2026-02-13T14:40:48.224Z"
"chinchemlett.bsky.social","I love exotic carbon allotropes! I love exotic carbon allotropes!","2026-02-13T06:29:33.343Z"
"chinchemlett.bsky.social","Guest-regulable Pt(II)···Pt(II) interactions in hydrogen-bonded aromatic macrocycle based rotaxanes enables tunable NIR emission doi.org/10.1016/j.cc...","2026-02-13T14:32:17.450Z"
"chinchemlett.bsky.social","Single-Molecule Multi-Channel Conductance Assisted by Through-Space Conjugation doi.org/10.1002/smm2...","2026-02-04T06:35:16.272Z"
"chinchemlett.bsky.social","Disclosing α-trichloromethyl ketone—secondary amine combination as peptide coupling reagent based on the three-component access to β-acyloxyl alkenyl amides doi.org/10.1016/j.cc...","2026-02-03T13:57:17.104Z"
"chinchemlett.bsky.social","Epitaxy Growth of Robust Mono-Oriented Rhombohedral NbSe2 Ribbons on c-Plane Sapphire doi.org/10.1002/smm2...","2026-02-08T04:51:45.412Z"
"chinchemlett.bsky.social","Rational Design of Covalent Organic Framework Catalysts for Photocatalytic Carbon Dioxide Fixation doi.org/10.1002/smm2...","2026-02-11T14:24:17.731Z"
"chinchemlett.bsky.social","Generation of glycosyl radicals from phosphitylated 1-hydroxycarbohydrates for the deoxygenative synthesis of C-alkyl glycosides doi.org/10.1016/j.cc...","2026-02-12T15:38:40.833Z"
"chinchemlett.bsky.social","Enantioconvergent Negishi Cross-Coupling of Racemic sec-Alkylzinc Reagent with Aryl Halides Enabled by Bulky N-Heterocyclic Carbene-Pd Catalyst www.chinesechemsoc.org/doi/10.31635... #chemistry #openaccess #science","2026-02-12T19:10:39.748Z"
"chinchemlett.bsky.social","Concise, Enantioselective and Convergent Syntheses of Fortunefuroic Acid F and Related Abies Triterpenoids www.chinesechemsoc.org/doi/10.31635... #chemistry #openaccess #science","2026-02-11T21:10:37.960Z"
"chinchemlett.bsky.social","CCS Chemistry Article Highlight: Retina-inspired cascaded van der Waals heterostructures for photoelectric-ion neuromorphic computing Click to read: www.chinesechemsoc.org/do/10.5555/f... #chemistry #openaccess #science","2026-02-11T21:19:04.012Z"
"chinchemlett.bsky.social","Generation of glycosyl radicals from phosphitylated 1-hydroxycarbohydrates for the deoxygenative synthesis of C-alkyl glycosides","2026-02-12T15:46:46.394Z"
"chinchemlett.bsky.social","Generation of glycosyl radicals from phosphitylated 1-hydroxycarbohydrates for the deoxygenative synthesis of C-alkyl glycosides","2026-02-12T15:47:35.214Z"
"chinchemlett.bsky.social","Single-atom based graphdiyne catalysts support for CO2 photo/electro-conversion @2DMaterialsLab doi.org/10.1016/j.cc...","2026-02-11T14:32:00.003Z"
"chinchemlett.bsky.social","Rational Design of Covalent Organic Framework Catalysts for Photocatalytic Carbon Dioxide Fixation","2026-02-11T14:36:35.386Z"
"chinchemlett.bsky.social","Generation of glycosyl radicals from phosphitylated 1-hydroxycarbohydrates for the deoxygenative synthesis of C-alkyl glycosides doi.org/10.1016/j.cc...","2026-02-12T15:38:40.833Z"
"chinchemlett.bsky.social","Single-atom based graphdiyne catalysts support for CO2 photo/electro-conversion","2026-02-11T14:39:03.823Z"
"chinchemlett.bsky.social","Single-atom based graphdiyne catalysts support for CO2 photo/electro-conversion","2026-02-11T14:38:13.788Z"
"chinchemlett.bsky.social","Rational Design of Covalent Organic Framework Catalysts for Photocatalytic Carbon Dioxide Fixation","2026-02-11T14:36:35.386Z"
"chinchemlett.bsky.social","Single-atom based graphdiyne catalysts support for CO2 photo/electro-conversion @2DMaterialsLab doi.org/10.1016/j.cc...","2026-02-11T14:32:00.003Z"
"chinchemlett.bsky.social","Divergent β-hydride elimination in Pd-catalyzed intra- and intermolecular Heck reactions toward axially chiral alkene frameworks doi.org/10.1016/j.cc...","2026-02-07T13:54:55.619Z"
"chinchemlett.bsky.social","High-performance circularly polarized light detectors based on chiral tetrachloro-substituted terrylene diimides @ChemCPL doi.org/10.1016/j.cc...","2026-02-10T13:49:46.379Z"
"chinchemlett.bsky.social","Photocatalytic Desilylation Trifunctionalization of 1,3-Enynes with CO2 www.chinesechemsoc.org/doi/10.31635... #chemistry #openaccess #science","2026-02-10T23:04:52.800Z"
"chinchemlett.bsky.social","High-performance circularly polarized light detectors based on chiral tetrachloro-substituted terrylene diimides","2026-02-10T14:41:41.263Z"
"chinchemlett.bsky.social","High-performance circularly polarized light detectors based on chiral tetrachloro-substituted terrylene diimides","2026-02-10T14:41:07.271Z"
