"user","post","date"
"chipportser.bsky.social","Wisdom from a real general.","2025-09-30T13:20:49.697Z"
"chipportser.bsky.social","Absolutely this.","2025-09-23T20:57:21.521Z"
"chipportser.bsky.social","Kimmel: """"The President of the United States made it very clear he wants to see me and the hundreds of people who work here fired from our jobs. Our leader celebrates Americans losing their livelihoods because he cannot take a joke.""""","2025-09-24T03:52:53.857Z"
"chipportser.bsky.social","Next time someone on the right claims all the political violence in this country is coming from the left, not the right, do please show them this. You're welcome","2025-09-16T03:30:13.798Z"
"chipportser.bsky.social","James Baldwin once said: “I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will be forced to deal with pain.” That pain is the truth at the center of whiteness.","2025-09-14T19:50:00.840Z"
"chipportser.bsky.social","Good morning Explain your vote or non vote","2025-09-12T10:57:14.316Z"
"chipportser.bsky.social","#charliekirk #guns #gunviolence","2025-09-11T17:40:39.924Z"
"chipportser.bsky.social","hey the people that stormed the capitol and erected gallows to murder elected leaders want you to know that political violence is not ok","2025-09-12T02:28:00.655Z"
"chipportser.bsky.social","Americans have short memories—keep reminding them. PLEASE SHARE!","2025-09-12T11:45:19.280Z"
"chipportser.bsky.social","THIS 👇THIS👇 THIS","2025-09-11T14:20:11.001Z"
"chipportser.bsky.social","If you are so inclined to contact him, here is the mailing address of Chief Traitor John Roberts: Chief Justice John Roberts Supreme Court of the United States 1 First Street Washington, DC 20543","2025-09-10T17:50:20.685Z"
"chipportser.bsky.social","Credit @karlykingsley.bsky.social","2025-09-11T00:41:10.687Z"
"chipportser.bsky.social","We must do this!","2025-09-10T00:10:00.757Z"
"chipportser.bsky.social","""""Harvard can't use race as a factor in admissions, but ICE can use race as a factor in detentions"""" is a retrenchment essentially to a pre-Civil War understanding of the Constitution. It's vanishingly few steps removed from """"Latinos have no rights which the white man is bound to respect.""""","2025-09-09T16:44:35.976Z"
"chipportser.bsky.social","For everyone saying political violence has no place in this country… Remember two Democratic legislators were shot in Minnesota just this year. And America shrugged and moved on.","2025-09-10T20:53:24.741Z"
"chipportser.bsky.social","Forgive me if I care way more about the school shooting that also took place today than I do about Charlie Kirk.","2025-09-10T20:39:09.008Z"
"chipportser.bsky.social","Let’s make one thing clear from the start: Charlie Kirk was the victim of a shooting in a country where he, along with other right-wing extremist influencers, have been inciting violence for years. — Kirk is neither a martyr nor a hero, he is a cause.","2025-09-10T19:40:45.423Z"
"chipportser.bsky.social","go.bsky.app/N92YyYn","2025-09-09T19:39:07.410Z"
"chipportser.bsky.social","There’s a future where the “Epstein hoax” becomes the “Russia hoax” and the “Covid hoax” … where the right wing bullshit machine flips the script upside down and the mainstream follows behind apologetically, led by contrarians and “they have a point” guys.","2025-09-09T13:59:36.674Z"
"chipportser.bsky.social","""""Literally no one thinks prayer is a substitute for action."""" Then why is prayer, literally, *always* the substitute for action, you willfully obtuse asshole?","2025-08-28T21:50:09.032Z"
"chipportser.bsky.social","Republicans are trying to redraw congressional district lines to keep their grip on Congress in the midterms and beyond. Voters should pick their politicians, not the other way around. Get involved with the @democraticredistricting.com as they fight back: bit.ly/3HJ1ayW","2025-08-28T16:46:02.105Z"
"chipportser.bsky.social","Please share Petition for museum www.change.org/p/defend-the...","2025-08-19T23:53:18.582Z"
"chipportser.bsky.social","Grand jury refuses to issue felony assault indictment against a man who threw a sandwich at a federal agent on streets of Washington, a move seen as a sharp rebuke by ordinary citizens of Trump's DC crackdown. @alanfeuer.bsky.social Devlin Barrett. @William Rashbaum www.nytimes.com/2025/08/27/u...","2025-08-27T14:17:58.149Z"
"chipportser.bsky.social","🚨To be CLEAR: Our military exists to defend America — not to help Trump intimidate Americans. “I put on that uniform. I’ve been in the National Guard… that to me is what’s so alarming here, because that is not what the Armed Forces is designed to do.” — VoteVets’ Max Rose","2025-08-25T14:43:11.474Z"
"chipportser.bsky.social","Game on California lets Go 💙💪 Let's go gavin Newsom 📣📣 #Demcast #ProudBlue #Demvoice1","2025-08-21T22:09:06.670Z"
"chipportser.bsky.social","You tell ‘em, Gavin!","2025-08-20T10:29:16.891Z"
"chipportser.bsky.social","Why are we still thinking about impeachment when we should be thinking about treason?","2025-08-19T14:35:25.143Z"
