"user","post","date"
"cici77.bsky.social","open.substack.com/pub/michaeld...","2026-02-18T06:13:44.962Z"
"cici77.bsky.social","open.substack.com/pub/thememor...","2026-02-18T06:12:04.478Z"
"cici77.bsky.social","open.substack.com/pub/heatherc...","2026-02-18T05:56:21.276Z"
"cici77.bsky.social","I'm thrilled that Anderson Cooper is leaving CBS I enjoy these folks once they are unchained","2026-02-17T19:44:14.259Z"
"cici77.bsky.social","And what the fuck would these ruthless criminals know about """"sensitive nature""""? The left-over MAGAts prove themselves to be increasingly ignorant... such suckers and fools.","2026-02-17T00:59:17.764Z"
"cici77.bsky.social","open.substack.com/pub/briantyl...","2026-02-18T04:19:56.511Z"
"cici77.bsky.social","open.substack.com/pub/joycevan...","2026-02-18T04:17:04.107Z"
"cici77.bsky.social","open.substack.com/pub/marytrum...","2026-02-18T04:13:09.973Z"
"cici77.bsky.social","Wonderful. Just wonderful. An amazing story of perseverance.","2026-02-17T23:14:38.900Z"
"cici77.bsky.social","open.substack.com/pub/heatherc...","2026-02-18T04:06:52.000Z"
"cici77.bsky.social","open.substack.com/pub/thejackh...","2026-02-17T23:56:10.771Z"
"cici77.bsky.social","open.substack.com/pub/deanobei...","2026-02-17T23:54:59.951Z"
"cici77.bsky.social","open.substack.com/pub/joycevan...","2026-02-17T23:24:05.742Z"
"cici77.bsky.social","open.substack.com/pub/paulwald...","2026-02-17T23:23:17.062Z"
"cici77.bsky.social","open.substack.com/pub/thejackh...","2026-02-17T23:22:32.781Z"
"cici77.bsky.social","open.substack.com/pub/therickw...","2026-02-17T23:21:41.852Z"
"cici77.bsky.social","open.substack.com/pub/kathygor...","2026-02-17T23:20:26.758Z"
"cici77.bsky.social","open.substack.com/pub/jojofrom...","2026-02-17T23:19:32.946Z"
"cici77.bsky.social","open.substack.com/pub/meidasto...","2026-02-17T23:18:00.769Z"
"cici77.bsky.social","open.substack.com/pub/heatherc...","2026-02-17T23:17:10.889Z"
"cici77.bsky.social","open.substack.com/pub/steady/p...","2026-02-17T23:16:22.259Z"
"cici77.bsky.social","open.substack.com/pub/robertre...","2026-02-17T23:14:51.783Z"
"cici77.bsky.social","open.substack.com/pub/meidasto...","2026-02-17T23:13:46.688Z"
"cici77.bsky.social","open.substack.com/pub/marygedd...","2026-02-17T22:43:18.223Z"
"cici77.bsky.social","open.substack.com/pub/adamkinz...","2026-02-17T22:40:23.104Z"
"cici77.bsky.social","open.substack.com/pub/johnpavl...","2026-02-17T18:53:06.703Z"
"cici77.bsky.social","open.substack.com/pub/kareem/p...","2026-02-17T18:52:09.657Z"
"cici77.bsky.social","open.substack.com/pub/paulkrug...","2026-02-17T18:50:12.360Z"
"cici77.bsky.social","open.substack.com/pub/borowitz...","2026-02-17T18:48:16.465Z"
"cici77.bsky.social","open.substack.com/pub/charlott...","2026-02-17T18:21:39.755Z"
"cici77.bsky.social","open.substack.com/pub/meidasto...","2026-02-17T18:03:16.129Z"
"cici77.bsky.social","www.hollywoodreporter.com/tv/tv-news/a...","2026-02-17T17:59:18.478Z"
"cici77.bsky.social","www.axios.com/2026/02/17/e...","2026-02-17T17:55:15.941Z"
"cici77.bsky.social","Here is what Democracy Docket is tracking for you today: Active Voting Rights Cases: 166 Active Redistricting Cases: 49 Active Anti-Voting Cases: 89 Active Pro-Voting Cases: 73 Active DOJ Lawsuits: 24 Stay informed. Subscribe today. hubs.ly/Q03M8rql0","2026-02-17T15:52:32.305Z"
"cici77.bsky.social","Trump’s propaganda czar Brendan Carr and Trump-controlled CBS refused to let Colbert air his interview with James Talarico. You can watch the interview here, and it already has 1.4M views. youtu.be/oiTJ7Pz_59A?...","2026-02-17T17:37:55.507Z"
"cici77.bsky.social","open.substack.com/pub/micheleh...","2026-02-17T17:43:08.912Z"
"cici77.bsky.social","Complete Media Takeover","2026-02-17T05:41:06.133Z"
"cici77.bsky.social","Pregnancy became far more dangerous in Texas after the state banned abortion, according to ProPublica’s first-of-its-kind analysis, which found the sepsis rate for women hospitalized as they miscarried in the 2nd trimester shot up by more than 50%. (Published Feb. 2025)","2026-02-17T04:00:07.70051733Z"
"cici77.bsky.social","youtu.be/tJbfHMxAJ5Y?...","2026-02-16T14:15:54.560Z"
"cici77.bsky.social","Good grief. Everyone knows they were just friends.","2026-02-17T02:40:23.352Z"
"cici77.bsky.social","open.substack.com/pub/marygedd...","2026-02-17T17:20:28.404Z"
"cici77.bsky.social","open.substack.com/pub/thomhart...","2026-02-17T17:19:33.976Z"
"cici77.bsky.social","open.substack.com/pub/michaeld...","2026-02-17T17:17:00.406Z"
"cici77.bsky.social","open.substack.com/pub/marytrum...","2026-02-17T17:14:11.959Z"
"cici77.bsky.social","open.substack.com/pub/jimhight...","2026-02-17T17:09:04.464Z"
"cici77.bsky.social","Republicans are going to have a field day calling AOC """"incoherent"""" for a couple minor missteps and then later today Donald Trump will say something like """"I'm the big banana man, I will eat the next election like a hot dog, tuesday is purple t-shirt day"""" and they'll claim he's a misunderstood genius.","2026-02-17T13:51:13.466Z"
"cici77.bsky.social","does this work? If so I'll repost. www.scribd.com/doc/28637083...","2026-02-17T16:33:10.557Z"
"cici77.bsky.social","If you made it to the (current) end of this thread, here's a treat: the Oct 2015 letter I wrote to NBC Legal explaining why, in the wake of Hillary Clinton's SNL cameo, not only was my client Larry Lessig a bona fide candidate but (because they asked) so was Clinton. www.scribd.com/doc/28637083...","2026-02-17T16:28:09.738Z"
"cici77.bsky.social","Because this has come up a hundred zillion times: The FCC Equal Time rule does not apply to cable tv. Does not, therefore, apply to the Fox News Channel. (And what you believe you've heard about """"technically, it's entertainment"""" is misleading at best.) 10/","2026-02-17T14:33:14.477Z"
"cici77.bsky.social","(oops: BRENDAN Carr in that first post. Where's my damn edit button?)","2026-02-17T13:54:08.572Z"
"cici77.bsky.social","One final note: this rule only applies to candidates for public office. Officeholders who aren't seeking re-election this year (Mamdani, Warren, Schumer), or those who haven't yet qualified for the ballot (Shapiro's deadline is March 10) are exempt. You probably have questions. I'll try to help. 8/","2026-02-17T13:37:52.900Z"
"cici77.bsky.social","Now, of course, CBS could choose to fight this. They could defend the legitimate news purposes of Colbert's interviews. But CBS's owners (Paramount/Skydance) have too much they want from the FCC, and from the Trump administration generally, to pursue that fight. And so here we are. 7/","2026-02-17T13:37:52.899Z"
"cici77.bsky.social","It means that if Colbert or Meyers or The View have Talarico on, they have to give equal time on-air to every single candidate who's qualified for ballot in that US Senate race in Texas. All 3 Dems and 8 Republicans. And that means no one gets on the air. Brendan Carr is dangerous. 6/","2026-02-17T13:37:52.898Z"
"cici77.bsky.social","Last month, Carr announced plans to tighten that rule, announcing that if a non-news talk show (whether Colbert or The View) is deemed to be """"motivated by partisan purposes,"""" then it's not doing """"bona fide"""" news interviews and wouldn't be exempt. What does that mean? 5/ docs.fcc.gov/public/attac...","2026-02-17T13:37:52.897Z"
"cici77.bsky.social","Whether you trace it back to Bill Clinton with Arsenio Hall or JFK and Nixon appearing on The Tonight Show with Jack Parr, there's a long history of hosts of late-night & daytime talk shows using their vehicles to conduct serious interviews with politicians. Until new FCC Chair Brandon Carr. 4/","2026-02-17T13:37:52.896Z"
"cici77.bsky.social","As an attorney with occasional experience with the Equal Time rule, I can explain what's going on here and how the FCC's Brandon Carr is leveraging his position to force late night and daytime talk show hosts to exclude Democratic candidates. First I need to explain the Equal Time rule itself. 1/","2026-02-17T13:37:52.893Z"
"cici77.bsky.social","open.substack.com/pub/sarahken...","2026-02-17T16:43:41.458Z"
"cici77.bsky.social","open.substack.com/pub/deanobei...","2026-02-17T16:16:54.706Z"
"cici77.bsky.social","open.substack.com/pub/meidasto...","2026-02-17T16:16:00.708Z"
"cici77.bsky.social","open.substack.com/pub/dworkin/...","2026-02-17T16:11:04.706Z"
"cici77.bsky.social","open.substack.com/pub/thehuman...","2026-02-17T15:58:33.782Z"
"cici77.bsky.social","open.substack.com/pub/adampark...","2026-02-17T15:57:02.451Z"
"cici77.bsky.social","open.substack.com/pub/adamkinz...","2026-02-17T15:56:15.800Z"
"cici77.bsky.social","open.substack.com/pub/jefftied...","2026-02-17T15:55:17.902Z"
"cici77.bsky.social","Judge Rufe's opinion ordering the Trump administration to restore truthful panels about Washington's ownership of enslaved persons from the President's House site in Phila is here. (I jailbroke it from PACER.) TL;DR: Gov't acted arbitrarily, capriciously. storage.courtlistener.com/recap/gov.us...","2026-02-16T17:43:47.448Z"
"cici77.bsky.social","> crowned heads","2026-02-16T17:18:23.286Z"
"cici77.bsky.social","“They are the vanguard — the miners, and sappers — of returning despotism. We must repulse them, or they will subjugate us.”","2026-02-16T17:11:42.512Z"
"cici77.bsky.social","”These expressions, differing in form, are identical in object and effect — the supplanting of principles of free government, and restoring those of classification, caste, and legitimacy. They would delight a convocation of crowned heats, plotting against the people.”","2026-02-16T17:11:42.511Z"
"cici77.bsky.social","“One dashingly calls them ‘glittering generalities’; another bluntly calls them ‘self evident lies‘; and still others insidiously argue they only apply to ’superior races.’”","2026-02-16T17:11:42.510Z"
"cici77.bsky.social","“The principles of Jefferson are the definitions and axioms of free society. And yet they are denied, and evaded, with no small show of success.“","2026-02-16T17:11:42.509Z"
"cici77.bsky.social","i‘m using it for a column but i want to share here this line from lincoln on jefferson because it is applies to our situation as well. you can find it in his april 6, 1859 letter to henry l. pierce.","2026-02-16T17:11:42.508Z"
"cici77.bsky.social","New Mexico approved a $2.5M investigation into Jeffrey Epstein’s former Zorro Ranch near Santa Fe — the first full probe into alleged trafficking & abuse there. A four-member “truth commission” will gather testimony, subpoena records & seek what officials knew. www.nbcnews.com/politics/pol...","2026-02-17T06:18:39.627Z"
"cici77.bsky.social","www.bbc.com/news/article...","2026-02-17T07:45:20.517Z"
"cici77.bsky.social","Report: The DOJ Has Only Released a Tiny Fraction of the Epstein Files newrepublic.com/post/206615/... via @newrepublic.com","2026-02-17T03:21:05.624Z"
"cici77.bsky.social","#EpsteinAdministration","2026-02-17T03:33:42.629Z"
"cici77.bsky.social","Jasmine Crockett: “Other countries have CEOs that are stepping down & princes that are being indicted — in the United States, crickets. Nothing is happening — we have a president that says that the Epstein files are a hoax because his name is in there more times than I can count”","2026-02-17T00:45:32.768Z"
"cici77.bsky.social","Have you ever noticed that Trump can't make a single statement without denigrating someone – a group of people, a reporter, name-calling is in his blood.","2026-02-17T01:51:08.565Z"
"cici77.bsky.social","If we don’t take action on climate change, climate change will take action all over us. The Dinosaurs, Part II.","2026-02-16T21:54:12.828Z"
"cici77.bsky.social","🎯🎯","2026-02-16T13:58:59.976Z"
"cici77.bsky.social","open.substack.com/pub/michaeld...","2026-02-17T15:41:25.181Z"
"cici77.bsky.social","open.substack.com/pub/thejackh...","2026-02-17T05:24:16.932Z"
"cici77.bsky.social","open.substack.com/pub/heatherc...","2026-02-17T05:04:58.639Z"
"cici77.bsky.social","open.substack.com/pub/marytrum...","2026-02-17T04:14:31.732Z"
"cici77.bsky.social","open.substack.com/pub/jojofrom...","2026-02-17T03:48:16.861Z"
"cici77.bsky.social","open.substack.com/pub/michaeld...","2026-02-17T03:43:27.162Z"
"cici77.bsky.social","open.substack.com/pub/marytrum...","2026-02-17T03:34:16.904Z"
"cici77.bsky.social","open.substack.com/pub/joetye/p...","2026-02-17T03:33:46.655Z"
"cici77.bsky.social","open.substack.com/pub/johnpavl...","2026-02-17T03:31:36.364Z"
"cici77.bsky.social","open.substack.com/pub/johnfuge...","2026-02-17T03:18:04.871Z"
"cici77.bsky.social","open.substack.com/pub/steady/p...","2026-02-17T02:58:39.889Z"
"cici77.bsky.social","open.substack.com/pub/meidasto...","2026-02-17T02:57:53.958Z"
"cici77.bsky.social","open.substack.com/pub/briantyl...","2026-02-17T02:54:28.058Z"
