"user","post","date"
"clbohannon.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
"clbohannon.bsky.social","Since October, federal courts have ruled more than 4,400 times that ICE is illegally jailing immigrants. Now the agency wants to spend $38B to turn warehouses across the country into detention camps. Remember that some of Trump's biggest supporters are private prison companies running these camps.","2026-02-17T19:15:17.074841Z"
"clbohannon.bsky.social","Trump officials have blocked Minnesota law enforcement from accessing materials to investigate the death of Alex Pretti. They also refused to cooperate with Minnesota officials to investigate Renee Good’s death. What don’t they want the public to know?","2026-02-17T20:01:08.099411Z"
"clbohannon.bsky.social","open.substack.com/pub/jojofrom...","2026-02-17T20:02:51.292Z"
"clbohannon.bsky.social","Rep. James Talarico On Confronting Christian Nationalism, And Strange Da... youtu.be/oiTJ7Pz_59A?...","2026-02-17T14:03:33.746Z"
"clbohannon.bsky.social","Trump Just SHUT DOWN Colbert's Show AGAIN... youtu.be/FefcvMgEwsQ?...","2026-02-17T13:13:12.740Z"
"clbohannon.bsky.social","Israel used weapons in Gaza that made thousands of Palestinians evaporate www.aljazeera.com/features/202...","2026-02-17T03:53:52.169Z"
"clbohannon.bsky.social","History Brief: Indian Removal youtu.be/T8Hd42J-tzs?...","2026-02-17T01:10:00.303Z"
"clbohannon.bsky.social","Oh look, it’s someone who reexamined what the politics looked like and what his role was going to be.","2026-02-16T21:00:52.921Z"
"clbohannon.bsky.social","In an interview on Sunday, the Republican congressman also said he had no confidence in Attorney General Pam Bondi.","2026-02-15T17:15:06Z"
"clbohannon.bsky.social","""""Official ICE policy says 'ICE should not detain, arrest, or take into custody for an administrative violation of the immigration laws individuals known to be pregnant, postpartum, or nursing” except in exceptional circumstances. reproductiverights.org/news/pregnan...","2026-02-16T18:04:21.562Z"
"clbohannon.bsky.social","This Is Definitely His Legacy….","2026-02-16T21:10:15.425Z"
"clbohannon.bsky.social","""""The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little."""" —FDR, 1937","2026-02-16T19:01:13.815262Z"
"clbohannon.bsky.social","This goddamn IDIOT.... I refuse to pay tariffs- I'll just sit back and wait till he dies or is replaced with someone with a functioning brain- cause this guy's brain doesn't.","2026-02-16T01:32:51.317Z"
"clbohannon.bsky.social","Trump nominated man with white nationalist views to key State Department... youtube.com/shorts/wv9Lj...","2026-02-16T13:57:48.836Z"
"clbohannon.bsky.social","Purpose of Martial Law: to restore order and stabilize a region when the civilian government has ceased to function. Even if Martial Law were evoked, the Constitution prevails. The president of the United States cannot suspend the Constitution.","2026-02-14T23:09:11.026Z"
"clbohannon.bsky.social","👀 👀","2026-02-15T14:49:59.098Z"
"clbohannon.bsky.social","Massie: """"Donald Trump told us that even though he had dinner with these people in NYC and West Palm Beach, that he would be transparent. But he's not. He's still in with the Epstein class. This is the Epstein administration.""""","2026-02-15T14:58:56.674Z"
"clbohannon.bsky.social","When the U.S. House passed the SAVE Act last year, historians told us it was Congress’ worst attack on voting rights ever. Well, this week the House approved an even worse one. www.democracydocket.com/news-alerts/...","2026-02-15T15:53:33.434Z"
"clbohannon.bsky.social","Earth, Wind & Fire - """"Keep Your Head To The Sky"""" (w/lyrics) youtu.be/aTh5WhWxRsI?...","2026-02-15T16:32:05.297Z"
"clbohannon.bsky.social","The DOW Is Over $50,000.00 www.tiktok.com/t/ZP89TSgXP/","2026-02-15T15:30:23.373Z"
"clbohannon.bsky.social","Who Had the Most Contact With Jeffrey Epstein? The Epstein Network of the Wealthy and the Elite. #Epsteinfiles The Economist","2026-02-14T23:21:36.815Z"
"clbohannon.bsky.social","February 14, 2026","2026-02-15T04:56:58.344Z"
"clbohannon.bsky.social","www.chicagotribune.com/2026/02/14/c...","2026-02-15T06:24:37.407Z"
"clbohannon.bsky.social","European Nations Say Alexei Navalny Was Poisoned By The Kremlin With Dart Frog Toxin Five European countries say tests confirm Russian opposition leader Alexei Navalny was poisoned with a lethal toxin found in poison frogs, and they blame the Russian state. www.huffpost.com/entry/ap-eu-...","2026-02-15T09:56:07.149Z"
"clbohannon.bsky.social","ICYMI: Trump posted on his platform that there will be Voter ID for the midterms. He also states “whether Congress approves it or not” - something he has no authority to do.","2026-02-14T09:58:12.510Z"
