"user","post","date"
"cmerfy.bsky.social","📢🥹‼️ 🤞 this changes Evidence MUST be preserved The numbers seem small compared to more populous countries like mine but it's devastating that more commit suicide than are killed by their partners 😞 Are females not taught to assert themselves? #OV1 www.theguardian.com/commentisfre...","2026-02-18T08:03:24.749Z"
"cmerfy.bsky.social","📢🇨🇦‼️ ICYMI... I'm not surprised--we had the same problem in 🇺🇸 w/ faxes quite some time ago I hope they solve this problem for you guys 🤞 Here it also caused some combination printers not to work 😡 What a hassle! But it's your rxs being impacted 🙀 #OV1 www.thestar.com/news/canada/...","2026-02-18T03:43:14.280Z"
"cmerfy.bsky.social","📢😞‼️ I remember... #OV1 www.washingtonpost.com/politics/202...","2026-02-18T00:28:52.112Z"
"cmerfy.bsky.social","📢🤬‼️ ICYMI... #OV1 www.washingtonpost.com/national-sec...","2026-02-18T00:11:02.561Z"
"cmerfy.bsky.social","📢🗳️ℹ️‼️ #LoneStarLeft with her Austin recommendations below as promised 💙🌊🔥 PLEASE READ 🎁👇 & be sure to get informed BEFORE you vote, Texas!!! If you're fed up with the GOP dominating Austin this analyst has been writing her substack for quite a while. 😉🌊🌊🤔 #OV1 open.substack.com/pub/lonestar...","2026-02-17T10:43:58.526Z"
"cmerfy.bsky.social","🔹 Affordability 🔹Protecting Immigrants 🔹 Civil Rights 🔹Health Care for All 🔹Public Safety 🔹Reproductive Health 🔹Strengthening Public Schools and Colleges 🔹Combatting Hate Crimes 🔹Climate Change 🔹 LGBTQ+Community 🔹Foreign Policy micahlasher.com","2026-02-17T10:29:31.500Z"
"cmerfy.bsky.social","New York State Assemblyman @micahlasher.bsky.social is running for U.S. Congress to represent New York’s 12th Congressional District. He is ready for the fight to help the community #LiveBlue #ResistanceUnited #ONEV1","2026-02-17T10:29:31.499Z"
"cmerfy.bsky.social","Reverend Jesse Jackson died today aged 84 He became known when working for Martin Luther King Jr. In 1965 he participated in the Selma to Montgomery civil rights marches in Alabama. He received the second highest number of votes in Democratic presidential primaries to run for President in 1988.","2026-02-17T10:18:56.059Z"
"cmerfy.bsky.social","The Power of the People ‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️","2026-02-17T10:18:39.990Z"
"cmerfy.bsky.social","www.dallasnews.com/news/educati...","2026-02-17T08:28:23.594Z"
"cmerfy.bsky.social","📢🥹‼️ RIP, courageous Jesse 💐💔 Thank you for your many important contributions to our history & your life of service My sincerest condolences to the family & devotees Rest in power 🙏✝️ #OV1 www.washingtonpost.com/obituaries/2...","2026-02-17T10:05:32.060Z"
"cmerfy.bsky.social","#ResistanceUnited #ProudBlue #ONEV1 #DV1 America, this July 4 th, you’ll celebrate your 250th birthday🎂 For the happy returns of the day, 🙏 choose the right leaders next time. It’s a shame that Japanese companies do whatever it takes to please the Mad King","2026-02-17T09:43:47.527Z"
