"user","post","date"
"cmgower.bsky.social","They don't get that Kind of Money with out Congress Approval! Corporate Dems are JUST AS COMPLICIT! Time to Change the Status Quo. You're Either With Us. """"We the People"""" or Against Us. We Won't Be Governed By ELITES for their BENEFIT, and Not Ours, Especially When We Pay Taxes and You Don't.","2026-02-18T04:07:54.297Z"
"cmgower.bsky.social","If you Don't FIGHT FASCISM, It """"WILL"""", literally BURN YOU!","2026-02-18T03:55:04.620Z"
"cmgower.bsky.social","A Must See! Finally When Truth Speaks Out Against InSanity and Why Voting Matters! The Reason the Founders In the Constitution Wanted """"AND"""" Wrote about the Separation of the Church and the State. The Church is about Faith not about Politics. Never the Twain Shall Meet.","2026-02-18T03:01:56.007Z"
"cmgower.bsky.social","80 years ago my mother was working in a London bomb shelter with a fellow named Churchill fighting nazis and fascists. I'm glad she didn't witness the rise of a convicted rapist & felon leading Christo-fascists to victory in America. Well played Putin.","2024-11-12T01:49:00.805Z"
"cmgower.bsky.social","BEST REACTION EVER, Love Politics Girl. Watched 20 times already and can't stop. Just brought Joy to My Heart, and I'm still Laughing. Just Watch and Enjoy the Fun!","2026-02-18T02:32:52.897Z"
"cmgower.bsky.social","I Seriously Think Women Should Demand Men Change Their Last Name to Their Madian Name. Who Actually Bares the Children and the Linage? Let's see how long the you changed your name and can't vote Lasts lol. Have Fun With This One!","2026-02-18T02:27:18.691Z"
"cmgower.bsky.social","This Is Definitely His Legacy….","2026-02-16T21:10:15.425Z"
"cmgower.bsky.social","Reality Check! Corporations used to be Taxed at 78%. NEW LAW! """"NO INDIVIDUALS"""" should be able to Amass Personal Wealth Above the GDP OF THE POOREST NATION! This will Even Things out a Little.","2026-02-18T02:20:45.608Z"
"cmgower.bsky.social","It's Time """"We the People"""" Redacted This Persona (of a human being) From Our Conscious Existence! I'd so Tired of Crying Babies on a Plane.","2026-02-18T02:09:40.218Z"
"cmgower.bsky.social","We Have Your Backs! Resistance Against Fascism has No Borders. youtu.be/8nN_RqfnBc8","2026-02-18T01:16:39.750Z"
"cmgower.bsky.social","Profound but True. Take time to Breathe, We will Hold the Note until You Can join back in.","2026-02-18T00:46:21.816Z"
"cmgower.bsky.social","Breaks my Heart! Symbolism is Profound. I See America Mourning Over the Loss of Their Dearest Friend Canada!","2026-02-18T00:33:16.182Z"
"cmgower.bsky.social","America 💔","2024-11-12T05:30:12.267Z"
"cmgower.bsky.social","Hey Blue! No worries. You brighten my timeline whenever you show up. Travel (or move) safely!","2026-02-17T12:54:39.375Z"
"cmgower.bsky.social","""""We Hate Your Fascist Guts"""", So Buckle Up ButterCup! youtu.be/NeFMTqRYngc","2026-02-18T00:22:47.472Z"
"cmgower.bsky.social","Don’t worry, Mitch McConnell, we haven’t forgotten that most of this shit is your fault.","2026-02-16T22:10:15.869Z"
"cmgower.bsky.social","I Love this! And everyone else just uses the metric system lol. For fast (and easy) conversions, Because I'm Old School with a lot of Quick Calculations up my sleeve, just ask, I've got your back.","2026-02-17T02:29:23.821Z"
"cmgower.bsky.social","I Love Ingenuity! www.youtube.com/shorts/UjVJ-...","2026-02-17T01:26:18.532Z"
"cmgower.bsky.social","I just thought this was interesting. First the Arrow, as well as a High Speed Train. www.youtube.com/shorts/tg783...","2026-02-17T00:30:00.410Z"
"cmgower.bsky.social","Are We Seriously! At that point in Time Where, too Post on Social Media, We have to Clarify that We Are Not Suicidal. This is really Where We Are with this Regime. This is the America you Wanted? youtu.be/lHdNp2-8b_k","2026-02-16T02:15:32.196Z"
"cmgower.bsky.social","I have a problem Reposting Someone who has 219k followers and FOLLOWS NO ONE, not a single person does this senator Care About Except His Own Voice, Might have a Good Message but doesn't Care About any Input From the Community.","2026-02-16T01:49:27.655Z"
"cmgower.bsky.social","Wealth Inequality. I make 60k I pay 35% in tax, you make 1 billion and maybe pay 1%, even at 50% you still would make 500 million a year, while I take home 39,000. Time Once Again To """"Eat the Rich"""". And I Actually have to """"Physically"""" Work to Make You Money!","2026-02-16T01:38:06.907Z"
"cmgower.bsky.social","Personally I didn't expect Anything Less!","2026-02-16T01:13:07.884Z"
"cmgower.bsky.social","Mario Brothers themed protest sign","2026-02-15T18:45:59.385Z"
"cmgower.bsky.social","You know what """"Quality"""" she learned as a Bartender they will NEVER have? Situational Awareness and she shows it in SPADES! My Mother always said to me growing up being bullied, they do it out of Jealousy (because you have purpose and focus) or they're just Assholes mostly the Latter. BRAVA AOC.","2026-02-14T04:40:39.716Z"
"cmgower.bsky.social","Phuck Yes! Love This, yes This is Resistance! Be Loud Be Proud! They Are Not Elite. We, When We Stand Together CONTROL THEM.","2026-02-14T04:31:30.339Z"
"cmgower.bsky.social","Bring on the """"Plandemic"""" (lol). Those Masks will come """"right"""" off.","2026-02-14T04:24:08.171Z"
"cmgower.bsky.social","Said it Before, I'll say it again! ICE is J6'ers. 86-47 nay AK47 it's Also Russian Made.","2026-02-14T04:20:21.557Z"
"cmgower.bsky.social","💯","2026-02-13T23:31:21.048Z"
"cmgower.bsky.social","When a person who tried to steal an election with an orchestrated insurrection tells you he’s going to protect future elections, you’re fucked. The time to deal with him is now America. The rest of us are doing our part. Your turn. Sincerely, The Free World","2026-02-13T23:47:11.453Z"
"cmgower.bsky.social","Bamn! You Can't Cure Stupid, but I'll Bet We Can Get Gov'nt Funding to Study it! I Always wanted to put out 5 gal water jugs with a label, Searching for the Cure for Stupid, Please Give Generously As This May Benefit you later in Life. And see how much People Donated lol.","2026-02-14T04:04:13.349Z"
"cmgower.bsky.social","Too Funny!","2026-02-14T03:57:34.038Z"
"cmgower.bsky.social","When you Stand Up Against the Regime! ( I Applaud your backbone).","2026-02-14T03:45:23.039Z"
"cmgower.bsky.social","Dems, Right Vs Wrong. GOP Right Owning the Left! Just Another version of Slavery! Prove Me Wrong! This is What (We The People) are up Against. This is the Mentality of the Right/Wrong.","2026-02-14T03:41:04.202Z"
"cmgower.bsky.social","I am 💯% in agreement with Rep. Crockett. There is nothing more to be said about the state of our nation, and the, seemingly, willful ignorance of everyone in power who disagrees with the criminal with total control of our country since 1/20/2025. He should not be there. Anything else is pretense.","2026-02-09T20:50:13.485Z"
"cmgower.bsky.social","💯","2026-02-14T03:26:15.159Z"
"cmgower.bsky.social","Very Poignant!","2026-02-14T03:25:43.177Z"
"cmgower.bsky.social","ONE OF US! """"I Robot""""","2026-02-14T03:19:06.971Z"
"cmgower.bsky.social","Hilarious.","2026-02-14T02:39:46.562Z"
"cmgower.bsky.social","Funny how the GOP can say whatever they want and NEVER be asked for Evidence, but the second we Ascertain Anything about Discrepancies, We have to Provide a Full Court Trial Layout of Documents And Evidentiary Material to Ask a Question. Or is it just me who feels this?","2026-02-14T03:10:40.946Z"
"cmgower.bsky.social","Epstein: “I don’t think he committed suicide. I absolutely do not think he committed suicide.” - Julie K. Brown 2/13/26","2026-02-14T02:32:00.533Z"
"cmgower.bsky.social","Oooooooh Yesssssssssss! LOVE THIS! Let the Torment Begin.","2026-02-14T02:57:49.617Z"
"cmgower.bsky.social","If You Don't Like My Attitude, How's My Arabesque! Art is An Experience and a Journey, Enjoy the Adventure! It's a Visual Experience That Will Change You One way or Another, Embrace the Change.","2026-02-14T02:54:42.800Z"
"cmgower.bsky.social","What happened at the University of North Texas should trouble anyone who claims to value free expression especially at a public university Exhibition titled Ni de Aquí, Ni de Allá by Victor “Marka27” Quiñonez featuring work critical of U.S. Immigration and Customs Enforcement was abruptly shut down","2026-02-14T02:43:39.643Z"
"cmgower.bsky.social","Do I Need to Say Anything About Justice Matters. Just the Facts. IT MATTERS. youtu.be/s0JEllN2iGg","2026-02-14T02:47:31.675Z"
"cmgower.bsky.social","Hey friends, I'll be joining Jen Psaki on MS Now in the 9 pm hour to talk about the ongoing prosecutorial abuses being perpetrated by Donald Trump's Department of Justice """"leadership."""" Hope you can join us.","2026-02-14T01:25:27.765Z"
"cmgower.bsky.social","“Last Resort” follows a plane crash survivor stranded on a remote island battling isolation, smugglers, & his own fears to survive and attempt a daring escape. A gripping story of resilience and human connection. BACK OUR FILM - VISIT OUR CROWDFUND & GRAB A PERK www.kickstarter.com/projects/las...","2026-02-12T20:58:43.536Z"
"cmgower.bsky.social","If You Don't Read History You Won't Learn From it! Romans Put Christians in a Ring and Let the Lions Eat Their Face. Just Saying!","2026-02-13T05:05:58.083Z"
"cmgower.bsky.social","Elon musk sent me a personal email first asking me to stop then telling me to fuck off after i kept posting his name on them .","2026-02-13T04:47:22.328Z"
"cmgower.bsky.social","I am perma banned from facebook and twitter for my posts about trump , elon and epstine . Apparently they dont like my meme game . I make some good ones sometimes .","2026-02-13T04:45:39.895Z"
"cmgower.bsky.social","Ding aling ding ding ding ding ding ding, da da dingaling da dingaling. Does Deliverance come to Mind?","2026-02-13T04:52:37.883Z"
"cmgower.bsky.social","They do that to everything i post . Adds mystery ….oooo","2026-02-13T04:39:17.310Z"
"cmgower.bsky.social","If you Haven't Seen This! You Should. Absolutely Poignant!","2026-02-13T04:03:15.847Z"
"cmgower.bsky.social","Except if youre a Jan. 6er & beating up policemen for Trumpie???","2026-02-13T03:18:34.471Z"
"cmgower.bsky.social","The sunlight will eventually expose the truth. Keep that light bright by never giving up the fight for the hundreds of survivors!","2026-02-13T03:43:00.333Z"
