"user","post","date"
"controlsrecruiting.bsky.social","Looking for your next career move? Come join HTS Texas for new opportunities! Visit www.hts.com/careers/ to find your next role! #ApplyNow #ApplyTexas #Commercialhvac #BuildingAutomation","2025-10-27T13:09:18.494Z"
"controlsrecruiting.bsky.social","Hiring Commercial Service Sales Representative: Pay range: $75,000 - $100,000 + Uncapped Commissions #ApplyNow jobs.dayforcehcm.com/en-US/htseng... #SanAntonio #Texas #Austin","2025-10-27T12:55:15.574Z"
"controlsrecruiting.bsky.social","Hiring: Commercial Service Sales - Austin Pay range: $75,000-$100,000 + Uncapped Commission jobs.dayforcehcm.com/en-US/htseng...","2025-10-24T18:41:43.465Z"
"controlsrecruiting.bsky.social","Hiring: Commercial Service Sales - San Antonio Pay range: $75,000-$100,000 + Uncapped Commission jobs.dayforcehcm.com/en-US/htseng...","2025-10-23T14:40:38.906Z"
"controlsrecruiting.bsky.social","Hiring - Admin - San Antonio Pay range: $45,000-$50,000 Please apply below: jobs.dayforcehcm.com/en-US/htseng...","2025-10-22T19:50:02.025Z"
"controlsrecruiting.bsky.social","Sales Role open in Austin, TX 🔹Pay range: $75,000-$100,000 jobs.dayforcehcm.com/en-US/htseng...","2025-10-15T19:03:21.896Z"
"controlsrecruiting.bsky.social","#Hiring BAS Controls Tech Houston & Dallas, TX - $45-$65/hour ▪️2+ years of experience Tridium Niagara 4 ▪️Experience: HVAC, or military equivalent ▪️Proficient in wiring diagrams, networking basics, and hand tools ▪️Niagara Tridium, Distech, Siemens Talon #ApplyNow tinyurl.com/2hbvbrmj #Veterans","2025-09-09T16:46:31.751Z"
"controlsrecruiting.bsky.social","Hiring skilled BAS Technicians in Houston, TX. Programming experience is a must. Military equivalence applicable for required experience. #BAS #HoustonTX #BuildingAutomation www.linkedin.com/posts/hts-en...","2025-09-18T15:17:23.289Z"
"controlsrecruiting.bsky.social","Relocation may be available for qualified candidates. Military equivalence applicable. Vets encouraged to apply. We are looking for techs with experience in commercial settings, hospitals, colleges, skyscrapers, etc... www.linkedin.com/posts/hts-en...","2025-09-16T16:45:17.824Z"
"controlsrecruiting.bsky.social","Hiring: Building Automation Techs in Dallas & Houston, TX - $45-$65/hour Experience: Commercial HVAC is a must. Please DM resume if interested in this role. Out of state applicants encouraged to apply! 📩 jobs.dayforcehcm.com/en-US/htseng... #Trane #Siemens #JohnsonControls #Distech #Daikin #BAS","2025-09-04T15:25:43.583Z"
"controlsrecruiting.bsky.social","Sales Role open in Austin, TX 🔹Pay range: $75,000-$100,000 jobs.dayforcehcm.com/en-US/htseng...","2025-10-15T19:03:21.896Z"
"controlsrecruiting.bsky.social","#Hiring Senior Controls Tech Dallas, TX | Pay $45-$65/hour Must have HVAC Building Automation experience* #BAS #BuildingAutomationSystems #Dallas #dx #hvac www.linkedin.com/posts/hts-en...","2025-09-12T13:48:37.140Z"
"controlsrecruiting.bsky.social","Looking for a qualified Project Manager for a Houston, TX role in Building Automation. Commercial experience is required. Salary: $100,000-$120,000/year. Please connect with us and #ApplyToday #BAS #BuildingAutomation #Distech #Tridium www.linkedin.com/posts/hts-en...","2025-09-19T16:04:37.005Z"
"controlsrecruiting.bsky.social","www.linkedin.com/posts/hts-en...","2025-09-24T20:31:43.495Z"
"controlsrecruiting.bsky.social","BAS and Controls Techs In Houston and Dallas TX. DM resume or #Apply directly for consideration. #BAS #Controls #ControlsTech #Commercial #Commercialhvac #Siemens #Distech #Tridium Apply Now: jobs.dayforcehcm.com/en-US/htseng...","2025-09-09T13:55:11.226Z"
"controlsrecruiting.bsky.social","www.linkedin.com/posts/hts-en...","2025-09-24T20:39:50.565Z"
"controlsrecruiting.bsky.social","www.linkedin.com/posts/hts-en...","2025-09-25T12:49:32.825Z"
