"user","post","date"
"cranegac.bsky.social","Wonderful. Just wonderful. An amazing story of perseverance.","2026-02-17T23:14:38.900Z"
"cranegac.bsky.social","Donald Trump is a threat to democracy around the world. My first, second, and third acts as your next congressman will be to impeach Trump, impeach his cabinet, and codify guardrails to defend our democracy. Join our fight to save democracy here: www.georgeconwayforcongress.com","2026-02-17T16:12:27.300Z"
"cranegac.bsky.social","#WealthGap #Revolution #Guillotine #France #America","2026-02-17T01:46:01.018Z"
"cranegac.bsky.social","There will be elections. This f*ckknuckle doesn’t have enough lead in his pencil to cancel them. They may be chaotic. They may be litigated within an inch of their lives. Courtrooms may stay lit through the night. But the polling stations will open. And they will see record numbers. Oh yes.","2026-02-17T01:35:57.010Z"
"cranegac.bsky.social","Jfc get rid of this mope ffs","2026-02-15T14:17:12.344Z"
"cranegac.bsky.social","Happy birthday to one of the greatest, Frederick Douglass. Born into slavery, he didn't know his actual birthday, but chose to celebrate it on this day. Please read his books and essays; please teach your children his story when they are old enough to understand.","2026-02-14T15:23:32.104Z"
"cranegac.bsky.social","This guy raped little girls.","2026-02-14T04:50:27.410Z"
"cranegac.bsky.social","Clinton was impeached for an affair. Nixon resigned over one burglary. Trump has 34 felony convictions and 1 million mentions in the Epstein files. But he's still president??? The system is broken. PUT HIM IN JAIL!!!","2026-02-13T08:22:01.015Z"
"cranegac.bsky.social","🧵 ICYMI: Here's a little roundup of our latest coverage of the struggle against ICE in Minnesota, starting with some good clean fun at the Whipple Federal Building, where protesters hucked sex toys at federal agents and state police Monday unicornriot.ninja/2026/dozens-...","2026-02-13T17:03:53.326Z"
"cranegac.bsky.social","How the fuck is Corey Lewandowski in any position to fire a Coast Guard pilot? What is his title? What is his job? What is his official position in the US government? If you are Kristi Noem’s boyfriend you get to fire Coast Guard officers?","2026-02-13T11:56:00.852Z"
"cranegac.bsky.social","Good morning to everyone who’s never snorted cocaine off a toilet seat. Not you. 👇","2026-02-13T16:54:41.672Z"
"cranegac.bsky.social","No one should ever forget that if this country had elected Kamala Harris, Renee Good and Alex Pretti would be going about their daily lives.","2026-02-13T03:09:54.592Z"
"cranegac.bsky.social","How utterly embarrassing. It’s not the pilot’s job to remember cosplay Barbie’s blankie.","2026-02-13T16:28:23.698Z"
"cranegac.bsky.social","Let's do it and see. Bring it on. The biggest threat we've ever faced is squatting and shitting in the White House NOW.","2026-02-13T14:55:12.541Z"
"cranegac.bsky.social","👇👇","2026-02-13T12:25:15.433Z"
"cranegac.bsky.social","NEW YORK (AP) — Goldman Sachs' top lawyer Kathy Ruemmler to resign after emails show close ties to Jeffrey Epstein.","2026-02-13T01:59:32.645Z"
"cranegac.bsky.social","Well then just call Noe an asshole, @fetterman.senate.gov I mean...she's an asshole Drop your Quisling behavior and do your effing job, Meat","2026-02-12T18:21:23.371Z"
"cranegac.bsky.social","Moskowitz: """"Obviously Jeanine Pirro is hitting the box wine again""""","2026-02-11T14:34:04.549Z"
"cranegac.bsky.social","Schumer has got to go.","2026-02-11T17:04:25.296Z"
"cranegac.bsky.social","Laura Loomer is demanding an apology from the NFL for the Bad Bunny Halftime Show. Laura Loomer has to apologize for existing and looking worse after plastic surgery.","2026-02-10T22:47:16.215Z"
"cranegac.bsky.social","We are not going to just “move on”. There needs to be consequences!","2026-02-11T11:47:06.551Z"
"cranegac.bsky.social","Lying Lutnick must resign","2026-02-10T15:56:46.000Z"
"cranegac.bsky.social","I will not support any funding deal that puts money in the hands of Stephen Miller, Kristi Noem, and this violent agency. Defund and abolish ICE now.","2026-02-10T16:35:50.343Z"
"cranegac.bsky.social","Bring back firing squads for anyone involved. Don’t care who.","2026-02-09T20:45:45.071Z"
"cranegac.bsky.social","“.. It even inspired a counterprogramming event: the ‘All-American Halftime Show,’ .. an act of exclusion masquerading as an embrace of unity.” @nytimes.com www.nytimes.com/2026/02/09/a...","2026-02-09T15:47:48.816Z"
"cranegac.bsky.social","BREAKING NEWS: the New York Jets have just been eliminated from the 2026 NFL playoffs","2026-02-09T03:28:18.554Z"
"cranegac.bsky.social","Cannot wait for his comments on this!","2026-02-09T17:35:51.101Z"
"cranegac.bsky.social","Watching Super Bowl halftime It’s great! So much fun to watch. The dancers, the beat, the representation. Love it! ❤️❤️❤️ Do I speak Spanish? No. Does that matter? No. Is it fun? YES!","2026-02-09T01:34:16.689Z"
"cranegac.bsky.social","I'm not into football at all, and never watch the Super Bowl but I have to admit I'm rather liking how those who pick the halftime shows are causing racists heads to fully explode.","2026-02-08T17:12:06.594Z"
"cranegac.bsky.social","Donald Trump murdered Jeffrey Epstein.","2026-02-06T19:22:19.659Z"
"cranegac.bsky.social","😳","2026-02-07T13:36:22.647Z"
