"user","post","date"
"csj43.bsky.social","Still think it's a hoax????? #Resist #Epstein #EpsteinFiles #Trump-EpsteinFiles","2026-02-18T03:34:17.660Z"
"csj43.bsky.social","To be clear, CBS refusing to air Stephen Colbert’s interview with Texas Democrat James Talarico after they received threats from the MAGA regime to bury it isn’t only censorship, it’s full blown fascism. Propaganda CBS aren’t a reliable news source, they are state tv.","2026-02-18T00:05:41.993Z"
"csj43.bsky.social","I told you they’d come after Veterans’ benefits. www.stripes.com/veterans/202...","2026-02-18T02:40:46.712Z"
"csj43.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
"csj43.bsky.social","Here's a photo of the late Robert Duvall wearing cue cards on his body so that co-star Marlon Brando could see his lines during the filming of The Godfather.","2026-02-16T23:01:00.817Z"
"csj43.bsky.social","Happy Lunar New Year! 🔥🐴","2026-02-17T17:35:52.003Z"
"csj43.bsky.social","Meanwhile, in Germany, the public weighs in on what they think of the Epstein Administration. #BrutalButAccurate","2026-02-17T20:55:39.835Z"
"csj43.bsky.social","We need to stop referring to thr only as the Epstein files which call them what they are: the Trump/Epstein files. Now. Pass it on.","2026-02-16T18:58:20.429Z"
"csj43.bsky.social","CBS pulling @jamestalarico.bsky.social’s interview from The Late Show with Stephen Colbert is alarming and nothing short of censorship. Full breakdown on my Substack page (link below). adamkinzinger.substack.com/p/emergency-...","2026-02-17T19:43:41.630Z"
"csj43.bsky.social","Leigh McGowan laughs Lydia Moynihan of the New Post into silence because of Moynihan's lies about the great care given by the detention centers. We need more reactions like Leigh McGowan's outburst to shut down right-wing apologists. #resist #bluecrew #CNN #LeighMcGowan #LydiaMoynihan #ICE","2026-02-17T17:10:06.384Z"
"csj43.bsky.social","Worth watching. We stand with Colbert. youtu.be/oiTJ7Pz_59A","2026-02-17T21:12:47.196Z"
"csj43.bsky.social","“Status has learned that Cooper had grown increasingly uneasy with the rightward direction the network has charted under Weiss’s leadership & David Ellison’s ownership of parent company Paramount,"""" reports @oliverdarcy.bsky.social. One source told him Cooper wasn't comfortable w/Weiss at the helm.","2026-02-17T14:10:25.163Z"
"csj43.bsky.social","Today, Maryland mourns the passing of Reverend Jesse Jackson—a giant of the civil rights movement and a champion for the dignity of working people.","2026-02-17T14:00:39.765Z"
"csj43.bsky.social","substack.com/@educatenow/...","2026-02-17T17:39:58.878Z"
"csj43.bsky.social","There’s only 1 person in Congress who doesn’t trade stocks, doesn’t take corporate PAC money, and has a public schedule. That’s me. And it should be the standard.","2026-02-17T16:48:09.827703585Z"
"csj43.bsky.social","Last year, multiple mega law firms pledged almost $1 BILLION in “pro bono” legal services to Convicted Felon Trump & his Regime. I am demanding these firms actually show their work as I don't think they’re benefiting society, but merely helping Trump line his own pockets. youtu.be/mUssE1KBbNw?...","2026-02-16T20:13:14.937Z"
"csj43.bsky.social","CBS is lost. Trump controls it.","2026-02-17T10:10:44.164Z"
"csj43.bsky.social","Tell Us,Bernie......","2026-02-17T10:57:16.004Z"
"csj43.bsky.social","Something to think about.","2026-02-17T15:36:44.153Z"
"csj43.bsky.social","This Is Definitely His Legacy….","2026-02-16T21:10:15.425Z"
"csj43.bsky.social","i think jesse jackson was one of the most important american political figures of the post-war era and i think that his 1984 and 1988 campaigns for the democratic nomination still have a great deal to teach about forging a path to a more egalitarian world. RIP.","2026-02-17T13:36:30.462Z"
"csj43.bsky.social","The GOP is once again showing its disdain for the Constitution. fox9.com/news/residen...","2026-02-17T03:06:28.071Z"
"csj43.bsky.social","""""The owners of a Dallas County warehouse that ICE had planned to use as a mega detention center said Monday it will not sell or lease the property to the federal government. “God answered our prayers,” the Hutchins Mayor said after learning of the decision... www.dallasnews.com/news/immigra...","2026-02-16T20:45:12.801Z"
"csj43.bsky.social","The open racism you guys have emboldened, megyn","2026-02-16T22:22:18.538Z"
"csj43.bsky.social","""""In Pennsylvania, the Shapiro administration is warning federal officials that it will not issue required state permits for two planned immigration detention centers..."""" www.spotlightpa.org/berks/2026/0...","2026-02-16T18:52:20.943Z"
"csj43.bsky.social","BREAKING NEWS: FBI FLAGGED HOWARD LUTNICK — TWO CASE FILES — ZORRO RANCH INVESTIGATION - AND THE SPY BEHIND THE BIDEN IMPEACHMENT HAS VANISHED open.substack.com/pub/thelefth...","2026-02-17T03:51:31.885Z"
"csj43.bsky.social","That's not the way it works. Again, it's a political move with midterms not based on any sort of financial or legal reality. #propertytaxes","2026-02-16T22:12:17.646Z"
"csj43.bsky.social","Usually that’s up to the voters, but not when political parties become cults.","2026-02-17T00:38:34.127Z"
"csj43.bsky.social","THE “EPSTEIN CLASS” The DOJ is using selective redactions and half lists that protect the powerful while intentionally confusing the public. They’re protecting reputations, not survivors. @khanna.house.gov","2026-02-17T00:35:47.197Z"
"csj43.bsky.social","There will be elections. This f*ckknuckle doesn’t have enough lead in his pencil to cancel them. They may be chaotic. They may be litigated within an inch of their lives. Courtrooms may stay lit through the night. But the polling stations will open. And they will see record numbers. Oh yes.","2026-02-17T01:35:57.010Z"
"csj43.bsky.social","And what the fuck would these ruthless criminals know about """"sensitive nature""""? The left-over MAGAts prove themselves to be increasingly ignorant... such suckers and fools.","2026-02-17T00:59:17.764Z"
"csj43.bsky.social","www.ms.now/news/lawmake...","2026-02-16T00:55:45.614Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Are we surprised?? NOT AT ALL.","2026-02-17T02:04:04.315Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Are we surprised?? I think NOT, NOT AT ALL.","2026-02-17T02:01:42.265Z"
"csj43.bsky.social","Mark Warner, vice chair of the Senate Select Committee on Intelligence, on elections: In the past, we’ve mostly seen foreign interference — my bigger fear now is domestic interference, some of that potentially originating inside the administration.","2026-02-16T23:50:15.046Z"
"csj43.bsky.social","How horrible what a terrible loss. Lives with so much to offer gone for no reason other than arrogance & greed! tRump’s regime also has blood on his hands like Putin!","2026-02-17T00:34:51.180Z"
"csj43.bsky.social","Since the Winter Olympics is going on, it's fitting to honor these Ukrainian athletes that have been killed by Russia. RIP. SLAVA UKRAINI 🇺🇦","2026-02-16T23:19:07.029Z"
"csj43.bsky.social","🚨BREAKING: A group of civil rights organizations including the NAACP have asked a federal court to protect voters’ personal information after the FBI seized ballots and other election materials during a raid on Fulton County. www.democracydocket.com/news-alerts/...","2026-02-16T17:41:42.855Z"
"csj43.bsky.social","👇👇👇👇","2026-02-16T13:28:48.082Z"
"csj43.bsky.social","Nope, we the People will NEVER stop demanding the #EpsteinFiles #Epstein #TrumppIsAPedo","2026-02-16T17:42:22.537Z"
"csj43.bsky.social","Climate change is a threat to all of us – in Maryland and worldwide. This reversal in environmental regulations will put us all in danger and we must continue to uphold regulations previously made by the EPA in order to protect our planet.","2026-02-16T16:34:22.894288182Z"
"csj43.bsky.social","Donald Trump would rather die before admitting the truth about the horrors he committed over the years. He’s a coward.","2026-02-15T23:45:23.888Z"
"csj43.bsky.social","✋","2026-02-16T21:59:42.317Z"
"csj43.bsky.social","The legacy media keeps getting this wrong. Trump didn't say """"nationalize the election."""" He said We should take over the VOTING in at least many—15 places.' The Republicans ought to nationalize the VOTING."""" There is a big difference.","2026-02-16T14:06:55.177Z"
"csj43.bsky.social","🔴🟡🌹","2026-02-16T15:07:34.156Z"
"csj43.bsky.social","I'm just goin to call it Obama-Biden Day!!","2026-02-16T15:42:46.261Z"
"csj43.bsky.social","To be resumed when we can celebrate decency in the presidency…","2026-02-16T14:55:22.771Z"
"csj43.bsky.social","Congratulations!👏🏼👏🏽🤜🏼🤛🏽💙💙 www.tiktok.com/t/ZP89KPP49/","2026-02-16T20:19:28.670Z"
"csj43.bsky.social","ALFORD: We're not doing the drop boxes, which led to a lot of mistrust during the 2020 election BORIS SANCHEZ: Well, a lot of that mistrust was sewn by the president, who made repeated false claims about widespread election fraud when there was none","2026-02-16T19:46:04.345Z"
"csj43.bsky.social","""""Official ICE policy says 'ICE should not detain, arrest, or take into custody for an administrative violation of the immigration laws individuals known to be pregnant, postpartum, or nursing” except in exceptional circumstances. reproductiverights.org/news/pregnan...","2026-02-16T18:04:21.562Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social @senate.gov Here is proof on President’s Day that the one that lies about his high IQ is lying for Sure.","2026-02-16T18:04:35.070Z"
"csj43.bsky.social","This is wild. 41 DUI arrests by a Tennessee trooper. All dismissed. 22 drivers were completely sober. He “resigned”. No explanation. No accountability. No apology. His personnel file doesn’t even mention the cases. Police departments shouldn’t be in the business of shielding corrupt officers. 1/2","2026-02-15T19:48:35.635Z"
"csj43.bsky.social","Some TRUE FACTS for President’s Day.","2026-02-16T17:42:23.469Z"
"csj43.bsky.social","Some TRUTH for President’s Day.","2026-02-16T17:41:23.820Z"
"csj43.bsky.social","Ossoff: """"Among today's false prophets are the election deniers who indulge this president's obsession with overturning the 2020 election. Hear me when I say this -- they tell a lie so absurd, and therefore so debasing, that the act of telling it proves the teller's total and humiliating submission.""""","2026-02-16T17:22:28.125Z"
"csj43.bsky.social","Short term, medium term, long term: We have to stop funding ICE. Period. #stopICE","2026-02-16T10:49:19.152Z"
"csj43.bsky.social","I wonder where Navarro lives?? Wages are rising where? youtu.be/xIKgelW-sTE","2026-02-16T17:33:56.149Z"
"csj43.bsky.social","Right-wing Heritage Foundation’s own data shows fewer than 100 noncitizens voted since 1982 (!!!) This is not a real problem. “The SAVE ACT is a Trojan horse to nationalize elections”: open.substack.com/pub/thiswill...","2026-02-16T15:23:58.555Z"
"csj43.bsky.social","from the perspective of someone who might want to be president, the best time to run for the white house is now, not later. so if AOC is thinking about it — if the white house is her ambition — then her best bet is to throw her hat in the ring","2026-02-16T14:13:09.952Z"
"csj43.bsky.social","Public records confirm he married Bisa Hall on June 15, 1999—approximately three months before he allegedly approached his current wife.","2026-02-16T12:53:43.335852Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social More of this. Please.","2026-02-16T15:44:42.226Z"
"csj43.bsky.social","The first president’s decision to step down from the presidency after two terms “ensured America wouldn’t become a monarchy, or worse,” he wrote.","2026-02-16T13:57:03.434672Z"
"csj43.bsky.social","Officials in the Trump administration are reportedly furious at Noem’s alleged lover after learning about his toe-curling side hustle.","2026-02-16T15:21:33.817735Z"
"csj43.bsky.social","Republican election officials in multiple states are pushing back against Trump’s efforts to obtain personal information on tens of millions of voters.","2026-02-16T15:27:02.665085Z"
"csj43.bsky.social","Every ICE officer who has broken the law should be arrested, tried, and imprisoned for their crimes.","2026-02-15T23:27:12.353Z"
"csj43.bsky.social","Democrats should propose amendments to the SAVE act that require the government to furnish free IDs to all eligible voters before requiring them, automatically register all people to vote, expand mail-in voting, and create a national voting holiday. Then watch republicans block them.","2026-02-15T23:32:04.219Z"
"csj43.bsky.social","Hope you can see this. www.instagram.com/reel/DNuoHxQ...","2026-02-16T03:19:16.000Z"
"csj43.bsky.social","My message remains the same a year later. We don’t have kings in America, and I won’t bend the knee to one.","2026-02-16T00:58:35.337Z"
"csj43.bsky.social","This is why we must #ImpeachThemAll","2026-02-15T23:17:30.366Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Why is Corey running the show??","2026-02-16T02:12:30.904Z"
"csj43.bsky.social","Interesting. www.threads.com/@johnsonpre2...","2026-02-16T02:00:05.235Z"
"csj43.bsky.social","Will it be national news? Will it cause performative outrage? Will he be censured? Nope. Forgotten by tomorrow.","2026-02-16T01:19:31.357Z"
"csj43.bsky.social","When the U.S. House passed the SAVE Act last year, historians told us it was Congress’ worst attack on voting rights ever. Well, this week the House approved an even worse one. www.democracydocket.com/news-alerts/...","2026-02-15T15:53:33.434Z"
"csj43.bsky.social","We hate you for free!!!!! #Epstein #EpsteinFiles","2026-02-15T01:56:25.439Z"
"csj43.bsky.social","Sadly, ICE learned what not to do in Minnesota… they have not left… but are spreading out in disguise tricking and nabbing people before we can respond. We need a new plan….","2026-02-15T05:04:10.485Z"
"csj43.bsky.social","A child dying of cancer spent her final days fighting to free her wrongfully detained father from ICE custody. This comes just weeks after a mother from Maryland was denied the right to be at her son’s side as he died from cancer. Not one dime for this cruelty. www.cbsnews.com/amp/chicago/...","2026-02-15T21:20:20.286Z"
"csj43.bsky.social","ABC: Do you still have confidence in Pam Bondi as AG? MASSIE: I don't think Pam Bondi has confidence in Pam Bondi. She wasn't confident enough to engage in anything but name calling in a hearing. So no, I don't. She was responsible for the document production.","2026-02-15T14:57:41.290Z"
"csj43.bsky.social","#EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration. #EpsteinAdministration.","2026-02-15T19:57:11.598Z"
"csj43.bsky.social","Rep. Angie Craig: """"The attacks on Black and brown people in Minnesota have been egregious. At the end of the day, what they wanted out of Minnesota was for us to riot. I think this will go down in American history as one of the greatest examples of peaceful resistance from an entire community.""""","2026-02-15T14:37:40.528Z"
"csj43.bsky.social","Says the guy who auctioned off little girls Says the guy who trafficked little girls Says the guy who raped little girls Voter cheating, or electoral fraud, is extremely rare in the USA Only 39 cases of voter fraud were ID'd in a recent election, a mere 0.000039% of over 100 million ballots cast","2026-02-14T21:50:53.690Z"
"csj43.bsky.social","Markwayne Mullin on a grand jury declining to indict Dems over the """"illegal orders"""" video: """"I know the president is focused on the rule of law""""","2026-02-15T14:49:04.039Z"
"csj43.bsky.social","The stock market is not the economy. 🤷","2026-02-14T19:35:06.505Z"
"csj43.bsky.social","Donald Trump is a rapist, insurrectionist, and convicted felon. In Trump's words, """"Thank you for your attention to this matter!""""","2026-02-14T20:01:51.828Z"
"csj43.bsky.social","👀 👀","2026-02-15T14:49:59.098Z"
"csj43.bsky.social","Obama: """"The rogue behavior of agents of the federal government is deeply concerning and dangerous ... the sort of behavior that we've seen in authoritarian countries and we've seen in dictatorships, but we have not seen in America.""""","2026-02-15T13:49:42.525Z"
"csj43.bsky.social","Interesting. www.tiktok.com/t/ZP893svA6/","2026-02-15T13:58:58.447Z"
"csj43.bsky.social","I think @wajali.bsky.social was clear. He acknowledges the current fight, but asks @hakeem-jeffries.bsky.social to lead on the long term goal of abolishing ICE. I don’t understand the leader’s reticence on that very simple, and frankly moderate position.","2026-02-15T08:52:57.744Z"
"csj43.bsky.social","Let's dig into the state of the U.S. labor market: What's happened lately, what's happening soon, and how it's going to shift over the longer run. www.youtube.com/watch?v=5cuy...","2026-02-12T14:15:09.247Z"
"csj43.bsky.social","cool, cool. so we are sort of like citizens, but not really?","2026-02-12T21:09:13.631Z"
"csj43.bsky.social","www.commondreams.org/news/kristi-...","2026-02-14T22:03:58.620Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Think about this.","2026-02-15T13:52:45.382Z"
"csj43.bsky.social","""""Men, their rights, and nothing more; women, their rights, and nothing less."""" -- Susan B. Anthony, born #OTD 1820","2026-02-15T12:51:54.026Z"
"csj43.bsky.social","I hear the nagging question that careens inside your head, the one you ask yourself a few hundred times a day: “Is it me, or has a huge portion of this country lost its mind?” It isn’t you... johnpavlovitz.substack.com/p/hey-dont-l...","2026-02-15T12:47:14.122Z"
"csj43.bsky.social","Here is the convicted felon saying he has won the lawsuit against the IRS. www.instagram.com/reel/DUW7wq3...","2026-02-15T13:40:35.634Z"
"csj43.bsky.social","“I’ve never protested before - but I just watched 4th & 5th grade kids run away from our own government.” 😕🇺🇸💔 (From @crindivisible.bsky.social )","2026-02-15T00:45:31.147Z"
"csj43.bsky.social","This is what a rigged economy looks like.","2026-02-14T23:01:11.038652Z"
"csj43.bsky.social","Here's the Truth: Trump's Fake America ⬇️⬇️⬇️⬇️","2026-02-14T23:34:48.735Z"
"csj43.bsky.social","I’m disgusted by the amount of hate Pam Bondi is getting at the moment. It’s nowhere near enough, and we can do better.","2026-02-14T19:16:38.263Z"
"csj43.bsky.social","Finally someone agrees!!!! She knows where the bodies are buried, so to speak","2026-02-14T12:47:40.189Z"
"csj43.bsky.social","Start with Ivanka.","2026-02-14T12:42:50.196Z"
"csj43.bsky.social","A dude got in a hit and run accident by my house today when I was working from home. Went out to make sure he was ok - flustered, but unhurt. Another dude walking his dog also stopped and got the plate before the car drove away. Take care of each other. ❤️","2026-02-14T03:28:36.677Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Yes they don’t want the people to get educated because we may question what YOU ALL are doing. 🤣🤣","2026-02-14T22:14:58.330Z"
"csj43.bsky.social","The US Dept of Defense has just blacklisted military personnel from taking courses at most of America's top universities, including Harvard, Yale, MIT, and Johns Hopkins. Can't have any educated competent people who might question the legality of his or Trump's orders!","2026-02-14T22:11:53.009Z"
"csj43.bsky.social","Interesting. www.threads.com/@covie_93/po...","2026-02-14T19:02:55.100Z"
"csj43.bsky.social","Interesting www.instagram.com/reel/DUb7G3Q...","2026-02-14T18:02:50.098Z"
"csj43.bsky.social","@guitarnut.bsky.social @djrock.bsky.social @merlinmm.bsky.social @heatherpaterson.co.uk @deadder.bsky.social @sghendricks.bsky.social @dee-gees.bsky.social @yvolette.bsky.social @birdie56.bsky.social @gdad1x7.bsky.social @cajunblue.bsky.social @disabledveteran.bsky.social💡 @dailykotzn.bsky.social","2026-02-13T19:40:01.591Z"
"csj43.bsky.social","💥 SHOCKING DOJ FILES 💥 Robert F. Kennedy Jr. once went dinosaur bone hunting with Jeffrey Epstein and Ghislaine Maxwell in North Dakota 🦖📬 Emails show Maxwell: “didn’t we go fossil hunting with him and Bobby Kennedy?” Epstein: “Yes.” people.com/rfk-jr-went-...","2026-02-14T00:10:41.228Z"
"csj43.bsky.social","How sad!!!!! #Epstein #EpsteinFiles","2026-02-13T19:07:52.174Z"
"csj43.bsky.social","Other countries are releasing the Epstein files publically unredacted; you mother fuckers are toast…….. 🔥","2026-02-14T17:53:25.862Z"
"csj43.bsky.social","Social media companies are suppressing terms like “Epstein” and “ICE” and “voting” because they don’t want you thinking about those things. Like and share everything you see.","2026-02-14T16:58:52.088Z"
"csj43.bsky.social","""""The life of a nation is secure only while the nation is honest, truthful, and virtuous."""" -- Frederick Douglass, born #OTD 1818","2026-02-14T12:18:57.050Z"
"csj43.bsky.social","The anti-vaccine folks are taking over:","2026-02-14T12:27:07.612Z"
"csj43.bsky.social","On this date in 1876, Alexander Graham Bell applied for a patent for the telephone","2026-02-14T13:37:41.861Z"
"csj43.bsky.social","The #MainstreamMedia fails us EVERY DAY.","2026-02-14T14:27:51.063Z"
"csj43.bsky.social","It will never stop shocking me how America just lets their President lie so freely to his constituents.","2026-02-14T13:45:22.367Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Here is his IQ showing. The dumbest individual in the world.","2026-02-14T17:22:20.910Z"
"csj43.bsky.social","RFK Jr promised to restore trust in US health agencies. A year later, it's eroding. apnews.com/article/rfk-...","2026-02-14T16:35:46.206Z"
"csj43.bsky.social","When you read the thread I posted, your first questions should be Who is J P Cooney What investigation did he commence before Garland took up AG office? Did Garland continue that investigation, with Cooney playing his part? Why was Cooney made Smith’s deputy? bsky.app/profile/stev...","2025-01-12T13:03:23.399Z"
"csj43.bsky.social","Adder JPCOONEY began DOJ investigation into Trump, and became Jack Smith’s Deputy. A long term specialist in fraud and Public Integrity and Chief of that section of DC USAO See talkingpointsmemo.com/news/j-p-coo... And abcnews.go.com/amp/Politics... Wasn’t any waste of time by DoJ/Garland from J6","2025-01-12T03:34:45.605Z"
"csj43.bsky.social","Here is some TRUTH. I am surprised his IQ is that high because daily we see proof of a lower IQ.","2026-02-13T23:15:19.995Z"
"csj43.bsky.social","I hope you can listen to this. www.instagram.com/reel/DTLpufB...","2026-02-13T22:33:13.110Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Is this legal, this is what republicans do. www.threads.com/@amay.a100/p...","2026-02-13T21:35:57.842Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social The TRUTH. www.tiktok.com/t/ZP897CV4V/","2026-02-13T21:29:41.715Z"
"csj43.bsky.social","👏🏼👏🏽👏🏼👏🏽🤜🏼🤛🏽⚖️⚖️⚖️ www.threads.com/@bulwarkonli...","2026-02-13T21:25:49.858Z"
"csj43.bsky.social","Interesting. www.threads.com/@repjimmygom...","2026-02-13T20:53:04.007Z"
"csj43.bsky.social","So when Pam Bondi is asked why they don’t investigate the crimes in the Epstein files, she screams there is NO EVIDENCE THAT DONALD TRUMP COMMITTED A CRIME. You know what that means? She knows there IS evidence but won’t look for it. And folks, are hints about some of those kids getting murdered.","2026-02-11T22:50:39.961Z"
"csj43.bsky.social","So Donald Trump sent gestapo goons to hunt down ppl in Minnesota who committed a misdemeanor punishable by a fine.Killed 2 American citizens,hurt 100s more in the process&nothing happens to him,he just up& leaves to go do the same thing somewhere else&faces no consequences other than a few bad polls","2026-02-13T02:33:36.145Z"
"csj43.bsky.social","Will Fox be updating their story on this and giving it the same amount of airtime as they did initial arrest?","2026-02-13T00:41:22.286Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Yes they know they are doing things that should not are not legal, or best thing for AMERICA OR AMERICANS ORCTHE WORLD. www.tiktok.com/t/ZP897Nstg/","2026-02-13T17:49:30.406Z"
"csj43.bsky.social","The community note is the icing on the cake.","2026-02-13T13:25:11.949Z"
"csj43.bsky.social","If we do get out of the Trump regime, whoever comes into office next needs to absolutely demolish every single POS thing Trump has built or will build and seize all of the damn Trump buildings in the U.S. and tear those down, too. I DGAF about """"legality."""" Laws are gone.","2026-02-12T13:06:00.962Z"
"csj43.bsky.social","Hey there Pam Bondi if you have nothing to hide why were you tracking what congressmen were searching on the Epstein files? Why uh…. Why…. Why so nervous?","2026-02-13T14:27:43.159Z"
"csj43.bsky.social","👇👇","2026-02-13T12:25:15.433Z"
"csj43.bsky.social","Rep. Pramila Jayapal accused Bondi and the DOJ of “spying” on members of Congress by keeping track of their search history of the Epstein files.","2026-02-12T08:30:06Z"
"csj43.bsky.social","under questioning by Rand Paul, ICE officials confirm that yelling at officers is not assault and recording officers is not a crime","2026-02-12T16:47:11.136Z"
"csj43.bsky.social","🚨In December 2016, Epstein invited Bill Gates to his island and informed him that “new administration people” were visiting. This was sent exactly one month before Trump was inaugurated for his first term.","2026-02-13T02:12:25.068Z"
"csj43.bsky.social","Hard to believe the president of the United States shared a racist post just a week ago — and it’s already vanished from the headlines.","2026-02-13T01:17:05.889Z"
"csj43.bsky.social","Sooo ... WHY ARE THEY HIDING A GLOBAL PEDOPHILE RING & PROTECTING THE PEDOPHILES? Marjorie Taylor Greene: “It’s way WORSE than you think?” Lauren Boebert: “DEFINITELY MORE CO-CONSPIRATORS"""" AND """"Ghislane Maxwell should spend more time behind bars, she SHOULD NOT BE GRANTED CLEMENCY by tRumpstein","2026-02-12T11:56:54.559Z"
"csj43.bsky.social","Pam Bondi’s testimony on the Epstein files revealed one key thing: The attorney general isn't interested in truth or justice.","2026-02-12T14:06:19.957Z"
"csj43.bsky.social","www.usatoday.com/story/news/p...","2026-02-12T23:41:39.224Z"
"csj43.bsky.social","👀 👀","2026-02-12T23:57:06.409Z"
"csj43.bsky.social","Same. And all politics aside, what king of person lacks the common human decency to even turn their head to acknowledge the victims of childhood rape? Sickening... #AccountabilityIsComing","2026-02-12T22:04:40.403Z"
"csj43.bsky.social","Sickening. #ICEOUT #MN www.mprnews.org/story/2026/0...","2026-02-11T17:55:55.204Z"
"csj43.bsky.social","This is all performative bullshit. Believe it when you don't see ICE in Minneapolis/Saint Paul anymore.","2026-02-12T17:58:45.008Z"
"csj43.bsky.social","Governor @mikiesherrill.bsky.social, please remember there is no greater expert than Alina Habba on the law of parking garages and your state has a lot of them! 😀","2026-02-12T20:35:50.652Z"
"csj43.bsky.social","Like I said: unhinged and unethical.","2026-02-12T20:03:09.369Z"
"csj43.bsky.social","In a country with a bad president, be a Bad Bunny. [Cartoon by Matt Davies]","2026-02-12T21:45:09.246496Z"
"csj43.bsky.social","PAM BONDI IS NOT THE ONLY ONE LYING UNDER OATH Five months ago, Kash Patel told Congress under oath: “There is no credible information… that Epstein trafficked to other individuals. The answer is no.”","2026-02-12T22:17:19.022Z"
"csj43.bsky.social","BREAKING on MS NOW: A federal judge has ruled Pete Hegseth can't penalize Sen. Mark Kelly over that video telling service members they can refuse illegal orders. Judge Richard Leon blocked the disciplinary action after finding an effort to cut his retirement benefits was likely unconstitutional.","2026-02-12T17:46:09.938Z"
"csj43.bsky.social","Maybe I missed something but it seems like the only people that have been ‘found guilty’ are Epstein and Maxwell. Who else (donors & politicians) is he talking about??","2026-02-12T19:10:09.962Z"
"csj43.bsky.social","No, this isn’t like Hitler.’” But things have changed, (Fran) Lebowitz said. “This is exactly like Hitler. This is exactly what the Nazis did. This is not kind of like what the Nazis did. This is precisely what the Nazis did” Repudiate the Trump MAGAs you know www.bostonglobe.com/2026/02/11/a...","2026-02-12T23:18:58.837Z"
"csj43.bsky.social","Epstein survivor Haley Robson: I’m so tired of having this administration just completely dismiss us. They’re supposed to be the party of, you know, family values and protecting children. And I just feel like if that’s the party you are, it seems like Thomas Massie is the only one showing up for it.","2026-02-12T22:24:18.044Z"
"csj43.bsky.social","The guy who has no official government position and couldn't pass a security clearance.","2026-02-12T21:07:57.963Z"
"csj43.bsky.social","Would be great if they controlled the Congress and could issue subpoenas!","2026-02-12T21:10:44.552Z"
"csj43.bsky.social","Breaking WSJ: The highly classified whistleblower complaint against Director of National Intelligence Tulsi Gabbard is related to a conversation intercepted last spring in which two foreign nationals discussed Jared Kushner, according to U.S. officials familiar with the matter.","2026-02-12T21:05:23.579Z"
"csj43.bsky.social","Might be a good time for Dems to ya know, investigate that $2B gift he took from the Saudis!","2026-02-12T21:06:30.147Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social Here is the crooked Jared Kushner, why is he involved he did not even get SECURITY CLEARANCE in the first clown show and the GOP does, says NOTHING??","2026-02-12T21:58:10.054Z"
"csj43.bsky.social","@houserepublicans.bsky.social @housedemocrats.bsky.social How much proof is needed??","2026-02-12T21:55:16.647Z"
"csj43.bsky.social","Yikes — Epstein showing appreciation for @GovBillLee pal Betsy Devos making it harder to report sexual abuse on campuses","2026-02-12T14:33:36.300Z"
"csj43.bsky.social","Mike Lee proves over and over he is, for all practical purposes, brain dead.","2026-02-12T18:53:05.910Z"
"csj43.bsky.social","Indeed. Mike Lee was bounced on his head toooooo many times.","2026-02-12T17:30:11.614Z"
"csj43.bsky.social","We need Dems to blast this simple message @democrats.org","2026-02-12T17:31:10.158Z"
"csj43.bsky.social","Vote suppression is the real cheat","2026-02-12T15:50:58.583Z"
"csj43.bsky.social","Mike Lee, like every other extremist MAGA Republican, refuses to acknowledge that reason illegal immigrants won’t attempt to go to polls is because it’s already illegal, has been for years, unlike misinformation they regularly spew, it’s never been a problem… Where’s proof, Republicans have none?","2026-02-12T14:51:34.732Z"
"csj43.bsky.social","Because they’re arresting and killing civilians, too.","2026-02-12T14:54:53.523Z"
"csj43.bsky.social","Bondi knows a lot about being in - or below - the gutter","2026-02-12T21:39:58.936Z"
"csj43.bsky.social","Trumps cabinet members go before Congress and disrespect the American people and Congress members. Putting on a show for Trump and the Kremlin like empty headed puppets.","2026-02-11T23:04:47.642Z"
"csj43.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
