"user","post","date"
"d5frickel.bsky.social","International corruption of the highest order. Colonialism where there are definite winners and losers. The people of Palestine don’t deserve this. There is zero chance the US will act to thwart this. Shame. apnews.com/article/isra...","2026-02-18T01:02:54.979Z"
"d5frickel.bsky.social","The longer they stick their heads in the ground the better. open.substack.com/pub/zeteo/p/...","2026-02-18T00:27:27.754Z"
"d5frickel.bsky.social","Exactly right. All understand Felon 47 is congenitally susceptible to flattery be it sincere or manipulative.","2026-02-17T14:49:42.371Z"
"d5frickel.bsky.social","They should all decline with better things to do with their time. open.substack.com/pub/joycevan...","2026-02-17T14:31:34.777Z"
"d5frickel.bsky.social","Not a chance!! Trump brags he's been 'totally exonerated' by Epstein files — despite 38K mentions www.rawstory.com/trump-epstei...","2026-02-17T13:57:48.625Z"
"d5frickel.bsky.social","This pious fraud should resign his appointment and go partner with Strickland. They appear to be cut from the same bolt of cloth. open.substack.com/pub/lettersf...","2026-02-17T02:59:43.369Z"
"d5frickel.bsky.social","The Senate should unanimously vote “No.” open.substack.com/pub/luciantr...","2026-02-17T02:48:45.546Z"
"d5frickel.bsky.social","Is he for real??","2026-02-16T23:27:53.835Z"
"d5frickel.bsky.social","Please pay attention, friends.","2026-02-16T22:44:21.418Z"
"d5frickel.bsky.social","Too bad we all cannot take one of Steve’s classes.","2026-02-16T22:40:52.625Z"
"d5frickel.bsky.social","Little Marco, hard to believe, becomes smaller and smaller each day. He can’t get a pass for allowing his ambition to overshadow American values. We simply cannot tolerate him selling out America. open.substack.com/pub/demwinsm...","2026-02-16T22:33:52.567Z"
"d5frickel.bsky.social","“Unprofessionalism” is about the kindest description one could make. GOP sparks outrage with 'despicable' Valentine's Day post: 'Reveling in unprofessionalism' www.rawstory.com/gop-26752713...","2026-02-16T14:34:35.392Z"
"d5frickel.bsky.social","A true bigot!! Servicemembers thrown into chaos as Hegseth blacklists colleges they can attend www.rawstory.com/hegseth-scho...","2026-02-14T16:59:50.772Z"
"d5frickel.bsky.social","Likely, the regime isn’t counting on being successful with Kelly and the other 5. They are trying to scare the sh*t out of active duty folks by showing how they will come after them. ‘Outrageous’: Top Dem marks wins in court but Trump still wants to hang him www.rawstory.com/raw-investig...","2026-02-13T20:46:04.888Z"
"d5frickel.bsky.social","Posts re Catholic liturgy wars can always be counted on to bring leadership. Sadly, few provide context. Eg, this one appears to be remiss in setting the backlash to +Martin where it belongs, prior bishop neglected to implement Francis’ 2021 traditiones custodes. www.ncronline.org/news/latin-m...","2026-02-13T19:10:59.427Z"
"d5frickel.bsky.social","Well, friends, Fr Reese has summed up our circumstances quite well. We the People needs to do everything we can to stop Felon 47. www.ncronline.org/opinion/gues...","2026-02-13T15:47:43.214Z"
"d5frickel.bsky.social","The governors should all take a pass. Let Felon 47 meet with himself. Trump rages at 'wiseguy' Republican governor over dinner invite: 'The fewer the better!' www.rawstory.com/donald-trump...","2026-02-13T02:08:13.112Z"
"d5frickel.bsky.social","Did you ever wonder why Felon 47 likes engaging on SM? He avoids any real-time counter to his BS, and when the response comes, most of his initial audience never sees it. Trump rages at 'wiswiseguyepublican governor over dinner invite: 'The fewer the better!' www.rawstory.com/donald-trump...","2026-02-12T16:34:33.759Z"
"d5frickel.bsky.social","Ronnie is getting what he deserves. So disconnected from truth. ’All lies': GOP senator hit with fierce reply after hot mic comments aired in hearing www.rawstory.com/ron-johnson-...","2026-02-12T16:29:00.016Z"
"d5frickel.bsky.social","If one needs to go to Fox Propaganda Network to rekindle a measure of success, one is really scrapping the bottom . www.dailykos.com/stories/2026...","2026-02-12T00:18:05.269Z"
"d5frickel.bsky.social","Instead of thanking Canada for building a bridge that will benefit the US in many ways, we have another small-minded rage from the felon. Will someone never take his device away?? Raging Trump demands US own half of new Canadian bridge: 'I will not allow this!' www.rawstory.com/trump-267523...","2026-02-10T14:27:24.558Z"
"d5frickel.bsky.social","🤣🤣🤣🤣 Used to be a beacon of democracy. This fraudster has always been loose with the facts. www.rawstory.com/maga-2675236...","2026-02-09T21:26:00.090Z"
"d5frickel.bsky.social","In case there was any doubt about the quality [?] of personnel in this regime.","2026-02-09T03:21:25.374Z"
"d5frickel.bsky.social","Not sure I understand why this jacka** is given any oxygen for these rants. Observers roast Trump's 'psychotic' Super Bowl meltdown: 'Grandpa found his phone' www.rawstory.com/trump-267519...","2026-02-09T03:16:49.225Z"
"d5frickel.bsky.social","If the ugliness of the White House is any indication of Felon 47’s taste in art, his critique of the SB halftime show isn’t worth a plugged nickel. Trump melts down over Super Bowl halftime show: 'One of the worst ever!' www.rawstory.com/trump-267519...","2026-02-09T02:26:11.913Z"
"d5frickel.bsky.social","Outstanding article. So true. This Trump obsession has caused only harm — and remains a danger to the whole world www.rawstory.com/raw-investig...","2026-02-08T21:25:42.673Z"
"d5frickel.bsky.social","😂 😂 😂 😂 😂 Snowflake MAGAs want our athletes to be something they are not - fans of the current government. I would be shocked if they were. MAGA will come to realize they are a very small minority in our country. They are free to complain all they want. www.thedailybeast.com/maga-sent-in...","2026-02-07T19:22:53.410Z"
"d5frickel.bsky.social","Still jockeying for a pass through the pearly gates. May he rot on he**. ground.news/article/dona...","2026-02-07T17:10:05.057Z"
"d5frickel.bsky.social","But Czarzasty is absolutely correct. MAGA just can’t cope with the truth. US diplomat cuts ties with foreign official over 'unprovoked insult' on Trump Peace Prize www.rawstory.com/trump-ambass...","2026-02-07T00:34:30.022Z"
"d5frickel.bsky.social","Fake sanguinity!! www.rawstory.com/karoline-lea...","2026-02-06T16:29:30.031Z"
"d5frickel.bsky.social","🤣🤣🤣🤣🤣 We don’t make the decision, but the facts on the ground suggest otherwise. open.substack.com/pub/thebulwa...","2026-02-06T15:53:16.647Z"
"d5frickel.bsky.social","The GOP Senate negative reaction to a list of safeguards for DHS to follow in their deportation actions that are nothing but normal law enforcement procedures shows exactly who is radical and out of touch w/Rule of Law - Felon 47 & Rs. open.substack.com/pub/heatherc...","2026-02-06T15:08:04.944Z"
"d5frickel.bsky.social","What an embarrassment to our country. Can we please send him home? No one with a low regard for the Rule of Law should have a security clearance. Could he be a serious threat to national security? meidasnews.com/news/elon-mu...","2026-02-05T20:40:47.091Z"
"d5frickel.bsky.social","Don’t understand how anyone can claim someone who fails to follow the Gospels can be referred to as “devout” anything Christian. This man is the consummate chameleon. open.substack.com/pub/lettersf...","2026-02-05T03:43:32.086Z"
"d5frickel.bsky.social","Bessent knows better. Inflation was initially stimulated by the supply chain issues during the pandemic and then the government spending for safety net and other stimulus in the aftermath. www.nytimes.com/2026/02/04/u...","2026-02-05T02:47:53.878Z"
