"user","post","date"
"debkass.bsky.social","Over 8000 attorneys, paralegals, and staff members have quit the DOJ, many with very public statements. Is this the law and order that republicans were talking about? We’re destroying every agency and institution to protect a bunch of rich pedophiles.","2026-02-18T12:00:38.371Z"
"debkass.bsky.social","The FDA is moving the goalposts in their ongoing effort to cull the American public.","2026-02-17T01:10:12.177Z"
"debkass.bsky.social","""""Age 10"""". Dwell on this.","2026-02-17T02:23:03.970Z"
"debkass.bsky.social","Please watch and repost this video by Rep. Melanie Stansbury re Epstein's crimes and cover-ups which took place in New Mexico","2026-02-17T22:05:43.443Z"
"debkass.bsky.social","Incredible. We got to """"Is a pedophile island really all that bad?"""" five times faster than I thought.","2026-02-16T22:59:29.780Z"
"debkass.bsky.social","“I am somebody” shaped how millions of us saw ourselves as kids, including me. That message mattered. It still does. Rest in power, Jesse Jackson 🙏🏽","2026-02-17T16:40:47.299Z"
"debkass.bsky.social","Yep! It makes sense why he chose the ones he chose....blackmail. They're all in the files.","2026-02-13T20:10:04.273Z"
"debkass.bsky.social","New reporting has revealed at least 6 top Trump officials appear in the Epstein files. They are Commerce Secretary Howard Lutnick, HHS Secretary RFK Jr., CMS Administrator Mehmet Oz, Deputy Defense Secretary Stephen Feinberg, Navy Secretary John Phelan, and nominee for Fed Chair Kevin Warsh.","2026-02-17T15:15:17.857Z"
"debkass.bsky.social","This is concerning, that a rep feels they must post this. A lot in our coalition has felt the same way and worried about it, but didn’t think we’d be here publicly.","2026-02-14T01:27:52.265Z"
"debkass.bsky.social","Koh: I wish that Kristi Noem had as much passion for homeland security as she has passion for Corey Lewandowski.","2026-02-14T03:09:36.240Z"
"debkass.bsky.social","Cartoon by Nick Anderson","2026-02-13T18:31:09.232833Z"
"debkass.bsky.social","NEWS: Goldman Sachs’ top lawyer Kathryn Ruemmler has RESIGNED after newly released emails exposed a years-long personal relationship with Jeffrey Epstein — including advising him on handling sex crime accusations, media scrutiny, and accusers.","2026-02-13T02:23:26.112Z"
"debkass.bsky.social","BREAKING: Goldman Sachs's top lawyer, Kathryn Ruemmler, has just resigned in the wake of the Justice Department's release of emails and other material that revealed her extensive relationship with Jeffrey Epstein. www.nytimes.com/2026/02/12/b...","2026-02-13T01:35:37.264Z"
"debkass.bsky.social","CARTOON OF THE DAY 😕 (From @andertoon.bsky.social )","2026-02-13T04:06:01.619Z"
"debkass.bsky.social","Breaking WSJ: The highly classified whistleblower complaint against Director of National Intelligence Tulsi Gabbard is related to a conversation intercepted last spring in which two foreign nationals discussed Jared Kushner, according to U.S. officials familiar with the matter.","2026-02-12T21:05:23.579Z"
"debkass.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
"debkass.bsky.social","News: The top-secret whistleblower complaint against Tulsi Gabbard is related to a conversation intercepted last spring in which two foreign nationals discussed Jared Kushner, according to U.S. officials familiar with the matter. www.wsj.com/politics/nat...","2026-02-12T21:00:19.505Z"
"debkass.bsky.social","Today, the Trump administration repealed the endangerment finding: the ruling that served as the basis for limits on tailpipe emissions and power plant rules. Without it, we’ll be less safe, less healthy and less able to fight climate change—all so the fossil fuel industry can make even more money.","2026-02-12T19:46:12.277Z"
"debkass.bsky.social","surrounded by men he can blackmail who are too terrified to blackmail him. #mafia #KGB #FSB","2026-02-12T15:05:19.275Z"
"debkass.bsky.social","Just take a look at this and remember, Pam Bondi's concern here was not with any of the victims of these crimes but with the nosy Democrats who actually gave a shit about them.","2026-02-12T00:38:18.230Z"
"debkass.bsky.social","NEW: A page from Bondi's burn book. This is a list of the searches by Rep Jayapal of the unredacted Epstein files. That means the DOJ grabbed her search terms from the computers they set up for members of congress to view the Epstein files to use as ammunition. The photo is from Reuters.","2026-02-11T23:36:23.833Z"
"debkass.bsky.social","Bondi has spent this entire hearing crashing out, talking about the stock market, and trying to do anything but talk about Epstein. The American people see through this bullshit. Innocent people don’t act this way.","2026-02-11T18:26:00.994Z"
"debkass.bsky.social","This is crazy. Why the fuck did she have a list of the Epstein files that Jayapal accessed?","2026-02-12T01:28:14.784Z"
"debkass.bsky.social","Massie: """"She didn't answer anything. She came here ready to talk about the Dow Jones and the Nasdaq, which seems kind of crazy to me.""""","2026-02-11T17:42:46.789Z"
"debkass.bsky.social","Given repeated opportunities, AG Bondi repeatedly refuses to apologize for exposing the identities, sensitive information, and photographs of Epstein victims, attacking lawmakers for asking the question.","2026-02-11T16:33:12.441Z"
"debkass.bsky.social","Likely-historic photo by NBC News of all the Epstein victims asked to raise their hands if they've not yet been asked to meet with the DOJ as Bondi testifies in foreground","2026-02-11T17:15:47.987Z"
"debkass.bsky.social","Pam Bondi just laughed when asked if she would apologize to Epstein Survivors.","2026-02-11T15:47:06.999Z"
"debkass.bsky.social","US Olympic Team member: What's happening in Minnesota is wrong. There's no shades of gray. We love our country. We're playing for Team USA. What the Olympics means is excellence, respect, friendship. We are playing for the people around the country who show those, share those same values","2026-02-10T21:07:17.442Z"
"debkass.bsky.social","Republicans have introduced a bill that would disenfranchise millions of women from voting if their married name doesn’t match the name on their birth certificate.","2026-02-10T21:20:03.017Z"
"debkass.bsky.social","Trump: This is the greatest period of anything that we've ever seen (???)","2026-02-10T21:23:08.680Z"
"debkass.bsky.social","Listen to this. Not a penny more for this. Abolish and prosecute anyone who had anything to do with it.","2026-02-10T15:41:53.797Z"
"debkass.bsky.social","Howard Lutnick was Epstein’s business partner and he lied about it. I wonder why?","2026-02-09T22:30:20.745Z"
"debkass.bsky.social","Pay attention. this is so damning.","2026-02-09T23:05:20.422Z"
"debkass.bsky.social","‼️‼️","2026-02-09T21:07:12.087Z"
"debkass.bsky.social","Bring back firing squads for anyone involved. Don’t care who.","2026-02-09T20:45:45.071Z"
"debkass.bsky.social","This Letter from a US Attorney Announced Epstein’s Death - the Day BEFORE he Died (He died 8/10) @maddow.bsky.social @kristenwelker.bsky.social @velshi.com @lawrenceodonnell.bsky.social jmail.world/drive/EFTA00...","2026-02-09T00:24:42.789Z"
"debkass.bsky.social","Crockett: """"The US is falling apart, partially bc he's allowing for killings in the street, but also bc we have a 34 count convicted felon being shielded from any type of accountability as it relates to a child sex trafficking ring. I don't understand why we're pretending any of this is normal.""""","2026-02-09T15:55:51.295Z"
"debkass.bsky.social","Ossoff: """"You're seeing what I'm seeing, right? The president posting about the Obamas like a Klansman.""""","2026-02-07T23:38:48.354Z"
"debkass.bsky.social","Spectacular!!!","2026-02-09T01:34:47.778Z"
"debkass.bsky.social","Good morning. The President of the United States was in the middle of the most serious child sex trafficking ring of the last quarter century. He is referenced not a dozen times in the case files. Not 100 times. Not 1,000 times. He’s referenced 38,000 times.","2026-02-08T19:50:34.455Z"
"debkass.bsky.social","T/L cleanser: If you missed @colbertlateshow.bsky.social this is the Shakespear monologue performed by Ian McKellen. www.youtube.com/shorts/BwxYR...","2026-02-08T03:07:13.809Z"
"debkass.bsky.social","As much as we want to rip them a new one for getting us into this mess, when people on the right come forward and apologize and admit they were wrong, we should probably welcome them to the light.","2026-02-07T05:17:33.247Z"
"debkass.bsky.social","You may recall that in January of 2025, artist Ann Telnaes announced that she had quit The Washington Post after editors killed a cartoon that depicted owner Jeff Bezos, among others, genuflecting to Trump. This cartoon feels even more relevant this week.","2026-02-07T00:01:20.458740Z"
