"user","post","date"
"dfgarrett.bsky.social","Holy Honkers Last call hilarious","2025-11-08T03:51:51.612Z"
"dfgarrett.bsky.social","Awwww Nuts Some lucky squirrel may be a winner!","2025-10-22T20:55:20.566Z"
"dfgarrett.bsky.social","Make American Graffiti Art","2025-10-21T14:31:59.065Z"
"dfgarrett.bsky.social","Make American Graffiti Art","2025-10-21T14:31:59.065Z"
"dfgarrett.bsky.social","Not responsible for accidents","2025-10-18T14:52:20.656Z"
"dfgarrett.bsky.social","Not responsible for accidents","2025-10-18T14:52:20.656Z"
"dfgarrett.bsky.social","Abby","2025-10-18T03:07:34.969Z"
"dfgarrett.bsky.social","I scream You scream We All scream","2025-10-18T02:25:09.492Z"
"dfgarrett.bsky.social","Abby","2025-10-18T03:07:34.969Z"
"dfgarrett.bsky.social","I scream You scream We All scream","2025-10-18T02:25:09.492Z"
"dfgarrett.bsky.social","Plan B","2025-10-17T14:18:24.626Z"
"dfgarrett.bsky.social","Plan B","2025-10-17T14:18:24.626Z"
"dfgarrett.bsky.social","I LOST COUNT, IS THAT 50? For my late nite viewers","2025-10-17T03:28:27.756Z"
"dfgarrett.bsky.social","I LOST COUNT, IS THAT 50? For my late nite viewers","2025-10-17T03:28:27.756Z"
"dfgarrett.bsky.social","Look and Listen","2025-10-16T23:21:02.318Z"
"dfgarrett.bsky.social","Look and Listen","2025-10-16T23:21:02.318Z"
"dfgarrett.bsky.social","This morning Looking at tiny homes in the Ancient Forest","2025-10-11T15:41:10.076Z"
"dfgarrett.bsky.social","This morning Looking at tiny homes in the Ancient Forest","2025-10-11T15:41:10.076Z"
"dfgarrett.bsky.social","Same old same old","2025-10-11T02:25:51.345Z"
"dfgarrett.bsky.social","Same old same old","2025-10-11T02:25:51.345Z"
"dfgarrett.bsky.social","Shaken, not Stirred","2025-10-10T20:16:27.784Z"
"dfgarrett.bsky.social","LIMBO It helps to exhale","2025-10-06T19:13:24.241Z"
"dfgarrett.bsky.social","Look around corners","2025-10-07T02:28:38.400Z"
"dfgarrett.bsky.social","November 4, 2024 I asked the trees if Dems would win and the sky ANSWERED so I took pic","2025-10-07T02:49:39.512Z"
"dfgarrett.bsky.social","HERE YE GO","2025-10-07T14:14:09.211Z"
"dfgarrett.bsky.social","HERE YE GO","2025-10-07T14:14:09.211Z"
"dfgarrett.bsky.social","November 4, 2024 I asked the trees if Dems would win and the sky ANSWERED so I took pic","2025-10-07T02:49:39.512Z"
"dfgarrett.bsky.social","Look around corners","2025-10-07T02:28:38.400Z"
"dfgarrett.bsky.social","LIMBO It helps to exhale","2025-10-06T19:13:24.241Z"
"dfgarrett.bsky.social","WANT FRIES WITH THAT?","2025-10-05T17:30:08.021Z"
"dfgarrett.bsky.social","Waiting on new robes- I mean uniforms. Pick up at the cap and gown... graduation ceremony","2025-10-05T18:20:02.029Z"
"dfgarrett.bsky.social","Make Alphabets Cursive Again OLD, OLD School Try your hand My phone stylus, no app","2025-10-05T21:48:30.898Z"
"dfgarrett.bsky.social","Make Alphabets Cursive Again OLD, OLD School Try your hand My phone stylus, no app","2025-10-05T21:48:30.898Z"
"dfgarrett.bsky.social","Waiting on new robes- I mean uniforms. Pick up at the cap and gown... graduation ceremony","2025-10-05T18:20:02.029Z"
"dfgarrett.bsky.social","WANT FRIES WITH THAT?","2025-10-05T17:30:08.021Z"
"dfgarrett.bsky.social","LAST CALL FOR FALL","2025-10-05T17:14:55.719Z"
"dfgarrett.bsky.social","LAST CALL FOR FALL","2025-10-05T17:14:55.719Z"
"dfgarrett.bsky.social","Sweep them off the rug. It used to be a magic carpet","2025-10-05T02:16:00.286Z"
"dfgarrett.bsky.social","Sweep them off the rug. It used to be a magic carpet","2025-10-05T02:16:00.286Z"
"dfgarrett.bsky.social","SWEET DREAMS","2025-10-05T01:55:44.927Z"
"dfgarrett.bsky.social","SWEET DREAMS","2025-10-05T01:55:44.927Z"
"dfgarrett.bsky.social","OUT OF BOUNDS","2025-10-04T23:59:02.075Z"
"dfgarrett.bsky.social","'MAN' YOUR """"POSTS"""" The Inquisitions Begin","2025-10-04T13:54:48.818Z"
"dfgarrett.bsky.social","Depends on your definition","2025-10-04T14:42:08.678Z"
"dfgarrett.bsky.social","Desert rat rap You read that right Back to yard work","2025-10-04T18:24:49.968Z"
"dfgarrett.bsky.social","OUT OF BOUNDS","2025-10-04T23:59:02.075Z"
"dfgarrett.bsky.social","A STICKY WICKET Going to be tight Preferred game of French Revolution Learn the rules, you can come back from the dead","2025-10-04T23:54:59.662Z"
"dfgarrett.bsky.social","A STICKY WICKET Going to be tight Preferred game of French Revolution Learn the rules, you can come back from the dead","2025-10-04T23:54:59.662Z"
"dfgarrett.bsky.social","Remember to SET YOUR CLOCKS","2025-10-04T18:55:19.953Z"
"dfgarrett.bsky.social","Blue 4 alll of U","2025-10-04T20:06:09.393Z"
"dfgarrett.bsky.social","Remember to SET YOUR CLOCKS","2025-10-04T18:55:19.953Z"
"dfgarrett.bsky.social","Desert rat rap You read that right Back to yard work","2025-10-04T18:24:49.968Z"
"dfgarrett.bsky.social","ABOUT FACE","2025-10-04T17:25:58.037Z"
"dfgarrett.bsky.social","ABOUT FACE","2025-10-04T17:25:58.037Z"
"dfgarrett.bsky.social","Depends on your definition","2025-10-04T14:42:08.678Z"
"dfgarrett.bsky.social","'MAN' YOUR """"POSTS"""" The Inquisitions Begin","2025-10-04T13:54:48.818Z"
"dfgarrett.bsky.social","Kama Sutra Silva","2025-10-04T03:41:02.807Z"
"dfgarrett.bsky.social","Kama Sutra Silva","2025-10-04T03:41:02.807Z"
"dfgarrett.bsky.social","Calling all Ruby slippers","2025-10-03T18:05:03.896Z"
"dfgarrett.bsky.social","LAUGH UNTIL YOU CRY And """"big boys don't cry"""" Song by 10 cc 'im Not in Love' It's better if you relax first...","2025-10-03T20:44:46.575Z"
"dfgarrett.bsky.social","LAUGH UNTIL YOU CRY And """"big boys don't cry"""" Song by 10 cc 'im Not in Love' It's better if you relax first...","2025-10-03T20:44:46.575Z"
"dfgarrett.bsky.social","He'll want a Nobel probably","2025-10-03T13:23:21.710Z"
"dfgarrett.bsky.social","Time to huddle","2025-10-03T16:45:14.005Z"
"dfgarrett.bsky.social","A REMINDER DON'T DRINK AND DRIVE MISSLES","2025-10-03T19:43:34.504Z"
"dfgarrett.bsky.social","A REMINDER DON'T DRINK AND DRIVE MISSLES","2025-10-03T19:43:34.504Z"
"dfgarrett.bsky.social","Calling all Ruby slippers","2025-10-03T18:05:03.896Z"
"dfgarrett.bsky.social","Time to huddle","2025-10-03T16:45:14.005Z"
"dfgarrett.bsky.social","A SILVER LINING IN THE BLUE SKY","2025-10-03T01:21:07.373Z"
"dfgarrett.bsky.social","A SILVER LINING IN THE BLUE SKY","2025-10-03T01:21:07.373Z"
"dfgarrett.bsky.social","Tree frog on front door In the Ancient Forest","2025-10-03T00:01:06.437Z"
"dfgarrett.bsky.social","SLAVA UKRAINE Credit POV Porcelain War","2025-10-02T23:58:36.349Z"
"dfgarrett.bsky.social","Beautiful Weather","2025-10-02T23:50:04.997Z"
"dfgarrett.bsky.social","Iz gud 'fu abul ta reed DEPARTMENT OF SAFETY AND HOMELAND SECURITY My actual permit, I asked for a version that was believable. Weed vewy vewy caaafuley","2025-10-02T23:56:57.000Z"
"dfgarrett.bsky.social","FRANKENSTEINS LABORATORY MY 11 DAY CAR-T COMA I'm Back! Cancer free Repost Repost Repost","2025-10-03T00:12:44.075Z"
"dfgarrett.bsky.social","FRANKENSTEINS LABORATORY MY 11 DAY CAR-T COMA I'm Back! Cancer free Repost Repost Repost","2025-10-03T00:12:44.075Z"
"dfgarrett.bsky.social","Tree frog on front door In the Ancient Forest","2025-10-03T00:01:06.437Z"
"dfgarrett.bsky.social","SLAVA UKRAINE Credit POV Porcelain War","2025-10-02T23:58:36.349Z"
"dfgarrett.bsky.social","Iz gud 'fu abul ta reed DEPARTMENT OF SAFETY AND HOMELAND SECURITY My actual permit, I asked for a version that was believable. Weed vewy vewy caaafuley","2025-10-02T23:56:57.000Z"
"dfgarrett.bsky.social","Beautiful Weather","2025-10-02T23:50:04.997Z"
"dfgarrett.bsky.social","MAY THE ODDS B N R FAVOR","2025-10-02T19:48:04.751Z"
"dfgarrett.bsky.social","MAY THE ODDS B N R FAVOR","2025-10-02T19:48:04.751Z"
"dfgarrett.bsky.social","How to Become a Super Learner | Psychology Today www.psychologytoday.com/us/blog/when...","2025-10-02T12:58:53.065Z"
"dfgarrett.bsky.social","How to Become a Super Learner | Psychology Today www.psychologytoday.com/us/blog/when...","2025-10-02T12:58:53.065Z"
"dfgarrett.bsky.social","Unretouched Textures and Patterns","2025-10-02T01:28:54.423Z"
"dfgarrett.bsky.social","DON'T LOSE YOUR HEADS Poultry Poltergeist","2025-10-02T02:18:40.781Z"
"dfgarrett.bsky.social","DON'T LOSE YOUR HEADS Poultry Poltergeist","2025-10-02T02:18:40.781Z"
"dfgarrett.bsky.social","Unretouched Textures and Patterns","2025-10-02T01:28:54.423Z"
"dfgarrett.bsky.social","Upset the Board","2025-10-02T01:17:29.298Z"
"dfgarrett.bsky.social","Upset the Board","2025-10-02T01:17:29.298Z"
"dfgarrett.bsky.social","This joke is MINE ALL MINE","2025-10-01T20:13:17.923Z"
"dfgarrett.bsky.social","What KIND of Theatre?","2025-10-01T23:58:08.616Z"
"dfgarrett.bsky.social","Happy October Welcome to the Web","2025-10-02T00:29:37.105Z"
"dfgarrett.bsky.social","Happy October Welcome to the Web","2025-10-02T00:29:37.105Z"
"dfgarrett.bsky.social","WWI Black Toms Recruiting poster Regardez les chats in Argonne Tank Corps under G. Patton Thanks, Uncles Earl, Jules at least you tried. Wish us Luck, we are NEW TOMS","2025-10-02T00:19:00.383Z"
"dfgarrett.bsky.social","WWI Black Toms Recruiting poster Regardez les chats in Argonne Tank Corps under G. Patton Thanks, Uncles Earl, Jules at least you tried. Wish us Luck, we are NEW TOMS","2025-10-02T00:19:00.383Z"
"dfgarrett.bsky.social","BEST SHERLOCK EVER Jeremy Brett 1933-1995 Rationalizing In Paradise","2025-10-01T19:53:37.101Z"
"dfgarrett.bsky.social","Teatotallers Welcome","2025-10-01T20:26:48.086Z"
"dfgarrett.bsky.social","So Far So Good Russian Armed Forces Day Don't check the Doomsday Clock","2025-10-01T21:12:31.643Z"
"dfgarrett.bsky.social","As my doctors always tell me: """"Take care of yourself""""","2025-10-01T22:20:28.793Z"
