"user","post","date"
"digny.bsky.social","From Brandy """" please if you're able help my mother, she desperately needs a home health aide I'm not able to do some of the things she needs. Please donate whatever you can"""" Love Brandy","2026-01-04T18:53:55.670Z"
"digny.bsky.social","Who’s the daddy? Which female in trumps world am I thinking of?","2026-01-04T14:41:01.254Z"
"digny.bsky.social","The “peace” President has started a war.","2026-01-03T18:20:51.403Z"
"digny.bsky.social","Trump says Venezuela was ours and they stole our property. We got the oil back","2026-01-03T16:58:07.938Z"
"digny.bsky.social","NY Day Favs @hopeful66.bsky.social @atoth99.bsky.social @frankiemillie10.bsky.social @seizeday.bsky.social @paula2168.bsky.social @baileygvt.bsky.social @hourofignorance.bsky.social @annmb48.bsky.social @genxer-71.bsky.social @blueresister.bsky.social @bab102.bsky.social","2026-01-01T12:36:24.074Z"
"digny.bsky.social","I nominate word of the year to be QUEENAGER That’s what I am. A grandma with a strong Gen Z influence. In Florida they call us radical","2025-12-30T21:50:14.653Z"
"digny.bsky.social","Putin says","2025-12-29T01:25:22.230Z"
"digny.bsky.social","Acton: The fact that my opponent is Hindu has absolutely nothing to do with this election. No one’s religion has anything to do with the problems of everyday Ohioans. But this is coming from somebody who has literally spent his life creating culture wars and pitting us against one another.","2025-12-26T21:33:23.409Z"
"digny.bsky.social","Here's the Truth about #MAGA draft-dodger Trump. He released 5,000 Taliban terrorists from prison to disrupt our withdrawal from Afghanistan. 13 US soldiers were killed during the withdrawal & Trump dishonored them with a thumbs up political photo-op at their Arlington graves.","2025-12-26T17:52:46.043Z"
"digny.bsky.social","I can’t believe we have to fight so hard to get justice for sex crime victims age 12-13-14-15-16. I’m freaking shocked American kids were flown to islands or stowed on super yachts for torture adult women must google to understand what the sex act is","2025-12-26T19:29:22.714Z"
"digny.bsky.social","Flashback post and yep, still our favorite.","2025-12-26T17:25:14.490Z"
"digny.bsky.social","In 2025, the United States bombed: - Iran - Yemen - Syria - Iraq - Afghanistan - Somalia - Venezuela - Nigeria Working hard for that Nobel. Reshare kevinrkirk","2025-12-26T12:21:40.794Z"
"digny.bsky.social","Never considered this point before. Who caused the Holocaust?","2025-12-25T16:28:15.266Z"
"digny.bsky.social","Trump threatens arrest and imprisonment for practicing the first amendment! Can the court system handle 200 million people? I’m thinking we collapse the penal system myself Fascism isn’t silencing me.","2025-12-25T16:27:00.162Z"
"digny.bsky.social","USA 2025. The Republicans fall","2025-12-25T16:17:29.950Z"
"digny.bsky.social","Not me","2025-12-25T15:15:31.205Z"
"digny.bsky.social","Exactly","2025-12-25T14:07:53.423Z"
"digny.bsky.social","@christopherweyant1.bsky.social","2025-12-24T13:30:34.591Z"
"digny.bsky.social","I’m a new fan… One of the most improbable stories in classical music history: not because they are Black, but because they are seven siblings in one family of virtuosos. The parents of the award winning Kanneh-Masons deserve an award too.","2025-12-24T17:42:59.944Z"
"digny.bsky.social","An ICE officer shot an undocumented driver trying to evade arrest on Wednesday in a Baltimore suburb, ICE and local officials said, resulting in a crash that left the driver and a passenger hospitalized.","2025-12-25T13:40:05.903732Z"
"digny.bsky.social","Trump buys a yacht around the time he visited Russia & rumored to be turned He buys said yacht from the Sultan of Brunei mentioned in the Epstein files. Who seized the Nabila from arms dealer Khoshegi. The uncle of the murdered WP journalists Trumps tied to. Saudis now own the Trump Princess.","2025-12-24T17:10:06.615Z"
"digny.bsky.social","Gonna be hard for trump and DOJ to argue documents are fake. By doing so they expose how vulnerable trump and Vance made our country. If fake documents can be hacked into DOJ that’s saying we are so screwed. Just saying","2025-12-24T14:47:15.750Z"
"digny.bsky.social","👇👇","2025-12-23T15:22:18.056Z"
"digny.bsky.social","CERTIFIABLE AIN’T DENIABLE","2025-12-23T23:51:29.631Z"
"digny.bsky.social","youtu.be/Mv52eEBI2Vk?... Merry Christmas","2025-12-23T19:44:18.679Z"
"digny.bsky.social","This is appearing true. Someone I follow because truth matters said there’s a case tied to this. This is the evil Epstein referred to","2025-12-23T19:35:38.626Z"
"digny.bsky.social","Aka send hard working dads off to a prison to be raped without a trial. A little girls papa. Dads crime? He wanted better for his kids. Was dad being a El Salvadorian sex toy to hide trump and his SS staff to help hide job loss numbers trump knew were gonna hit? To spin away from Epstein? Rape!","2025-12-23T17:56:43.618Z"
"digny.bsky.social","Isaiah 58:7-8 “Is it not to share your bread with the hungry and bring the homeless poor into your house?"""" @housegop","2025-12-23T16:20:54.964Z"
"digny.bsky.social","Reading this was chilling. They were cold as ice","2025-12-23T16:14:28.947Z"
"digny.bsky.social","Why shutting out working parents and teachers in Sarasota FL from school board meetings matter to all in FL and in the nation? We are the Petri dish for Heritage aka Koch bad visions for education. Ban books, delete history in slavery started here.","2025-12-23T14:24:50.853Z"
"digny.bsky.social","Cancel Paramount Plus","2025-12-22T22:23:44.264Z"
"digny.bsky.social","Attention resisters. The perfect Christmas gift to the trump family would be dumping a pile of snow in front of Mar Lago. What a site that’d be until trump and staff saw it was real snow","2025-12-22T18:01:44.738Z"
"digny.bsky.social","Time to give Paramount Plus the old Uncle Sam Disney left hook and follow up with a “Target”ed Sinclair Upper Cut y’all Boycott Cancel Paramount Plus. Your home can do without it","2025-12-22T16:57:28.543Z"
"digny.bsky.social","Boycott Trumps enablers. Boycott Paramount Plus. Actually Americans do their best when it’s a boycott. Ask Disney and Sinclair","2025-12-22T16:52:18.831Z"
"digny.bsky.social","Release the Epstein Files","2025-12-22T16:31:56.905Z"
"digny.bsky.social","MAMA told me you can’t outrun a lie. Trump is proving MAMA right","2025-12-22T16:30:25.701Z"
"digny.bsky.social","One more lie amongst the thousands told.","2025-12-20T20:00:49.920Z"
"digny.bsky.social","So NC Gov Stein reports only 11 percent of the aid has been sent after Hurricane Helene. Repeat. FEMA sent only 11 percent of funds needed.","2025-12-21T19:45:15.321Z"
"digny.bsky.social","Stein: What is typical after a storm like this is that the federal government provides about 50, 60, even 70 percent of the damages in relief dollars to help a region recover from a massive hit. So far, North Carolina has received about 11 percent.","2025-12-21T17:40:37.980Z"
"digny.bsky.social","Hope Ice doesn’t read Santa’s text the last five years he won’t get out of Kennedy.","2025-12-21T15:55:27.283Z"
"digny.bsky.social","It was Trump. Red faced and about to pop shouting and throwing whatever was in site “get them off now” my guess","2025-12-20T22:47:56.830Z"
"digny.bsky.social","Deleted photo 468","2025-12-20T18:01:37.876Z"
"digny.bsky.social","Pam Bondi and Cash Patel aren’t gonna be able to outrun breaking the law. Congress in a moment of divine wisdom when they made the Epstein Release law the power to prosecute post trump terms. They’re gonna go to jail for a walking corpse","2025-12-20T17:50:20.514Z"
"digny.bsky.social","Spot on","2025-12-20T01:03:42.414Z"
"digny.bsky.social","Our Daughters pubic hair isn’t dental floss Trump!!!!!!!!!!!!!","2025-12-19T19:56:48.229Z"
"digny.bsky.social","There is no shame in Republicans in Congress - their Violations of the Constitution and their Oaths to it pretty closes the bookon that!","2025-12-19T18:43:25.508Z"
"digny.bsky.social","If only they had honored their word. Their oath.","2025-12-19T18:05:19.626Z"
"digny.bsky.social","About false idols and the harm your stuck with because of them","2025-12-19T15:45:36.300Z"
"digny.bsky.social","Republicans in Congress who enabled trump. Are You really proud of the legacy you own? @democrats.senate.gov @houserepublicans.bsky.social @senategop.govpeeps.us","2025-12-19T15:38:08.830Z"
"digny.bsky.social","IF TRUMPS ECONOMY WAS GREAT people would be saying Merry Christmas! Be honest. Are people jolly?","2025-12-19T15:33:29.486Z"
"digny.bsky.social","That photo op Nasty Noem took in Tampa handing out checks to ‘select’ people. I found the backdrop, the workers, looked very similar to those from Chicago. I’m wondering Are the Select Workers those working Ice deportations & not the civil service workers who worked unpaid. Ice got paid note","2025-12-19T14:35:03.176Z"
"digny.bsky.social","@bab102.bsky.social @revdrauntmartha.bsky.social @tonyhq1985.bsky.social @lenny60.bsky.social @book960.bsky.social @proudlyblue.bsky.social @schfinkes.bsky.social @wins-rick.bsky.social @merlinmm.bsky.social @guiocoche.bsky.social @cotol17.bsky.social @vstewart2465.bsky.social @dmansini.bsky.social","2025-12-19T11:25:28.728Z"
"digny.bsky.social","It’s to bully the Kennedy’s before Christmas. Trump with RFK jr. It’s like when trump tells his buddies wife he cheated on her with Epstein teens to get revenge screwed. You are the person you admire maga. See why girls think your piggies!","2025-12-19T10:40:15.483Z"
"digny.bsky.social","Say it louder for those in the back of the House!","2025-12-18T00:43:28.829Z"
"digny.bsky.social","Foster and Adopt and retweet Make a difference. Bring joy into your life. Humans be stray. But you can count on a dog to be there for you all day.","2025-12-18T10:11:13.314Z"
"digny.bsky.social","Pickled Pete is telling a whopper!","2025-12-18T00:22:07.668Z"
"digny.bsky.social","Water is wet","2025-12-17T18:09:56.002Z"
"digny.bsky.social","That’s all Thune? But be Elon Musk or Jeff Bevos","2025-12-17T18:06:37.492Z"
"digny.bsky.social","If you voted for Trump in 2024 and finally realize that he lied to get your vote and things aren't going well, it's okay to change your mind. Write your representative in Congress and tell them how you want them to vote. Tell them how things are going. Tell them to hold Trump accountable.","2025-12-15T14:49:05.305Z"
"digny.bsky.social","Is Donald an island participant or business partner or both with Jeffrey Epstein ?","2025-12-16T00:58:25.254Z"
"digny.bsky.social","NO PERKS FOR ELECTED MAGA JERKS! If we all don’t have health care why should we pay for Rick Scott’s!","2025-12-15T17:02:20.505Z"
"digny.bsky.social","Poverty is a policy choice. Concentrated wealth is a policy choice. Inequality is a policy choice. None of it is natural or inevitable. Remember: We have the power to build a system that serves the many, not the powerful few.","2025-12-14T19:12:36.521074Z"
"digny.bsky.social","What happened to our moral compass","2025-12-14T19:34:30.299Z"
"digny.bsky.social","Please help him","2025-12-14T19:32:56.544Z"
"digny.bsky.social","Fact-check: true","2025-12-14T05:36:52.550Z"
"digny.bsky.social","Naveed Akram, identified in Australia, has been named by multiple sources as having served with the Israeli military in Gaza before returning. If confirmed, this places him within the machinery of genocide, not outside it. A reshare","2025-12-14T18:23:06.715Z"
"digny.bsky.social","Let’s talk what’s a moral man","2025-12-14T17:24:58.660Z"
"digny.bsky.social","The United States of America under the direction of Trump Hegseth Rubio and Bradley were not Good Samaritans and blew two flailing men in shark infested water up!","2025-12-14T01:12:21.771Z"
"digny.bsky.social","Release the movies too. The more we wait. The more we want to see. Show us the Trump Epstein smut","2025-12-14T01:09:15.563Z"
"digny.bsky.social","Or Double Tap Donnie isn’t allowing Anything 4 Cash Patel to speak.","2025-12-14T01:07:45.093Z"
"digny.bsky.social","Posted by the Tax Foundation — the world's leading nonpartisan tax policy nonprofit organization.","2025-12-12T19:32:33.471Z"
"digny.bsky.social","Holy crap!!","2025-12-12T12:19:29.806Z"
"digny.bsky.social","Whitehouse: Not only were the founders extremely interested in checks and balances but they were desperately concerned about corruption. This Court has consistently taken the side of corruption against every device Congress has created to fight political corruption.","2025-12-11T20:59:00.398Z"
"digny.bsky.social","A reminder","2025-12-12T13:12:52.534Z"
