"user","post","date"
"dipperdon.bsky.social","Pied-billed Grebe about to swallow a fish. Amazing how easily it went down.","2025-12-01T03:20:43.593Z"
"dipperdon.bsky.social","Can we make TN-7 swing Blue. If it does 2026 will be a tsunami. Get the vote out!","2025-11-22T03:41:46.071Z"
"dipperdon.bsky.social","@resistersisnj.bsky.social","2025-11-16T04:22:35.287Z"
"dipperdon.bsky.social","We need to recognize that caring about people eating is a good thing and something MAGA doesn’t care about.","2025-11-12T20:05:50.638Z"
"dipperdon.bsky.social","Beware of bots on here pretending to be outraged Dems. They’re trying to divide us and mask the fact that we voted to keep mainly THEIR voters fed and keep those furloughed back in their jobs with full pay reinstated.","2025-11-11T01:24:12.839Z"
"dipperdon.bsky.social","Not on the same page as many of you about the vote to stop the shutdown. Trump and his lap dogs were hurting Americans with SNAP and job cuts. We couldn’t let that keep happening. Unless you lost your job or SNAP because of the shutdown you don’t know the pain.","2025-11-10T19:08:00.934Z"
"dipperdon.bsky.social","Very proud to say that Coloradans voted in favor of free lunch for all school children!","2025-11-05T02:48:39.844Z"
"dipperdon.bsky.social","The book, Ten Birds that Changed the World is a great read","2025-11-03T23:31:01.446Z"
"dipperdon.bsky.social","The Dodo represents the extinction of species caused by humans","2025-07-24T18:04:16.946Z"
"dipperdon.bsky.social","The beautiful Lazuli Bunting of the Colorado front range.","2025-07-15T20:42:15.305Z"
"dipperdon.bsky.social","Found my nemesis bird, Virginia Warbler","2025-07-15T17:15:56.460Z"
"dipperdon.bsky.social","This young person rocks. Keep an eye on her because she’s going somewhere.","2025-06-16T18:08:56.939Z"
"dipperdon.bsky.social","Another moth drawn to the light and burned. When will the moths realize they will always get burned?","2025-06-06T03:49:17.493Z"
"dipperdon.bsky.social","MAGA’s concept of Christianity","2025-05-26T03:06:45.762Z"
"dipperdon.bsky.social","According to the New Testament which is the word of God for Christians, God is love, period. You cannot truly claim Christianity if you don’t believe that. There is no aspect of MAGA that embraces love.","2025-05-24T02:49:34.828Z"
"dipperdon.bsky.social","The salvation of our democracy depends on the outcome of the midterms. Will we Dems unite and fight for our country or splinter like we did in 2024?","2025-05-11T20:55:55.211Z"
"dipperdon.bsky.social","Where’s the little kid saying the emperor has no clothes?","2025-05-07T15:10:15.570Z"
"dipperdon.bsky.social","Who else thinks that the American flag and cross have become symbols of hate, exclusion and arrogance?","2025-05-07T14:47:40.782Z"
"dipperdon.bsky.social","The one superpower we all have is the ability to be present at each moment. You can have an amazing impact on every person, animal or activity you touch when your simple present.","2025-05-07T04:44:04.612Z"
"dipperdon.bsky.social","It’s not just small birds that hit windows. This window at a restaurant in Denver was hit by a Canada Goose.","2025-05-04T23:39:39.401Z"
"dipperdon.bsky.social","History has shown over and over again that dictators have horrible deaths and are reviled in history.","2025-05-03T01:02:02.644Z"
"dipperdon.bsky.social","Hand’s down the best bathroom I’ve ever used. Saw 10 species of birds in the time it took to do my business. Open air and beautiful beach view.","2025-05-02T22:19:13.108Z"
"dipperdon.bsky.social","Yep","2025-04-29T22:00:50.229Z"
"dipperdon.bsky.social","Go get him!","2025-04-29T04:08:31.564Z"
"dipperdon.bsky.social","Ecotourism saving wildlife. A farmer in Costa Rica getting paid because he’s attracted Resplendent Quetzals by planting nut trees for them.","2025-04-24T20:04:32.637Z"
"dipperdon.bsky.social","Great birding outside of Puerto Vallarta","2025-04-24T18:18:34.233Z"
"dipperdon.bsky.social","Sandhill Cranes on the move","2025-04-18T20:01:17.611Z"
"dipperdon.bsky.social","Imagine the impact of even half the Democrats in Congress having the courage that AOC has to confront the craziness in Washington.","2025-04-14T20:11:23.586Z"
"dipperdon.bsky.social","Dems are barely in the minority but their cowering behavior makes it appear that they have no power. Do the jobs you were elected to do and find your voice.","2025-04-14T15:02:34.844Z"
"dipperdon.bsky.social","Hopefully a future President.","2025-04-14T03:31:58.145Z"
"dipperdon.bsky.social","What are the chances that Trump let his buddies know he was lifting the tariffs so they could buy stocks at the bottom and get even richer in the market?","2025-04-10T02:41:10.213Z"
"dipperdon.bsky.social","Does Musk really think the MAGA bros are going to ditch their diesel trucks and buy Teslas? He blew up his market which consists of educated, woke liberals.","2025-03-14T21:00:34.573Z"
"dipperdon.bsky.social","It's amazing how """"Lots of people like this thing I don't, therefore this thing is bad and a lot of people are idiots"""" is such a prevalent line of thinking.","2025-01-11T02:16:47.157Z"
"dipperdon.bsky.social","Who else thinks there was something fishy about the election? I mean all 7 swing states won by Trump??","2024-11-14T05:35:43.957Z"
