"user","post","date"
"doro20.bsky.social","#NOKINGS #RESIST #Oklahoma Kingston Oklahoma Marshall County NO KINGS and ICE OUT Rally Saturday, February 21 12 – 2pm CST Kingston City Park across the street from Greg’s Rocking Goat Coffee Shop. www.mobilize.us/mobilize/eve...","2026-02-17T02:24:24.895Z"
"doro20.bsky.social","www.linkedin.com/posts/daniel...","2026-02-18T13:49:33.756Z"
"doro20.bsky.social","www.linkedin.com/posts/askjes...","2026-02-18T02:56:08.988Z"
"doro20.bsky.social","Peru’s Congress on Tuesday voted to remove interim President José Jerí from office as he faces corruption allegations, triggering a fresh wave of political instability just weeks before the nation’s April presidential and congressional elections. www.huffpost.com/entry/perus-...","2026-02-17T23:35:17.717Z"
"doro20.bsky.social","So much for """"free speech."""" Republicans are scared. Midterms are coming and they don’t want to face the repercussions of their lawlessness.","2026-02-17T16:27:31.365Z"
"doro20.bsky.social","www.linkedin.com/posts/askjes...","2026-02-18T02:56:08.988Z"
"doro20.bsky.social","www.linkedin.com/posts/activi...","2026-02-18T02:52:52.473Z"
"doro20.bsky.social","www.linkedin.com/posts/dougst...","2026-02-18T02:51:33.637Z"
"doro20.bsky.social","www.alternet.org/republican-t... He should look in the mirror frontal traitor","2026-02-18T02:37:48.690Z"
"doro20.bsky.social","www.alternet.org/jesse-jackso...","2026-02-18T02:36:52.774Z"
"doro20.bsky.social","www.alternet.org/does-steve-b...","2026-02-18T02:36:34.536Z"
"doro20.bsky.social","www.linkedin.com/posts/vetera...","2026-02-18T02:10:06.761Z"
"doro20.bsky.social","youtu.be/8FoX_0YxyIM","2026-02-18T01:56:28.734Z"
"doro20.bsky.social","open.substack.com/pub/themouth...","2026-02-17T22:46:22.349Z"
"doro20.bsky.social","open.substack.com/pub/thomhart... Were overdue","2026-02-17T22:45:28.577Z"
"doro20.bsky.social","'We Are Coming for Power for Working People': Ocasio-Cortez Talks US Politics in Germany www.commondreams.org/news/aoc-ber...","2026-02-17T22:44:13.907Z"
"doro20.bsky.social","thehill.com/homenews/adm... as they should we are globally embarrassed by the trump shit show","2026-02-17T22:43:42.432Z"
"doro20.bsky.social","www.motherjones.com/politics/202...","2026-02-17T22:42:19.098Z"
"doro20.bsky.social","www.alternet.org/trump-author... Always a corrupt weak man","2026-02-17T22:40:27.120Z"
"doro20.bsky.social","JetBlue under fire for pro-Trump message: 'Last time I choose your airline' www.rawstory.com/jetblue-dona... Jet Blue needs to change it name to jet I eat shit for trump red","2026-02-17T22:38:34.770Z"
"doro20.bsky.social","MAGA celeb vows Jesse Jackson will suffer 'eternal shame' in wild 'white slavery' rant www.rawstory.com/jesse-jackso... Shit for brains","2026-02-17T22:35:39.240Z"
"doro20.bsky.social","youtu.be/8FoX_0YxyIM","2026-02-17T22:32:31.416Z"
"doro20.bsky.social","open.substack.com/pub/lincolns...","2026-02-17T22:16:24.283Z"
"doro20.bsky.social","SCOOP: I have the first interview with the 36-year-old South Jersey man whose tearful protest against an ICE raid at a school bus stop has been watched more than 3 million times How a non-political Eagles fan Everyman became the face of ICE resistance My new column www.inquirer.com/columnists/a...","2026-02-17T16:54:49.673Z"
"doro20.bsky.social","Trump's ICE vengeance is not our America. #IceOut www.tiktok.com/@celeste06_/...","2026-02-17T22:07:55.073Z"
"doro20.bsky.social","They told him not to share this and not to air this and not to talk about it, but Stephen Colbert being the awesome human being that he is made sure it was shared on all the Internet please enjoy #Pinks youtu.be/oiTJ7Pz_59A?...","2026-02-17T20:48:32.167Z"
"doro20.bsky.social","open.substack.com/pub/rawstory...","2026-02-17T22:11:23.819Z"
"doro20.bsky.social","open.substack.com/pub/thefucki... Gillibrand doing Jesus work…NOT. She needs to be replaced","2026-02-17T14:37:54.675Z"
"doro20.bsky.social","www.levernews.com/the-complian... And that is why Justice Kennedy retired … his son was handling those accounts","2026-02-17T14:31:52.387Z"
"doro20.bsky.social","Stingy SOBs except Buffet","2026-02-17T12:55:42.146Z"
"doro20.bsky.social","open.substack.com/pub/jonathan... Ugh","2026-02-17T02:47:37.650Z"
"doro20.bsky.social","💯💯💯 🇺🇲","2026-02-17T01:49:12.740Z"
"doro20.bsky.social","""""The Baltimore County Council will convene an emergency session Tuesday to consider legislation to ban private persons, corporations, property owners or third-party contractors from gaining permits to operate detention centers in the county...."""" www.wbaltv.com/article/balt...","2026-02-16T18:43:25.464Z"
"doro20.bsky.social","substack.com/@rawstory/no... It can happen to You","2026-02-17T01:54:03.095Z"
"doro20.bsky.social","open.substack.com/pub/sethabra...","2026-02-17T01:51:04.744Z"
"doro20.bsky.social","www.alternet.org/brett-kavana...","2026-02-17T00:42:46.349Z"
"doro20.bsky.social","✋","2026-02-16T21:59:42.317Z"
"doro20.bsky.social","open.substack.com/pub/rawstory... I guess her turning trick days are over","2026-02-17T00:25:47.568Z"
"doro20.bsky.social","www.dailykos.com/stories/2026...","2026-02-17T00:05:37.697Z"
"doro20.bsky.social","bsky.app/profile/madd... Thank you Gov Shapiro","2026-02-16T20:38:24.840Z"
"doro20.bsky.social","""""In Pennsylvania, the Shapiro administration is warning federal officials that it will not issue required state permits for two planned immigration detention centers..."""" www.spotlightpa.org/berks/2026/0...","2026-02-16T18:52:20.943Z"
"doro20.bsky.social","open.substack.com/pub/thetonym... Had enough of this trump shit yet?","2026-02-16T19:25:35.683Z"
"doro20.bsky.social","open.substack.com/pub/smilingt... We need more Mikes","2026-02-16T19:20:29.650Z"
"doro20.bsky.social","If you want to understand why rich guys are turning back to eugenics and recreating the rhetoric and theology of slavery, it’s because they know on some level this level of wealth inequality is unjustifiable bsky.app/profile/marl...","2026-02-16T18:06:39.556Z"
"doro20.bsky.social","open.substack.com/pub/dropsite...","2026-02-16T19:11:53.675Z"
"doro20.bsky.social","open.substack.com/pub/malcolmn... Chaos and fear what Trump does best.","2026-02-16T19:06:42.055Z"
"doro20.bsky.social","open.substack.com/pub/tarapalm... Getting order from Poppy Bush?","2026-02-16T19:03:10.282Z"
"doro20.bsky.social","open.substack.com/pub/ojaiohan... Miller needs cleansing","2026-02-16T18:57:48.466Z"
"doro20.bsky.social","www.inquirer.com/news/philade... Hell YES","2026-02-16T18:44:43.730Z"
