"user","post","date"
"douglukauskas.bsky.social","Great message, let's not lose focus.","2026-02-18T13:36:07.893Z"
"douglukauskas.bsky.social","Texas vote now! Repost #Talarico","2026-02-18T12:59:48.547Z"
"douglukauskas.bsky.social","This pretty much sums it up.","2026-02-17T14:32:31.704Z"
"douglukauskas.bsky.social","At this point, so many people at the DOJ have seen the Trump–Epstein files in their entirety and are still choosing to protect the pedophiles involved. Not sure how they can live with themselves, I guess they’re pathetic sociopaths without human empathy or emotions. Just so pathetic and disgusting.","2026-02-17T14:30:12.852Z"
"douglukauskas.bsky.social","The current administration is definitely a hazard to our households. We need to protect our couches from JD Vance, our dogs from Kristi Noem and now we need to keep RFK Jr away from our toilet seats. And the list goes on…..","2026-02-15T00:24:50.911Z"
"douglukauskas.bsky.social","Somehow, I missed this the other day and just watched it in it’s entirety. This was definitely the best summary of Pam Bondi‘s testimony at Wednesday’s hearing.","2026-02-14T15:27:31.569Z"
"douglukauskas.bsky.social","I wonder how long we’ll have to wait to see where the fascist dead squad will show up next? Perhaps they’ll take a break for the long holiday weekend. Happy Presidents’ Day y’all.","2026-02-14T14:34:42.372Z"
"douglukauskas.bsky.social","Does this sound like Pam Bondi? As chief legal officer of the states, commonwealths, District of Columbia, and territories of the United States, the role of an attorney general is to serve as counselor to state government agencies and legislatures, and as a representative of the public interest.","2026-02-12T18:45:13.788Z"
"douglukauskas.bsky.social","New in PN: We are all passengers in Trump’s death cab """"Trump’s adulation of Putin could hardly offer a starker warning of just how far he's willing to go, & how much more damage he may be willing to impose, to maintain his grip on power, particularly if — as seems likely — that grip begins to flag""""","2026-02-12T13:00:26.884Z"
"douglukauskas.bsky.social","Gotta love Heather Gardner!💙","2026-02-12T12:56:48.757Z"
"douglukauskas.bsky.social","A picture is worth a thousand words.","2026-02-12T12:52:34.698Z"
"douglukauskas.bsky.social","Indeed, she is.","2026-02-12T12:51:36.406Z"
"douglukauskas.bsky.social","I don’t know what to say about Pam Bondi that hasn’t been previously said. I’m pretty sure it will, but I hope yesterday‘s hearing follows her for the rest of her life and it’s mainly what everyone will remember.","2026-02-12T12:40:37.747Z"
"douglukauskas.bsky.social","Thanks Conor.","2026-02-11T21:50:54.507Z"
"douglukauskas.bsky.social","go.bsky.app/DdmTYLw This is my latest pack so if you ARENT included and you are following me comment so I can add. Repost for me please. Thanks. ❤️☮️","2026-02-10T19:29:25.093Z"
"douglukauskas.bsky.social","In prison, child molesters and pedophiles are universally despised by murderers, rapists and thieves and in many cases must be isolated from all. Meanwhile, despite popular consensus , our Republican leaders protect them. Think about that for just a second…. it’s absolutely fucking terrifying.","2026-02-10T13:46:53.297Z"
"douglukauskas.bsky.social","That’s the way it usually works, except if you’re an egomaniacal lunatic.","2026-02-09T15:06:45.542Z"
"douglukauskas.bsky.social","Happy to Repost.","2026-02-09T12:57:56.439Z"
"douglukauskas.bsky.social","Jon Ossoff totally nailed it, our government is being run by the Epstein class. Plain and simple.","2026-02-09T12:51:55.783Z"
"douglukauskas.bsky.social","No surprise here.","2026-02-09T12:09:13.778Z"
"douglukauskas.bsky.social","People arguing about Bad Bunny at the Super Bowl are behind the curve. Culture already moved. The NFL didn’t experiment; it aligned with gravity. That’s how power actually changes. Quietly, then all at once. 💥 #BadBunnyBowl #SheShed","2026-02-07T20:30:38.226Z"
"douglukauskas.bsky.social","Happy to repost this and to keep it going.","2026-02-06T13:01:31.872Z"
"douglukauskas.bsky.social","You just gotta love this, we need more children participating at press conferences!","2026-02-06T12:45:52.303Z"
"douglukauskas.bsky.social","This is an incredibly accurate synopsis of the overall Maga mindset and mentality.","2026-02-05T14:52:17.500Z"
"douglukauskas.bsky.social","@bluestormcomin1.bsky.social Good morning Beth, Happy Tuesday to you and everyone. I hope you have an amazing day!😊💙🌟","2026-02-03T15:00:24.965Z"
"douglukauskas.bsky.social","Yep 👇👇👇","2026-02-03T13:39:23.987Z"
"douglukauskas.bsky.social","In Texas, there’s a politician, running for statewide office, showing TV ads and calling himself MAGA Mayes Middleton. It’s totally dorky and after last week‘s special election Democratic victory, I suspect he’ll regret making that choice of a nickname. Likewise for those vocally supporting Trump.","2026-02-03T12:01:29.437Z"
"douglukauskas.bsky.social","Stephen Miller is the personification of Evil. I really hope history remembers him accordingly.","2026-02-01T13:47:13.602Z"
"douglukauskas.bsky.social","No arrests of the ICE thugs who murdered Alex Pretti, Renee Good, or Keith Porter. No arrests of anyone in the Epstein Files. But they arrested Don Lemon because of his journalism.","2026-01-30T13:44:54.578Z"
"douglukauskas.bsky.social","Very happy to repost this.","2026-01-31T01:53:36.302Z"
"douglukauskas.bsky.social","Springsteen is definitely one of a kind, he wrote this over the weekend for Minneapolis. Please pass this along.😊💙","2026-01-28T19:14:28.109Z"
"douglukauskas.bsky.social","I’ve seen hypocrisy and I’ve seen more hypocrisy, but Maga addressing the Alex Pretti murder, have taken the word, redefined it like never before. They have zero fucking shame, it’s absolutely unimaginable.","2026-01-27T13:53:14.343Z"
"douglukauskas.bsky.social","It's disappointing but not surprising the Republican Congressional leadership has been deafeningly silent. Obviously, silence equals complicity or a cowardly fear of the deranged, cognitively impaired occupant of the White House.","2026-01-26T12:51:04.681Z"
"douglukauskas.bsky.social","How big is Greenland? Its so big it covers up 99% of the Epstein files.","2026-01-20T01:32:30.320Z"
"douglukauskas.bsky.social","#RepostEveryone !!","2026-01-26T10:40:58.444Z"
"douglukauskas.bsky.social","Murdered in Minnesota By the US Government January 2026","2026-01-26T10:31:38.613Z"
"douglukauskas.bsky.social","Let’s not forget.","2026-01-26T10:21:55.259Z"
"douglukauskas.bsky.social","www.instagram.com/reel/DT8musQ...","2026-01-26T05:23:54.804Z"
"douglukauskas.bsky.social","Say his name: Alex Pretti Murdered by ICE","2026-01-25T22:21:06.728Z"
"douglukauskas.bsky.social","Make this go viral Repost for Alex! 💔","2026-01-25T21:01:59.143Z"
"douglukauskas.bsky.social","I am going to create a new #FuckIce #Minnesota pack in honor of Alex. If you want in my pack please comment and please repost so I can unite as many #Resisters as possible. I can create multiple packs. Repost me please","2026-01-25T16:56:22.295Z"
"douglukauskas.bsky.social","Let’s see. You can be shot and killed for exercising your right to free speech/assembly. Your executioner will conduct the investigation, no worries they have qualified immunity and will ignore any video evidence that exists. Last but not least you’ll be labeled a domestic terrorist. USA 2026.","2026-01-25T00:04:46.131Z"
"douglukauskas.bsky.social","So true, many thanks to the PM of Belgium for the comprehensive and concise summary. Congress, please pay attention and DO something.","2026-01-20T13:46:08.433Z"
"douglukauskas.bsky.social","Definitely, but at some point, it will become century, then most likely of all time.","2026-01-20T13:09:29.472Z"
"douglukauskas.bsky.social","It wasn’t so long ago our country was admired and respected in the international community. Now we are feared and have very little respect. I’d say we were a laughingstock, but nothing about the current situation is funny. How far and how quickly we’ve fallen.","2026-01-20T11:56:52.104Z"
"douglukauskas.bsky.social","Thanks Beth, have a great Saturday evening!😊💙💫🫂","2026-01-18T00:26:07.760Z"
"douglukauskas.bsky.social","A nice little """"pick me up"""" on a cold, dreary Thursday morning!","2026-01-15T14:47:17.837Z"
"douglukauskas.bsky.social","This needs to be said, over and over and over...........","2026-01-14T13:31:41.307Z"
