"user","post","date"
"easternbeast.bsky.social","go.bsky.app/K5MHTtb New from Brenda: @bluthrunthru.bsky.social","2026-02-13T23:08:04.046Z"
"easternbeast.bsky.social","Women have fought for 200 years for the right to vote. We Will NOT LOSE IT NOW! We Must Always “Keep Marching”! Always! 47, MAGA and Richey have Destroyed Civil Rights! They Cannot Win! I Won’t Live to See What I fight for! I Won’t Stop for a Day! youtu.be/9-VHc2dgBrQ?... go.bsky.app/FfYoDXJ","2026-02-14T02:08:17.156Z"
"easternbeast.bsky.social","They were way more than friends. They were partners.","2026-02-11T02:56:45.312Z"
"easternbeast.bsky.social","Thank you always, Tricia @thewelshtaffy24.bsky.social for including me. Followed & Sharing. Always #StrongerTogether go.bsky.app/2BaaPyi","2026-02-08T21:03:57.169Z"
"easternbeast.bsky.social","Tonight is the Super Bowl and no better time to honor Black NFL Players who gave as much to Civil Rights as they did to a Football! Yes, I will be watching Bad Bunny! Yes, I gagged when America the Beautiful was sung! We MUST All Fight for Civil Rights! youtu.be/LeN3P48OgRQ?... go.bsky.app/jpHzP5","2026-02-09T00:56:16.624Z"
"easternbeast.bsky.social","If you’re in the Epstein files, you should lose your job, your wife, and your comfy life. You should be castigated by society and spend your days in prison, being trotted out once a day so the public can boo you to your face.","2026-02-07T18:45:01.941Z"
"easternbeast.bsky.social","#Authors #Writers #Poetry #BookSky make new connections that you might not find on your own If you'd like to be included in the future, let me know 📖✍️🤓 go.bsky.app/J5NhMcr","2026-02-07T19:14:39.509Z"
"easternbeast.bsky.social","@thewelshtaffy24.bsky.social Thanks a lot, friend Tricia! 🙏🏽💙🫂 go.bsky.app/4SpWoUR","2026-02-07T19:15:00.435Z"
"easternbeast.bsky.social","Always brutally honest, I HATE “days/months” that are dedicated to ANYTHING that should be an EVERY DAY EVENT! So while January’s Black History Month, We Sane Americans should be honoring their battle for equality/civil rights EVERY DAY! Equality 4 All! youtu.be/7OSWrHNHdcg?... go.bsky.app/UXp7CwAo","2026-02-05T01:11:22.925Z"
"easternbeast.bsky.social","Donald Trump ran for President for three reasons. 1) To use the influence of his office to make as much money as possible. 2) To get """"revenge"""" on his perceived political enemies. 3) To stay out of prison, where he belongs. STOP THINKING THAT HE GIVES A FUCK ABOUT YOU. HE DOESN'T.","2026-02-03T01:54:42.751Z"
