"user","post","date"
"elonmuskisafraud.bsky.social","Tulsi Gabbard Is In A World Of Trouble: This Is How Trump Plans to Kill the Midterms Tulsi Gabbard, intelligence agencies, buried whistleblowers, and the authoritarian playbook behind Trump’s plan to control — or cancel — free and fair elections deanblundell.substack.com/p/tulsi-gabb...","2026-02-06T04:53:58.840Z"
"elonmuskisafraud.bsky.social","TULSI GABBARD IS A TRAITOR TO AMERICA AND DEMOCRACIES WORLDWIDE!! SHE IS A RUSSIAN AGENT DESTROYING OUR I INTELLIGENCE AGENCIES AND RELATIONSHIPS WORLDWIDE!! REPUBLICANS COULD STOP THIS - BUT THEY ARE ALL COMPLICIT IN THE PEDOPHILIA AND CRIMINALITY OF THIS ADMINISTRATION!! NEVER VOTE F/REPS AGAIN","2026-02-03T14:31:48.230Z"
"elonmuskisafraud.bsky.social","Georgia, get organized! go.bsky.app/BvAFY2V","2026-02-03T00:05:06.072Z"
"elonmuskisafraud.bsky.social","ABSOFUCKINGLUTLY⁉️ That's why we keep calling for ARTICLE 2 SECTION 4 They've ALL been AIDING & ABETTING in his CRIMES against AMERICA.... STARTING w/ SCOTUS⁉️💙🌊⚖🐸👹 ARREST THEM ALL⁉️","2026-02-03T12:38:11.645Z"
"elonmuskisafraud.bsky.social","Is ANYONE else watching this shit? Is ANYONE else even listening? TREASON is occurring right before our eyes and we are watching the Grammys! My God, where is our government? Where is our Congress? Why doesn't SOMEBODY make a fucking arrest?","2026-02-03T00:38:40.019Z"
"elonmuskisafraud.bsky.social","Here's an excellent theory of why DNI was in Georgia Friday. . bsky.app/profile/bone...","2026-02-03T04:09:55.743Z"
"elonmuskisafraud.bsky.social","How can we turn the page on Epstein when we still haven't been given all of the pages and those we have been given have been severely redacted?","2026-02-04T18:37:55.483Z"
"elonmuskisafraud.bsky.social","We believe there are few investigations that deserve more sunlight and public scrutiny than this one, in which two masked agents fired 10 shots at Alex Pretti as he lay on the ground after being pepper-sprayed. Read our full story: https://propub.li/4qUNfXH","2026-02-05T04:00:55.511603893Z"
"elonmuskisafraud.bsky.social","#MissKittyPolitics #AI #Research I'm so tired of looking at this face. He just made the list. They're just #criminals. All the below is known. Which means there's so much more. Garbage. -- Guilty Plea and Sentence: In February 2025, Bannon pleaded guilty in the New York state case to a felony ...","2026-02-05T05:16:11.800Z"
"elonmuskisafraud.bsky.social","#PutinsCockHolster #TrumpRussia #EpsteinFiles #TrumpPedoFiles #TrumpIsUnfit #Invokethe25th #TrumpCheated2024","2026-02-05T05:16:24.330Z"
"elonmuskisafraud.bsky.social","The US will have to pay tens of billions for the racist militias parading as federal agents. How do you like that fiscal conservatives?","2026-01-30T06:50:16.206Z"
"elonmuskisafraud.bsky.social","Between seizing ballots in Georgia, trying to leverage Minnesota to turn over its sensitive voter data, and political prosecutions, the DOJ is laying the groundwork to subvert the 2026 elections. I created Democracy Docket for times like this. Help it grow by supporting it now. hubs.ly/Q03M8rql0","2026-01-30T00:30:48.264Z"
"elonmuskisafraud.bsky.social","Walz said the most striking thing about talking to Trump, is he didn't seem to discern the difference between what he's doing in Minneapolis Vs. Venezuela. Such a little Putin wannabe. It should be clear, no state is safe from military action, by this f'n Pedo-🤡.","2026-01-29T01:32:05.376Z"
"elonmuskisafraud.bsky.social","I will never understand how Trump was legally able to run in 2024 after trying to strong arm governors to defraud voters, and then, when that didn’t work, a violent coup. We let a traitor re-enter the White House.","2026-01-30T05:45:39.177Z"
"elonmuskisafraud.bsky.social","Marco Rubio has many titles, except when it’s time to take accountability. He may be the Secretary of State, but Steve Witkoff and Jared Kushner are negotiating with foreign leaders behind his back. When did the Senate confirm them as our representatives on the world stage?","2026-01-29T20:04:53.232Z"
